Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Amqui,élection OR campagne,1,L'Avant-Poste,Une campagne de terrain pour la députée Kristina Michaud,2021-09-01,29,https://www.lavantposte.ca/article/2021/09/01/une-campagne-de-terrain-pour-la-deputee-kristina-michaud,2021-09-30 17:13:22,mixte
Amqui,élection OR campagne,2,Mon Matane,Victoire écrasante de Kristina Michaud dans Avignon-La Mitis-Matane-Matapédia,2021-09-21,9,https://monmatane.com/victoire-ecrasante-de-kristina-michaud-dans-avignon-la-mitis-matane-matapedia/,2021-09-30 17:13:22,mixte
Amqui,élection OR campagne,3,Le Soleil - Groupe Capitales Médias,"Les bloquistes maintiennent leurs gains dans l'Est, la ministre Lebouthillier réélue",2021-09-21,9,https://www.lesoleil.com/actualite/les-elections-federales/les-bloquistes-maintiennent-leurs-gains-dans-lest-la-ministre-lebouthillier-reelue-28c0ad7a49af5b467ddbefaefea2393f,2021-09-30 17:13:23,mixte
Amqui,élection OR campagne,4,L’Avantage gaspésien,Dernier tour de piste à Matane pour le libéral Louis-Éric Savoie avant le Jour J,2021-09-16,14,https://www.lavantagegaspesien.com/article/2021/09/16/dernier-tour-de-piste-a-matane-pour-le-liberal-louis-eric-savoie-avant-le-jour-j,2021-09-30 17:13:23,mixte
Amqui,élection OR campagne,5,L'Avant-Poste,Nouvelle candidate à la mairie d'Amqui,2021-08-03,58,https://www.lavantposte.ca/article/2021/08/03/nouvelle-candidate-a-la-mairie-d-amqui,2021-09-30 17:13:23,mixte
Amqui,élection OR campagne,6,L'Avant-Poste,Jean-Yves Fournier s'ajoute dans la course à la mairie d'Amqui,2021-09-23,7,https://www.lavantposte.ca/article/2021/09/23/jean-yves-fournier-s-ajoute-dans-la-course-a-la-mairie-d-amqui,2021-09-30 17:13:23,mixte
Amqui,élection OR campagne,7,ICI.Radio-Canada.ca,Un premier candidat à la mairie d'Amqui,2021-06-23,99,https://ici.radio-canada.ca/nouvelle/1803936/normand-boulianne-amqui-mairie-conseiller-elections,2021-09-30 17:13:24,mixte
Amqui,élection OR campagne,8,ICI.Radio-Canada.ca,La conseillère Sylvie Blanchette tentera de se faire élire mairesse d'Amqui | Élections municipales au Québec 2021,2021-08-24,37,https://ici.radio-canada.ca/nouvelle/1814246/sylvie-blanchette-mairesse-amqui-elections-municipales,2021-09-30 17:13:24,mixte
Amqui,élection OR campagne,9,Mon Matane,Un petit avant-goût des élections municipales à Matane et à Amqui,2021-08-05,56,https://monmatane.com/un-petit-avant-gout-des-elections-municipales-a-matane-et-amqui/,2021-09-30 17:13:24,mixte
Amqui,élection OR campagne,10,L'Avant-Poste,Le maire de Causapscal tire sa révérence,2021-04-27,156,https://www.lavantposte.ca/article/2021/04/27/le-maire-de-causapscal-tire-sa-reverence,2021-09-30 17:13:24,mixte
