Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Fermont,élection OR campagne,1,Ma Côte-Nord,Champion Iron évalue des sites à Fermont et Sept-Îles pour une 2e usine,2021-09-10,20,https://macotenord.com/champion-iron-evalue-des-sites-a-fermont-et-sept-iles-pour-une-2e-usine/,2021-09-30 13:14:16,mixte
Fermont,élection OR campagne,2,Monlimoilou.com,"Élections fédérales 2021: Julie Vignola, Bloc Québécois",2021-09-06,24,https://monlimoilou.com/2021/elections-federales-2021-julie-vignola-bloc-quebecois/,2021-09-30 13:14:17,mixte
Fermont,élection OR campagne,3,ICI.Radio-Canada.ca,Facture salée pour la réparation d'une conduite sanitaire à Sept-Îles,2021-09-09,21,https://ici.radio-canada.ca/nouvelle/1822652/bris-conduite-sanitaire-sept-iles-,2021-09-30 13:14:17,mixte
Fermont,élection OR campagne,4,Ma Côte-Nord,Les Métallos de l'Est appuient le Bloc Québécois,2021-09-14,16,https://macotenord.com/les-metallos-de-lest-appuient-le-bloc-quebecois/,2021-09-30 13:14:17,mixte
Fermont,élection OR campagne,5,Journal Le Manic,L'élection fédérale vue de Fermont,,,https://www.lemanic.ca/2019/10/08/lelection-federale-vue-de-fermont/,2021-09-30 13:14:18,mixte
Fermont,élection OR campagne,6,Journal Le Manic,Opération policière terminée à Fermont,2021-03-11,203,https://www.lemanic.ca/2021/03/11/operation-policiere-terminee-a-fermont/,2021-09-30 13:14:18,mixte
Fermont,élection OR campagne,7,Journal Le Manic,Route 389 : les travaux débutent entre Fire Lake et Fermont,2021-04-14,169,https://www.lemanic.ca/2021/04/14/route-389-les-travaux-debutent-entre-fire-lake-et-fermont/,2021-09-30 13:14:18,mixte
Fermont,élection OR campagne,8,Ma Côte-Nord,De la neige à Fermont et un avis de gel à Sept-Îles,2021-05-23,130,https://macotenord.com/de-la-neige-a-fermont-et-un-avis-de-gel-a-sept-iles/,2021-09-30 13:14:18,mixte
Fermont,élection OR campagne,9,Journal Le Manic,Test de dépistage recommandé pour les clients de trois bars de Fermont,2021-04-13,170,https://www.lemanic.ca/2021/04/13/test-de-depistage-recommande-pour-les-clients-de-trois-bars-de-fermont/,2021-09-30 13:14:18,mixte
Fermont,élection OR campagne,10,Ma Côte-Nord,Rencontre de conciliation jeudi entre ArcelorMittal et les Métallos de Fermont et Port-Cartier,2021-05-18,135,https://macotenord.com/rencontre-de-conciliation-jeudi-entre-arcelormittal-et-les-metallos-de-fermont-et-port-cartier/,2021-09-30 13:14:19,mixte
Fermont,élection OR campagne,11,Le Journal de Québec,Vaccination: des entreprises de la Côte-Nord contribuent à l'opération,2021-04-09,174,https://www.journaldequebec.com/2021/04/09/vaccination-des-entreprises-de-la-cote-nord-contribuent-a-loperation,2021-09-30 13:14:19,mixte
Fermont,élection OR campagne,12,ICI.Radio-Canada.ca,Le conseiller municipal Michel Bellavance se porte candidat à la mairie de Sept-Îles | Élections municipales au Québec 2021,2021-08-24,37,https://ici.radio-canada.ca/nouvelle/1805291/mairie-sept-iles-candidat-michel-bellavance-elections-municipales,2021-09-30 13:14:19,mixte
Fermont,élection OR campagne,13,ICI.Radio-Canada.ca,Le gouvernement Legault présente sa version du Plan Nord,2020-12-07,297,https://ici.radio-canada.ca/nouvelle/1755098/gouvernement-legault-plan-nord-version,2021-09-30 13:14:19,mixte
Fermont,élection OR campagne,14,Journal Le Manic,"Denis Grenier, bénévole de l'année sur la Côte-Nord",2021-06-22,100,https://www.lemanic.ca/2021/06/22/denis-grenier-benevole-de-lannee-sur-la-cote-nord/,2021-09-30 13:14:20,mixte
Fermont,élection OR campagne,15,ICI.Radio-Canada.ca,Une première ronde de vaccination terminée dans les MRC éloignées de la Côte-Nord | Coronavirus,2021-02-19,223,https://ici.radio-canada.ca/nouvelle/1772108/vaccination-covid-19-moderna-basse-cote-nord-fermont-schefferville-minganie,2021-09-30 13:14:20,mixte
Fermont,élection OR campagne,16,La Presse,Secteur minier | Environnement : un nouveau protocole qui manque d'ambition,2021-05-31,122,https://www.lapresse.ca/affaires/portfolio/2021-05-31/secteur-minier/environnement-un-nouveau-protocole-qui-manque-d-ambition.php,2021-09-30 13:14:20,mixte
Fermont,élection OR campagne,17,ICI.Radio-Canada.ca,Victoire de la Ville de Fermont devant la Cour du Québec,,,https://ici.radio-canada.ca/nouvelle/1377176/mine-fer-fermont-cour-quebec-appel-creanciers-cliffs-faillite,2021-09-30 13:14:21,mixte
Fermont,élection OR campagne,18,Radio-Canada.ca,Philippe Pichet veut revenir à la police de Montréal,2021-01-09,264,https://ici.radio-canada.ca/nouvelle/1760642/police-spvm-montreal-controleur-general-philippe-pichet,2021-09-30 13:14:21,mixte
Fermont,élection OR campagne,19,ICI.Radio-Canada.ca,La vaccination élargie contre la COVID-19 débute dans l'Est-du-Québec | Coronavirus,2021-03-11,203,https://ici.radio-canada.ca/nouvelle/1776195/covid-vaccin-rendez-vous-70-ans-dose-coronavirus-masse-endroits-sites,2021-09-30 13:14:21,mixte
Fermont,élection OR campagne,20,Journal Le Manic,Culture Côte-Nord dévoile les 17 finalistes à ses Prix d'excellence,2021-04-02,181,https://www.lemanic.ca/2021/04/02/culture-cote-nord-devoile-les-17-finalistes-a-ses-prix-dexcellence/,2021-09-30 13:14:21,mixte
Fermont,élection OR campagne,21,Journal Le Manic,La Côte-Nord encaisse le pire déclin démographique au Québec,2021-05-04,149,https://www.lemanic.ca/2021/05/04/la-cote-nord-encaisse-le-pire-declin-demographique-au-quebec/,2021-09-30 13:14:22,mixte
Fermont,élection OR campagne,22,La Presse,Des propriétés qui ne perdent pas le nord,2020-12-23,281,https://www.lapresse.ca/maison/immobilier/2020-12-23/des-proprietes-qui-ne-perdent-pas-le-nord.php,2021-09-30 13:14:22,mixte
Fermont,élection OR campagne,23,Ma Côte-Nord,L'appui des Métallos au Bloc Québécois n'est pas acquis,2021-08-19,42,https://macotenord.com/lappui-des-metallos-au-bloc-quebecois-nest-pas-acquis/,2021-09-30 13:14:22,mixte
Fermont,élection OR campagne,24,ICI.Radio-Canada.ca,Québec veut attirer les femmes et les jeunes en politique municipale,2021-04-19,164,https://ici.radio-canada.ca/nouvelle/1785898/conseil-maire-conseillers-elections-candidature-femmes-jeunes-est-quebec,2021-09-30 13:14:22,mixte
Fermont,élection OR campagne,25,La Presse,Crise au SPVM | Philippe Pichet veut un emploi et un salaire digne de son grade,2021-05-17,136,https://www.lapresse.ca/actualites/grand-montreal/2021-05-17/crise-au-spvm/philippe-pichet-veut-un-emploi-et-un-salaire-digne-de-son-grade.php,2021-09-30 13:14:22,mixte
Fermont,député,1,Monlimoilou.com,"Élections fédérales 2021: Julie Vignola, Bloc Québécois",2021-09-06,24,https://monlimoilou.com/2021/elections-federales-2021-julie-vignola-bloc-quebecois/,2021-09-30 13:14:59,mixte
Fermont,député,2,Journal Le Manic,L'élection fédérale vue de Fermont,,,https://www.lemanic.ca/2019/10/08/lelection-federale-vue-de-fermont/,2021-09-30 13:14:59,mixte
Fermont,député,3,ICI.Radio-Canada.ca,Fermeture de la frontière entre Blanc-Sablon et le Labrador | Coronavirus,2020-11-23,311,https://ici.radio-canada.ca/nouvelle/1751776/coronavirus-basse-cote-nord-fermont-blanc-sablon,2021-09-30 13:14:59,mixte
Fermont,député,4,ICI.Radio-Canada.ca,Un projet de mine de fer de 500 M$ à Chibougamau et au port de Saguenay,2021-04-23,160,https://ici.radio-canada.ca/nouvelle/1786262/mine-projet-nord-du-quebec,2021-09-30 13:14:59,mixte
Fermont,député,5,ICI.Radio-Canada.ca,Le gouvernement Legault présente sa version du Plan Nord,2020-12-07,297,https://ici.radio-canada.ca/nouvelle/1755098/gouvernement-legault-plan-nord-version,2021-09-30 13:15:00,mixte
Fermont,député,6,ICI.Radio-Canada.ca,Industrie forestière : Martin Ouellet veut éviter la perte définitive d'emplois,2021-06-17,105,https://ici.radio-canada.ca/nouvelle/1802265/usine-pate-papier-baie-comeau-martin-ouellet,2021-09-30 13:15:00,mixte
Fermont,député,7,ICI.Radio-Canada.ca,Le conseiller municipal Michel Bellavance se porte candidat à la mairie de Sept-Îles | Élections municipales au Québec 2021,2021-08-24,37,https://ici.radio-canada.ca/nouvelle/1805291/mairie-sept-iles-candidat-michel-bellavance-elections-municipales,2021-09-30 13:15:00,mixte
Fermont,député,8,Le Journal de Montréal,Air Canada: plusieurs régions du Québec ne récupèrent pas leurs liaisons,2021-04-14,169,https://www.journaldemontreal.com/2021/04/14/plusieurs-regions-du-quebec-ne-recuperent-pas-leurs-liaisons,2021-09-30 13:15:00,mixte
Fermont,député,9,Québec Hebdo,Rencontre avec la nouvelle députée de Beauport-Limoilou: les différents chapeaux de Julie Vignola,,,https://www.quebechebdo.com/local/journal-beauport-express/191566/rencontre-avec-la-nouvelle-deputee-de-beauport-limoilou-les-differents-chapeaux-de-julie-vignola/,2021-09-30 13:15:00,mixte
Fermont,député,10,Journal Le Manic,COVID-19 : Martin Ouellet exprime sa solidarité,2021-03-12,202,https://www.lemanic.ca/2021/03/12/covid-19-martin-ouellet-exprime-sa-solidarite/,2021-09-30 13:15:01,mixte
Fermont,député,11,ICI.Radio-Canada.ca,Mine du lac Bloom : soulagement de groupes environnementaux après le rapport du BAPE,2021-03-08,206,https://ici.radio-canada.ca/nouvelle/1775516/rapport-bape-lac-blom-minerai-fer-residus-miniers-mine-fondation-riviere,2021-09-30 13:15:01,mixte
Fermont,député,12,ICI.Radio-Canada.ca,Hausse importante des cas de COVID-19 à prévoir sur la Côte-Nord cette semaine | Coronavirus,2021-04-12,171,https://ici.radio-canada.ca/nouvelle/1784263/coronavirus-inquietude-explosion-cas-variant,2021-09-30 13:15:01,mixte
Fermont,député,13,Transport Routier,Glissière de sécurité sur la 50 : Vingtaine de collisions frontales évitées selon Bonnardel,2021-07-16,76,https://www.transportroutier.ca/nouvelles/glissiere-de-securite-sur-la-50-vingtaine-de-collisions-frontales-evitees-selon-bonnardel/,2021-09-30 13:15:01,mixte
Fermont,député,14,Le Devoir,Air Canada fait rager des députés,,,https://www.ledevoir.com/politique/canada/581840/fin-du-service-d-air-canada-en-regions-air-canada-fait-rager-des-deputes,2021-09-30 13:15:02,mixte
Fermont,député,15,Journal Le Manic,Pires routes du Québec : la liaison Matane-Côte-Nord au 2e rang,2021-06-05,117,https://www.lemanic.ca/2021/06/05/pires-routes-du-quebec-la-liaison-matane-cote-nord-au-2e-rang/,2021-09-30 13:15:02,mixte
Fermont,député,16,La Presse,Soleil et temps doux pour les prochains jours,2021-03-19,195,https://www.lapresse.ca/actualites/2021-03-19/soleil-et-temps-doux-pour-les-prochains-jours.php,2021-09-30 13:15:02,mixte
Fermont,député,17,Le Soleil - Groupe Capitales Médias,Les variants du coronavirus atteignent la Côte-Nord,2021-04-05,178,https://www.lesoleil.com/actualite/en-region/les-variants-du-coronavirus-atteignent-la-cote-nord-a086910dfa5985c9ea1ad7b776e92e0c,2021-09-30 13:15:03,mixte
Fermont,député,18,ICI.Radio-Canada.ca,Une motion en faveur d'un pont entre Tadoussac et Baie-Sainte-Catherine refusée,,,https://ici.radio-canada.ca/nouvelle/1406632/motion-refusee-pont-tadoussac-baie-sainte-catherine-traversier-stq,2021-09-30 13:15:03,mixte
Fermont,député,19,ICI.Radio-Canada.ca,Fermont en effervescence depuis la réouverture de la mine du lac Bloom,,,https://ici.radio-canada.ca/nouvelle/1091958/fermont-en-effervescence-depuis-la-reouverture-de-la-mine-du-lac-bloom,2021-09-30 13:15:03,mixte
Fermont,député,20,Radio-Canada.ca,Shetush Électrique : faire des affaires en langue innue,2021-05-03,150,https://ici.radio-canada.ca/espaces-autochtones/1788001/shetush-electrique-faire-affaires-langue-innue-germain-stonge,2021-09-30 13:15:03,mixte
Fermont,député,21,ICI.Radio-Canada.ca,Baie-Comeau accélère le pas pour la création de 45 nouvelles places en garderie,2021-06-22,100,https://ici.radio-canada.ca/nouvelle/1803560/cpe-magimuse-cote-nord-garde-enfants-ville-baie-comeau,2021-09-30 13:15:04,mixte
Fermont,député,22,ICI.Radio-Canada.ca,Un manque de subventions menaçant pour un CPE de Fermont,,,https://ici.radio-canada.ca/nouvelle/1306708/manque-subventions-cpe-fermont,2021-09-30 13:15:04,mixte
Fermont,député,23,ICI.Radio-Canada.ca,Plus de 230 travailleurs de l'extérieur arriveront à Port-Cartier la semaine prochaine,2021-04-23,160,https://ici.radio-canada.ca/nouvelle/1787455/travailleurs-etrangers-arcelormittal-portcartier-inquietudes-mesures,2021-09-30 13:15:04,mixte
Fermont,député,24,Le Soleil - Groupe Capitales Médias,Une chanteuse et une enseignante: les nouveaux visages du Bloc à Québec [VIDÉO],,,https://www.lesoleil.com/actualite/une-chanteuse-et-une-enseignante-les-nouveaux-visages-du-bloc-a-quebec-video-b53c8db8d7a7ba4e9515e22815fa42af,2021-09-30 13:15:04,mixte
Fermont,député,25,ICI.Radio-Canada.ca,Des anciens députés de Manicouagan se souviennent de Jean Lapierre,,,https://ici.radio-canada.ca/nouvelle/773039/hommage-jean-lapierre-andre-maltais-cote-nord-depute-liberal,2021-09-30 13:15:04,mixte
Fermont,"""arme à feu""",1,ICI.Radio-Canada.ca,La chasse à l'orignal à l'arme à feu ouverte dans le sud de la Côte-Nord,,,https://ici.radio-canada.ca/nouvelle/1736726/zone-18-baie-comeau-haute-cote-nord-carabine-gibier-manicouagan,2021-09-30 13:15:11,mixte
Fermont,"""arme à feu""",2,LaPresse.ca,Deux morts par armes à feu à Fermont,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/faits-divers/201901/04/01-5209967-deux-morts-par-armes-a-feu-a-fermont.php,2021-09-30 13:15:12,mixte
Fermont,"""arme à feu""",3,Le Soleil - Groupe Capitales Médias,Possible meurtre à Fermont | Justice et faits divers | Actualités,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/possible-meurtre-a-fermont-3951f7a0cd6fcc19a5f9d2fc2905cf68,2021-09-30 13:15:12,mixte
Fermont,"""arme à feu""",4,Rendez-VousNature.ca,Ne tardez pas à vous inscrire aux formations en vue de la prochaine saison,2021-03-12,202,https://www.rendez-vousnature.ca/chasse/2021/03/12/ne-tardez-pas-a-vous-inscrire-aux-formations-en-vue-de-la-prochaine-saison-4232/,2021-09-30 13:15:12,mixte
Fermont,"""arme à feu""",5,Le Soleil - Groupe Capitales Médias,Les variants du coronavirus atteignent la Côte-Nord,2021-04-05,178,https://www.lesoleil.com/actualite/en-region/les-variants-du-coronavirus-atteignent-la-cote-nord-a086910dfa5985c9ea1ad7b776e92e0c,2021-09-30 13:15:12,mixte
Fermont,"""arme à feu""",6,Le Soleil - Groupe Capitales Médias,Des grévistes d'ArcelorMittal reçoivent des contraventions pour avoir sauté le couvre-feu,2021-05-13,140,https://www.lesoleil.com/actualite/en-region/des-grevistes-darcelormittal-recoivent-des-contraventions-pour-avoir-saute-le-couvre-feu-32890e942e1bd1fe4717e5b6c05fb86d,2021-09-30 13:15:12,mixte
Fermont,"""arme à feu""",7,Rendez-VousNature.ca,Ultimatum au ministre Dufour pour qu'il autorise la RTLB en Gaspésie dès 2021,2021-08-23,38,https://www.rendez-vousnature.ca/chasse/2021/08/23/ultimatum-au-ministre-dufour-pour-qu-il-autorise-la-rtlb-en-gaspesie-des-2021-4627/,2021-09-30 13:15:13,mixte
Fermont,"""arme à feu""",8,Rendez-VousNature.ca,Maniement des armes à feu: le cours dispensé bientôt à Rimouski,,,https://www.rendez-vousnature.ca/chasse/2020/07/10/maniement-des-armes-a-feu-le-cours-dispense-bientot-a-rimouski-3622/,2021-09-30 13:15:13,mixte
