Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Sarre,accident,1,ICI.Radio-Canada.ca,Une saison couronnée de succès pour les clubs de golf de l'Abitibi-Témiscamingue,2021-09-27,3,https://ici.radio-canada.ca/nouvelle/1827499/saison-golf-la-sarre-noranda-ville-marie-ete-2021,2021-09-30 12:40:57,local
La Sarre,accident,2,Le Républicain Lorrain,Sarrebourg | Le corps d’un homme repêché dans la Sarre,2021-09-19,11,https://www.republicain-lorrain.fr/faits-divers-justice/2021/09/19/un-corps-retrouve-flottant-dans-la-sarre,2021-09-30 12:40:57,local
La Sarre,accident,3,DNA - Dernières Nouvelles d'Alsace,Faits divers | Accident à Dehlingen sur la D123,2021-09-28,2,https://www.dna.fr/faits-divers-justice/2021/09/28/accident-en-cours-a-dehlingen-sur-la-d123,2021-09-30 12:40:58,local
La Sarre,accident,4,TVA Nouvelles,Deux motocyclistes gravement blessés en Abitibi,2021-08-17,44,https://www.tvanouvelles.ca/2021/08/17/deux-motocyclistes-gravement-blesses-en-abitibi-1,2021-09-30 12:40:58,local
La Sarre,accident,5,iHeartRadio,Accident mortel à La Reine : la SQ enquête,2021-06-16,106,https://www.iheartradio.ca/energie/energie-rouyn/nouvelles/accident-mortel-a-la-reine-la-sq-enquete-1.15430359,2021-09-30 12:40:58,local
La Sarre,accident,6,ICI.Radio-Canada.ca,Le bois pourrait avoir atteint son prix le plus bas depuis plusieurs mois,2021-09-13,17,https://ici.radio-canada.ca/nouvelle/1823921/prix-bois-baisse-construction-quincalleries,2021-09-30 12:40:58,local
La Sarre,accident,7,Le Droit - Groupe Capitales Médias,Collision frontale: un motocycliste lutte pour sa vie en Abitibi,2021-08-05,56,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/collision-frontale-un-motocycliste-lutte-pour-sa-vie-en-abitibi-c4707f403588437d145633ee5e3747ef,2021-09-30 12:40:58,local
La Sarre,accident,8,L’actualité,Un motocycliste lutte pour sa vie après un face-à-face en Abitibi,2021-08-04,57,https://lactualite.com/actualites/un-motocycliste-lutte-pour-sa-vie-apres-un-face-a-face-en-abitibi/,2021-09-30 12:40:59,local
La Sarre,accident,9,ICI.Radio-Canada.ca,Accident mortel sur la route 117 : la communauté amossoise est sous le choc,2020-10-15,350,https://ici.radio-canada.ca/nouvelle/1741064/michael-bedard-amos-accident-enquete,2021-09-30 12:40:59,local
La Sarre,accident,10,ICI.Radio-Canada.ca,"Accident de travail à La Sarre : mauvaise évaluation du risque, dit la CNESST",,,https://ici.radio-canada.ca/nouvelle/1315674/accident-travail-cnesst-a-sarre-metal-marquis,2021-09-30 12:40:59,local
La Sarre,accident,11,Le Républicain Lorrain,Photos | Niederstinzel : une blessée légère après plusieurs tonneaux,2021-09-20,10,https://www.republicain-lorrain.fr/faits-divers-justice/2021/09/20/niederstinzel-une-blessee-leger-apres-plusieurs-tonneaux,2021-09-30 12:41:00,local
La Sarre,accident,12,ICI.Radio-Canada.ca,Disparition : la famille de David Richer lance un cri du cœur,2021-04-29,154,https://ici.radio-canada.ca/nouvelle/1788721/disaprition-david-richer-famille-cri-coeur,2021-09-30 12:41:00,local
La Sarre,accident,13,Le Soleil - Groupe Capitales Médias,L'homme qui s'est perdu en forêt en Abitibi a été retrouvé sain et sauf,2021-07-31,61,https://www.lesoleil.com/actualite/justice-et-faits-divers/lhomme-qui-sest-perdu-en-foret-en-abitibi-a-ete-retrouve-sain-et-sauf-c8e4954b602a959f8118e7068b43f34e,2021-09-30 12:41:00,local
La Sarre,accident,14,Le Citoyen Rouyn - La Sarre,Accident de Granada: Mathieu Desgagné acquitté,2021-04-23,160,https://www.lecitoyenrouynlasarre.com/article/2021/04/23/accident-de-granada-mathieu-desgagne-acquitte,2021-09-30 12:41:00,local
La Sarre,accident,15,ICI.Radio-Canada.ca,Le pont de la Calamité en Abitibi-Ouest détruit par les flammes,2021-06-01,121,https://ici.radio-canada.ca/nouvelle/1797696/pont-couvert-abitibi-ouest-incendie,2021-09-30 12:41:00,local
La Sarre,accident,16,DNA - Dernières Nouvelles d'Alsace,Sarre-Union | Un automobiliste légèrement blessé sur le pont de la Sarre,2021-06-23,99,https://www.dna.fr/faits-divers-justice/2021/06/23/un-automobiliste-legerement-blesse-sur-le-pont-de-la-sarre,2021-09-30 12:41:00,local
La Sarre,accident,17,ICI.Radio-Canada.ca,De nouveaux services pour les personnes ayant de graves troubles de comportement,2021-07-13,79,https://ici.radio-canada.ca/nouvelle/1808793/maison-residence-trouble-comportement-autistes-abitibi,2021-09-30 12:41:01,local
La Sarre,accident,18,Le Journal de Montréal,"Grave accident de la route à Val-Saint-Gilles, en Abitibi",,,https://www.journaldemontreal.com/2018/11/29/grave-accident-de-la-route-a-val-saint-gilles-en-abitibi,2021-09-30 12:41:01,local
La Sarre,accident,19,ICI.Radio-Canada.ca,"Des scieries de Béarn, La Sarre et de l'Ontario vendues à GreenFirst Forest Products",2021-04-13,170,https://ici.radio-canada.ca/nouvelle/1784115/materiaux-innovants-rayonier-usine-scierie,2021-09-30 12:41:01,local
La Sarre,accident,20,ICI.Radio-Canada.ca,130 km pour accoucher à Rouyn-Noranda : « Est-ce que je vais arriver au bon moment? »,2021-06-17,105,https://ici.radio-canada.ca/nouvelle/1802333/accouchement-rupture-de-services-ville-marie,2021-09-30 12:41:01,local
La Sarre,accident,21,RTL 5 Minutes,"Accident mortel près de Fontoy: ""La Lamborghini s'est enroulée autour de l'arbre et a pris feu""",2021-07-20,72,https://5minutes.rtl.lu/actu/frontieres/a/1758114.html,2021-09-30 12:41:02,local
La Sarre,accident,22,ICI.Radio-Canada.ca,"Halloween permise : Rouyn-Noranda, Amos et La Sarre ne changeront pas d'idée",2020-10-15,350,https://ici.radio-canada.ca/nouvelle/1741437/halloween-rouyn-noranda-amos-lasarre-annulation,2021-09-30 12:41:02,local
La Sarre,accident,23,ICI.Radio-Canada.ca,Le pont couvert Leclerc levé et déplacé pour protéger le patrimoine,2021-06-18,104,https://ici.radio-canada.ca/nouvelle/1802505/pont-couvert-leclerc-lasarre-deplacement,2021-09-30 12:41:02,local
La Sarre,accident,24,ICI.Radio-Canada.ca,"West Fraser achète Norbord, dont une des usines est à La Sarre",2020-11-19,315,https://ici.radio-canada.ca/nouvelle/1750982/usine-norbord-la-sarre-fermeture-vendue-panneaux,2021-09-30 12:41:02,local
La Sarre,accident,25,ICI.Radio-Canada.ca,"Aucune rupture de services dans les CHSLD et salles d'urgence, assure le CISSS-AT",2021-05-18,135,https://ici.radio-canada.ca/nouvelle/1794221/cisssat-ruptures-services-penurie-infirmieres,2021-09-30 12:41:02,local
La Sarre,décès OR mort,1,France Bleu,Sarrebourg : un homme retrouvé mort noyé dans la Sarre,2021-09-19,11,https://www.francebleu.fr/infos/faits-divers-justice/sarrebourg-un-homme-retrouve-mort-noye-dans-la-sarre-1632069340,2021-09-30 12:41:40,local
La Sarre,décès OR mort,2,NecrologieCanada,ROUSSEAU NeE LEFEBVRE Noella 1932 2021,2021-09-28,2,https://necrocanada.com/deces-2021/rousseau-nee-lefebvre-noella-1932-2021/,2021-09-30 12:41:41,local
La Sarre,décès OR mort,3,NecrologieCanada,LAROSE GReGOIRE Yvette 1930 2021,2021-09-26,4,https://necrocanada.com/deces-2021/larose-gregoire-yvette-1930-2021/,2021-09-30 12:41:41,local
La Sarre,décès OR mort,4,NecrologieCanada,GENDRON GOSSELIN Jacqueline 1931 2021,2021-09-26,4,https://necrocanada.com/deces-2021/gendron-gosselin-jacqueline-1931-2021/,2021-09-30 12:41:41,local
La Sarre,décès OR mort,5,NecrologieCanada,BLAIS NeE BISSONNETTE Marthe 1924 2021,2021-09-12,18,https://necrocanada.com/deces-2021/blais-nee-bissonnette-marthe-1924-2021/,2021-09-30 12:41:41,local
La Sarre,décès OR mort,6,NecrologieCanada,ST-AMAND Maurice 1935 2021,2021-09-05,25,https://necrocanada.com/deces-2021/st-amand-maurice-1935-2021/,2021-09-30 12:41:41,local
La Sarre,décès OR mort,7,NecrologieCanada,LEGAULT Huguette 1933 2021,2021-09-01,29,https://necrocanada.com/deces-2021/legault-huguette-1933-2021/,2021-09-30 12:41:42,local
La Sarre,décès OR mort,8,NecrologieCanada,GENEST Denise 1952 2021,2021-09-14,16,https://necrocanada.com/deces-2021/genest-denise-1952-2021/,2021-09-30 12:41:42,local
La Sarre,décès OR mort,9,NecrologieCanada,LEDOUX Jocelyne 1939 2021,2021-09-21,9,https://necrocanada.com/deces-2021/ledoux-jocelyne-1939-2021/,2021-09-30 12:41:42,local
La Sarre,décès OR mort,10,NecrologieCanada,THIFFAULT TOUZIN Jeannine 1931 2021,2021-09-10,20,https://necrocanada.com/deces-2021/thiffault-touzin-jeannine-1931-2021/,2021-09-30 12:41:42,local
La Sarre,décès OR mort,11,NecrologieCanada,SECOUR Jeannette 1928 2021,2021-09-03,27,https://necrocanada.com/deces-2021/secour-jeannette-1928-2021/,2021-09-30 12:41:43,local
La Sarre,décès OR mort,12,NecrologieCanada,PLOURDE Michel 1964 2021,2021-09-13,17,https://necrocanada.com/deces-2021/plourde-michel-1964-2021/,2021-09-30 12:41:43,local
La Sarre,décès OR mort,13,NecrologieCanada,ST-PIERRE Marie-Jeanne 1928 2021,2021-09-03,27,https://necrocanada.com/deces-2021/st-pierre-marie-jeanne-1928-2021/,2021-09-30 12:41:43,local
La Sarre,décès OR mort,14,NecrologieCanada,LAMPRON Irenee 1930 2021,2021-09-03,27,https://necrocanada.com/deces-2021/lampron-irenee-1930-2021/,2021-09-30 12:41:43,local
La Sarre,décès OR mort,15,NecrologieCanada,SeVIGNY Claire 1957 2021,2021-08-31,30,https://necrocanada.com/deces-2021/sevigny-claire-1957-2021/,2021-09-30 12:41:43,local
La Sarre,décès OR mort,16,Le Devoir,Fermeture et diminution de services de santé en Abitibi-Témiscamingue,2021-09-18,12,https://www.ledevoir.com/societe/sante/633303/fermeture-et-diminution-de-services-de-sante-en-abitibi-temiscamingue,2021-09-30 12:41:44,local
La Sarre,décès OR mort,17,ICI.Radio-Canada.ca,Accident mortel sur la route 117 : la communauté amossoise est sous le choc,2020-10-15,350,https://ici.radio-canada.ca/nouvelle/1741064/michael-bedard-amos-accident-enquete,2021-09-30 12:41:44,local
La Sarre,décès OR mort,18,ICI.Radio-Canada.ca,Disparition : la famille de David Richer lance un cri du cœur,2021-04-29,154,https://ici.radio-canada.ca/nouvelle/1788721/disaprition-david-richer-famille-cri-coeur,2021-09-30 12:41:44,local
La Sarre,décès OR mort,19,Le Républicain Lorrain,Sarrebruck | Il fait une chute de 12 m à l’Europa Galerie : un enfant entre la vie et la mort,2021-09-02,28,https://www.republicain-lorrain.fr/faits-divers-justice/2021/09/02/il-fait-une-chute-de-12-m-a-l-europa-galerie-un-enfant-entre-la-vie-et-la-mort,2021-09-30 12:41:44,local
