Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lavaltrie,accident,1,Le Journal de Montréal,Un piéton happé mortellement à Lavaltrie | JDM,2021-08-31,30,https://www.journaldemontreal.com/2021/08/31/un-pieton-happe-mortellement-a-lavaltrie,2021-09-30 13:02:03,local
Lavaltrie,accident,2,TVA Nouvelles,Une passagère d'une moto à trois roues grièvement blessée à Lavaltrie,2021-08-14,47,https://www.tvanouvelles.ca/2021/08/14/une-passagere-dune-moto-a-trois-roues-gravement-blessee-a-lavaltrie,2021-09-30 13:02:04,local
Lavaltrie,accident,3,Le Journal de Montréal,[IMAGES] Toujours les mêmes carambolages sur la 40,2021-02-05,237,https://www.journaldemontreal.com/2021/02/05/important-carambolage-sur-lautoroute-40-pres-de-repentigny,2021-09-30 13:02:04,local
Lavaltrie,accident,4,La Presse,Un piéton grièvement blessé à Lavaltrie | La Presse,2021-03-12,202,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-03-12/un-pieton-grievement-blesse-a-lavaltrie.php,2021-09-30 13:02:04,local
Lavaltrie,accident,5,Le Journal de Montréal,Un autre triste week-end pour les motocyclistes,2021-08-16,45,https://www.journaldemontreal.com/2021/08/16/un-autre-triste-week-end-pour-les-motocyclistes,2021-09-30 13:02:04,local
Lavaltrie,accident,6,LanauWeb,Lanoraie : collision avec un orignal Info Lanaudière,2021-08-18,43,https://lanauweb.info/lanoraie-collision-avec-un-orignal/,2021-09-30 13:02:04,local
Lavaltrie,accident,7,L'Action d'Autray,Pas d'accusation du DPCP pour un événement à Lavaltrie,2021-05-06,147,https://www.lactiondautray.com/article/2021/05/06/le-dpcp-ne-portera-pas-d-accusation-pour-un-evenement-a-lavaltrie,2021-09-30 13:02:04,local
Lavaltrie,accident,8,TVA Nouvelles,Deux morts à Joliette: leurs jeunes amis consternés,,,https://www.tvanouvelles.ca/2017/10/10/deux-morts-a-joliette-leurs-jeunes-amis-consternes,2021-09-30 13:02:05,local
Lavaltrie,accident,9,L'Action,Dur retour en classe pour des élèves de Lavaltrie - Joliette,,,https://www.laction.com/article/2017/10/11/dur-retour-en-classe-pour-des-eleves-de-lavaltrie,2021-09-30 13:02:05,local
Lavaltrie,accident,10,ICI.Radio-Canada.ca,Accident mortel à Joliette : le défi de sensibiliser les jeunes à la vitesse,,,https://ici.radio-canada.ca/nouvelle/1060591/accusation-jeune-conducteur-accident-adolescent-joliette-lavaltrie-securite-routiere-enquete,2021-09-30 13:02:05,local
