Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Les Îles-de-la-Madeleine,"""premier ministre""",1,Radio-Canada.ca,Des primes de 15 000 $ pour les infirmières à temps plein au Québec,2021-09-24,6,https://ici.radio-canada.ca/nouvelle/1826447/quebec-infirmieres-retour-reseau-public,2021-09-30 14:32:54,national
Les Îles-de-la-Madeleine,"""premier ministre""",2,CNW Telbec,Main-d'œuvre dans le réseau de la santé - Québec annonce une série de mesures pour améliorer les conditions d'exercice des infirmières,2021-09-23,7,https://www.newswire.ca/fr/news-releases/main-d-oeuvre-dans-le-reseau-de-la-sante-quebec-annonce-une-serie-de-mesures-pour-ameliorer-les-conditions-d-exercice-des-infirmieres-810842016.html,2021-09-30 14:32:54,national
Les Îles-de-la-Madeleine,"""premier ministre""",3,Le Soleil - Groupe Capitales Médias,"Prime jusqu'à 18 000$, pont d'or de 1 G$ pour les infirmières [VIDÉO]",2021-09-24,6,https://www.lesoleil.com/actualite/sante/prime-jusqua-18-000-pont-dor-de-1-g-pour-les-infirmieres-video-859541fa7ce7f7a4cf50e05484327e41,2021-09-30 14:32:54,national
Les Îles-de-la-Madeleine,"""premier ministre""",4,Le Reflet du Lac,Un bonus de 15 000 $ pour toutes les infirmières temps plein du réseau public du Québec,2021-09-23,7,https://www.lerefletdulac.com/2021/09/23/un-bonus-de-15-000-pour-toutes-les-infirmieres-du-reseau-public-du-quebec/,2021-09-30 14:32:54,national
Les Îles-de-la-Madeleine,"""premier ministre""",5,La Nouvelle Union,Main-d'œuvre en santé : Québec annonce des bonis pour les infirmières,2021-09-23,7,https://www.lanouvelle.net/2021/09/23/main-doeuvre-en-sante-quebec-annonce-des-bonis-pour-les-infirmieres/,2021-09-30 14:32:55,national
Les Îles-de-la-Madeleine,"""premier ministre""",6,ICI.Radio-Canada.ca,Diane Lebouthillier réélue dans Gaspésie–Les Îles-de-la-Madeleine | Élections Canada 2021,2021-09-21,9,https://ici.radio-canada.ca/nouvelle/1825729/elections-federales-resultat-vote-diane-lebouthillier-liberal-gaspesie-iles-de-la-madeleine,2021-09-30 14:32:55,national
Les Îles-de-la-Madeleine,"""premier ministre""",7,Le Journal de Montréal,Tous les détails de l'élection fédérale : «je suis prêt à poursuivre le travail» - Justin Trudeau,2021-09-20,10,https://www.journaldemontreal.com/2021/09/20/en-direct-suivez-tous-les-developpements-de-lelection-federale,2021-09-30 14:32:55,national
Les Îles-de-la-Madeleine,"""premier ministre""",8,ICI.Radio-Canada.ca,La CAQ appelée à mettre fin à l'état d'urgence sanitaire,2021-09-08,22,https://ici.radio-canada.ca/nouvelle/1822532/gouvernement-decrets-apprendre-vivre-virus-caq-legault-pq,2021-09-30 14:32:55,national
Les Îles-de-la-Madeleine,"""premier ministre""",9,Radio-Canada.ca,"Primes aux infirmières : l'argent ne réglera pas tout, préviennent des syndicats",2021-09-23,7,https://ici.radio-canada.ca/nouvelle/1826597/penurie-infirmieres-plan-quebec-syndicat-reaction-parti-quebecois,2021-09-30 14:32:55,national
Les Îles-de-la-Madeleine,"""premier ministre""",10,TVA Nouvelles,Bonne soirée pour les ministres libéraux québécois,2021-09-20,10,https://www.tvanouvelles.ca/2021/09/20/le-ministre-sortant-seamus-oregan-reelu,2021-09-30 14:32:56,national
Les Îles-de-la-Madeleine,"""premier ministre""",11,Le Devoir,"Élections fédérales 2021: un recul ne serait pas une défaite, plaident les libéraux",2021-09-21,9,https://www.ledevoir.com/politique/canada/634110/un-recul-ne-serait-pas-une-defaite-plaident-les-liberaux,2021-09-30 14:32:56,national
Les Îles-de-la-Madeleine,"""premier ministre""",12,La Presse,Une rentrée ? Plutôt une précampagne ! | La Presse,2021-09-17,13,https://www.lapresse.ca/actualites/analyse/2021-09-17/une-rentree-plutot-une-precampagne.php,2021-09-30 14:32:56,national
Les Îles-de-la-Madeleine,"""premier ministre""",13,L'Horizon,La pénurie de main-d'œuvre coûte cher dans le secteur manufacturier,2021-09-29,1,https://www.journalhorizon.com/la-penurie-de-main-doeuvre-coute-cher-dans-le-secteur-manufacturier/,2021-09-30 14:32:56,national
Les Îles-de-la-Madeleine,"""premier ministre""",14,ICI.Radio-Canada.ca,Primes pour les infirmières : l'annonce de Québec reçoit un accueil mitigé en Estrie,2021-09-24,6,https://ici.radio-canada.ca/nouvelle/1826688/estrie-infirmieres-nouvelles-mesures-annonce-legault,2021-09-30 14:32:56,national
Les Îles-de-la-Madeleine,"""premier ministre""",15,Le Journal de Québec,Debout devant l'injustice: Normandeau règle ses comptes avec Lafrenière dans son livre,2021-09-20,10,https://www.journaldequebec.com/2021/09/20/la-revanche-de-normandeau,2021-09-30 14:32:57,national
Les Îles-de-la-Madeleine,"""premier ministre""",16,Le Journal de Québec,COVID-19: le Québec compte 879 nouveaux cas et 4 décès,2021-09-10,20,https://www.journaldequebec.com/2021/09/10/covid-19-le-quebec-compte-879-nouveaux-cas-et-4-deces,2021-09-30 14:32:57,national
Les Îles-de-la-Madeleine,"""premier ministre""",17,La Presse,Joël Arseneau devient chef parlementaire du PQ,2021-09-01,29,https://www.lapresse.ca/actualites/politique/2021-09-01/joel-arseneau-devient-chef-parlementaire-du-pq.php,2021-09-30 14:32:57,national
Les Îles-de-la-Madeleine,"""premier ministre""",18,La Presse,« À la prochaine fois » | La Presse,2021-09-16,14,https://www.lapresse.ca/actualites/analyse/2021-09-16/a-la-prochaine-fois.php,2021-09-30 14:32:58,national
Les Îles-de-la-Madeleine,"""premier ministre""",19,L'Avantage Rimouski,Les Bas-Laurentiens et les Gaspésiens appelés aux urnes aujourd'hui,2021-09-20,10,https://www.lavantage.qc.ca/article/2021/09/20/les-bas-laurentiens-et-les-gaspesiens-appeles-aux-urnes-aujourd-hui,2021-09-30 14:32:58,national
Les Îles-de-la-Madeleine,"""premier ministre""",20,La Presse,Bloc québécois | Le Bloc rate sa cible | La Presse,2021-09-20,10,https://www.lapresse.ca/elections-federales/2021-09-20/bloc-quebecois/le-bloc-rate-sa-cible.php,2021-09-30 14:32:58,national
Les Îles-de-la-Madeleine,"""premier ministre""",21,Cool Fm,Québec allonge 1 milliard de dollars pour rapatrier des infirmières au public,2021-09-23,7,http://www.coolfm.biz/nouvelle/6523-quebec-allonge-1-milliard-de-dollars-pour-rapatrier-des-infirmieres-au-public,2021-09-30 14:32:58,national
Les Îles-de-la-Madeleine,"""premier ministre""",22,La Presse,"La relation du Québec avec la France est à rebâtir, estime Blanchet",2021-09-12,18,https://www.lapresse.ca/elections-federales/2021-09-12/la-relation-du-quebec-avec-la-france-est-a-rebatir-estime-blanchet.php,2021-09-30 14:32:59,national
Les Îles-de-la-Madeleine,"""premier ministre""",23,Néomédia,Québec offre 1 milliard de dollars en primes monétaires dans le réseau de la santé | Vaudreuil-Soulanges - Néomedia,2021-09-23,7,https://www.neomedia.com/vaudreuil-soulanges/actualites/societe/438060/quebec-offre-1-milliard-de-dollars-en-primes-monetaires-dans-le-reseau-de-la-sante,2021-09-30 14:32:59,national
Les Îles-de-la-Madeleine,"""premier ministre""",24,La Presse,La Presse au Nouveau-Brunswick | Les enfants du Parti acadien | La Presse,2021-09-13,17,https://www.lapresse.ca/actualites/chroniques/2021-09-13/la-presse-au-nouveau-brunswick/les-enfants-du-parti-acadien.php,2021-09-30 14:32:59,national
Les Îles-de-la-Madeleine,"""premier ministre""",25,Le Devoir,Vols régionaux: le plan du gouvernement Legault pour le transport aérien régional prend forme,2021-09-14,16,https://www.ledevoir.com/societe/transports-urbanisme/631887/vols-regionaux-le-plan-legault-prend-forme,2021-09-30 14:32:59,national
Les Îles-de-la-Madeleine,climat,1,Le Devoir,Le PQ veut un «automne climatique» au Québec,2021-09-08,22,https://www.ledevoir.com/politique/quebec/630294/le-pq-prepare-sa-rentree-parlementaire-en-caucus-a-la-malbaie,2021-09-30 14:33:34,national
