Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Longueuil,"""premier ministre""",1,Le Journal de Québec,La mairesse de Longueuil toujours l'élue municipale la mieux payée au Québec,2021-09-25,5,https://www.journaldequebec.com/2021/09/25/incapable-de-reduire-son-salaire,2021-09-30 09:52:43,national
Longueuil,"""premier ministre""",2,Le Journal de Montréal,Tous les détails de l'élection fédérale : «je suis prêt à poursuivre le travail» - Justin Trudeau,2021-09-20,10,https://www.journaldemontreal.com/2021/09/20/en-direct-suivez-tous-les-developpements-de-lelection-federale,2021-09-30 09:52:43,national
Longueuil,"""premier ministre""",3,"98,5 fm",Salaire de la mairesse de Longueuil plus élevé que celui de la mairesse de Montréal | «Ça n'a aucun bon sens» — 98.5 Montréal,2021-09-27,3,https://www.985fm.ca/nouvelles/politique/427154/salaire-de-la-mairesse-de-longueuil-plus-eleve-que-celui-de-la-mairesse-de-montreal-ca-n-a-aucun-bon-sens,2021-09-30 09:52:44,national
Longueuil,"""premier ministre""",4,Le Courrier du Sud,Trudeau de nouveau de passage à Longueuil,2021-09-16,14,https://www.lecourrierdusud.ca/trudeau-de-nouveau-de-passage-a-longueuil/,2021-09-30 09:52:44,national
Longueuil,"""premier ministre""",5,Le Devoir,"Élections fédérales 2021: un recul ne serait pas une défaite, plaident les libéraux",2021-09-21,9,https://www.ledevoir.com/politique/canada/634110/un-recul-ne-serait-pas-une-defaite-plaident-les-liberaux,2021-09-30 09:52:44,national
Longueuil,"""premier ministre""",6,Radio-Canada.ca,Brian Mulroney manifeste son appui au conservateur Erin O'Toole | Élections Canada 2021,2021-09-16,14,https://ici.radio-canada.ca/nouvelle/1824510/brian-mulroney-participe-evenement-conservateur-otoole,2021-09-30 09:52:44,national
Longueuil,"""premier ministre""",7,Le Devoir,​Élections fédérales: chaudes luttes en périphérie de Montréal,2021-09-15,15,https://www.ledevoir.com/politique/canada/632190/elections-federales-chaudes-luttes-en-peripherie-de-montreal,2021-09-30 09:52:44,national
Longueuil,"""premier ministre""",8,LanauWeb,La Société de développement du centre-ville de Joliette et ses partenaires demandent au premier ministre François Legault et à la ministre responsable de la région de Lanaudière Caroline Proulx d'intervenir. Info Lanaudière,2021-09-02,28,https://lanauweb.info/la-societe-de-developpement-du-centre-ville-de-joliette-et-ses-partenaires-demandent-au-premier-ministre-francois-legault-et-a-la-ministre-responsable-de-la-region-de-lanaudiere-caroline-proulx-d/,2021-09-30 09:52:45,national
Longueuil,"""premier ministre""",9,Radio-Canada.ca,Armes de poing : des maires du Québec exhortent les chefs à faire preuve de courage | Élections Canada 2021,2021-09-07,23,https://ici.radio-canada.ca/nouvelle/1822167/maires-chefs-armes-poing-courage-legislation,2021-09-30 09:52:45,national
Longueuil,"""premier ministre""",10,ICI.Radio-Canada.ca,"L'argent n'est pas le nœud du problème, soulignent des infirmières",2021-09-24,6,https://ici.radio-canada.ca/nouvelle/1826740/primes-penurie-infirmieres-conditions-heures-supplementaires-obligatoires,2021-09-30 09:52:45,national
Longueuil,"""premier ministre""",11,La Releve,Trois des six maires les mieux payés au Québec sont de la Rive-Sud,2021-09-27,3,https://www.lareleve.qc.ca/2021/09/27/trois-des-six-maires-les-mieux-payes-au-quebec-sont-de-la-rive-sud/,2021-09-30 09:52:45,national
Longueuil,"""premier ministre""",12,Le Devoir,Élections fédérales 2021: 15 circonscriptions à garder à l'oeil lors du dépouillement du vote lundi soir.,2021-09-20,10,https://www.ledevoir.com/politique/canada/633762/des-circonscriptions-a-garder-a-l-oeil,2021-09-30 09:52:45,national
Longueuil,"""premier ministre""",13,Le Journal de Québec,Face-à-Face 2021: les chefs accueillis par plusieurs manifestants,2021-09-02,28,https://www.journaldequebec.com/2021/09/02/un-accueil-decologistes-de-syndicats-et-de-militants-pour-les-quatre-chefs,2021-09-30 09:52:46,national
Longueuil,"""premier ministre""",14,Le Devoir,Au tour des chefs de demander aux organisateurs du débat en anglais de s'excuser au Québec,2021-09-15,15,https://www.ledevoir.com/politique/canada/632454/debat-en-anglais-trudeau-reclame-des-excuses-de-la-part-du-consortium,2021-09-30 09:52:46,national
Longueuil,"""premier ministre""",15,Le Devoir,​Élections fédérales: files d'attente et pépins techniques,2021-09-21,9,https://www.ledevoir.com/politique/canada/633867/des-files-mais-pas-trop-d-attente,2021-09-30 09:52:46,national
Longueuil,"""premier ministre""",16,La Presse,Le NPD croit avoir le vent dans les voiles au Québec,2021-09-03,27,https://www.lapresse.ca/elections-federales/2021-09-03/le-npd-croit-avoir-le-vent-dans-les-voiles-au-quebec.php,2021-09-30 09:52:46,national
Longueuil,"""premier ministre""",17,L'Action,Aucune aide financière prévue pour le centre-ville,2021-09-05,25,https://www.laction.com/article/2021/09/05/aucune-aide-financiere-prevue-pour-le-centre-ville,2021-09-30 09:52:46,national
Longueuil,"""premier ministre""",18,Le Courrier du Sud,Le Bloc Québécois s'engage à protéger la gestion de l'offre en agriculture,2021-09-03,27,https://www.lecourrierdusud.ca/le-bloc-quebecois-sengage-a-proteger-la-gestion-de-loffre-en-agriculture/,2021-09-30 09:52:47,national
Longueuil,"""premier ministre""",19,Le Courrier du Sud,Justin Trudeau de passage à Longueuil pour promettre des mesures d'aide aux entreprises,2021-08-16,45,https://www.lecourrierdusud.ca/Justin-Trudeau-de-passage-a-Longueuil-pour-promettre-des-mesures-daide-aux-entreprises/,2021-09-30 09:52:47,national
Longueuil,"""premier ministre""",20,Radio-Canada.ca,Québec repousse le couvre-feu à 21 h 30 en zone rouge | Coronavirus,2021-03-19,195,https://ici.radio-canada.ca/nouvelle/1777583/assouplissements-mesures-sanitaires-gouvernement-legault-covid-19,2021-09-30 09:52:47,national
Longueuil,"""premier ministre""",21,Fm1033.ca,Le premier ministre Legault déconfine la Montérégie et le Québec,2021-05-18,135,https://www.fm1033.ca/premier-ministre-fancois-legault-deconfinement-monteregie-quebec/,2021-09-30 09:52:47,national
Longueuil,"""premier ministre""",22,Radio-Canada.ca,Québec met à l'essai une nouvelle approche policière à Longueuil,2021-06-15,107,https://ici.radio-canada.ca/nouvelle/1801331/nouveau-modele-policier-quebec-annonce-investissements-guilbault,2021-09-30 09:52:48,national
Longueuil,"""premier ministre""",23,La Presse,"Prolongement du REM sur la Rive-Sud | La Caisse « très intéressée », dit Legault",2021-02-18,224,https://www.lapresse.ca/actualites/politique/2021-02-18/prolongement-du-rem-sur-la-rive-sud/la-caisse-tres-interessee-dit-legault.php,2021-09-30 09:52:48,national
Longueuil,"""premier ministre""",24,Premier ministre du Canada,Création de 4 500 logements pour les Canadiens | Premier ministre du Canada,2021-06-30,92,https://pm.gc.ca/fr/nouvelles/communiques/2021/06/30/creation-de-4-500-logements-les-canadiens,2021-09-30 09:52:48,national
Longueuil,"""premier ministre""",25,Le Devoir,​Élections municipales: lutte à quatre à la mairie de Longueuil,2021-07-23,69,https://www.ledevoir.com/politique/620157/elections-municipales-lutte-a-quatre-a-longueuil,2021-09-30 09:52:48,national
Longueuil,climat,1,Le Courrier du Sud,La Coalition Longueuil présente son plan de verdissement,2021-09-29,1,https://www.lecourrierdusud.ca/la-coalition-longueuil-presente-son-plan-de-verdissement/,2021-09-30 09:53:26,national
Longueuil,climat,2,Le Journal de Québec,Des élus qui en ont ras le bol d'être menacés et intimidés,2021-09-26,4,https://www.journaldequebec.com/2021/09/26/des-elus-qui-en-ont-ras-le-bol-detre-menaces-et-intimides,2021-09-30 09:53:27,national
Longueuil,climat,3,Le Courrier du Sud,Josée Latendresse présente ses cinq ambitions pour Longueuil,2021-09-22,8,https://www.lecourrierdusud.ca/josee-latendresse-presente-ses-cinq-ambitions-pour-longueuil/,2021-09-30 09:53:27,national
Longueuil,climat,4,La Presse,Protection des milieux naturels | « Le droit de propriété n'est pas absolu »,2021-09-30,0,https://www.lapresse.ca/actualites/environnement/2021-09-30/protection-des-milieux-naturels/le-droit-de-propriete-n-est-pas-absolu.php,2021-09-30 09:53:27,national
Longueuil,climat,5,Le Journal de Québec,La mairesse de Longueuil toujours l'élue municipale la mieux payée au Québec,2021-09-25,5,https://www.journaldequebec.com/2021/09/25/incapable-de-reduire-son-salaire,2021-09-30 09:53:27,national
Longueuil,climat,6,Le Devoir,Le prolongement d'une rue de Longueuil aura «des impacts» pour la rainette faux-grillon,2021-09-03,27,https://www.ledevoir.com/societe/environnement/629472/le-prolongement-d-une-rue-longueuil-aura-des-impacts-pour-la-rainette-faux-grillon,2021-09-30 09:53:28,national
Longueuil,climat,7,Fm1033.ca,"Aéroport Saint-Hubert, une volonté de maintenir une communication",2021-09-30,0,https://www.fm1033.ca/aeroport-saint-hubert-une-volonte-de-maintenir-une-communication/,2021-09-30 09:53:28,national
Longueuil,climat,8,Le Courrier du Sud,La victoire de Denis Trudel dans Longueuil–Saint-Hubert est confirmée,2021-09-23,7,https://www.lecourrierdusud.ca/La-victoire-de-Denis-Trudel-dans-Longueuil-Saint-Hubert-est-confirmee/,2021-09-30 09:53:28,national
Longueuil,climat,9,Le Courrier du Sud,"Opinions - Du courage politique à la hauteur de l'urgence climatique, pour nos enfants",2021-09-18,12,https://www.lecourrierdusud.ca/opinion-du-courage-politique-a-la-hauteur-de-l-urgence-climatique/,2021-09-30 09:53:28,national
Longueuil,climat,10,Le Devoir,Québec autorise une route dans l'habitat d'une espèce menacée,2021-09-01,29,https://www.ledevoir.com/societe/environnement/628902/environnement-quebec-autorise-une-route-dans-l-habitat-d-une-espece-menacee,2021-09-30 09:53:28,national
Longueuil,climat,11,La Presse,Protection des espèces en péril | Ottawa pourrait à nouveau intervenir au Québec,2021-09-09,21,https://www.lapresse.ca/actualites/environnement/2021-09-09/protection-des-especes-en-peril/ottawa-pourrait-a-nouveau-intervenir-au-quebec.php,2021-09-30 09:53:28,national
Longueuil,climat,12,Le Courrier du Sud,Longueuil Citoyen veut que la Ville reprenne le contrôle de la zone aéroportuaire,2021-09-22,8,https://www.lecourrierdusud.ca/longueuil-citoyen-veut-que-la-ville-reprenne-controle-zone-aeroportuaire/,2021-09-30 09:53:29,national
Longueuil,climat,13,Le Devoir,Élections fédérales 2021: 15 circonscriptions à garder à l'oeil lors du dépouillement du vote lundi soir.,2021-09-20,10,https://www.ledevoir.com/politique/canada/633762/des-circonscriptions-a-garder-a-l-oeil,2021-09-30 09:53:29,national
Longueuil,climat,14,Fm1033.ca,La mairesse de Longueuil fait un bilan de son administration,2021-09-15,15,https://www.fm1033.ca/la-mairesse-de-longueuil-fait-un-bilan-de-son-administration/,2021-09-30 09:53:29,national
Longueuil,climat,15,Le Courrier du Sud,Une pétition demande que cesse la destruction des milieux humides à Longueuil,2021-09-17,13,https://www.lecourrierdusud.ca/une-petition-demande-que-cesse-la-destruction-des-milieux-humides/,2021-09-30 09:53:29,national
Longueuil,climat,16,TVA Nouvelles,Attaque à la hache sur des pancartes électorales,2021-09-24,6,https://www.tvanouvelles.ca/2021/09/24/attaque-a-la-hache-sur-des-pancartes-electorales-1,2021-09-30 09:53:30,national
Longueuil,climat,17,Le Courrier du Sud,Coalition Longueuil veut créer les «conditions gagnantes» pour le transport collectif et actif,2021-09-17,13,https://www.lecourrierdusud.ca/coalition-longueuil-conditions-gagnantes-pour-transport-collectif/,2021-09-30 09:53:30,national
Longueuil,climat,18,Le Courrier du Sud,Denis Trudel s'engage à faire plus pour le logement et l'environnement,2021-09-07,23,https://www.lecourrierdusud.ca/denis-trudel-s-engage-a-faire-plus-pour-logement-et-environnement/,2021-09-30 09:53:30,national
Longueuil,climat,19,Le Courrier du Sud,La candidate libérale Florence Gagnon dévoile sa plateforme,2021-09-11,19,https://www.lecourrierdusud.ca/florence-gagnon-devoile-sa-plateforme-electorale/,2021-09-30 09:53:31,national
Longueuil,climat,20,Le Courrier du Sud,"« Il faut que le gouvernement en fasse plus pour l'environnement », soutient Simon King",2021-09-10,20,https://www.lecourrierdusud.ca/il-faut-que-le-gouvernement-en-fasse-plus-pour-lenvironnement-soutient-simon-king/,2021-09-30 09:53:31,national
Longueuil,climat,21,TVA Nouvelles,"Un accueil d'écologistes, de syndicats et de militants pour les quatre chefs",2021-09-02,28,https://www.tvanouvelles.ca/2021/09/02/un-accueil-decologistes-de-syndicats-et-de-militants-pour-les-quatre-chefs-1,2021-09-30 09:53:31,national
Longueuil,climat,22,Le Courrier du Sud,Action originale pour le climat prévue à Longueuil,2020-11-19,315,https://www.lecourrierdusud.ca/action-originale-pour-le-climat-prevue-a-longueuil/,2021-09-30 09:53:31,national
Longueuil,climat,23,La Releve,Un minibus électrique pour se déplacer gratuitement dans Boucherville,2021-09-06,24,https://www.lareleve.qc.ca/2021/09/06/un-minibus-electrique-pour-se-deplacer-gratuitement-dans-boucherville/,2021-09-30 09:53:32,national
Longueuil,climat,24,Le Journal de Québec,Terrebonne: Les conventions collectives au cœur de la campagne électorale municipale,2021-09-01,29,https://www.journaldequebec.com/2021/09/01/terrebonne--les-conventions-collectives-au-cur-de-la-campagne-electorale-municipale-1,2021-09-30 09:53:32,national
Longueuil,climat,25,Le Courrier du Sud,Boulevard Béliveau et rainette faux-grillon : le fédéral pourrait s'en mêler,2021-09-10,20,https://www.lecourrierdusud.ca/boulevard-beliveau-et-rainette-le-federal-pourrait-s-en-meler/,2021-09-30 09:53:32,national
Longueuil,immigration,1,Fm1033.ca,"L'immigration adaptée au Québec, propose un conservateur",2021-09-15,15,https://www.fm1033.ca/elections-federales-limmigration-adaptee-au-quebec-propose-un-conservateur/,2021-09-30 09:53:42,national
Longueuil,immigration,2,Le Journal de Montréal,Une candidate de Longueuil Ensemble radiée du Barreau à trois reprises,2021-09-17,13,https://www.journaldemontreal.com/2021/09/17/une-candidate-de-longueuil-ensemble-radiee-du-barreau-a-trois-reprises-1-1,2021-09-30 09:53:42,national
Longueuil,immigration,3,Fm1033.ca,Plus de 364 000 $ investis pour l'intégration des immigrants en Montérégie,2021-09-01,29,https://www.fm1033.ca/plus-de-364-000-investis-pour-lintegration-des-immigrants-en-monteregie/,2021-09-30 09:53:42,national
Longueuil,immigration,4,Journal Métro,Soledad Orihuela-Bouchard: environnement et immigration,2021-09-14,16,https://journalmetro.com/local/sud-ouest/2693456/soledad-orihuela-bouchard-environnement-et-immigration/,2021-09-30 09:53:42,national
Longueuil,immigration,5,Le Courrier du Sud,Des engagements pro-famille de Coalition Longueuil,2021-09-23,7,https://www.lecourrierdusud.ca/des-engagements-pro-famille-de-coalition-longueuil/,2021-09-30 09:53:43,national
Longueuil,immigration,6,Radio-Canada.ca,Le choc des générations dans Longueuil–Saint-Hubert | Élections Canada 2021,2021-09-08,22,https://ici.radio-canada.ca/nouvelle/1822314/circonscription-denis-trudel-florence-gagnon,2021-09-30 09:53:43,national
Longueuil,immigration,7,Droit-Inc.com,Une candidate a déjà été radiée du Barreau,2021-09-20,10,https://www.droit-inc.com/article29410-Une-candidate-a-deja-ete-radiee-du-Barreau,2021-09-30 09:53:43,national
Longueuil,immigration,8,La Voix de l'est - Groupe Capitales Médias,De l'aide juridique gratuite pour les victimes de violence sexuelle ou conjugale,2021-09-27,3,https://www.lavoixdelest.ca/actualites/de-laide-juridique-gratuite-pour-les-victimes-de-violence-sexuelle-ou-conjugale-3d6c45376ce73bff3330e08da96c0e99,2021-09-30 09:53:43,national
Longueuil,immigration,9,La Presse,Un café avec… Fady Dagher | Le chef qui voulait réinventer la police,2021-09-05,25,https://www.lapresse.ca/contexte/2021-09-05/un-cafe-avec-fady-dagher/le-chef-qui-voulait-reinventer-la-police.php,2021-09-30 09:53:44,national
Longueuil,immigration,10,Le Courrier du Sud,Catherine Fournier veut être une mairesse partenaire des écoles,2021-09-06,24,https://www.lecourrierdusud.ca/catherine-fournier-veut-etre-une-mairesse-partenaire-des-ecoles/,2021-09-30 09:53:44,national
Longueuil,immigration,11,Le Soleil - Groupe Capitales Médias,Le contrat d'O'Toole aux Québécois pas livré,2021-09-03,27,https://www.lesoleil.com/actualite/les-elections-federales/le-contrat-dotoole-aux-quebecois-pas-livre-53f9156f92a6bd914e204e1b66b1c34b,2021-09-30 09:53:44,national
Longueuil,immigration,12,Le Journal de Chambly,Stéphane Robichaud : candidat conservateur dans Beloeil-Chambly - Le journal de Chambly,2021-09-01,29,https://www.journaldechambly.com/stephane-robichaud-candidat-conservateur-dans-beloeil-chambly/,2021-09-30 09:53:44,national
Longueuil,immigration,13,Le Courrier du Sud,"VIDÉOS: Environnement, logements et lutte à la COVID au coeur des priorités libérales",2021-09-07,23,https://www.lecourrierdusud.ca/environnement-logements-lutte-covid-au-coeur-priorites-liberales/,2021-09-30 09:53:45,national
Longueuil,immigration,14,Le Courrier du Sud,Économie et main-d'œuvre au cœur des préoccupations des conservateurs de la région,2021-09-15,15,https://www.lecourrierdusud.ca/Economie-et-main-doeuvre-au-coeur-des-preoccupations-des-conservateurs-de-la-region/,2021-09-30 09:53:45,national
Longueuil,immigration,15,Le Journal de Québec,Assemblée de cuisine virtuelle: Plaidoyer pro-immigration de Régis Labeaume,2021-05-27,126,https://www.journaldequebec.com/2021/05/27/assemblee-de-cuisine-virtuelle-plaidoyer-pro-immigration-de-regis-labeaume,2021-09-30 09:53:45,national
Longueuil,immigration,16,ICI.Radio-Canada.ca,"Les immigrants qui gagnent moins de 56 000 $ « empirent mon problème », dit Legault",2021-05-07,146,https://ici.radio-canada.ca/nouvelle/1789768/immigrants-legault-probleme-salaire-penurie-quebec,2021-09-30 09:53:45,national
Longueuil,immigration,17,La Presse,Legault et l'immigration africaine de Stelpro,2021-05-08,145,https://www.lapresse.ca/affaires/economie/2021-05-08/legault-et-l-immigration-africaine-de-stelpro.php,2021-09-30 09:53:46,national
Longueuil,immigration,18,L’actualité,Immigration : le juste milieu entre « trop » et « pas assez »,2021-03-31,183,https://lactualite.com/lactualite-affaires/immigration-le-juste-milieu-entre-trop-et-pas-assez/,2021-09-30 09:53:46,national
Longueuil,immigration,19,Radio-Canada.ca,Réseau de passeurs en Inde : l'opposition demande à Ottawa d'agir,2021-02-12,230,https://ici.radio-canada.ca/nouvelle/1770334/inde-immigration-canada-trudeau-enquete-reactions-plc-npd-qs,2021-09-30 09:53:46,national
Longueuil,immigration,20,Le Courrier du Sud,Agglomération de Longueuil: une personne sur cinq est issue de l'immigration,,,https://www.lecourrierdusud.ca/agglomeration-de-longueuil-une-personne-sur-cinq-est-un-immigrant/,2021-09-30 09:53:46,national
Longueuil,immigration,21,ICI.Radio-Canada.ca,"Recrutement intense, cours en anglais : le lucratif marché des étudiants indiens au Québec",2020-11-17,317,https://ici.radio-canada.ca/nouvelle/1749970/immigration-quebec-inde-matrix-canada-soupcons-etudes,2021-09-30 09:53:47,national
Longueuil,immigration,22,Le Devoir,Le Canada a évacué 807 Afghans et 34 diplomates et militaires,2021-08-16,45,https://www.ledevoir.com/societe/625287/le-canada-a-evacue-34-diplomates-et-807-afghans,2021-09-30 09:53:47,national
Longueuil,immigration,23,La Presse,Forum du Conseil du patronat | Près de 60 % des travailleurs ne gagnent pas 28 $ l'heure et plus,2021-05-06,147,https://www.lapresse.ca/affaires/economie/2021-05-06/forum-du-conseil-du-patronat/pres-de-60-des-travailleurs-ne-gagnent-pas-28-l-heure-et-plus.php,2021-09-30 09:53:47,national
Longueuil,immigration,24,LeLézard.com,Québec investit 364?269 $ pour mieux intégrer les personnes immigrantes en Montérégie,2021-08-31,30,https://www.lelezard.com/communique-19975244.html,2021-09-30 09:53:47,national
Longueuil,immigration,25,Le Soleil - Groupe Capitales Médias,La hausse des rejets pour «motifs humanitaires» à l'immigration serait due au virus,2021-07-14,78,https://www.lesoleil.com/actualite/la-hausse-des-rejets-pour-motifs-humanitaires-a-limmigration-serait-due-au-virus-f6f227523976695d73363ecc27298af7,2021-09-30 09:53:47,national
Longueuil,racisme,1,Le Journal de Montréal,Insultes racistes dans l'autobus à Brossard: «J'ai eu vraiment peur.»,2021-08-14,47,https://www.journaldemontreal.com/2021/08/14/insultes-racistes-dans-lautobus-a-brossard-jai-eu-vraiment-peur,2021-09-30 09:53:56,national
Longueuil,racisme,2,Le Devoir,Élections fédérales 2021: 15 circonscriptions à garder à l'oeil lors du dépouillement du vote lundi soir.,2021-09-20,10,https://www.ledevoir.com/politique/canada/633762/des-circonscriptions-a-garder-a-l-oeil,2021-09-30 09:53:56,national
Longueuil,racisme,3,La Presse,Marche contre le racisme anti-asiatique | « Un climat de peur et de stress qui est réel »,2021-03-21,193,https://www.lapresse.ca/actualites/grand-montreal/2021-03-21/marche-contre-le-racisme-anti-asiatique/un-climat-de-peur-et-de-stress-qui-est-reel.php,2021-09-30 09:53:56,national
Longueuil,racisme,4,ICI.Radio-Canada.ca,Racisme et coronavirus : la police de Longueuil sert un avertissement dans les écoles,,,https://ici.radio-canada.ca/nouvelle/1505839/racisme-coronavirus-police-longueuil-lettre,2021-09-30 09:53:57,national
Longueuil,racisme,5,ICI.Radio-Canada.ca,Deux policiers et la Ville de Longueuil condamnés pour profilage racial,2020-11-27,307,https://ici.radio-canada.ca/nouvelle/1752972/longueuil-police-tribunal-condamnation-droits-racisme-debellefeuille,2021-09-30 09:53:57,national
Longueuil,racisme,6,Le Devoir,Québec désignera un ministre responsable de la Lutte contre le racisme,2020-12-15,289,https://www.ledevoir.com/politique/quebec/591688/rapport-du-groupe-d-action-contre-le-racisme,2021-09-30 09:53:57,national
Longueuil,racisme,7,La Presse,Les entrepreneurs noirs freinés par le racisme systémique,2021-05-29,124,https://www.lapresse.ca/affaires/2021-05-29/les-entrepreneurs-noirs-freines-par-le-racisme-systemique.php,2021-09-30 09:53:57,national
Longueuil,racisme,8,Le Journal de Montréal,Une victime de profilage racial recevra 12 000 $ | JDM,2020-11-20,314,https://www.journaldemontreal.com/2020/11/20/profilage-racial-un-homme-noir-remporte-sa-cause-apres-huit-ans-a-longueuil-1,2021-09-30 09:53:57,national
Longueuil,racisme,9,Le Devoir,Au tour des chefs de demander aux organisateurs du débat en anglais de s'excuser au Québec,2021-09-15,15,https://www.ledevoir.com/politique/canada/632454/debat-en-anglais-trudeau-reclame-des-excuses-de-la-part-du-consortium,2021-09-30 09:53:58,national
Longueuil,racisme,10,Le Journal de Montréal,J'ai une peau noire et je rejette le concept de racisme systémique,2021-02-25,217,https://www.journaldemontreal.com/2021/02/25/jai-une-peau-noire-et-je-rejette-le-concept-de-racisme-systemique,2021-09-30 09:53:58,national
Longueuil,racisme,11,Le Devoir,"Un racisme plus violent depuis le début de la pandémie, selon la communauté asiatique du Québec",2021-02-08,234,https://www.ledevoir.com/societe/591063/quebec-un-racisme-plus-violent-depuis-le-debut-de-la-pandemie-selon-la-communaute-asiatique-du-quebec,2021-09-30 09:53:58,national
Longueuil,racisme,12,Le Journal de Québec,Racisme: des syndicats de policiers dénoncent les propos de Legault,2020-12-15,289,https://www.journaldequebec.com/2020/12/15/racisme-des-syndicats-de-policiers-denoncent-les-propos-de-legault,2021-09-30 09:53:58,national
Longueuil,racisme,13,CNW Telbec,"Pour une police de concertation - Le gouvernement du Québec octroie 3,6 M$ au Service de police de l'agglomération de Longueuil",2021-06-14,108,https://www.newswire.ca/fr/news-releases/pour-une-police-de-concertation-le-gouvernement-du-quebec-octroie-3-6-m-au-service-de-police-de-l-agglomeration-de-longueuil-846363747.html,2021-09-30 09:53:59,national
Longueuil,racisme,14,TVA Nouvelles,Insultes racistes à une femme asiatique: La police épingle le suspect,2021-04-08,175,https://www.tvanouvelles.ca/2021/04/08/insultes-racistes-a-une-femme-asiatique-la-police-epingle-le-suspect-1,2021-09-30 09:53:59,national
Longueuil,racisme,15,Le Journal de Montréal,Quelque chose de systémique,2021-08-08,53,https://www.journaldemontreal.com/2021/08/08/quelque-chose-de-systemique,2021-09-30 09:53:59,national
Longueuil,racisme,16,ICI.Radio-Canada.ca,Le racisme de la République dominicaine envers Haïti exploré dans un documentaire,2021-08-20,41,https://ici.radio-canada.ca/nouvelle/1817906/apatrides-racisme-dominicaine-haiti-exploration-michele-stephenson,2021-09-30 09:53:59,national
Longueuil,racisme,17,La Presse,Mort d'une femme autochtone à Joliette | Une infirmière qui a tenu des propos racistes congédiée,,,https://www.lapresse.ca/actualites/sante/2020-09-29/mort-d-une-femme-autochtone-a-joliette/une-infirmiere-qui-a-tenu-des-propos-racistes-congediee.php,2021-09-30 09:54:00,national
Longueuil,racisme,18,Radio-Canada.ca,Québec solidaire veut ramener à l'ordre son collectif antiraciste,2021-05-01,152,https://ici.radio-canada.ca/nouvelle/1789403/quebec-solidaire-collectif-antiraciste-motion,2021-09-30 09:54:00,national
Longueuil,racisme,19,La Presse,Montréal créera un poste de commissaire de lutte au racisme,,,https://www.lapresse.ca/actualites/grand-montreal/2020-06-15/montreal-creera-un-poste-de-commissaire-de-lutte-au-racisme,2021-09-30 09:54:00,national
Longueuil,racisme,20,ICI.Radio-Canada.ca,"Enid Blyton, autrice du Club des cinq , épinglée pour son « racisme »",2021-06-19,103,https://ici.radio-canada.ca/nouvelle/1802844/enid-blyton-autrice-britannique-jeunesse-club-des-cinq-racisme,2021-09-30 09:54:01,national
Longueuil,racisme,21,La Presse,Manifestation monstre contre le racisme à Montréal,,,https://www.lapresse.ca/actualites/grand-montreal/2020-06-07/manifestation-monstre-contre-le-racisme-a-montreal,2021-09-30 09:54:01,national
