Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lévis,élection OR campagne,1,Le Soleil - Groupe Capitales Médias,"Lévis Force 10 lance sa campagne, Lehouillier vante son bilan",2021-09-23,7,https://www.lesoleil.com/actualite/la-capitale/levis-force-10-lance-sa-campagne-lehouillier-vante-son-bilan-29eedc5e8d343d86d34f7b280d5d51aa,2021-09-30 13:50:18,mixte
Lévis,élection OR campagne,2,Le Journal de Québec,Fédérales 2021: autre victoire facile pour Jacques Gourde dans Lévis—Lotbinière,2021-09-20,10,https://www.journaldequebec.com/2021/09/20/federales-2021-autre-victoire-facile-pour-jacques-gourde-dans-levislotbiniere,2021-09-30 13:50:18,mixte
Lévis,élection OR campagne,3,ICI.Radio-Canada.ca,Mairie de Lévis : Gilles Lehouillier ne tient rien pour acquis | Élections municipales au Québec 2021,2021-09-23,7,https://ici.radio-canada.ca/nouvelle/1826522/lancement-campagne-electorale-equipe-gilles-lehouillier-ville-levis-maire-sortant-transparence,2021-09-30 13:50:18,mixte
Lévis,élection OR campagne,4,ICI.Radio-Canada.ca,Élections fédérales : rien ne bouge dans la région de Québec | Élections Canada 2021,2021-09-21,9,https://ici.radio-canada.ca/nouvelle/1825771/resultats-elections-federales-region-quebec-levis-2021,2021-09-30 13:50:18,mixte
Lévis,élection OR campagne,5,Le Journal de Québec,Bellechasse-Les Etchemins-Lévis toujours aux Conservateurs,2021-09-21,9,https://www.journaldequebec.com/2021/09/20/federales-2021-bellechasse-les-etchemins-levis-toujours-aux-conservateurs,2021-09-30 13:50:19,mixte
Lévis,élection OR campagne,6,Le journal de Lévis,LF10 veut créer des grappes récréatives,2021-09-30,0,https://www.journaldelevis.com/1067/Politique_.html?id=91707,2021-09-30 13:50:19,mixte
Lévis,élection OR campagne,7,Le journal de Lévis,La campagne électorale municipale est lancée,2021-09-20,10,https://www.journaldelevis.com/1067/Politique_.html?id=81611,2021-09-30 13:50:19,mixte
Lévis,élection OR campagne,8,Radio-Canada.ca,Élections fédérales : le projet de troisième lien en péril? | 3e lien,2021-09-22,8,https://ici.radio-canada.ca/nouvelle/1825867/elections-federales-3e-lien-tunnel-quebec-levis-financement,2021-09-30 13:50:19,mixte
Lévis,élection OR campagne,9,Le Journal de Québec,Une campagne sans saveur à Québec,2021-09-15,15,https://www.journaldequebec.com/2021/09/15/une-campagne-sans-saveur-a-quebec,2021-09-30 13:50:19,mixte
Lévis,élection OR campagne,10,Le Devoir,"La ville de Québec, baromètre de la campagne électorale fédérale",2021-09-04,26,https://www.ledevoir.com/politique/canada/629727/elections-federales-quebec-barometre-de-la-campagne-electorale-federale,2021-09-30 13:50:20,mixte
Lévis,élection OR campagne,11,Le journal de Lévis,Cinq ans de démarches pour tendre la main à son prochain,2021-09-30,0,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=91703,2021-09-30 13:50:20,mixte
Lévis,élection OR campagne,12,Le journal de Lévis,Le journal de Levis &gt; Accueil &gt; Politique &gt; Élections municipales 2021,2021-09-20,10,https://www.journaldelevis.com/1338/%C3%89lections_municipales_2021.html,2021-09-30 13:50:20,mixte
