Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Mansfield,accident,1,ICI.Radio-Canada.ca,Le DG de l'Île-du-grand-Calumet meurt dans un accident : la communauté sous le choc,,,https://ici.radio-canada.ca/nouvelle/1735170/accident-mortel-mansfield-et-pontefract,2021-09-30 08:14:21,local
Mansfield,accident,2,La Presse,Montréal | Une femme dans un état critique après avoir été heurtée par un autobus,2021-01-22,251,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-01-22/montreal/une-femme-dans-un-etat-critique-apres-avoir-ete-heurtee-par-un-autobus.php,2021-09-30 08:14:21,local
Mansfield,accident,3,Le Journal de Montréal,En quête de réponses sur la mort de leur fille,2021-04-21,162,https://www.journaldemontreal.com/2021/04/21/en-quete-de-reponses-sur-la-mort-de-leur-fille,2021-09-30 08:14:21,local
Mansfield,accident,4,Le Droit - Groupe Capitales Médias,Écrasement d'un petit avion près de la MRC de Pontiac,2021-07-24,68,https://www.ledroit.com/actualites/justice-et-faits-divers/ecrasement-dun-petit-avion-pres-de-la-mrc-de-pontiac-fc8b9612bccaef619c1b763dc72884f3,2021-09-30 08:14:21,local
Mansfield,accident,5,TVA Nouvelles,Un petit avion s'écrase dans un secteur boisé en Outaouais,2021-07-24,68,https://www.tvanouvelles.ca/2021/07/24/un-petit-avion-secrase-dans-un-secteur-boise-en-outaouais,2021-09-30 08:14:22,local
Mansfield,accident,6,Le Droit - Groupe Capitales Médias,Un directeur municipal meurt dans un accident de moto,,,https://www.ledroit.com/actualites/justice-et-faits-divers/un-directeur-municipal-meurt-dans-un-accident-de-moto-15f993ea96259bf71e1f7e6f508d3b9d,2021-09-30 08:14:22,local
Mansfield,accident,7,ICI.Radio-Canada.ca,La star américaine Jayne Mansfield à Montréal,,,https://ici.radio-canada.ca/nouvelle/1042342/jayne-mansfield-mort-1967-publicite-archives,2021-09-30 08:14:22,local
Mansfield,accident,8,Vanity Fair France,"Jayne Mansfield, l'actrice qui se rêvait en Marilyn Monroe",2021-04-19,164,https://www.vanityfair.fr/culture/people/story/le-destin-tragique-de-jayne-mansfield-elle-qui-se-revait-en-marilyn-monroe/13796,2021-09-30 08:14:22,local
Mansfield,accident,9,RTS.ch,"De James Dean à Lady Di, enquête sur les crashs de dix icônes",2021-03-10,204,https://www.rts.ch/info/culture/livres/12028925-de-james-dean-a-lady-di-enquete-sur-les-crashs-de-dix-icones.html,2021-09-30 08:14:22,local
Mansfield,accident,10,Le Journal de Montréal,La motomarine fait encore des victimes au Québec,,,https://www.journaldemontreal.com/2020/08/09/la-motomarine-fait-encore-des-victimes-au-quebec,2021-09-30 08:14:23,local
