Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Ormstown,accident,1,La Presse,Ormstown | Une collision entre une voiture et une moto fait un blessé grave,2021-09-16,14,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-16/ormstown/une-collision-entre-une-voiture-et-une-moto-fait-un-blesse-grave.php,2021-09-30 08:48:58,local
Ormstown,accident,2,Le Soleil de Châteauguay,Programme de répit: une bouée de sauvetage pour les proches aidants,2021-09-28,2,https://www.cybersoleil.com/une-bouee-de-sauvetage-pour-proches-aidants/,2021-09-30 08:48:58,local
Ormstown,accident,3,Le Journal de Montréal,Accidents de moto en série au Québec,2021-04-11,172,https://www.journaldemontreal.com/2021/04/10/saint-esprit-autre-accident-de-moto,2021-09-30 08:48:58,local
Ormstown,accident,4,LaPresse.ca,Accident mortel à Ormstown: les parents en colère contre le MTQ,,,https://www.lapresse.ca/actualites/regional/201505/27/01-4873177-accident-mortel-a-ormstown-les-parents-en-colere-contre-le-mtq.php,2021-09-30 08:48:58,local
Ormstown,accident,5,Journal de Montréal,Une femme et son enfant blessés gravement dans un accident à Ormstown,,,https://www.journaldemontreal.com/2013/11/29/accident-grave-a-ormstown,2021-09-30 08:48:59,local
Ormstown,accident,6,Le Droit - Groupe Capitales Médias,Accident mortel à Saint-Gédéon: l'identité des victimes dévoilée,2021-08-17,44,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/accident-mortel-a-saint-gedeon-lidentite-des-victimes-devoilee-ec7a713581ab519ab356c2366a046131,2021-09-30 08:48:59,local
Ormstown,accident,7,Le Journal de Montréal,"Les routes dangereuses du Québec : des victoires, mais à quel prix?",2020-10-17,348,https://www.journaldemontreal.com/2020/10/17/des-victoires-mais-a-quel-prix,2021-09-30 08:48:59,local
Ormstown,accident,8,Le Journal de Montréal,Trois accidents dans la cour de sa garderie en deux mois,2020-10-18,347,https://www.journaldemontreal.com/2020/10/18/trois-accidents-dans-la-cour-de-sa-garderie-en-deux-mois,2021-09-30 08:48:59,local
Ormstown,accident,9,Le Journal Saint-François,Capté à 153 km/h sur la route 138 à Ormstown,2021-07-08,84,https://www.journalsaint-francois.ca/Capte-a-153-km-h-sur-la-route-138-a-Ormstown/,2021-09-30 08:49:00,local
Ormstown,accident,10,Le Journal Saint-François,COVID-19: un site de vaccination à Ormstown à compter du 19 mars,2021-02-25,217,https://www.journalsaint-francois.ca/covid-19-un-site-de-vaccination-a-ormstown-a-compter-du-19-mars/,2021-09-30 08:49:00,local
Ormstown,accident,11,La Presse,Deux morts dans une collision à Val-d'Or,2020-10-24,341,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-10-24/deux-morts-dans-une-collision-a-val-d-or.php,2021-09-30 08:49:00,local
Ormstown,accident,12,Le Journal Saint-François,L'Exposition d'Ormstown n'aura finalement pas lieu,2021-08-09,52,https://www.journalsaint-francois.ca/LExposition-dOrmstown-naura-finalement-pas-lieu/,2021-09-30 08:49:00,local
Ormstown,accident,13,Le Reflet,Le conducteur impliqué dans l'accident mortel de la route 138 témoigne,,,https://www.lereflet.qc.ca/le-conducteur-implique-dans-laccident-mortel-de-la-route-138-temoigne/,2021-09-30 08:49:00,local
Ormstown,accident,14,Le Journal Saint-François,Trois personnes incommodées par un incendie à Saint-Louis-de-Gonzague,2021-08-16,45,https://www.journalsaint-francois.ca/Trois-personnes-incommodees-par-un-incendie-a-Saint-Louis-de-Gonzague/,2021-09-30 08:49:01,local
Ormstown,accident,15,TVA Nouvelles,Fin de semaine tragique pour les motocyclistes au Québec,,,https://www.tvanouvelles.ca/2018/07/15/24-heures-tragiques-pour-les-motocyclistes-au-quebec,2021-09-30 08:49:01,local
Ormstown,accident,16,La Voix de l'est - Groupe Capitales Médias,Un planeur s'écrase dans un boisé à Saint-Raymond,2021-08-14,47,https://www.lavoixdelest.ca/actualites/le-fil-groupe-capitales-medias/un-planeur-secrase-dans-un-boise-a-saint-raymond-2c4ac72c5c943ac900cb3fb5d75da400,2021-09-30 08:49:01,local
Ormstown,accident,17,La Presse,Accident en Montérégie: une femme de 18 ans lutte pour sa vie,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/2019-12-20/accident-en-monteregie-une-femme-de-18-ans-lutte-pour-sa-vie,2021-09-30 08:49:01,local
Ormstown,accident,18,iHeartRadio,Deux septuagénaires retrouvés sans vie dans une maison d'Ormstown,,,https://www.iheartradio.ca/boom/boom-1041/nouvelles/deux-septuagenaires-retrouves-sans-vie-dans-une-maison-d-ormstown-1.12673594,2021-09-30 08:49:01,local
Ormstown,accident,19,Le Journal Saint-François,L'arrestation d'un fuyard permet de faire avancer deux enquêtes,2021-05-06,147,https://www.journalsaint-francois.ca/larrestation-dun-fuyard-permet-delucider-de-faire-avancer-deux-enquetes/,2021-09-30 08:49:02,local
Ormstown,accident,20,Le Journal de Montréal,Un homme arrêté lors d'un incendie suspect à Saint-Hyacinthe,2021-05-08,145,https://www.journaldemontreal.com/2021/05/08/un-homme-arrete-lors-dun-incendie-suspect-a-saint-hyacinthe,2021-09-30 08:49:02,local
Ormstown,accident,21,Le Droit - Groupe Capitales Médias,Le père de la rappeuse Nicki Minaj tué par un chauffard en fuite,2021-02-14,228,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/le-pere-de-la-rappeuse-nicki-minaj-tue-par-un-chauffard-en-fuite-08dce950f376e8a66895eb9f698d5c4e,2021-09-30 08:49:02,local
Ormstown,accident,22,La Tribune - Groupe Capitales Médias,"Preuve obtenue illégalement, conductrice acquittée | Le fil des régions | Actualités",2021-05-27,126,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/preuve-obtenue-illegalement-conductrice-acquittee-19b5cecfb455fdc94a8ecfce3d030294,2021-09-30 08:49:02,local
Ormstown,accident,23,Le Journal de Montréal,Un bébé meurt après que le MTQ ait été mis en garde,,,https://www.journaldemontreal.com/2015/05/12/un-bebe-meurt-apres-que-le-mtq-ait-ete-mis-en-garde,2021-09-30 08:49:02,local
Ormstown,accident,24,La Voix de l'est - Groupe Capitales Médias,Un Estrien décède tragiquement à Puerto Plata | Le fil des régions | Actualités,2020-10-13,352,https://www.lavoixdelest.ca/actualites/le-fil-groupe-capitales-medias/un-estrien-decede-tragiquement-a-puerto-plata-632bf433fbb371ee0e4ec607a71404d1,2021-09-30 08:49:02,local
Ormstown,accident,25,Le Journal Saint-François,La fin d'une époque : le Centre médical d'Ormstown ferme définitivement,2021-04-12,171,https://www.journalsaint-francois.ca/la-fin-dune-epoque-le-centre-medical-dormstown-ferme-definitivement/,2021-09-30 08:49:03,local
Ormstown,décès OR mort,1,NecrologieCanada,Clermont Usereau 2021,2021-08-31,30,https://necrocanada.com/deces-2021/clermont-usereau-2021/,2021-09-30 08:49:40,local
Ormstown,décès OR mort,2,NecrologieCanada,Roger Lafond 1950 2021 (71 ans),2021-09-17,13,https://necrocanada.com/deces-2021/roger-lafond-1950-2021-71-ans/,2021-09-30 08:49:41,local
Ormstown,décès OR mort,3,NecrologieCanada,Mme Jacqueline Laforest de Launiere 2021,2021-09-17,13,https://necrocanada.com/deces-2021/mme-jacqueline-laforest-de-launiere-2021/,2021-09-30 08:49:41,local
Ormstown,décès OR mort,4,Le Journal de Montréal,"TREMBLAY, Jean",2021-02-06,236,https://www.journaldemontreal.com/2021/02/06/80ca83c38e/tremblay-jean,2021-09-30 08:49:41,local
Ormstown,décès OR mort,5,NecrologieCanada,Daniel Chevrier 2021,2021-07-06,86,https://necrocanada.com/deces-2021/daniel-chevrier-2021/,2021-09-30 08:49:41,local
Ormstown,décès OR mort,6,Le Journal de Montréal,Ormstown: il tue sa femme et retourne l'arme contre lui,,,https://www.journaldemontreal.com/2020/06/12/deux-septuagenaires-trouves-sans-vie-a-ormstown-1,2021-09-30 08:49:41,local
Ormstown,décès OR mort,7,Le Journal de Montréal,"DUCHESNE, Aurore (née Bolduc)",2021-01-20,253,https://www.journaldemontreal.com/2021/01/20/3af6b426ab/duchesne-aurore--nee-bolduc,2021-09-30 08:49:42,local
Ormstown,décès OR mort,8,Le Journal de Montréal,"QUENNEVILLE, André",2021-06-05,117,https://www.journaldemontreal.com/2021/06/05/7c5cad71ea/quenneville-andre,2021-09-30 08:49:42,local
Ormstown,décès OR mort,9,Le Journal de Montréal,"Les routes dangereuses du Québec : des victoires, mais à quel prix?",2020-10-17,348,https://www.journaldemontreal.com/2020/10/17/des-victoires-mais-a-quel-prix,2021-09-30 08:49:42,local
Ormstown,décès OR mort,10,Le Journal de Montréal,"EMOND, Philippe",2021-07-31,61,https://www.journaldemontreal.com/2021/07/31/0d6e089707/emond-philippe,2021-09-30 08:49:42,local
Ormstown,décès OR mort,11,NecrologieCanada,Gabriel Plourde 2021,2021-04-28,155,https://necrocanada.com/deces-2021/gabriel-plourde-2021/,2021-09-30 08:49:43,local
Ormstown,décès OR mort,12,NecrologieCanada,Juliette Hart Richer 2021,2021-08-19,42,https://necrocanada.com/deces-2021/juliette-hart-richer-2021/,2021-09-30 08:49:43,local
Ormstown,décès OR mort,13,NecrologieCanada,Romuald Quenneville 2021,2021-08-06,55,https://necrocanada.com/deces-2021/romuald-quenneville-2021/,2021-09-30 08:49:43,local
Ormstown,décès OR mort,14,Le Journal de Montréal,"ROY, Robert",2020-12-09,295,https://www.journaldemontreal.com/2020/12/09/204e441265/roy-robert,2021-09-30 08:49:43,local
Ormstown,décès OR mort,15,Le Journal de Montréal,Accidents de moto en série au Québec,2021-04-11,172,https://www.journaldemontreal.com/2021/04/10/saint-esprit-autre-accident-de-moto,2021-09-30 08:49:43,local
Ormstown,décès OR mort,16,INFOSuroit.com,EXPO Ormstown : un nouvel événement automnal,2021-08-09,52,https://www.infosuroit.com/expo-ormstown-un-nouvel-evenement-automnal/,2021-09-30 08:49:44,local
Ormstown,décès OR mort,17,INFOSuroit.com,L'EXPO Ormstown de retour à l'automne 2021,2021-06-15,107,https://www.infosuroit.com/expo-ormstown-de-retour-automne-2021/,2021-09-30 08:49:44,local
Ormstown,décès OR mort,18,INFOSuroit.com,"Cliniques de dépistage à Ormstown, Valleyfield, Mercier et Vaudreuil",2021-08-27,34,https://www.infosuroit.com/cliniques-de-depistage-a-ormstown-valleyfield-mercier-et-vaudreuil/,2021-09-30 08:49:44,local
Ormstown,décès OR mort,19,INFOSuroit.com,Des sites de vaccination à venir à Vaudreuil-Dorion et Ormstown,2021-02-25,217,https://www.infosuroit.com/des-sites-de-vaccination-a-venir-a-vaudreuil-dorion-et-ormstown/,2021-09-30 08:49:44,local
Ormstown,décès OR mort,20,Le Journal de Chambly,"Couvre-feu : Montréal repasse à 20 h, la Montérégie reste à 21 h 30 - Le journal de Chambly",2021-04-08,175,https://www.journaldechambly.com/couvre-feu-montreal-repasse-a-20-h-la-monteregie-reste-a-21-h-30/,2021-09-30 08:49:44,local
Ormstown,décès OR mort,21,Le Journal de Montréal,"HÉBERT, Monique (née Grégoire)",2021-04-17,166,https://www.journaldemontreal.com/2021/04/17/f499b2e3f8/hebert-monique--nee-gregoire,2021-09-30 08:49:44,local
Ormstown,décès OR mort,22,Le Journal de Québec,Morts après avoir pris du Viagra,2021-02-27,215,https://www.journaldequebec.com/2021/02/27/morts-apres-avoir-pris-du-viagra,2021-09-30 08:49:45,local
Ormstown,décès OR mort,23,INFOSuroit.com,Le CISSSMO rehausse les services de l'Hôpital d'Ormstown,2021-04-23,160,https://www.infosuroit.com/le-cisssmo-rehausse-les-services-hopital-ormstown/,2021-09-30 08:49:45,local
Ormstown,décès OR mort,24,NecrologieCanada,Mme Georgette Lefebvre Fortier 2021,2021-01-14,259,https://necrocanada.com/deces-2021/mme-georgette-lefebvre-fortier-2021/,2021-09-30 08:49:45,local
Ormstown,décès OR mort,25,INFOSuroit.com,Les urgences de tous les hôpitaux de la région à éviter,2021-07-01,91,https://www.infosuroit.com/les-urgences-de-tous-les-hopitaux-de-la-region-a-eviter/,2021-09-30 08:49:45,local
Ormstown,incendie,1,Le Journal Saint-François,Trois personnes incommodées par un incendie à Saint-Louis-de-Gonzague,2021-08-16,45,https://www.journalsaint-francois.ca/Trois-personnes-incommodees-par-un-incendie-a-Saint-Louis-de-Gonzague/,2021-09-30 08:49:54,local
Ormstown,incendie,2,La Presse,Quartier Centre-Sud | Douze familles relocalisées après un incendie,2021-04-14,169,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-04-14/quartier-centre-sud/douze-familles-relocalisees-apres-un-incendie.php,2021-09-30 08:49:54,local
Ormstown,incendie,3,Le Journal de Montréal,Un homme arrêté lors d'un incendie suspect à Saint-Hyacinthe,2021-05-08,145,https://www.journaldemontreal.com/2021/05/08/un-homme-arrete-lors-dun-incendie-suspect-a-saint-hyacinthe,2021-09-30 08:49:54,local
Ormstown,incendie,4,Le Nouvelliste - Groupe Capitales Médias,Incendie au Mexique : BRP prêt à reprendre la production,2021-07-19,73,https://www.lenouvelliste.ca/actualites/le-fil-groupe-capitales-medias/incendie-au-mexique--brp-pret-a-reprendre-la-production-1f625aee16131c3122c00c077c326387,2021-09-30 08:49:55,local
Ormstown,incendie,5,L'Avenir et des Rivières - Farnham,André Bourassa aux commandes du service de sécurité incendie de Farnham,2021-03-03,211,https://www.laveniretdesrivieres.com/2021/03/03/andre-bourassa-aux-commandes-du-service-de-securite-incendie-de-farnham/,2021-09-30 08:49:55,local
Ormstown,incendie,6,Le Journal de Montréal,Un feu prend naissance près d'un compteur intelligent,,,https://www.journaldemontreal.com/2015/11/12/un-feu-prend-naissance-pres-dun-compteur-intelligent,2021-09-30 08:49:55,local
Ormstown,incendie,7,La Voix de l'est - Groupe Capitales Médias,Des dizaines de vaches périssent dans un incendie à l'Île-d'Orléans [PHOTOS + VIDÉO],2021-03-02,212,https://www.lavoixdelest.ca/actualites/le-fil-groupe-capitales-medias/des-dizaines-de-vaches-perissent-dans-un-incendie-a-lile-dorleans-photos--video-0bfb0835cb85c23ecbc1e3ddfb259f5c,2021-09-30 08:49:55,local
Ormstown,incendie,8,TVA Nouvelles,Un incendie d'origine criminelle aux locaux du Journal de Montréal,2020-10-10,355,https://www.tvanouvelles.ca/2020/10/10/un-incendie-dorigine-criminelle-aux-locaux-du-journal-de-montreal-1,2021-09-30 08:49:55,local
Ormstown,incendie,9,Le Journal Saint-François,Michel Ménard rencontre ses pompiers une dernière fois,2021-03-28,186,https://www.journalsaint-francois.ca/michel-menard-rencontre-ses-pompiers-une-derniere-fois/,2021-09-30 08:49:56,local
Ormstown,incendie,10,La Tribune - Groupe Capitales Médias,Bas-Saint-Laurent: l'incendie de tourbières hors de contrôle,,,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/bas-saint-laurent-lincendie-de-tourbieres-hors-de-controle-87db370a1718bd70e97e5413c888eb5f,2021-09-30 08:49:56,local
Ormstown,incendie,11,Le Journal Saint-François,Incendie ravageur à Saint-Louis-de-Gonzague,,,https://www.journalsaint-francois.ca/incendie-ravageur-a-saint-louis-de-gonzague/,2021-09-30 08:49:56,local
Ormstown,incendie,12,La Voix de l'est - Groupe Capitales Médias,90 vaches meurent dans l'incendie d'une ferme à Honfleur,,,https://www.lavoixdelest.ca/actualites/le-fil-groupe-capitales-medias/90-vaches-meurent-dans-lincendie-dune-ferme-a-honfleur-2ac8398b300ccb8960ca911151cc43f8,2021-09-30 08:49:56,local
Ormstown,incendie,13,Le Journal Saint-François,Réouverture imminente des commerces à l'angle du chemin Larocque et de la 530,2021-03-09,205,https://www.journalsaint-francois.ca/reouverture-imminente-des-commerces-a-langle-du-chemin-larocque-et-de-la-530/,2021-09-30 08:49:56,local
Ormstown,incendie,14,La Presse,Deux morts dans une collision à Val-d'Or,2020-10-24,341,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-10-24/deux-morts-dans-une-collision-a-val-d-or.php,2021-09-30 08:49:57,local
