Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Plessisville,accident,1,La Nouvelle Union,Spectaculaire collision à Plessisville,2021-09-28,2,https://www.lanouvelle.net/2021/09/28/spectaculaire-collision-a-plessisville-3/,2021-09-30 08:52:17,local
Plessisville,accident,2,La Nouvelle Union,Collision à Plessisville,2021-06-03,119,https://www.lanouvelle.net/2021/06/03/collision-a-plessisville-2/,2021-09-30 08:52:17,local
Plessisville,accident,3,La Nouvelle Union,Accident mortel : victime identifiée,2021-08-08,53,https://www.lanouvelle.net/2021/08/08/accident-mortel-victime-identifiee-8/,2021-09-30 08:52:18,local
Plessisville,accident,4,La Nouvelle Union,Collision majeure à Saint-Ferdinand,2021-06-07,115,https://www.lanouvelle.net/2021/06/07/collision-majeure-a-saint-ferdinand/,2021-09-30 08:52:18,local
Plessisville,accident,5,La Nouvelle Union,Motocycliste blessé dans une collision,2021-08-20,41,https://www.lanouvelle.net/2021/08/20/motocycliste-blesse-dans-une-collision-4/,2021-09-30 08:52:18,local
Plessisville,accident,6,La Nouvelle Union,Spectaculaire accident : l'alcool serait en cause,2021-08-06,55,https://www.lanouvelle.net/2021/08/06/spectaculaire-accident-lalcool-serait-en-cause/,2021-09-30 08:52:18,local
Plessisville,accident,7,La Nouvelle Union,Embardée avec blessés sur la 165,2021-04-12,171,https://www.lanouvelle.net/2021/04/12/embardee-avec-blesses-sur-la-165/,2021-09-30 08:52:18,local
Plessisville,accident,8,La Nouvelle Union,Plessisville : un incendie de cause indéterminée,2021-06-18,104,https://www.lanouvelle.net/2021/06/18/plessisville-un-incendie-de-cause-indeterminee/,2021-09-30 08:52:19,local
Plessisville,accident,9,Cool Fm,La SQ a été occupée ces derniers jours en Beauce,2021-09-08,22,http://www.coolfm.biz/nouvelle/6408-la-sq-a-ete-occupee-ces-derniers-jours-en-beauce,2021-09-30 08:52:19,local
Plessisville,accident,10,La Nouvelle Union,Collision avec blessé sur la 116,2021-08-27,34,https://www.lanouvelle.net/2021/08/27/collision-avec-blesse-sur-la-116/,2021-09-30 08:52:19,local
Plessisville,accident,11,La Nouvelle Union,Accident à Tingwick : l'enquête se poursuit,2021-05-20,133,https://www.lanouvelle.net/2021/05/20/accident-a-tingwick-lenquete-se-poursuit/,2021-09-30 08:52:19,local
Plessisville,accident,12,Le Journal de Montréal,Un homme grièvement blessé dans un accident de VTT en Estrie,2021-06-06,116,https://www.journaldemontreal.com/2021/06/06/un-homme-grievement-blesse-dans-un-accident-de-vtt-en-estrie-1,2021-09-30 08:52:20,local
Plessisville,accident,13,La Nouvelle Union,Un chauffard ivre rattrapé par la police,2021-08-01,60,https://www.lanouvelle.net/2021/08/01/un-chauffard-ivre-rattrape-par-la-police/,2021-09-30 08:52:20,local
Plessisville,accident,14,La Nouvelle Union,Accident : un adolescent blessé,2021-07-18,74,https://www.lanouvelle.net/2021/07/18/accident-un-adolescent-blesse/,2021-09-30 08:52:20,local
Plessisville,accident,15,La Nouvelle Union,Une quinquagénaire grièvement blessée dans une collision,2021-04-04,179,https://www.lanouvelle.net/2021/04/04/une-quinquagenaire-grievement-blessee-dans-une-collision/,2021-09-30 08:52:20,local
Plessisville,accident,16,La Nouvelle Union,Violente collision à Plessisville,,,https://www.lanouvelle.net/2020/05/28/violente-collision-a-plessisville/,2021-09-30 08:52:20,local
Plessisville,accident,17,La Nouvelle Union,Piéton happé par un véhicule,2021-05-25,128,https://www.lanouvelle.net/2021/05/25/pieton-happe-par-un-vehicule-6/,2021-09-30 08:52:20,local
Plessisville,accident,18,La Nouvelle Union,Collision entre un Jeep et un poids lourd sur la 955,2021-06-03,119,https://www.lanouvelle.net/2021/06/03/collision-entre-un-jeep-et-un-poids-lourd-sur-la-955/,2021-09-30 08:52:21,local
Plessisville,accident,19,La Nouvelle Union,Accident de scooter : une jeune fille blessée,2021-07-24,68,https://www.lanouvelle.net/2021/07/24/accident-de-scooter-une-jeune-fille-blessee/,2021-09-30 08:52:21,local
Plessisville,accident,20,La Nouvelle Union,Lyster : trois blessés dans une collision,2021-05-24,129,https://www.lanouvelle.net/2021/05/24/lyster-trois-blesses-dans-une-collision/,2021-09-30 08:52:21,local
Plessisville,accident,21,La Nouvelle Union,Une conductrice blessée dans une sortie de route à Saint-Valère,2021-02-27,215,https://www.lanouvelle.net/2021/02/27/une-conductrice-blessee-dans-une-sortie-de-route-a-saint-valere/,2021-09-30 08:52:21,local
Plessisville,accident,22,La Nouvelle Union,Spectaculaire embardée à Warwick,2021-08-28,33,https://www.lanouvelle.net/2021/08/28/spectaculaire-embardee-a-warwick/,2021-09-30 08:52:21,local
Plessisville,accident,23,La Nouvelle Union,Accident mortel : l'identité des victimes dévoilée,,,https://www.lanouvelle.net/2020/06/07/accident-mortel-lidentite-des-victimes-devoilee/,2021-09-30 08:52:22,local
Plessisville,accident,24,La Nouvelle Union,Un cycliste s'effondre sur le Parc linéaire des Bois-Francs,2021-08-21,40,https://www.lanouvelle.net/2021/08/21/un-cycliste-seffondre-sur-le-parc-lineaire-des-bois-francs/,2021-09-30 08:52:22,local
Plessisville,accident,25,La Nouvelle Union,Quatre blessés dans une violente collision,2021-05-08,145,https://www.lanouvelle.net/2021/05/08/quatre-blesses-dans-une-violente-collision-2/,2021-09-30 08:52:22,local
Plessisville,décès OR mort,1,NecrologieCanada,Jean-Marie Pare 6 septembre 2021,2021-09-07,23,https://necrocanada.com/deces-2021/jean-marie-pare-6-septembre-2021/,2021-09-30 08:52:59,local
Plessisville,décès OR mort,2,NecrologieCanada,Cecile Blais Therrien 24 septembre 2021,2021-09-27,3,https://necrocanada.com/deces-2021/cecile-blais-therrien-24-septembre-2021/,2021-09-30 08:52:59,local
Plessisville,décès OR mort,3,NecrologieCanada,Jeannine Laverdure Gosselin 5 septembre 2021,2021-09-08,22,https://necrocanada.com/deces-2021/jeannine-laverdure-gosselin-5-septembre-2021/,2021-09-30 08:52:59,local
Plessisville,décès OR mort,4,NecrologieCanada,Paul-Eugene Champagne 9 septembre 2021,2021-09-12,18,https://necrocanada.com/deces-2021/paul-eugene-champagne-9-septembre-2021/,2021-09-30 08:52:59,local
Plessisville,décès OR mort,5,NecrologieCanada,Mme Helene Samson 1937-,2021-09-15,15,https://necrocanada.com/deces-2021/mme-helene-samson-1937/,2021-09-30 08:53:00,local
Plessisville,décès OR mort,6,NecrologieCanada,Gertrude Guillemette 16 septembre 2021,2021-09-22,8,https://necrocanada.com/deces-2021/gertrude-guillemette-16-septembre-2021/,2021-09-30 08:53:00,local
Plessisville,décès OR mort,7,NecrologieCanada,GENEST Lucie 1933 2021,2021-09-20,10,https://necrocanada.com/deces-2021/genest-lucie-1933-2021/,2021-09-30 08:53:00,local
Plessisville,décès OR mort,8,NecrologieCanada,BeDARD Mario 1946 2021,2021-09-23,7,https://necrocanada.com/deces-2021/bedard-mario-1946-2021/,2021-09-30 08:53:00,local
Plessisville,décès OR mort,9,La Nouvelle Union,Ville de Plessisville : travaux de resurfaçage pour près de 800 000 $,2021-07-14,78,https://www.lanouvelle.net/2021/07/14/ville-de-plessisville-travaux-de-resurfacage-pour-pres-de-800-000/,2021-09-30 08:53:00,local
Plessisville,décès OR mort,10,La Nouvelle Union,Décès d'un homme au parc éolien des Moulins,2021-08-28,33,https://www.lanouvelle.net/2021/08/28/deces-dun-homme-au-parc-eolien-des-moulins/,2021-09-30 08:53:00,local
Plessisville,décès OR mort,11,NecrologieCanada,Charles-Auguste Côte 7 juin 2021,2021-06-09,113,https://necrocanada.com/deces-2021/charles-auguste-cote-7-juin-2021/,2021-09-30 08:53:01,local
Plessisville,décès OR mort,12,NecrologieCanada,Alban Lachance 24 juillet 2021,2021-07-26,66,https://necrocanada.com/deces-2021/alban-lachance-24-juillet-2021/,2021-09-30 08:53:01,local
Plessisville,décès OR mort,13,NecrologieCanada,Jean-Paul Pouliot 29 juillet 2021,2021-08-01,60,https://necrocanada.com/deces-2021/jean-paul-pouliot-29-juillet-2021/,2021-09-30 08:53:01,local
Plessisville,décès OR mort,14,NecrologieCanada,Yves Turcotte 15 août 2021,2021-08-16,45,https://necrocanada.com/deces-2021/yves-turcotte-15-aout-2021/,2021-09-30 08:53:01,local
Plessisville,décès OR mort,15,Radio-Canada.ca,Québécoise assassinée à Toronto : « Personne ne mériterait d'avoir à vivre ça »,2021-07-18,74,https://ici.radio-canada.ca/nouvelle/1809784/meurtre-kim-jessica-gagne-quebecoise-toronto-bronson-lake,2021-09-30 08:53:01,local
Plessisville,décès OR mort,16,NecrologieCanada,Carol Grondin 23 mai 2021,2021-05-25,128,https://necrocanada.com/deces-2021/carol-grondin-23-mai-2021/,2021-09-30 08:53:02,local
Plessisville,décès OR mort,17,La Nouvelle Union,Accident à Manseau : un Victoriavillois perd la vie,2021-08-08,53,https://www.lanouvelle.net/2021/08/08/accident-a-manseau-un-victoriavillois-perd-la-vie/,2021-09-30 08:53:02,local
Plessisville,décès OR mort,18,La Nouvelle Union,Paroisse de Plessisville : Joanie Bédard convoite le siège #6,2021-08-24,37,https://www.lanouvelle.net/2021/08/24/paroisse-de-plessisville-joanie-bedard-convoite-le-siege-6/,2021-09-30 08:53:02,local
Plessisville,décès OR mort,19,La Nouvelle Union,Un feu fait des ravages à Plessisville,2021-08-26,35,https://www.lanouvelle.net/2021/08/26/un-feu-fait-des-ravages-a-plessisville/,2021-09-30 08:53:02,local
Plessisville,décès OR mort,20,La Nouvelle Union,Collision à Plessisville,2021-06-03,119,https://www.lanouvelle.net/2021/06/03/collision-a-plessisville-2/,2021-09-30 08:53:02,local
Plessisville,décès OR mort,21,La Nouvelle Union,RI de l'Amitié : dix décès liés à la COVID-19,2020-12-07,297,https://www.lanouvelle.net/2020/12/07/ri-de-lamitie-dix-deces-lies-a-la-covid-19/,2021-09-30 08:53:03,local
Plessisville,décès OR mort,22,La Nouvelle Union,Denis Beaudoin assurera l'intérim comme DG à la Ville de Plessisville,2021-06-09,113,https://www.lanouvelle.net/2021/06/09/denis-beaudoin-assurera-linterim-comme-dg-a-la-ville-de-plessisville/,2021-09-30 08:53:03,local
Plessisville,décès OR mort,23,La Nouvelle Union,Il recouvre sa maison dans un état insalubre,2021-08-25,36,https://www.lanouvelle.net/2021/08/25/il-recouvre-sa-maison-dans-un-etat-insalubre/,2021-09-30 08:53:03,local
Plessisville,décès OR mort,24,NecrologieCanada,Marie-Paule Provencher 8 août 2021,2021-08-09,52,https://necrocanada.com/deces-2021/marie-paule-provencher-8-aout-2021/,2021-09-30 08:53:03,local
