Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Plessisville,"""premier ministre""",1,La Nouvelle Union,Élections fédérales : François Legault demande des engagements fermes en matière de santé et d'immigration,2021-08-26,35,https://www.lanouvelle.net/2021/08/26/elections-federales-francois-legault-demande-des-engagements-fermes-en-matiere-de-sante-et-dimmigration/,2021-09-30 10:23:13,national
Plessisville,"""premier ministre""",2,La Nouvelle Union,Luc Berthold lance sa troisième campagne électorale dans Mégantic-L'Érable,2021-08-16,45,https://www.lanouvelle.net/2021/08/16/luc-berthold-lance-sa-troisieme-campagne-electorale-dans-megantic-lerable/,2021-09-30 10:23:13,national
Plessisville,"""premier ministre""",3,La Nouvelle Union,COVID-19 : le premier ministre Legault continue d'appeler à la prudence,2021-03-09,205,https://www.lanouvelle.net/2021/03/09/covid-19-le-premier-ministre-legault-continue-dappeler-a-la-prudence/,2021-09-30 10:23:13,national
Plessisville,"""premier ministre""",4,La Nouvelle Union,Une campagne carboneutre pour Luc Berthold,2021-08-27,34,https://www.lanouvelle.net/2021/08/27/une-campagne-carboneutre-pour-luc-berthold/,2021-09-30 10:23:13,national
Plessisville,"""premier ministre""",5,La Nouvelle Union,Québec accorde près de 12 M $ à Emblème Canneberge,2021-06-15,107,https://www.lanouvelle.net/2021/06/15/quebec-accorde-pres-de-12-m-a-embleme-canneberge/,2021-09-30 10:23:14,national
Plessisville,"""premier ministre""",6,Le Journal de Montréal,Pénurie de main-d'oeuvre: aucune candidature reçue pour certaines offres d'emploi,2021-06-19,103,https://www.journaldemontreal.com/2021/06/19/aucune-candidature-recue,2021-09-30 10:23:14,national
Plessisville,"""premier ministre""",7,Le Journal de Montréal,Le contrat de sa vie au Royaume-Uni,2021-06-26,96,https://www.journaldemontreal.com/2021/06/26/le-contrat-de-sa-vie-au-royaume-uni,2021-09-30 10:23:14,national
Plessisville,"""premier ministre""",8,Ville de Princeville,Toutes les municipalités d'Arthabaska-L'Érable auront accès à internet haute vitesse d'ici septembre 2022,2021-05-07,146,https://villedeprinceville.qc.ca/toutes-les-municipalites-darthabaska-lerable-auront-acces-a-internet-haute-vitesse-dici-septembre-2022/,2021-09-30 10:23:15,national
Plessisville,"""premier ministre""",9,La Nouvelle Union,Reconfinement : le premier ministre Legault n'exclut rien,2020-12-08,296,https://www.lanouvelle.net/2020/12/08/reconfinement-le-premier-ministre-legault-nexclut-rien/,2021-09-30 10:23:15,national
Plessisville,"""premier ministre""",10,La Nouvelle Union,Le Mérite spécial Adélard-Godbout remis à Jacques Beauchesne,2020-12-02,302,https://www.lanouvelle.net/2020/12/02/le-merite-special-adelard-godbout-remis-a-jacques-beauchesne/,2021-09-30 10:23:15,national
Plessisville,"""premier ministre""",11,La Nouvelle Union,Non-respect de la Loi sur les langues officielles : le député Rayes dépose une plainte,2021-04-29,154,https://www.lanouvelle.net/2021/04/29/non-respect-de-la-loi-sur-les-langues-officielles-le-depute-rayes-depose-une-plainte/,2021-09-30 10:23:15,national
Plessisville,"""premier ministre""",12,La Nouvelle Union,"Le père Noël est un service essentiel, confirme le premier ministre Legault",2020-12-20,284,https://www.lanouvelle.net/2020/12/20/le-pere-noel-est-un-service-essentiel-confirme-le-premier-ministre-legault/,2021-09-30 10:23:15,national
Plessisville,"""premier ministre""",13,La Nouvelle Union,Internet haute vitesse : entente historique pour brancher 150 000 Québécois,2021-03-22,192,https://www.lanouvelle.net/2021/03/22/176575/,2021-09-30 10:23:16,national
Plessisville,"""premier ministre""",14,La Nouvelle Union,"COVID-19 : assouplissement progressif des mesures pour tous, à partir du 28 mai",2021-05-18,135,https://www.lanouvelle.net/2021/05/18/covid-19-assouplissement-progressif-des-mesures-pour-tous-a-partir-du-28-mai/,2021-09-30 10:23:16,national
Plessisville,"""premier ministre""",15,La Nouvelle Union,Tout le Québec passera au vert le 28 juin,2021-06-22,100,https://www.lanouvelle.net/2021/06/22/tout-le-quebec-passera-au-vert-le-28-juin/,2021-09-30 10:23:16,national
