Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rawdon,élection OR campagne,1,L'Action,Carnet de campagne des candidats,2021-09-13,17,https://www.laction.com/article/2021/09/13/carnet-de-campagne-des-candidats,2021-09-30 09:45:18,mixte
Rawdon,élection OR campagne,2,Le Journal de Joliette,Gabriel Ste-Marie débute sa campagne électorale dans Rawdon,2021-08-27,34,https://www.lejournaldejoliette.ca/actualites/elections/435547/gabriel-ste-marie-debute-sa-campagne-electorale-dans-rawdon,2021-09-30 09:45:19,mixte
Rawdon,élection OR campagne,3,L'Action,Chantal Grenier dévoile les membres de son équipe,2021-09-24,6,https://www.laction.com/article/2021/09/24/chantal-grenier-devoile-les-membres-de-son-equipe,2021-09-30 09:45:19,mixte
Rawdon,élection OR campagne,4,L'Action,Chantal Grenier veut offrir du changement à Rawdon,2021-04-30,153,https://www.laction.com/article/2021/04/30/chantal-grenier-veut-offrir-du-changement-a-rawdon,2021-09-30 09:45:19,mixte
Rawdon,élection OR campagne,5,L'Action,La démocratie chancelante de Rawdon,2021-04-21,162,https://www.laction.com/article/2021/04/21/la-democratie-chancelante-de-rawdon,2021-09-30 09:45:20,mixte
Rawdon,élection OR campagne,6,La Presse,La CSN a 100 ans | Une forte empreinte sur l'histoire du Québec,2021-09-24,6,https://www.lapresse.ca/affaires/2021-09-24/la-csn-a-100-ans/une-forte-empreinte-sur-l-histoire-du-quebec.php,2021-09-30 09:45:20,mixte
Rawdon,élection OR campagne,7,L'Action,Jean-Yves St-Denis joint sa voix à l'équipe de Chantal Grenier,2021-08-10,51,https://www.laction.com/article/2021/08/10/jean-yves-st-denis-joint-sa-voix-a-l-equipe-de-chantal-grenier,2021-09-30 09:45:20,mixte
Rawdon,élection OR campagne,8,LanauWeb,Gabriel Ste-Marie débute sa campagne électorale Info Lanaudière,2021-08-26,35,https://lanauweb.info/gabriel-ste-marie-debute-sa-campagne-electorale/,2021-09-30 09:45:20,mixte
Rawdon,élection OR campagne,9,L'Action,Spectacle de Martin Deschamps et feux d'artifice à Rawdon,2021-08-13,48,https://www.laction.com/article/2021/08/13/spectacle-de-martin-deschamps-et-feux-d-artifice-a-rawdon,2021-09-30 09:45:21,mixte
Rawdon,élection OR campagne,10,L'Action,Campagne de financement pour l'école Saint-Théodore-de-Chertsey,2021-04-29,154,https://www.laction.com/article/2021/04/29/campagne-de-financement-pour-l-ecole-saint-theodore-de-chertsey,2021-09-30 09:45:21,mixte
Rawdon,élection OR campagne,11,L'Action,Des idées florissantes et un tout nouveau conseil d'administration,2021-04-17,166,https://www.laction.com/article/2021/04/17/des-idees-florissantes-et-un-tout-nouveau-conseil-d-administration,2021-09-30 09:45:21,mixte
Rawdon,élection OR campagne,12,La Presse,Incendie à Rawdon | Une centaine de personnes âgées évacuées d'une résidence,2021-03-07,207,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-03-07/incendie-a-rawdon/une-centaine-de-personnes-agees-evacuees-d-une-residence.php,2021-09-30 09:45:21,mixte
Rawdon,élection OR campagne,13,L'Action,Raymond Rougeau briguera la mairie de Rawdon,,,https://www.laction.com/article/2020/09/16/raymond-rougeau-briguera-la-mairie-de-rawdon,2021-09-30 09:45:21,mixte
Rawdon,élection OR campagne,14,Le Devoir,"Initiative de journalisme local: vie, mort et résurrection des Russes de Rawdon",2020-12-07,297,https://www.ledevoir.com/societe/591060/histoire-vie-mort-et-resurrection-des-russes-de-rawdon,2021-09-30 09:45:22,mixte
Rawdon,élection OR campagne,15,Mon Joliette,Possible fête clandestine à Rawdon : La Sûreté du Québec sera à l'affût,2021-06-25,97,https://monjoliette.com/possible-fete-clandestine-a-rawdon-la-surete-du-quebec-sera-a-laffut/,2021-09-30 09:45:22,mixte
Rawdon,élection OR campagne,16,L'Action,Manquements et avis de non-conformité pour un camping de Rawdon,2021-05-04,149,https://www.laction.com/article/2021/05/04/manquements-et-avis-de-non-conformite-pour-un-camping-de-rawdon,2021-09-30 09:45:22,mixte
Rawdon,élection OR campagne,17,L'Action,La communauté se mobilise pour venir en aide aux sinistrés,2021-03-22,192,https://www.laction.com/article/2021/03/22/la-communaute-se-mobilise-pour-venir-en-aide-aux-sinistres,2021-09-30 09:45:22,mixte
Rawdon,élection OR campagne,18,L'Action,COVID-19 - Rawdon passe en zone rouge,2020-10-28,337,https://www.laction.com/article/2020/10/28/covid-19-rawdon-passe-en-zone-rouge,2021-09-30 09:45:22,mixte
Rawdon,élection OR campagne,19,TVA Nouvelles,Une fillette de 8 ans sauve la messe de minuit à Rawdon,2020-12-24,280,https://www.tvanouvelles.ca/2020/12/24/une-fillette-de-8-ans-sauve-la-messe-de-minuit-a-rawdon,2021-09-30 09:45:22,mixte
Rawdon,élection OR campagne,20,L'Action,Un nouveau parti politique voit le jour à Rawdon,,,https://www.laction.com/article/2019/12/12/un-nouveau-parti-politique-voit-le-jour-a-rawdon,2021-09-30 09:45:23,mixte
Rawdon,élection OR campagne,21,Le Journal de Joliette,Trois sites de vaccination dans Lanaudière,2021-02-25,217,https://www.lejournaldejoliette.ca/actualites/societe/418853/trois-sites-de-vaccination-dans-lanaudiere,2021-09-30 09:45:23,mixte
Rawdon,élection OR campagne,22,Plume Libre Montcalm,Plume Libre - Campagne de vaccination contre la COVID-19,2021-06-09,113,https://plumelibre.ca/index.php/toutes-les-municipalites/campagne-de-vaccination-contre-la-covid-19,2021-09-30 09:45:23,mixte
Rawdon,élection OR campagne,23,Mon Joliette,Poursuite policière avortée à Rawdon : le suspect prend le large,2020-10-26,339,https://monjoliette.com/poursuite-policiere-avortee-a-rawdon-le-suspect-prend-le-large/,2021-09-30 09:45:23,mixte
Rawdon,élection OR campagne,24,LanauWeb,Saint-Charles-Borrormée : Denis Bernier sollicite un deuxième mandat au siège #4 Info Lanaudière,2021-08-17,44,https://lanauweb.info/saint-charles-borrormee-denis-bernier-sollicite-un-deuxieme-mandat-au-siege-4/,2021-09-30 09:45:23,mixte
Rawdon,élection OR campagne,25,LanauWeb,Ruth Ellen Brosseau se lance dans la campagne électorale fédérale dans Berthier-Maskinongé Info Lanaudière,2021-08-27,34,https://lanauweb.info/ruth-ellen-brosseau-se-lance-dans-la-campagne-electorale-federale-dans-berthier-maskinonge/,2021-09-30 09:45:23,mixte
Rawdon,député,1,L'Action,Un Rawdonnois reçoit deux distinctions prestigieuses,2021-09-07,23,https://www.laction.com/article/2021/09/07/un-rawdonnois-recoit-deux-distinctions-prestigieuses,2021-09-30 09:46:02,mixte
Rawdon,député,2,iHeartRadio,COVID-19 : Tout ce qu'il faut savoir ce mercredi 8 septembre,2021-09-08,22,https://www.iheartradio.ca/energie/energie-montreal/nouvelles/covid-19-tout-ce-qu-il-faut-savoir-ce-mercredi-8-septembre-1.16023518,2021-09-30 09:46:02,mixte
Rawdon,député,3,Le Journal de Joliette,Gabriel Ste-Marie débute sa campagne électorale dans Rawdon,2021-08-27,34,https://www.lejournaldejoliette.ca/actualites/elections/435547/gabriel-ste-marie-debute-sa-campagne-electorale-dans-rawdon,2021-09-30 09:46:02,mixte
Rawdon,député,4,Plume Libre Montcalm,"Les grands chantiers routiers prioritaires du député de Rousseau, M. Louis-Charles Thouin, sont maintenant au calendrier de réalisations du MTQ.",2021-04-17,166,"https://plumelibre.ca/index.php/toutes-les-municipalites/les-grands-chantiers-routiers-prioritaires-du-d%C3%A9put%C3%A9-de-rousseau,-m-louis-charles-thouin,-sont-maintenant-au-calendrier-de-r%C3%A9alisations-du-mtq",2021-09-30 09:46:03,mixte
Rawdon,député,5,Le Soleil - Groupe Capitales Médias,Les services ambulanciers sur la corde raide | Le fil des régions | Actualités,2021-09-16,14,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/les-services-ambulanciers-sur-la-corde-raide-b7b32339eca75476464969af68e3f94a,2021-09-30 09:46:03,mixte
Rawdon,député,6,L'Action,Nadine Girault ouvre un bureau de comté à Rawdon,,,https://www.laction.com/article/2019/09/19/nadine-girault-ouvre-un-bureau-de-comte-a-rawdon,2021-09-30 09:46:03,mixte
Rawdon,député,7,L'Action,Une annonce qui réjouit le maire de Rawdon,,,https://www.laction.com/article/2020/09/28/une-annonce-qui-rejouit-le-maire-de-rawdon,2021-09-30 09:46:03,mixte
Rawdon,député,8,L'Action,Une initiative innovatrice pour sauver la messe de minuit à Rawdon,2020-12-20,284,https://www.laction.com/article/2020/12/20/une-initiative-innovatrice-pour-sauver-la-messe-de-minuit-a-rawdon,2021-09-30 09:46:03,mixte
Rawdon,député,9,Radio-Canada.ca,"D'ici deux ans, Québec souhaite offrir une école sur deux en bon état",2021-06-06,116,https://ici.radio-canada.ca/nouvelle/1797814/quebec-ecole-vetuste-etat,2021-09-30 09:46:03,mixte
Rawdon,député,10,L'Action,Perron fier du travail accompli,2021-06-27,95,https://www.laction.com/article/2021/06/27/perron-fier-du-travail-accompli,2021-09-30 09:46:04,mixte
Rawdon,député,11,L'Express Montcalm,Feu vert pour des travaux attendus dans Montcalm,,,https://www.lexpressmontcalm.com/article/2020/10/05/feu-vert-pour-des-travaux-attendus-dans-montcalm,2021-09-30 09:46:04,mixte
Rawdon,député,12,L'Action,Près de 50 000 Lanaudois toujours orphelins de médecin de famille,2021-06-23,99,https://www.laction.com/article/2021/06/23/pres-de-50-000-lanaudois-toujours-orphelins-de-medecin-de-famille,2021-09-30 09:46:04,mixte
Rawdon,député,13,Plume Libre Montcalm,DISPARITION D'OLIVIER GUITARD – APPEL À LA POPULATION,2021-07-28,64,https://plumelibre.ca/index.php/style/disparition-d%E2%80%99olivier-guitard-%E2%80%93-appel-%C3%A0-la-population,2021-09-30 09:46:04,mixte
Rawdon,député,14,Plume Libre Montcalm,Baseball mineur dans Montcalm: C'est le temps d'inscrire vos enfants,2021-03-12,202,https://plumelibre.ca/tech/baseball-mineur-dans-montcalm-c-est-le-temps-d-inscrire-vos-enfants,2021-09-30 09:46:05,mixte
Rawdon,député,15,LanauWeb,Brayan Ibanez brille aux championnats Panaméricains d'haltérophilie Info Lanaudière,2021-08-23,38,https://lanauweb.info/brayan-ibanez-brille-aux-championnats-panamericains-dhalterophilie/,2021-09-30 09:46:05,mixte
Rawdon,député,16,ICI.Radio-Canada.ca,Les cascades de Rawdon fermées en réaction aux foules trop importantes | Coronavirus,,,https://ici.radio-canada.ca/nouvelle/1714526/cascades-rawdon-fermeture-foule-coronavirus,2021-09-30 09:46:05,mixte
Rawdon,député,17,Le Journal de Montréal,"L'accès aux lacs du Québec, un vrai problème",2021-07-06,86,https://www.journaldemontreal.com/2021/07/06/lacces-aux-lacs-du-quebec-un-vrai-probleme,2021-09-30 09:46:05,mixte
Rawdon,député,18,L'Action,La sécurisation de la route 158 fait partie des projets annoncés,2021-04-16,167,https://www.laction.com/article/2021/04/16/la-securisation-de-la-route-158-fait-partie-des-projets-annonces,2021-09-30 09:46:05,mixte
Rawdon,député,19,Journal Accès,Députée du comté de Bertrand : Nadine Girault dresse un bilan positif de sa première année - Accès Laurentides,,,https://www.journalacces.ca/deputee-du-comte-de-bertrand-nadine-girault-dresse-un-bilan-positif-de-sa-premiere-annee/,2021-09-30 09:46:05,mixte
Rawdon,député,20,L'Action,Saint-Félix ensemble dévoile les trois candidats qui complètent le parti,2021-08-05,56,https://www.laction.com/article/2021/08/05/saint-felix-ensemble-devoile-les-trois-candidats-qui-completent-le-parti,2021-09-30 09:46:05,mixte
Rawdon,député,21,LesAffaires.com,Des clubs qui ont plus d'un tour dans leur sac,2021-03-10,204,https://www.lesaffaires.com/dossier/industrie-du-golf/des-clubs-qui-ont-plus-d-un-tour-dans-leur-sac/623443,2021-09-30 09:46:06,mixte
Rawdon,député,22,L'Action,Le Bloc Québécois de Joliette accueille de nouveaux membres dans son équipe,2020-11-04,330,https://www.laction.com/article/2020/11/04/le-bloc-quebecois-de-joliette-accueille-de-nouveaux-membres-dans-son-equipe,2021-09-30 09:46:06,mixte
Rawdon,député,23,Plume Libre Montcalm,Plume Libre - SUSPECTS DE BRAQUAGE À DOMICILE À IDENTIFIER,2021-05-27,126,https://plumelibre.ca/toutes-les-municipalites/suspects-de-braquage-%C3%A0-domicile-%C3%A0-identifier,2021-09-30 09:46:06,mixte
Rawdon,député,24,Plume Libre Montcalm,Ou se situe la ligne entre légalité et arnaque?,2021-04-22,161,https://plumelibre.ca/toutes-les-municipalites/mrc-de-montcalm/saint-calixte/ou-se-situe-la-ligne-entre-l%C3%A9galit%C3%A9-et-arnaque,2021-09-30 09:46:06,mixte
Rawdon,député,25,Plume Libre Montcalm,Plume Libre - Campagne de vaccination contre la COVID-19,2021-06-09,113,https://plumelibre.ca/index.php/toutes-les-municipalites/campagne-de-vaccination-contre-la-covid-19,2021-09-30 09:46:06,mixte
