Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rimouski,élection OR campagne,1,Le Journal de Québec,La campagne municipale est lancée à Rimouski,2021-09-23,7,https://www.journaldequebec.com/2021/09/23/la-campagne-municipale-est-lancee-a-rimouski-1,2021-09-30 09:48:57,mixte
Rimouski,élection OR campagne,2,ICI.Radio-Canada.ca,Maxime Blanchette-Joncas réélu dans Rimouski-Neigette–Témiscouata–Les Basques | Élections Canada 2021,2021-09-21,9,https://ici.radio-canada.ca/nouvelle/1825684/maxime-blanchette-joncas-resultats-elections-federales-scrutin-2021-rimouski-neigette-temiscouata-basques,2021-09-30 09:48:57,mixte
Rimouski,élection OR campagne,3,L'Avantage Rimouski,La MRC de Rimouski-Neigette lance une campagne de valorisation agricole,2021-09-27,3,https://www.lavantage.qc.ca/article/2021/09/27/la-mrc-de-rimouski-neigette-lance-une-campagne-de-valorisation-agricole,2021-09-30 09:48:57,mixte
Rimouski,élection OR campagne,4,journal le soir,Les deux candidats à la mairie dévoilent leur plan de match,2021-08-31,30,https://journallesoir.ca/2021/08/31/les-deux-candidats-a-la-mairie-devoilent-leur-plan-de-match/,2021-09-30 09:48:57,mixte
Rimouski,élection OR campagne,5,ICI.Radio-Canada.ca,La liste des candidats du Bas-Saint-Laurent aux élections fédérales officialisée mercredi | Élections Canada 2021,2021-08-31,30,https://ici.radio-canada.ca/nouvelle/1820703/liste-election-federal-candidat-est-du-quebec-bas-saint-laurent-gaspesie-cote-nord-iles-de-la-madeleine,2021-09-30 09:48:57,mixte
Rimouski,élection OR campagne,6,L'Avantage Rimouski,Le député de Rimouski donne 10 000 $ à la campagne de Réseau Accès Crédit,2021-09-17,13,https://www.lavantage.qc.ca/article/2021/09/17/le-depute-de-rimouski-donne-10-000-a-la-campagne-de-reseau-acces-credit,2021-09-30 09:48:58,mixte
Rimouski,élection OR campagne,7,L'Avantage Rimouski,"Mairie de Rimouski : Virginie Proulx présente son plan en économie, attractivité et tourisme",2021-09-28,2,https://www.lavantage.qc.ca/article/2021/09/28/mairie-de-rimouski-virginie-proulx-presente-son-plan-en-economie-attractivite-et-tourisme,2021-09-30 09:48:58,mixte
Rimouski,élection OR campagne,8,TVA Nouvelles,Une campagne tranquille dans l'Est-du-Québec pour le Bloc,2021-09-13,17,https://www.tvanouvelles.ca/2021/09/13/une-campagne-tranquille-dans-lest-du-quebec-pour-le-bloc-1,2021-09-30 09:48:58,mixte
Rimouski,élection OR campagne,9,Le Devoir,Élections fédérales 2021: Le pari d'Yves-François Blanchet incertain,2021-09-21,9,https://www.ledevoir.com/politique/canada/634122/le-bloc-quebecois-pres-de-gagner-son-pari,2021-09-30 09:48:58,mixte
Rimouski,élection OR campagne,10,L'Avantage Rimouski,La campagne du Biscuit Sourire de Tim Hortons appuie trois fondations à Rimouski,2021-09-08,22,https://www.lavantage.qc.ca/article/2021/09/08/la-campagne-du-biscuit-sourire-de-tim-hortons-appuie-trois-fondations-a-rimouski,2021-09-30 09:48:58,mixte
Rimouski,élection OR campagne,11,TVA Nouvelles,Marche pour le climat: une foule au centre-ville de Rimouski,2021-09-24,6,https://www.tvanouvelles.ca/2021/09/24/marche-pour-le-climat-une-foule-au-centre-ville-de-rimouski,2021-09-30 09:48:59,mixte
Rimouski,élection OR campagne,12,Info Dimanche,Élections Canada 2021: Bernard Généreux et Maxime Blanchette-Joncas réélus | infodimanche.com,2021-09-20,10,https://www.infodimanche.com/actualites/elections-federales-2021/437702/elections-canada-2021-bernard-genereux-et-maxime-blanchette-joncas-reelus,2021-09-30 09:48:59,mixte
Rimouski,élection OR campagne,13,La Presse,Élections municipales 2021 | Les autres luttes au Québec,2021-09-25,5,https://www.lapresse.ca/actualites/politique/2021-09-25/elections-municipales-2021/les-autres-luttes-au-quebec.php,2021-09-30 09:49:00,mixte
