Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saguenay,élection OR campagne,1,TVA Nouvelles,La campagne électorale municipale de Saguenay est lancée,2021-09-17,13,https://www.tvanouvelles.ca/2021/09/17/la-campagne-electorale-municipale-de-saguenay-est-lancee,2021-09-30 09:16:17,mixte
Saguenay,élection OR campagne,2,ICI.Radio-Canada.ca,Les pancartes électorales municipales font déjà leur apparition à Saguenay | Élections municipales au Québec 2021,2021-09-21,9,https://ici.radio-canada.ca/nouvelle/1825827/affiches-elections-candidats-mairie-affichage,2021-09-30 09:16:18,mixte
Saguenay,élection OR campagne,3,Le Journal de Québec,La campagne électorale soulève de grandes attentes dans Chicoutimi-Le Fjord,2021-08-31,30,https://www.journaldequebec.com/2021/08/31/la-campagne-electorale-souleve-de-grandes-attentes-dans-chicoutimi-le-fjord,2021-09-30 09:16:18,mixte
Saguenay,élection OR campagne,4,Néomédia,Élection municipale à Saguenay : le recrutement d'employés connaît un succès inespéré | Saguenay-Lac-St-Jean - Néomedia,2021-09-27,3,https://www.neomedia.com/saguenay-lac-st-jean/actualites/elections/438343/election-municipale-a-saguenay-le-recrutement-demployes-connait-un-succes-inespere,2021-09-30 09:16:18,mixte
Saguenay,élection OR campagne,5,ICI.Radio-Canada.ca,Le bloquiste Mario Simard remporte l'élection dans Jonquière | Élections Canada 2021,2021-09-21,9,https://ici.radio-canada.ca/nouvelle/1825708/resultats-2021-jonquiere-bloc-quebecois,2021-09-30 09:16:18,mixte
Saguenay,élection OR campagne,6,Le Quotidien - Groupe Capitales Médias,Que proposent les candidats du Saguenay-Lac-Saint-Jean?,2021-09-19,11,https://www.lequotidien.com/actualites/que-proposent-les-candidats-du-saguenay-lac-saint-jean-40657c5137f832d7696ee277e9e7d08f,2021-09-30 09:16:19,mixte
Saguenay,élection OR campagne,7,ICI.Radio-Canada.ca,Victoire de Richard Martel dans Chicoutimi-Le Fjord | Élections Canada 2021,2021-09-21,9,https://ici.radio-canada.ca/nouvelle/1825700/resultats-2021-circonscription-chicoutimi-le-fjord,2021-09-30 09:16:19,mixte
Saguenay,élection OR campagne,8,ICI.Radio-Canada.ca,Mairie de Saguenay : Serge Simard mise sur le développement économique | Élections municipales au Québec 2021,2021-09-29,1,https://ici.radio-canada.ca/nouvelle/1827873/candidat-programme-electoral-serge-simard,2021-09-30 09:16:19,mixte
Saguenay,élection OR campagne,9,Le Quotidien - Groupe Capitales Médias,Lancement de la campagne 2021 de Centraide | Actualités,2021-09-29,1,https://www.lequotidien.com/actualites/lancement-de-la-campagne-2021-de-centraide-d1109076afd505d0db4f613d86db1744,2021-09-30 09:16:19,mixte
Saguenay,élection OR campagne,10,iHeartRadio,Campagne électorale: des engagements pour Jonquière,2021-09-27,3,https://www.iheartradio.ca/energie/energie-saguenay/nouvelles/campagne-electorale-des-engagements-pour-jonquiere-1.16167592,2021-09-30 09:16:20,mixte
Saguenay,élection OR campagne,11,Le Journal de Québec,Les candidats sont confiants dans Jonquière | JDQ,2021-09-20,10,https://www.journaldequebec.com/2021/09/20/les-candidats-sont-confiants-dans-jonquiere-1,2021-09-30 09:16:20,mixte
Saguenay,élection OR campagne,12,Néomédia,Centraide débute sa 41e campagne annuelle de collecte de fonds dans la région | Saguenay-Lac-St-Jean - Néomedia,2021-09-29,1,https://www.neomedia.com/saguenay-lac-st-jean/actualites/societe/438607/centraide-debute-sa-41e-campagne-annuelle-de-collecte-de-fonds-dans-la-region,2021-09-30 09:16:20,mixte
Saguenay,élection OR campagne,13,Le Quotidien - Groupe Capitales Médias,Trois cas de plus au Saguenay-Lac-Saint-Jean,2021-09-29,1,https://www.lequotidien.com/actualites/trois-cas-de-plus-au-saguenay-lac-saint-jean-b2461220c266fa04ac231fa01f51ee09,2021-09-30 09:16:21,mixte
Saguenay,élection OR campagne,14,Néomédia,Élection municipale à Saguenay : Michel Potvin lance sa campagne à titre d'indépendant | Saguenay-Lac-St-Jean - Néomedia,2021-09-21,9,https://www.neomedia.com/saguenay-lac-st-jean/actualites/elections/437747/election-municipale-a-saguenay-michel-potvin-lance-sa-campagne-a-titre-dindependant,2021-09-30 09:16:21,mixte
Saguenay,élection OR campagne,15,Néomédia,Place aux jeunes lance une campagne promotionnelle à saveur humoristique | Saguenay-Lac-St-Jean - Néomedia,2021-09-29,1,https://www.neomedia.com/saguenay-lac-st-jean/actualites/affaires/438577/place-aux-jeunes-lance-une-campagne-promotionnelle-a-saveur-humoristique,2021-09-30 09:16:21,mixte
Saguenay,élection OR campagne,16,ICI.Radio-Canada.ca,Des représentants du Saguenay-Lac-Saint-Jean tendent la main aux députés élus | Élections Canada 2021,2021-09-21,9,https://ici.radio-canada.ca/nouvelle/1825890/investissements-federal-developpement-saguenay-collaboration,2021-09-30 09:16:21,mixte
Saguenay,élection OR campagne,17,La Presse,Élections fédérales 2021 | Carnets de campagne | La Presse,2021-09-19,11,https://www.lapresse.ca/contexte/2021-09-19/elections-federales-2021/carnets-de-campagne.php,2021-09-30 09:16:22,mixte
Saguenay,élection OR campagne,18,Néomédia,Richard Martel remercie à nouveau la population de Chicoutimi–Le Fjord | Saguenay-Lac-St-Jean - Néomedia,2021-09-24,6,https://www.neomedia.com/saguenay-lac-st-jean/actualites/elections/438155/richard-martel-remercie-a-nouveau-la-population-de-chicoutimile-fjord,2021-09-30 09:16:22,mixte
Saguenay,élection OR campagne,19,ICI.Radio-Canada.ca,6600 aînés admissibles à une 3 e dose au Saguenay-Lac-Saint-Jean | Coronavirus,2021-09-28,2,https://ici.radio-canada.ca/nouvelle/1827819/vaccin-coronavirus-rpa-chsld-ri,2021-09-30 09:16:22,mixte
Saguenay,élection OR campagne,20,ICI.Radio-Canada.ca,Les candidats et les électeurs dans l'attente des résultats à compter de 21 h 30 | Élections Canada 2021,2021-09-20,10,https://ici.radio-canada.ca/nouvelle/1825521/scrutin-elections-federales-vote-electeurs,2021-09-30 09:16:22,mixte
Saguenay,élection OR campagne,21,ICI.Radio-Canada.ca,"Des échanges musclés, mais cordiaux au débat électoral régional | Élections Canada 2021",2021-09-16,14,https://ici.radio-canada.ca/nouvelle/1824551/campagne-saguenay-lac-saint-jean,2021-09-30 09:16:22,mixte
Saguenay,élection OR campagne,22,Le Quotidien - Groupe Capitales Médias,Une campagne autour de quatre grands thèmes pour Julie Dufour,2021-09-21,9,https://www.lequotidien.com/actualites/une-campagne-autour-de-quatre-grands-themes-pour-julie-dufour-85562c6675cb04b4326aecbc2f04150a,2021-09-30 09:16:23,mixte
Saguenay,élection OR campagne,23,Néomédia,Les 7 candidats à la mairie de Saguenay interrogés au Cégep de Chicoutimi | Saguenay-Lac-St-Jean - Néomedia,2021-09-29,1,https://www.neomedia.com/saguenay-lac-st-jean/actualites/elections/438550/les-7-candidats-a-la-mairie-de-saguenay-interroges-au-cegep-de-chicoutimi,2021-09-30 09:16:23,mixte
Saguenay,élection OR campagne,24,Néomédia,La 25e campagne annuelle du Biscuit sourire fracasse un nouveau record | Saguenay-Lac-St-Jean - Néomedia,2021-09-23,7,https://www.neomedia.com/saguenay-lac-st-jean/actualites/societe/438009/la-25e-campagne-annuelle-du-biscuit-sourire-fracasse-un-nouveau-record,2021-09-30 09:16:23,mixte
