Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Apollinaire,élection OR campagne,1,Le Peuple Lotbinière,Un aspirant à la succession de Bernard Ouellet se dévoile,2021-09-10,20,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=103685,2021-09-30 09:20:02,mixte
Saint-Apollinaire,élection OR campagne,2,Le Peuple Lotbinière,Jacques Gourde réélu dans Lévis-Lotbinière,2021-09-21,9,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=103716,2021-09-30 09:20:02,mixte
Saint-Apollinaire,élection OR campagne,3,Le Peuple Lotbinière,La campagne électorale municipale est déclenchée,2021-09-20,10,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=103710,2021-09-30 09:20:02,mixte
Saint-Apollinaire,élection OR campagne,4,Le Peuple Lotbinière,L'élection fédérale minute par minute,2021-09-20,10,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=103712,2021-09-30 09:20:02,mixte
Saint-Apollinaire,élection OR campagne,5,Le Peuple Lotbinière,Samuel Boudreault sollicite un premier mandat de maire,2021-09-28,2,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=103748,2021-09-30 09:20:03,mixte
Saint-Apollinaire,élection OR campagne,6,Le Peuple Lotbinière,Faire de la politique pour sauver la planète,2021-09-16,14,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=103702,2021-09-30 09:20:03,mixte
Saint-Apollinaire,élection OR campagne,7,Le Peuple Lotbinière,Débat anglophone : un tournant dans la campagne selon Lamarche,2021-09-13,17,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=103692,2021-09-30 09:20:03,mixte
Saint-Apollinaire,élection OR campagne,8,Le Peuple Lotbinière,Annie Thériault veut demeurer la mairesse d'Issoudun,2021-09-14,16,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=103695,2021-09-30 09:20:03,mixte
Saint-Apollinaire,élection OR campagne,9,Le Peuple Lotbinière,Un chantier de 10 M$ à Laurier-Station,2021-09-28,2,https://www.lepeuplelotbiniere.ca/1079/Affaires.html?id=103749,2021-09-30 09:20:03,mixte
Saint-Apollinaire,élection OR campagne,10,Le Peuple Lotbinière,Élections fédérales : l'UPA dévoile ses demandes,2021-08-30,31,https://www.lepeuplelotbiniere.ca/1079/Affaires.html?id=103643,2021-09-30 09:20:03,mixte
