Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Apollinaire,"""premier ministre""",1,Le journal de Lévis,COVID-19 : une nouvelle clinique de dépistage est ouverte à Charny,2021-09-28,2,https://www.journaldelevis.com/1120/Soci%C3%A9t%C3%A9_.html?id=91698,2021-09-30 09:59:50,national
Saint-Apollinaire,"""premier ministre""",2,Le Peuple Lotbinière,À la découverte du patrimoine régional,2021-09-17,13,https://www.lepeuplelotbiniere.ca/1068/Art.html?id=103706,2021-09-30 09:59:51,national
Saint-Apollinaire,"""premier ministre""",3,Le Peuple Lotbinière,Pénurie d'infirmières : Québec prêt à investir 1 G$ dans une «petite révolution»,2021-09-23,7,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=103735,2021-09-30 09:59:51,national
Saint-Apollinaire,"""premier ministre""",4,Le Peuple Lotbinière,Jacques Gourde réélu dans Lévis-Lotbinière,2021-09-21,9,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=103716,2021-09-30 09:59:51,national
Saint-Apollinaire,"""premier ministre""",5,Le Peuple Lotbinière,Voyage dans le temps en Chaudière-Appalaches,2021-09-22,8,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=103725,2021-09-30 09:59:51,national
Saint-Apollinaire,"""premier ministre""",6,Le Peuple Lotbinière,Débat anglophone : un tournant dans la campagne selon Lamarche,2021-09-13,17,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=103692,2021-09-30 09:59:51,national
Saint-Apollinaire,"""premier ministre""",7,Le Peuple Lotbinière,O'Toole présente son «contrat» avec la Chaudière-Appalaches,2021-09-11,19,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=103689,2021-09-30 09:59:51,national
Saint-Apollinaire,"""premier ministre""",8,Le Peuple Lotbinière,Lamarche fait de la défense de la laïcité une priorité,2021-09-01,29,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=103651,2021-09-30 09:59:52,national
Saint-Apollinaire,"""premier ministre""",9,Le Soleil - Groupe Capitales Médias,Drame de Saint-Apollinaire : La municipalité tourne la page,2021-07-10,82,https://www.lesoleil.com/actualite/drame-de-saint-apollinaire--la-municipalite-tourne-la-page-e292e9af07db8b1ff00672c76bf1680d,2021-09-30 09:59:52,national
Saint-Apollinaire,"""premier ministre""",10,Le Soleil - Groupe Capitales Médias,La SQ avait repoussé l'aide de pompiers pour retrouver Romy et Norah l'été dernier,2021-07-08,84,https://www.lesoleil.com/actualite/la-sq-avait-repousse-laide-de-pompiers-pour-retrouver-romy-et-norah-lete-dernier-4d756c57a3c3939758349a1e3a1c04a3,2021-09-30 09:59:52,national
Saint-Apollinaire,"""premier ministre""",11,Le Journal de Québec,Une maison incendiée à Saint-Apollinaire | JDQ,2021-03-18,196,https://www.journaldequebec.com/2021/03/18/une-maison-incendiee-a-saint-apollinaire,2021-09-30 09:59:53,national
Saint-Apollinaire,"""premier ministre""",12,Le Peuple Lotbinière,Ouverture d'une clinique de dépistage de la COVID-19 à Saint-Apollinaire,2021-06-22,100,https://www.lepeuplelotbiniere.ca/1120/Soci%C3%A9t%C3%A9_.html?id=93470,2021-09-30 09:59:53,national
Saint-Apollinaire,"""premier ministre""",13,Le Peuple Lotbinière,Site de vaccination temporaire à Saint-Apollinaire,2021-05-25,128,https://www.lepeuplelotbiniere.ca/1120/Soci%C3%A9t%C3%A9_.html?id=83371,2021-09-30 09:59:53,national
Saint-Apollinaire,"""premier ministre""",14,Zone911,Incendie dans une maison mobile à Saint-Apollinaire,2021-03-05,209,https://zone911.com/incendies/30517-incendie-dans-une-maison-mobile-a-saint-apollinaire,2021-09-30 09:59:53,national
Saint-Apollinaire,"""premier ministre""",15,Le Peuple Lotbinière,COVID-19 : Lotbinière repasse en zone rouge,2021-03-31,183,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=83188,2021-09-30 09:59:53,national
Saint-Apollinaire,"""premier ministre""",16,ICI.Radio-Canada.ca,L'ensemble de Chaudière-Appalaches bascule en rouge foncé,2021-04-13,170,https://ici.radio-canada.ca/nouvelle/1784533/palier-rouge-mesure-urgence-chaudiere-appalaches-covid-19,2021-09-30 09:59:53,national
Saint-Apollinaire,"""premier ministre""",17,Le Journal de Québec,Décès de Norah et Romy Carpentier: un triste premier anniversaire,2021-07-09,83,https://www.journaldequebec.com/2021/07/09/un-triste-premier-anniversaire,2021-09-30 09:59:54,national
Saint-Apollinaire,"""premier ministre""",18,Le Soleil - Groupe Capitales Médias,Drame de Saint-Apollinaire: la maman de Romy et Norah revient sur les événements [VIDÉO],2020-11-26,308,https://www.lesoleil.com/actualite/drame-de-saint-apollinaire-la-maman-de-romy-et-norah-revient-sur-les-evenements-video-4b2908bfdaa8a38b9426338f580dcd30,2021-09-30 09:59:54,national
Saint-Apollinaire,"""premier ministre""",19,Le Journal de Québec,Pénurie de main d'œuvre: les camions de rue de Québec cherchent des employés,2021-07-30,62,https://www.journaldequebec.com/2021/07/30/camions-de-rue-cherchent-employes,2021-09-30 09:59:54,national
Saint-Apollinaire,"""premier ministre""",20,VINGT 55 Média web,Drame de Saint-Apollinaire – Une ”tragédie nationale” commente François Legault,,,https://vingt55.ca/drame-de-saint-apollinaire-une-tragedie-nationale-commente-francois-legault/,2021-09-30 09:59:54,national
Saint-Apollinaire,"""premier ministre""",21,Le journal de Lévis,Plaidoyer pour la diversité corporelle,2021-08-02,59,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=81230,2021-09-30 09:59:54,national
Saint-Apollinaire,"""premier ministre""",22,Le Journal de Québec,L'ado de 17 ans de Joliette retrouvée à Montréal,2021-07-19,73,https://www.journaldequebec.com/2021/07/19/lado-de-17-ans-de-joliette-retrouvee-a-montreal,2021-09-30 09:59:55,national
Saint-Apollinaire,"""premier ministre""",23,iHeartRadio,"Saint-Apollinaire : hommage aux fillettes décédées, le père toujours recherché",,,https://www.iheartradio.ca/energie/energie-quebec/nouvelles/saint-apollinaire-hommage-aux-fillettes-decedees-le-pere-toujours-recherche-1.12959164,2021-09-30 09:59:55,national
Saint-Apollinaire,"""premier ministre""",24,k6fm,Une ministre en déplacement ce lundi à Dijon,2021-07-19,73,https://www.k6fm.com/une-ministre-en-deplacement-ce-lundi-a-dijon,2021-09-30 09:59:55,national
Saint-Apollinaire,"""premier ministre""",25,Le Peuple Lotbinière,La caserne d'incendie de Saint-Apollinaire sera agrandie,2020-11-02,332,https://www.lepeuplelotbiniere.ca/1120/Soci%C3%A9t%C3%A9_.html?id=72703,2021-09-30 09:59:55,national
Saint-Apollinaire,climat,1,Le Peuple Lotbinière,Un aspirant à la succession de Bernard Ouellet se dévoile,2021-09-10,20,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=103685,2021-09-30 10:00:33,national
