Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Eustache,"""premier ministre""",1,L'Éveil et La Concorde,Paul St-Pierre Plamondon en visite à Saint-Eustache ce samedi 2 octobre - Journal L'Éveil de Saint-Eustache,2021-09-29,1,https://www.leveil.com/actualites/paul-st-pierre-plamondon-en-visite-a-saint-eustache-ce-samedi-2-octobre,2021-09-30 10:01:57,national
Saint-Eustache,"""premier ministre""",2,La Presse,Projets de génie honorés | La Presse,2021-09-25,5,https://www.lapresse.ca/affaires/tetes-d-affiche/2021-09-25/projets-de-genie-honores.php,2021-09-30 10:01:58,national
Saint-Eustache,"""premier ministre""",3,L'Éveil et La Concorde,Luc Desilets demeure député de Rivière-des-Mille-Îles - Journal L'Éveil de Saint-Eustache,2021-09-23,7,https://www.leveil.com/actualites/luc-desilets-demeure-depute-de-riviere-des-mille-iles,2021-09-30 10:01:58,national
Saint-Eustache,"""premier ministre""",4,TVA Nouvelles,Les développements sur la COVID-19 du 25 septembre 2021,2021-09-25,5,https://www.tvanouvelles.ca/2021/09/25/en-direct--les-derniers-developpements-sur-la-covid-19,2021-09-30 10:01:58,national
Saint-Eustache,"""premier ministre""",5,La Presse,Francos de Montréal | Un « party » signé FouKi et Koriass,2021-09-11,19,https://www.lapresse.ca/arts/musique/2021-09-11/francos-de-montreal/un-party-signe-fouki-et-koriass.php,2021-09-30 10:01:58,national
Saint-Eustache,"""premier ministre""",6,Le journal de Lévis,Les Chevaliers dominants le week-end dernier,2021-09-27,3,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=91671,2021-09-30 10:01:58,national
Saint-Eustache,"""premier ministre""",7,TVA Nouvelles,Les développements sur la COVID-19 du 18 septembre 2021,2021-09-18,12,https://www.tvanouvelles.ca/2021/09/18/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-09-30 10:01:59,national
Saint-Eustache,"""premier ministre""",8,L'Éveil et La Concorde,Une aide de 15 M$ est accordée par Ottawa à Nova Bus - Journal L'Éveil de Saint-Eustache,2021-06-24,98,https://www.leveil.com/economie/une-aide-dottawa-de-15-m-est-accordee-a-nova-bus,2021-09-30 10:01:59,national
Saint-Eustache,"""premier ministre""",9,Le Journal de Montréal,Les urgences de Saint-Jérôme et de Saint-Eustache à éviter,2021-07-25,67,https://www.journaldemontreal.com/2021/07/25/les-urgences-de-saint-jerome-et-de-saint-eustache-a-eviter-1,2021-09-30 10:01:59,national
Saint-Eustache,"""premier ministre""",10,La Presse,Électrification des transports | Coup de pouce financier à Nova Bus,2021-06-08,114,https://www.lapresse.ca/affaires/2021-06-08/electrification-des-transports/coup-de-pouce-financier-a-nova-bus.php,2021-09-30 10:01:59,national
Saint-Eustache,"""premier ministre""",11,Le Journal de Montréal,Investissement de 10 millions $ pour La Maison Lavande à Saint-Eustache,2021-05-31,122,https://www.journaldemontreal.com/2021/05/31/investissement-de-10-millions--pour-la-maison-lavande-a-saint-eustache,2021-09-30 10:01:59,national
Saint-Eustache,"""premier ministre""",12,Radio-Canada.ca,"Ottawa injecte 2,75 milliards $ pour électrifier la flotte d'autobus au pays",2021-03-04,210,https://ici.radio-canada.ca/nouvelle/1774936/gouvernement-canada-mckenna-champagne-autobus-elecrique-scolaire-transport-collectif,2021-09-30 10:01:59,national
Saint-Eustache,"""premier ministre""",13,Radio-Canada.ca,Horacio Arruda a reçu le vaccin de Moderna contre la COVID-19 | Coronavirus,2021-04-19,164,https://ici.radio-canada.ca/nouvelle/1786008/docteur-arruda-sante-publique-quebec-vaccin-pharmacie,2021-09-30 10:02:00,national
Saint-Eustache,"""premier ministre""",14,Le Journal de Montréal,Johnson lève le voile sur la fin de la plupart des restrictions en Angleterre,2021-07-04,88,https://www.journaldemontreal.com/2021/07/04/johnson-leve-le-voile-sur-la-fin-de-la-plupart-des-restrictions-en-angleterre,2021-09-30 10:02:00,national
