Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Félicien,élection OR campagne,1,L'Étoile du Lac,Mairie de Saint-Félicien : Gervais Laprise officiellement candidat,2021-09-16,14,https://www.letoiledulac.com/actualite/mairie-de-saint-felicien-gervais-laprise-officiellement-candidat/,2021-09-30 09:23:54,mixte
Saint-Félicien,élection OR campagne,2,L'Étoile du Lac,Élections fédérales : Les élus font part de leurs préoccupations,2021-08-31,30,https://www.letoiledulac.com/actualite/elections-federales-les-elus-font-part-de-leurs-preoccupations/,2021-09-30 09:23:55,mixte
Saint-Félicien,élection OR campagne,3,ICI.Radio-Canada.ca,Yves-François Blanchet sera au Lac-Saint-Jean samedi | Élections Canada 2021,2021-09-03,27,https://ici.radio-canada.ca/nouvelle/1821620/visite-yves-francois-blanchet-bloc-quebecois,2021-09-30 09:23:55,mixte
Saint-Félicien,élection OR campagne,4,Le Dauphiné Libéré,Ardèche | Saint-Félicien : Odyssia Durand concourt à l’élection Miss Rhône-Alpes,2021-09-24,6,https://www.ledauphine.com/culture-loisirs/2021/09/24/saint-felicien-odyssia-durand-concourt-a-l-election-miss-rhone-alpes,2021-09-30 09:23:55,mixte
Saint-Félicien,élection OR campagne,5,iHeartRadio,ÉLECTIONS: des affiches électorales déjà plantées dans les villes,2021-09-21,9,https://www.iheartradio.ca/energie/energie-saguenay/nouvelles/elections-des-affiches-electorales-deja-plantees-dans-les-villes-1.16120753,2021-09-30 09:23:55,mixte
Saint-Félicien,élection OR campagne,6,L'Étoile du Lac,Élections municipales : Quelques élus se présentent à nouveau,2021-09-15,15,https://www.letoiledulac.com/actualite/elections-municipales-quelques-elus-se-presentent-a-nouveau/,2021-09-30 09:23:56,mixte
Saint-Félicien,élection OR campagne,7,Le Devoir,Quoi surveiller ces 4 et 5 septembre?,2021-09-04,26,https://www.ledevoir.com/societe/629907/pour-votre-info-quoi-surveiller-cette-fin-de-semaine,2021-09-30 09:23:56,mixte
Saint-Félicien,élection OR campagne,8,Journal Nouvelles Hebdo,Délocalisation des fonctionnaires : Nancy Guillemette veut en attirer dans la circonscription,2021-09-02,28,https://www.nouvelleshebdo.com/actualite/delocalisation-des-fonctionnaires-nancy-guillemette-veut-en-attirer-dans-la-circonscription/,2021-09-30 09:23:56,mixte
Saint-Félicien,élection OR campagne,9,L'Étoile du Lac,Trois candidats à la mairie de Saint-Félicien,2021-06-21,101,https://www.letoiledulac.com/actualite/trois-candidats-a-la-mairie-de-saint-felicien/,2021-09-30 09:23:57,mixte
Saint-Félicien,élection OR campagne,10,Le Journal de Québec,Un clinique de vaccination à Saint-Félicien,2021-07-12,80,https://www.journaldequebec.com/2021/07/12/un-clinique-de-vaccination-a-saint-felicien-1,2021-09-30 09:23:57,mixte
Saint-Félicien,élection OR campagne,11,L'Étoile du Lac,Une nouvelle image pour Saint-Félicien,2021-06-27,95,https://www.letoiledulac.com/actualite/une-nouvelle-image-pour-saint-felicien/,2021-09-30 09:23:57,mixte
Saint-Félicien,élection OR campagne,12,L'Étoile du Lac,Gervais Laprise souhaite développer Saint-Félicien autrement,2021-07-03,89,https://www.letoiledulac.com/actualite/gervais-laprise-souhaite-developper-saint-felicien-autrement/,2021-09-30 09:23:57,mixte
Saint-Félicien,élection OR campagne,13,ICI.Radio-Canada.ca,C'est parti pour la vaccination au Cégep de Saint-Félicien | Coronavirus,2021-05-13,140,https://ici.radio-canada.ca/nouvelle/1792955/pole-vaccination-entreprise-produits-forestiers-resolu,2021-09-30 09:23:57,mixte
Saint-Félicien,élection OR campagne,14,Le Quotidien - Groupe Capitales Médias,La Maison du Bleuet inaugure ses nouvelles installations à Saint-Félicien,2021-05-07,146,https://www.lequotidien.com/actualites/la-maison-du-bleuet-inaugure-ses-nouvelles-installations-a-saint-felicien-5d30b0727a115c05871ba21cbca17c62,2021-09-30 09:23:58,mixte
