Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Hyacinthe,élection OR campagne,1,La Voix de l'est - Groupe Capitales Médias,Simon-Pierre Savard-Tremblay réélu dans Saint-Hyacinthe—Bagot [VIDÉO],2021-09-21,9,https://www.lavoixdelest.ca/actualites/elections-federales/simon-pierre-savard-tremblay-reelu-dans-saint-hyacinthebagot-video-3a84494cd70b20b12c995826f9b4a80e,2021-09-30 09:31:32,mixte
Saint-Hyacinthe,élection OR campagne,2,iHeartRadio,Des boites festives pour les familles dans le besoin de Saint-Hyacinthe,2021-09-28,2,https://www.iheartradio.ca/boom/boom-1041/nouvelles/des-boites-festives-pour-les-familles-dans-le-besoin-de-saint-hyacinthe-1.16167867,2021-09-30 09:31:33,mixte
Saint-Hyacinthe,élection OR campagne,3,iHeartRadio,Des boites festives pour les plus démunis de Saint-Hyacinthe,2021-09-28,2,https://www.iheartradio.ca/boom/boom-1041/nouvelles/des-boites-festives-pour-les-plus-demunis-de-saint-hyacinthe-1.16167867,2021-09-30 09:31:33,mixte
Saint-Hyacinthe,élection OR campagne,4,iHeartRadio,ÉLECTIONS: La relance économique s'invite dans Saint-Hyacinthe-Bagot,2021-09-09,21,https://www.iheartradio.ca/boom/boom-1041/nouvelles/elections-la-relance-economique-s-invite-dans-saint-hyacinthe-bagot-1.16038130,2021-09-30 09:31:33,mixte
Saint-Hyacinthe,élection OR campagne,5,La Voix de l'est - Groupe Capitales Médias,Une avance plus forte que prévue dans Saint-Hyacinthe-Bagot,2021-09-22,8,https://www.lavoixdelest.ca/actualites/elections-federales/une-avance-plus-forte-que-prevue-dans-saint-hyacinthe-bagot-27b4213c31e08233b5dc72cc7b2ddd41,2021-09-30 09:31:33,mixte
Saint-Hyacinthe,élection OR campagne,6,iHeartRadio,La protection des agriculteurs au coeur de la campagne dans Saint-Hyacinthe-Bagot,2021-08-25,36,https://www.iheartradio.ca/boom/boom-1041/nouvelles/la-protection-des-agriculteurs-au-coeur-de-la-campagne-dans-saint-hyacinthe-bagot-1.15970557,2021-09-30 09:31:34,mixte
Saint-Hyacinthe,élection OR campagne,7,iHeartRadio,La libérale Caroline Joan-Boucher confiante de conquérir Saint-Hyacinthe-Bagot,2021-09-02,28,https://www.iheartradio.ca/boom/boom-1041/nouvelles/la-liberale-caroline-joan-boucher-confiante-de-conquerir-saint-hyacinthe-bagot-1.15984216,2021-09-30 09:31:34,mixte
Saint-Hyacinthe,élection OR campagne,8,iHeartRadio,Dernier droit pour rallier les indécis dans Saint-Hyacinthe-Bagot,2021-09-14,16,https://www.iheartradio.ca/boom/boom-1041/nouvelles/dernier-droit-pour-rallier-les-indecis-dans-saint-hyacinthe-bagot-1.16074109,2021-09-30 09:31:34,mixte
Saint-Hyacinthe,élection OR campagne,9,iHeartRadio,Saint-Hyacinthe unie promet une plage urbaine dans le district Yamaska,2021-09-07,23,https://www.iheartradio.ca/boom/boom-1041/nouvelles/saint-hyacinthe-unie-promet-une-plage-urbaine-dans-le-district-yamaska-1.16014958,2021-09-30 09:31:34,mixte
Saint-Hyacinthe,élection OR campagne,10,La Voix de l'est - Groupe Capitales Médias,Caroline-Joan Boucher convie les électeurs à la table des décisions,2021-09-09,21,https://www.lavoixdelest.ca/actualites/elections-federales/caroline-joan-boucher-convie-les-electeurs-a-la-table-des-decisions-d9cdc2b04d98eb95db852364890b0b70,2021-09-30 09:31:35,mixte
