Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Raymond,accident,1,La Presse,"Une femme tuée à Saint-Raymond, le suspect accusé de meurtre au second degré",2021-09-11,19,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-11/une-femme-tuee-a-saint-raymond-le-suspect-accuse-de-meurtre-au-second-degre.php,2021-09-30 08:48:56,local
Saint-Raymond,accident,2,ICI.Radio-Canada.ca,Un motocycliste tué lors d'un face-à-face à Neuville,2021-09-20,10,https://ici.radio-canada.ca/nouvelle/1825646/accident-mortel-neuville-motocycliste-mort,2021-09-30 08:48:56,local
Saint-Raymond,accident,3,Le Journal de Québec,Saint-Raymond: deux personnes grièvement blessées dans un accident,2021-07-17,75,https://www.journaldequebec.com/2021/07/17/saint-raymond-deux-personnes-grievement-blessees-dans-un-accident,2021-09-30 08:48:56,local
Saint-Raymond,accident,4,Le Journal de Québec,[PHOTOS] Grave collision à Lévis: L'adolescent à vélo heurté par une voiture vendredi est décédé,2021-09-12,18,https://www.journaldequebec.com/2021/09/11/photos-grave-collision-a-levis-un-adolescent-a-velo-se-trouve-dans-un-etat-critique,2021-09-30 08:48:56,local
Saint-Raymond,accident,5,Zone911,Accident - Deux blessés graves à St-Raymond-de-Portneuf,2021-07-17,75,https://zone911.com/avis-de-recherche/31148-suspect-recherche-pour-vol-qualifie-et-agression-a-boucherville,2021-09-30 08:48:57,local
Saint-Raymond,accident,6,Le Journal de Montréal,Motocycliste happé à Laval: la victime succombe à ses blessures,2021-09-01,29,https://www.journaldemontreal.com/2021/08/31/accident-grave-a-laval-un-motocycliste-entre-la-vie-et-la-mort-1,2021-09-30 08:48:57,local
Saint-Raymond,accident,7,Le Soleil - Groupe Capitales Médias,Un planeur s'écrase dans un boisé à Saint-Raymond,2021-08-14,47,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-planeur-secrase-dans-un-boise-a-saint-raymond-2c4ac72c5c943ac900cb3fb5d75da400,2021-09-30 08:48:57,local
Saint-Raymond,accident,8,ICI.Radio-Canada.ca,Un homme blessé dans une embardée en VTT à Saint-Raymond,2021-07-27,65,https://ici.radio-canada.ca/nouvelle/1812335/accident-blessure-embardee-portneuf-surete-quebec,2021-09-30 08:48:57,local
Saint-Raymond,accident,9,Zone911,C'est le grand départ du Tour Paramédic,2021-09-17,13,https://zone911.com/services-d-urgence/31474-c-est-le-grand-depart-du-tour-paramedic,2021-09-30 08:48:58,local
Saint-Raymond,accident,10,Zone911,Le Tour Paramédic est complété avec succès : Un périple de 520 kilomètres à vélo,2021-09-20,10,https://zone911.com/services-d-urgence/31495-le-tour-paramedic-est-complete-avec-succes-un-periple-de-520-kilometres-a-velo,2021-09-30 08:48:58,local
Saint-Raymond,accident,11,Zone911,Québec - Tentative d'introduction et un coup de feu aurait été entendu à St-Émile,2021-09-11,19,https://zone911.com/scenes-policieres/31440-quebec-tentative-d-introduction-et-un-coup-de-feu-aurait-ete-entendu-a-st-emile,2021-09-30 08:48:58,local
Saint-Raymond,accident,12,ICI.Radio-Canada.ca,Pas de nouvelles traces du cycliste porté disparu à Saint-Raymond,2021-08-17,44,https://ici.radio-canada.ca/nouvelle/1816999/cycliste-pavel-brezezinski-vallee-bras-du-nord-saint-raymond,2021-09-30 08:48:59,local
Saint-Raymond,accident,13,Le Soleil - Groupe Capitales Médias,Grave accident à Saint-Raymond: l'alcool pourrait être en cause,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/grave-accident-a-saint-raymond-lalcool-pourrait-etre-en-cause-d05f66ac18ee708b4ff5437816e367f4,2021-09-30 08:48:59,local
Saint-Raymond,accident,14,ICI.Radio-Canada.ca,Un homme chute de plusieurs mètres à la Vallée Bras-du-Nord,2020-10-19,346,https://ici.radio-canada.ca/nouvelle/1742131/chute-vallee-bras-nord-randonnee-accident,2021-09-30 08:48:59,local
