Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Rémi,"""premier ministre""",1,ONFR+,Le retour de Joly aux langues officielles demandé,2021-09-27,3,https://onfr.tfo.org/le-retour-de-joly-aux-langues-officielles-demande/,2021-09-30 10:24:28,national
Saint-Rémi,"""premier ministre""",2,Le journal de Lévis,Dans l'œil de Michel - Chronique du 29 septembre 2021,2021-09-29,1,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=91693,2021-09-30 10:24:28,national
Saint-Rémi,"""premier ministre""",3,L'Avantage Rimouski,Les Bas-Laurentiens et les Gaspésiens appelés aux urnes aujourd'hui,2021-09-20,10,https://www.lavantage.qc.ca/article/2021/09/20/les-bas-laurentiens-et-les-gaspesiens-appeles-aux-urnes-aujourd-hui,2021-09-30 10:24:28,national
Saint-Rémi,"""premier ministre""",4,Creusot-infos.com,"SAONE-ET-LOIRE : Le 1er Ministre Jean Castex viendra finalement, jeudi, au Creusot et à Autun",2021-09-22,8,https://www.creusot-infos.com/news/saone-et-loire/saone-et-loire/saone-et-loire-le-1er-ministre-jean-castex-viendra-finalement-jeudi-au-creusot-et-a-autun.html,2021-09-30 10:24:29,national
Saint-Rémi,"""premier ministre""",5,Mon Matane,Éphémérides du 13 septembre : Matane : une ville attrayante selon « La Patrie du dimanche » en 1959,2021-09-13,17,https://monmatane.com/ephemerides-du-13-septembre-matane-une-ville-attrayante-selon-la-patrie-du-dimanche-en-1959/,2021-09-30 10:24:29,national
Saint-Rémi,"""premier ministre""",6,infos-dijon.com,POUILLY-EN-AUXOIS : Le ministre Marc Fesneau salue les initiatives autour de l'espace France Services,2021-09-01,29,https://www.infos-dijon.com/news/cote-d-or/cote-d-or/pouilly-en-auxois-le-ministre-marc-fesneau-salue-les-initiatives-autour-de-l-espace-france-services.html,2021-09-30 10:24:29,national
Saint-Rémi,"""premier ministre""",7,MCC France,"38e Journées européennes du patrimoine : plus de 8 millions de Français rassemblés autour du patrimoine et de la culture, en hausse par rapport à l...",2021-09-19,11,https://www.culture.gouv.fr/Presse/Communiques-de-presse/38e-Journees-europeennes-du-patrimoine-plus-de-8-millions-de-Francais-rassembles-autour-du-patrimoine-et-de-la-culture-en-hausse-par-rapport-a-l,2021-09-30 10:24:29,national
Saint-Rémi,"""premier ministre""",8,actu.fr,"Comment dépolluer les friches industrielles, fléau écologique",2021-09-29,1,https://actu.fr/societe/enquete-comment-depolluer-les-friches-industrielles-fleau-ecologique_44111578.html,2021-09-30 10:24:30,national
Saint-Rémi,"""premier ministre""",9,Coup d'Oeil,La première victime décédée d'une thrombose est originaire de Saint-Rémi - Coup d'œil,2021-04-28,155,https://www.coupdoeil.info/2021/04/28/la-premiere-victime-decedee-dune-thrombose-est-originaire-de-saint-remi/,2021-09-30 10:24:30,national
Saint-Rémi,"""premier ministre""",10,Radio-Canada.ca,Une Québécoise ayant reçu le vaccin AstraZeneca succombe à une thrombose | Coronavirus,2021-04-28,155,https://ici.radio-canada.ca/nouvelle/1788350/mort-francine-boyer-premier-deces-canada-covid-19-caillot-sangin-az,2021-09-30 10:24:30,national
Saint-Rémi,"""premier ministre""",11,Magazine MCI,Québec investit dans 21 projets de recherche minière,2021-09-02,28,https://magazinemci.com/2021/09/02/quebec-investit-dans-21-projets-de-recherche-miniere/,2021-09-30 10:24:31,national
Saint-Rémi,"""premier ministre""",12,ICI.Radio-Canada.ca,"Québec accorde 1,5 M$ par année à une nouvelle Maison Martin-Matte",2021-04-30,153,https://ici.radio-canada.ca/nouvelle/1789373/maison-martin-matte-saint-remi-aide-traumatisme-cranien,2021-09-30 10:24:31,national
Saint-Rémi,"""premier ministre""",13,Le Journal de Québec,La semaine gâchée de François Legault | JDQ,2021-04-17,166,https://www.journaldequebec.com/2021/04/17/la-semaine-gachee-de-francois-legault,2021-09-30 10:24:31,national
Saint-Rémi,"""premier ministre""",14,Le Journal de Québec,Legault prépare son deuxième mandat,2021-08-21,40,https://www.journaldequebec.com/2021/08/21/legault-prepare-son-deuxieme-mandat,2021-09-30 10:24:31,national
Saint-Rémi,"""premier ministre""",15,Gouvernement.fr,Déclaration du Premier ministre depuis le centre de vaccination de Saint-Rémy-lès-Chevreuse,2021-04-15,168,https://www.gouvernement.fr/partage/12232-declaration-du-premier-ministre-depuis-le-centre-de-vaccination-de-saint-remy-les-chevreuse,2021-09-30 10:24:32,national
Saint-Rémi,"""premier ministre""",16,actu.fr,"Yvelines. A Saint-Rémy-lès-Chevreuse, Jean Castex annonce la vaccination prioritaire pour les enseignants et forces de l'ordre de plus de 55 ans",2021-04-15,168,https://actu.fr/ile-de-france/saint-remy-les-chevreuse_78575/yvelines-a-saint-remy-les-chevreuse-jean-castex-annonce-la-vaccination-prioritaire-pour-les-enseignants-et-forces-de-l-ordre-de-plus-de-55-ans_41081713.html,2021-09-30 10:24:32,national
Saint-Rémi,"""premier ministre""",17,Le Journal de Québec,Le variant a chambardé le plan Legault,2021-03-06,208,https://www.journaldequebec.com/2021/03/06/le-variant-a-chambarde-le-plan-legault,2021-09-30 10:24:32,national
Saint-Rémi,"""premier ministre""",18,Le Journal de Québec,Le bulletin de fin de session de nos élus,2021-06-12,110,https://www.journaldequebec.com/2021/06/12/le-bulletin-de-fin-de-session-de-nos-elus,2021-09-30 10:24:33,national
Saint-Rémi,"""premier ministre""",19,Le Journal de Québec,Pas de remaniement caquiste en vue,2021-05-29,124,https://www.journaldequebec.com/2021/05/29/pas-de-remaniement-caquiste-en-vue,2021-09-30 10:24:33,national
Saint-Rémi,"""premier ministre""",20,Coup d'Oeil,Tous les foyers auront accès à Internet haute vitesse d'ici septembre 2022 - Coup d'œil,2021-06-29,93,https://www.coupdoeil.info/2021/06/29/tous-les-foyers-auront-acces-a-internet-haute-vitesse-dici-septembre-2022/,2021-09-30 10:24:33,national
Saint-Rémi,"""premier ministre""",21,Le Journal de Québec,Des finissants soulagés de pouvoir célébrer librement,2021-06-08,114,https://www.journaldequebec.com/2021/06/08/des-finissants-soulages-de-pouvoir-celebrer-librement,2021-09-30 10:24:33,national
Saint-Rémi,"""premier ministre""",22,Le Journal de Québec,L'inquiétante humeur de François Legault | JDQ,2021-06-04,118,https://www.journaldequebec.com/2021/06/04/linquietante-humeur-de-francois-legault-1,2021-09-30 10:24:33,national
Saint-Rémi,"""premier ministre""",23,Le Journal de Québec,"Encore une fois, Ottawa dit non au Québec",2021-04-24,159,https://www.journaldequebec.com/2021/04/24/encore-une-fois-ottawa-dit-non-au-quebec,2021-09-30 10:24:34,national
Saint-Rémi,"""premier ministre""",24,Coup d'Oeil,Christine Normandin parle des gains importants du Bloc - Coup d'œil,2021-08-03,58,https://www.coupdoeil.info/2021/08/03/christine-normandin-parle-des-gains-importants-du-bloc/,2021-09-30 10:24:34,national
