Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Tite,"""premier ministre""",1,TVA Nouvelles,Les développements sur la COVID du 7 septembre 2021,2021-09-07,23,https://www.tvanouvelles.ca/2021/09/07/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-09-30 10:26:43,national
Saint-Tite,"""premier ministre""",2,lenational.org,Le secrétaire général de la Présidence fait la leçon au Premier ministre,2021-09-24,6,https://www.lenational.org/post_free.php?elif=1_CONTENUE/actualitees&rebmun=8285,2021-09-30 10:26:43,national
Saint-Tite,"""premier ministre""",3,La Presse,Trudeau estime avoir reçu un « mandat clair » des Canadiens,2021-09-20,10,https://www.lapresse.ca/elections-federales/2021-09-20/trudeau-estime-avoir-recu-un-mandat-clair-des-canadiens.php,2021-09-30 10:26:43,national
Saint-Tite,"""premier ministre""",4,Le Devoir,«Le Devoir» en Colombie-Britannique: les orphelins de Jody Wilson-Raybould,2021-09-10,20,https://www.ledevoir.com/politique/canada/631272/en-colombie-britannique-les-orphelins-de-jody-wilson-raybould,2021-09-30 10:26:43,national
Saint-Tite,"""premier ministre""",5,La Presse,La parole aux électeurs | La Presse,2021-09-12,18,https://www.lapresse.ca/elections-federales/2021-09-12/la-parole-aux-electeurs.php,2021-09-30 10:26:43,national
Saint-Tite,"""premier ministre""",6,Le Journal de Montréal,Accident à Saint-Tite: les jeunes sont en deuil,2021-06-15,107,https://www.journaldemontreal.com/2021/06/15/accident-a-saint-tite-les-jeunes-sont-en-deuil-1,2021-09-30 10:26:44,national
Saint-Tite,"""premier ministre""",7,Le Journal de Montréal,Un motocycliste perd la vie à Saint-Tite,2021-07-03,89,https://www.journaldemontreal.com/2021/07/03/un-motocycliste-perd-la-vie-a-saint-tite,2021-09-30 10:26:44,national
Saint-Tite,"""premier ministre""",8,Le Nouvelliste - Groupe Capitales Médias,Location de terrains au Festival western de Saint-Tite: des citoyens veulent des réponses,2021-07-23,69,https://www.lenouvelliste.ca/actualites/location-de-terrains-au-festival-western-de-saint-tite-des-citoyens-veulent-des-reponses-3e8a7f056d81cc3dcad7e87850a6527e,2021-09-30 10:26:44,national
Saint-Tite,"""premier ministre""",9,Le Nouvelliste - Groupe Capitales Médias,Les rodéos de retour en selle à Saint-Tite,2021-07-30,62,https://www.lenouvelliste.ca/actualites/les-rodeos-de-retour-en-selle-a-saint-tite-261e5e14f652267fba4e5779ccc1031f,2021-09-30 10:26:44,national
Saint-Tite,"""premier ministre""",10,ICI.Radio-Canada.ca,Passeport vaccinal : un défi pour les secteurs de la restauration et des spectacles,2021-08-11,50,https://ici.radio-canada.ca/nouvelle/1815829/restaurant-salles-festival-western-st-tite-mauricie-covid-vaccin,2021-09-30 10:26:45,national
