Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Agathe-des-Monts,élection OR campagne,1,Nord Info et Voix des Mille-Iles,Agressions à caractère sexuel : lancement d'une campagne de sensibilisation auprès des jeunes,2021-09-22,8,https://www.nordinfo.com/actualites/agressions-a-caractere-sexuel-lancement-dune-campagne-de-sensibilisation-aupres-des-jeunes/,2021-09-30 09:48:10,mixte
Sainte-Agathe-des-Monts,élection OR campagne,2,iHeartRadio,Mère de famille assassinée à Saint-Donat: son conjoint accusé,2021-09-28,2,https://www.iheartradio.ca/energie/energie-montreal/nouvelles/mere-de-famille-assassinee-a-saint-donat-son-conjoint-accuse-1.16169774,2021-09-30 09:48:10,mixte
Sainte-Agathe-des-Monts,élection OR campagne,3,ICI.Radio-Canada.ca,Pierre-Luc Dubois veut rebondir après une saison difficile avec les Jets de Winnipeg,2021-09-21,9,https://ici.radio-canada.ca/nouvelle/1825988/hockey-jets-winnipeg-pierre-luc-lnh,2021-09-30 09:48:10,mixte
Sainte-Agathe-des-Monts,élection OR campagne,4,L’actualité,Coûteuses maisons des aînés,2021-09-08,22,https://lactualite.com/lactualite-affaires/couteuses-maisons-des-aines/,2021-09-30 09:48:11,mixte
Sainte-Agathe-des-Monts,élection OR campagne,5,Journal Accès,Sainte-Agathe : Des baux de logements locatifs signés avant même qu'ils soient construits - Accès Laurentides,2021-04-06,177,https://www.journalacces.ca/boom-immobilier-des-baux-de-logements-locatifs-signes-avant-meme-quils-soient-construits/,2021-09-30 09:48:11,mixte
Sainte-Agathe-des-Monts,élection OR campagne,6,Nord Info et Voix des Mille-Iles,Sites de vaccination: le CISSS fait le point,2021-08-20,41,https://www.nordinfo.com/actualites/sites-de-vaccination-le-cisss-fait-le-point/,2021-09-30 09:48:11,mixte
Sainte-Agathe-des-Monts,élection OR campagne,7,Journal Accès,Le CISSS des Laurentides comptera huit sites de vaccination - Accès Laurentides,2021-02-16,226,https://www.journalacces.ca/le-cisss-des-laurentides-comptera-huit-sites-de-vaccination/,2021-09-30 09:48:11,mixte
Sainte-Agathe-des-Monts,élection OR campagne,8,Nord Info et Voix des Mille-Iles,Le conseil est nommé chez Culture Laurentides,2021-06-23,99,https://www.nordinfo.com/culture/le-conseil-est-nomme-chez-culture-laurentides/,2021-09-30 09:48:11,mixte
Sainte-Agathe-des-Monts,élection OR campagne,9,Le Journal de Montréal,Visés par des enquêtes,2020-11-28,306,https://www.journaldemontreal.com/2020/11/28/vises-par-des-enquetes,2021-09-30 09:48:11,mixte
Sainte-Agathe-des-Monts,élection OR campagne,10,La Presse,Photoreportage | Jouer à la maison | La Presse,2021-07-23,69,https://www.lapresse.ca/maison/immobilier/2021-07-23/photoreportage/jouer-a-la-maison.php,2021-09-30 09:48:12,mixte
