Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Julie,accident,1,TVA Nouvelles,Décès d'un ado écrasé: des caméras 360° recommandées dans le autobus scolaires,2021-09-09,21,https://www.tvanouvelles.ca/2021/09/09/deces-dun-ado-ecrase-des-cameras-360-recommandees-dans-le-autobus-scolaires,2021-09-30 09:10:42,local
Sainte-Julie,accident,2,ICI.Radio-Canada.ca,Décès de piétons : une enquête publique thématique demandée à la coroner en chef,2021-09-10,20,https://ici.radio-canada.ca/nouvelle/1823254/mort-pietons-autobus-jules-boutin,2021-09-30 09:10:43,local
Sainte-Julie,accident,3,Zone911,Accident sur l'autoroute 20 près de Sainte-Julie,,,https://zone911.com/accidents/28911-accident-sur-l-autoroute-20-pres-de-sainte-julie,2021-09-30 09:10:43,local
Sainte-Julie,accident,4,Fm1033.ca,Le virage à gauche interdit sur une rue de Sainte-Julie,2021-08-03,58,https://www.fm1033.ca/le-virage-a-gauche-interdit-sur-une-rue-de-sainte-julie/,2021-09-30 09:10:43,local
Sainte-Julie,accident,5,Fm1033.ca,Un homme de Sainte-Julie décède d'un accident de motoneige,2021-01-25,248,https://www.fm1033.ca/un-homme-de-sainte-julie-decede-dun-accident-de-motoneige/,2021-09-30 09:10:44,local
Sainte-Julie,accident,6,LaPresse.ca,Accident mortel sur l'A20 Est près de Sainte-Julie,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/faits-divers/201706/19/01-5108835-accident-mortel-sur-la20-est-pres-de-sainte-julie.php,2021-09-30 09:10:44,local
Sainte-Julie,accident,7,Le Journal de Montréal,Sainte-Julie: un mort et un blessé grave dans un accident de la route,,,https://www.journaldemontreal.com/2019/12/13/sainte-julie-un-mort-et-un-blesse-grave-dans-un-accident-de-la-route-1,2021-09-30 09:10:44,local
Sainte-Julie,accident,8,Le Journal de Québec,Accident en Beauce: une motocycliste mère de 4 enfants décède,2021-04-26,157,https://www.journaldequebec.com/2021/04/25/une-motocycliste-mere-de-4enfants-decede,2021-09-30 09:10:44,local
Sainte-Julie,accident,9,La Releve,Accident sur la 20 : un jeune homme de 21 ans perd la vie,,,https://www.lareleve.qc.ca/2020/08/25/accident-sur-la-20-un-jeune-homme-de-21-ans-perd-la-vie/,2021-09-30 09:10:44,local
Sainte-Julie,accident,10,LaPresse.ca,Accident mortel sur l'autoroute 20 à Sainte-Julie,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/faits-divers/201803/18/01-5157736-accident-mortel-sur-lautoroute-20-a-sainte-julie.php,2021-09-30 09:10:45,local
