Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Marie,accident,1,Zone911,Sainte-Marie de Beauce - Un motocycliste perd la vie dans un accident,2021-09-19,11,https://zone911.com/accidents/31488-sainte-marie-de-beauce-un-motocycliste-perd-lvie-accident-moto,2021-09-30 12:00:09,local
Sainte-Marie,accident,2,Le Soleil - Groupe Capitales Médias,Un ado meurt après un accident de moto à Sainte-Marie,2021-09-19,11,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-ado-meurt-apres-un-accident-de-moto-a-sainte-marie-3396b504aa9d8964345be99cdd0fd4b8,2021-09-30 12:00:09,local
Sainte-Marie,accident,3,ICI.Radio-Canada.ca,Accident de moto mortel en Beauce,2021-09-19,11,https://ici.radio-canada.ca/nouvelle/1825423/accident-grave-moto-route-cameron-sainte-marie,2021-09-30 12:00:10,local
Sainte-Marie,accident,4,EnBeauce.com,Accident à Sainte-Marie ce matin: décès du motocycliste,2021-09-19,11,https://www.enbeauce.com/actualites/faits-divers/437602/accident-a-sainte-marie-ce-matin-deces-du-motocycliste,2021-09-30 12:00:10,local
Sainte-Marie,accident,5,Ma Beauce,Un motocycliste entre la vie et la mort à la suite d'un accident à Sainte-Marie,2021-09-19,11,https://mabeauce.com/un-motocycliste-entre-la-vie-et-la-mort-a-la-suite-dun-accident-a-sainte-marie/,2021-09-30 12:00:10,local
Sainte-Marie,accident,6,France Bleu,Un blessé grave et un blessé léger dans un accident à Ance Féas,2021-09-25,5,https://www.francebleu.fr/infos/faits-divers-justice/un-blesse-grave-et-un-blesse-leger-dans-un-accident-a-ance-feas-1632552669,2021-09-30 12:00:10,local
Sainte-Marie,accident,7,France Bleu,Une infirmière jugée au tribunal de Pau pour un grave accident à Oloron-Sainte-Marie,2021-09-07,23,https://www.francebleu.fr/infos/faits-divers-justice/une-infirmiere-jugee-au-tribunal-de-pau-pour-un-grave-accident-a-oloron-sainte-marie-1631040205,2021-09-30 12:00:10,local
Sainte-Marie,accident,8,France 3 Régions,Landes : trois blessés graves dans un accident de voiture à Sainte-Marie-de-Gosse,2021-09-15,15,https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/landes/landes-trois-blesses-graves-dans-accident-de-voiture-a-sainte-marie-de-gosse-2251669.html,2021-09-30 12:00:11,local
Sainte-Marie,accident,9,L'Action,Une Crabtréenne veut sensibiliser les automobilistes à la prudence,2021-09-28,2,https://www.laction.com/article/2021/09/28/une-crabtreenne-veut-sensibiliser-les-automobilistes-a-la-prudence,2021-09-30 12:00:11,local
Sainte-Marie,accident,10,LINFO.re,"Sainte-Marie : accident sur la 4 voies entre deux véhicules, circulation perturbée",2021-09-04,26,https://www.linfo.re/la-reunion/societe/sainte-marie-accident-sur-la-4-voies-entre-deux-vehicules-circulation-perturbee,2021-09-30 12:00:11,local
Sainte-Marie,accident,11,Outre-mer la 1ère,Un dramatique accident à Sainte-Rose fait un mort et un blessé grave - Guadeloupe la 1ère,2021-09-24,6,https://la1ere.francetvinfo.fr/guadeloupe/basse-terre/sainte-rose-guadeloupe/un-grave-accident-a-sainte-rose-fait-un-mort-et-un-blesse-grave-1112674.html,2021-09-30 12:00:12,local
Sainte-Marie,accident,12,journal le soir,Le crucifix disparu de la salle du conseil…par accident!,2021-09-22,8,https://journallesoir.ca/2021/09/22/le-crucifix-disparu-de-la-salle-du-conseil-par-accident/,2021-09-30 12:00:12,local
Sainte-Marie,accident,13,Ma Beauce,Violente collision sur la route Cameron à Sainte-Marie,2021-06-30,92,https://mabeauce.com/violente-collision-sur-la-route-cameron-a-sainte-marie/,2021-09-30 12:00:12,local
Sainte-Marie,accident,14,Outre-mer la 1ère,Sainte-Suzanne : un motard de 31 ans décède suite à un accident sur la quatre-voies - Réunion la 1ère,2021-09-09,21,https://la1ere.francetvinfo.fr/reunion/sainte-suzanne/sainte-suzanne-un-motard-de-31-ans-decede-suite-a-un-accident-sur-la-quatre-voies-1099435.html,2021-09-30 12:00:13,local
Sainte-Marie,accident,15,EnBeauce.com,Deux blessés mineurs dans une collision à Sainte-Marie,2021-08-09,52,https://www.enbeauce.com/actualites/faits-divers/433812/deux-blesses-mineurs-dans-une-collision-a-sainte-marie,2021-09-30 12:00:13,local
Sainte-Marie,accident,16,Le Journal de Montréal,Deuxième accident grave au même endroit en autant de jours: un cycliste entre la vie et la mort,2021-04-08,175,https://www.journaldemontreal.com/2021/04/08/deuxieme-accident-grave-au-meme-endroit-en-autant-de-jours-un-cycliste-entre-la-vie-et-la-mort,2021-09-30 12:00:13,local
Sainte-Marie,accident,17,Le Journal de Québec,Une femme meurt dans un accident impliquant trois véhicules,2020-10-15,350,https://www.journaldequebec.com/2020/10/15/quatre-personnes-blessees-dans-un-grave-accident-a-sainte-marie-de-beauce,2021-09-30 12:00:13,local
Sainte-Marie,accident,18,Le Journal de Montréal,Un motocycliste meurt dans une collision à Sainte-Marie-Madeleine,2021-04-08,175,https://www.journaldemontreal.com/2021/04/07/un-motocycliste-gravement-blesse-a-sainte-marie-madeleine,2021-09-30 12:00:13,local
Sainte-Marie,accident,19,Ma Beauce,Collision entre une moto et une voiture à Sainte-Marie,2021-04-09,174,https://mabeauce.com/collision-entre-une-moto-et-une-voiture-a-sainte-marie/,2021-09-30 12:00:13,local
