Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Marie,élection OR campagne,1,Le Journal de Montréal,Steven Guilbeault réélu dans la circonscription de Laurier-Sainte-Marie,2021-09-21,9,https://www.journaldemontreal.com/2021/09/21/steven-guilbeault-reelu-dans-la-circonscription-de-laurier-sainte-marie,2021-09-30 13:06:22,mixte
Sainte-Marie,élection OR campagne,2,Radio-Canada.ca,Élections fédérales : les Canadiens appelés aux urnes | Élections Canada 2021,2021-09-20,10,https://ici.radio-canada.ca/nouvelle/1825453/canada-scrutin-depouillement-resultats-communes-parlement,2021-09-30 13:06:22,mixte
Sainte-Marie,élection OR campagne,3,La Presse,Élections fédérales | Le PLC remporte plus de sièges au Québec que le Bloc,2021-09-23,7,https://www.lapresse.ca/actualites/politique/2021-09-23/elections-federales/le-plc-remporte-plus-de-sieges-au-quebec-que-le-bloc.php,2021-09-30 13:06:22,mixte
Sainte-Marie,élection OR campagne,4,Le Devoir,Élections Canada 2021 : les résultats des élections en direct,2021-09-21,9,https://www.ledevoir.com/documents/special/21-09_resultats-elections-canada-2021/index.html,2021-09-30 13:06:23,mixte
Sainte-Marie,élection OR campagne,5,La Presse,Que deviennent les pancartes après la campagne ?,2021-09-28,2,https://www.lapresse.ca/actualites/environnement/2021-09-28/que-deviennent-les-pancartes-apres-la-campagne.php,2021-09-30 13:06:23,mixte
Sainte-Marie,élection OR campagne,6,Radio-Canada.ca,Près de 60 % des candidats de Projet Montréal seront des femmes | Élections municipales au Québec 2021,2021-09-23,7,https://ici.radio-canada.ca/nouvelle/1826385/equipe-projet-montreal-elections-municipales-montreal-2021-parite,2021-09-30 13:06:23,mixte
Sainte-Marie,élection OR campagne,7,L'Action,La soirée électorale dans la circonscription de Joliette,2021-09-20,10,https://www.laction.com/article/2021/09/20/la-soiree-electorale-dans-la-circonscription-de-joliette,2021-09-30 13:06:23,mixte
Sainte-Marie,élection OR campagne,8,Radio-Canada.ca,La colère des pêcheurs s'immisce dans la campagne électorale en Nouvelle-Écosse | Élections Canada 2021,2021-09-08,22,https://ici.radio-canada.ca/nouvelle/1822408/conflit-peche-subsistance-autochtone-baie-sainte-marie-elections-federales-vote,2021-09-30 13:06:23,mixte
Sainte-Marie,élection OR campagne,9,Le Devoir,Les longues files d'attente empêchent des électeurs de voter dans Laurier–Sainte-Marie,2021-09-21,9,https://www.ledevoir.com/politique/canada/634044/longue-file-d-attente-pour-voter-dans-le-plateau,2021-09-30 13:06:24,mixte
Sainte-Marie,élection OR campagne,10,TVA Nouvelles,"Tous les résultats, réactions et discours des chefs",2021-09-20,10,https://www.tvanouvelles.ca/2021/09/20/tous-les-resultats-en-direct,2021-09-30 13:06:24,mixte
