Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Salaberry-de-Valleyfield,accident,1,TVA Nouvelles,La fille d'un Hells était à près du double de la limite permise,2021-09-08,22,https://www.tvanouvelles.ca/2021/09/08/la-fille-dun-hells-etait-a-pres-du-double-de-la-limite-permise,2021-09-30 12:03:50,local
Salaberry-de-Valleyfield,accident,2,TVA Nouvelles,Encore une explosion chez General Dynamics,2021-09-14,16,https://www.tvanouvelles.ca/2021/09/14/encore-une-explosion-chez-general-dynamics,2021-09-30 12:03:50,local
Salaberry-de-Valleyfield,accident,3,La Presse,Salaberry-De-Valleyfield | Un motocycliste est blessé dans un cas de rage au volant,2021-05-12,141,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-12/salaberry-de-valleyfield/un-motocycliste-est-blesse-dans-un-cas-de-rage-au-volant.php,2021-09-30 12:03:50,local
Salaberry-de-Valleyfield,accident,4,Le Journal Saint-François,Tragique accident de travail à Valleyfield,2021-03-08,206,https://www.journalsaint-francois.ca/tragique-accident-de-travail-a-valleyfield/,2021-09-30 12:03:50,local
Salaberry-de-Valleyfield,accident,5,Le Journal de Montréal,Accident de scooter à Salaberry-de-Valleyfield | JDM,,,https://www.journaldemontreal.com/2020/05/23/accident-de-scooter-a-salaberry-de-valleyfield,2021-09-30 12:03:51,local
Salaberry-de-Valleyfield,accident,6,La Presse,Incendie mortel à Salaberry-de-Valleyfield | La Presse,2021-03-16,198,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-03-16/incendie-mortel-a-salaberry-de-valleyfield.php,2021-09-30 12:03:51,local
Salaberry-de-Valleyfield,accident,7,Le Journal de Montréal,Une conductrice prend la fuite après une collision à Salaberry-de-Valleyfield,2021-03-19,195,https://www.journaldemontreal.com/2021/03/19/une-conductrice-prend-la-fuite-apres-une-collision-a-salaberry-de-valleyfield,2021-09-30 12:03:51,local
Salaberry-de-Valleyfield,accident,8,Le Journal Saint-François,Une collision fait un blessé dans le secteur Saint-Timothée,2021-04-13,170,https://www.journalsaint-francois.ca/une-collision-fait-un-blesse-dans-le-secteur-saint-timothee/,2021-09-30 12:03:51,local
Salaberry-de-Valleyfield,accident,9,Le Journal Saint-François,Accident sur le boulevard Mgr-Langlois,2021-07-14,78,https://www.journalsaint-francois.ca/Accident-sur-le-boulevard-Mgr-Langlois-juillet-2021/,2021-09-30 12:03:51,local
Salaberry-de-Valleyfield,accident,10,Zone911,DERNIÈRE HEURE : Lévis - Accident sur l'autoroute 20 près de la balance,2021-06-27,95,https://zone911.com/accidents/31040-derniere-heure-levis-accident-sur-l-autoroute-20-pres-de-la-balance,2021-09-30 12:03:51,local
Salaberry-de-Valleyfield,accident,11,Le Journal de Montréal,Fille d'un Hells sur le party avant un accident mortel,2021-02-01,241,https://www.journaldemontreal.com/2021/02/01/fille-dun-hells-sur-le-party-avant-un-accident-mortel,2021-09-30 12:03:52,local
Salaberry-de-Valleyfield,accident,12,Zone911,SUIVI - Accident dans la région de Bellechasse: 5 blessés à Honfleur (Photos),2021-07-11,81,https://zone911.com/accidents/31119-suivi-accident-dans-la-region-de-bellechasse-5-blesses-a-honfleur-photos,2021-09-30 12:03:52,local
Salaberry-de-Valleyfield,accident,13,Zone911,Un accident de moto sur la route du Grand-Capsa a fait un décès,2021-08-13,48,https://zone911.com/accidents/31244-grave-accident-de-moto-sur-la-route-grand-capsa,2021-09-30 12:03:52,local
Salaberry-de-Valleyfield,accident,14,Le Journal Saint-François,VIDÉO - Un feu de broussaille affecte la circulation sur la 530,2021-05-21,132,https://www.journalsaint-francois.ca/video-un-feu-de-broussaille-affecte-la-circulation-sur-la-530/,2021-09-30 12:03:52,local
Salaberry-de-Valleyfield,accident,15,Zone911,Un grave accident évité à Québec - Actualités - ZONE911 (média collaboratif),2021-06-18,104,https://zone911.com/accidents/30995-grave-accident-evite-a-quebec-un-vehicule-termine-sa-course-dans-une-cloture-d-une-garderie,2021-09-30 12:03:52,local
