Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sherbrooke,accident,1,La Tribune - Groupe Capitales Médias,Accident de la route : un jeune homme de 17 ans entre la vie et la mort,2021-09-18,12,https://www.latribune.ca/actualites/accident-de-la-route--un-jeune-homme-de-17-ans-entre-la-vie-et-la-mort-1be604e967a381f1da76f290ae8262b6,2021-09-30 12:14:16,local
Sherbrooke,accident,2,La Tribune - Groupe Capitales Médias,Collision frontale rue Saint-François : Deux blessés graves,2021-09-30,0,https://www.latribune.ca/actualites/justice-et-faits-divers/collision-frontale-rue-saint-francois--deux-blesses-graves-df2ae077d4ec1858e27220cd24451890,2021-09-30 12:14:16,local
Sherbrooke,accident,3,ICI.Radio-Canada.ca,Les freins de l'autobus qui a foncé sur un bâtiment à Sherbrooke seront expertisés,2021-09-03,27,https://ici.radio-canada.ca/nouvelle/1821335/accident-autobus-ecoliers-sherbrooke,2021-09-30 12:14:16,local
Sherbrooke,accident,4,ICI.Radio-Canada.ca,Un adolescent chute d'un viaduc à Sherbrooke,2021-09-15,15,https://ici.radio-canada.ca/nouvelle/1824303/accident-pont-jeune-sherbrooke,2021-09-30 12:14:16,local
Sherbrooke,accident,5,La Tribune - Groupe Capitales Médias,Grave accident de moto à Hatley | Justice et faits divers | Actualités,2021-09-30,0,https://www.latribune.ca/actualites/justice-et-faits-divers/grave-accident-de-moto-a-hatley-7a08fbe5dc3845e2a33e7807d5f5c7b6,2021-09-30 12:14:17,local
Sherbrooke,accident,6,TVA Nouvelles,Une motocycliste grièvement blessée dans une sortie de route en Estrie,2021-09-17,13,https://www.tvanouvelles.ca/2021/09/17/une-motocycliste-grievement-blessee-dans-une-sortie-de-route-en-estrie-1,2021-09-30 12:14:17,local
Sherbrooke,accident,7,La Tribune - Groupe Capitales Médias,Trois véhicules se tamponnent sur la 610 | Actualités,2021-09-30,0,https://www.latribune.ca/actualites/trois-vehicules-se-tamponnent-sur-la-610-4ee29ef8f64e7ae78ecf314465d56159,2021-09-30 12:14:17,local
Sherbrooke,accident,8,Journal Accès,Accident de voiture à Sherbrooke: comment se protéger? - Accès Laurentides,2021-09-22,8,https://www.journalacces.ca/accident-de-voiture-a-sherbrooke-comment-se-proteger/,2021-09-30 12:14:17,local
Sherbrooke,accident,9,La Tribune - Groupe Capitales Médias,Un autobus scolaire impliqué dans une collision | Actualités,2021-08-31,30,https://www.latribune.ca/actualites/un-autobus-scolaire-implique-dans-une-collision-78ec8665967634b65d9647200f991494,2021-09-30 12:14:17,local
Sherbrooke,accident,10,La Tribune - Groupe Capitales Médias,Accident d'un autobus scolaire: aucun élément criminel selon le SPS,2021-09-27,3,https://www.latribune.ca/actualites/justice-et-faits-divers/accident-dun-autobus-scolaire-aucun-element-criminel-selon-le-sps-a6265892ac054600b5058f62cb54aa6b,2021-09-30 12:14:18,local
Sherbrooke,accident,11,ICI.Radio-Canada.ca,Les élèves se rendant en scooter au Triolet doivent suivre une formation obligatoire,2021-09-28,2,https://ici.radio-canada.ca/nouvelle/1827657/scooter-securite-code-accident-sherbrooke,2021-09-30 12:14:18,local
Sherbrooke,accident,12,La Tribune - Groupe Capitales Médias,Collision entre un véhicule et une ambulance sur Portland,2021-09-11,19,https://www.latribune.ca/actualites/collision-entre-un-vehicule-et-une-ambulance-sur-portland-fd1e79595727f5dfea36f567f6c3376e,2021-09-30 12:14:18,local
Sherbrooke,accident,13,La Tribune - Groupe Capitales Médias,Grave accident à Beauport: les deux enfants succombent à leurs blessures,2021-09-04,26,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/grave-accident-a-beauport-les-deux-enfants-succombent-a-leurs-blessures-b10eafbe602e5554e33ef096cf9676c3,2021-09-30 12:14:18,local
Sherbrooke,accident,14,Droit-Inc.com,Préjudice corporel et accident de bateau : attention au délai de prescription,2021-09-27,3,https://www.droit-inc.com/article29451-Prejudice-corporel-et-accident-de-bateau-attention-au-delai-de-prescription,2021-09-30 12:14:18,local
Sherbrooke,accident,15,La Tribune - Groupe Capitales Médias,Délit de fuite: un homme arrêté à Val-des-Sources,2021-09-30,0,https://www.latribune.ca/actualites/delit-de-fuite-un-homme-arrete-a-val-des-sources-35d396190f84089dc6a5aa02c8770a72,2021-09-30 12:14:19,local
Sherbrooke,accident,16,La Tribune - Groupe Capitales Médias,Accident mortel sur la 10 | Actualités,2021-07-15,77,https://www.latribune.ca/actualites/accident-mortel-sur-la-10-36841f9a12caccee6ac1b7ec330c819d,2021-09-30 12:14:19,local
Sherbrooke,accident,17,La Tribune - Groupe Capitales Médias,Important bouchon sur l'A10 direction est | Estrie et régions | Actualités,2021-09-30,0,https://www.latribune.ca/actualites/estrie-et-regions/important-bouchon-sur-la10-direction-est-5f4ffe5f15693d588abf22ca007cd119,2021-09-30 12:14:19,local
Sherbrooke,accident,18,La Tribune - Groupe Capitales Médias,Accident frontal: trois personnes blessées | Justice et faits divers | Actualités,2021-07-16,76,https://www.latribune.ca/actualites/justice-et-faits-divers/accident-frontal-trois-personnes-blessees-e023cfd7f7834a87d23865c6339ebf3b,2021-09-30 12:14:19,local
Sherbrooke,accident,19,La Tribune - Groupe Capitales Médias,Les cyclistes se souviennent des victimes d'accidents de la route,2021-09-29,1,https://www.latribune.ca/actualites/sherbrooke/les-cyclistes-se-souviennent-des-victimes-daccidents-de-la-route-56dec9495727d05298a1c3a322843474,2021-09-30 12:14:20,local
Sherbrooke,accident,20,Le Journal de Montréal,Sherbrooke: une dizaine de véhicules impliqués dans un carambolage sur l'A-10,2021-03-29,185,https://www.journaldemontreal.com/2021/03/29/sherbrooke-une-dizaine-de-vehicules-impliques-dans-un-carambolage-sur-la-10,2021-09-30 12:14:20,local
Sherbrooke,accident,21,La Tribune - Groupe Capitales Médias,Accident sur la 10: l'enfant de dix ans succombe à ses blessures,2021-01-18,255,https://www.latribune.ca/actualites/accident-sur-la-10-lenfant-de-dix-ans-succombe-a-ses-blessures-4d2eec269a67fd4000bf7fb85ae23de6,2021-09-30 12:14:20,local
Sherbrooke,accident,22,La Tribune - Groupe Capitales Médias,L'identité de la victime de l'accident de Magog révélée,2021-05-14,139,https://www.latribune.ca/actualites/lidentite-de-la-victime-de-laccident-de-magog-revelee-289bd846f30466b75e78a2b50a990991,2021-09-30 12:14:20,local
Sherbrooke,accident,23,La Tribune - Groupe Capitales Médias,Deux accidents graves sur les routes de l'Estrie,2021-01-17,256,https://www.latribune.ca/actualites/deux-accidents-graves-sur-les-routes-de-lestrie-c19bdabb7cd2300cbab788bc9144eec2,2021-09-30 12:14:20,local
Sherbrooke,accident,24,La Tribune - Groupe Capitales Médias,Dur retour à la maison à Sherbrooke | Justice et faits divers | Actualités,2021-05-31,122,https://www.latribune.ca/actualites/justice-et-faits-divers/dur-retour-a-la-maison-a-sherbrooke-9f4bb116c9ca37a89451aa2304f745de,2021-09-30 12:14:20,local
Sherbrooke,accident,25,La Tribune - Groupe Capitales Médias,Une dizaine d'accidents en quelques heures jeudi,2021-04-02,181,https://www.latribune.ca/actualites/une-dizaine-daccidents-en-quelques-heures-jeudi-c1c49001a0adb01bafab7e3c0209c149,2021-09-30 12:14:21,local
Sherbrooke,décès OR mort,1,La Presse,Montréal | Deux agressions à l'arme blanche font un mort et deux blessés,2021-09-18,12,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-18/montreal/deux-agressions-a-l-arme-blanche-font-un-mort-et-deux-blesses.php,2021-09-30 12:15:00,local
Sherbrooke,décès OR mort,2,TVA Nouvelles,21e homicide à Montréal: une altercation entre plusieurs individus fait un mort,2021-09-18,12,https://www.tvanouvelles.ca/2021/09/18/montreal-une-altercation-entre-plusieurs-individus-fait-deux-blesses-graves-1,2021-09-30 12:15:00,local
