Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Ville-Marie,accident,1,ICI.Radio-Canada.ca,Une saison couronnée de succès pour les clubs de golf de l'Abitibi-Témiscamingue,2021-09-27,3,https://ici.radio-canada.ca/nouvelle/1827499/saison-golf-la-sarre-noranda-ville-marie-ete-2021,2021-09-30 12:59:12,local
Ville-Marie,accident,2,ICI.Radio-Canada.ca,Une zone périnatale est créée à la clinique Movens de Ville-Marie,2021-09-24,6,https://ici.radio-canada.ca/nouvelle/1826796/pelvien-grossesse-accouchement-doula-temiscamingue,2021-09-30 12:59:12,local
Ville-Marie,accident,3,ICI.Radio-Canada.ca,Équipe Savard veut transformer Dufferin-Montmorency en boulevard | Élections municipales au Québec 2021,2021-09-29,1,https://ici.radio-canada.ca/nouvelle/1827953/elections-municipale-2021-autoroute-dufferin-montmorency-boulevard-urbain,2021-09-30 12:59:12,local
Ville-Marie,accident,4,La Presse,Grave accident impliquant deux cyclistes à Ville-Marie,2021-06-07,115,https://www.lapresse.ca/actualites/grand-montreal/2021-06-07/grave-accident-impliquant-deux-cyclistes-a-ville-marie.php,2021-09-30 12:59:13,local
Ville-Marie,accident,5,News 24,Un couple tué dans l'accident d'Amtrak célébrait son 50e anniversaire de mariage lors du «voyage,2021-09-29,1,https://news-24.fr/un-couple-tue-dans-laccident-damtrak-celebrait-son-50e-anniversaire-de-mariage-lors-du-voyage-dune-vie-lorsquun-train-a-deraille/,2021-09-30 12:59:13,local
Ville-Marie,accident,6,Le Journal de Montréal,Journée infernale sur les routes de Montréal,2021-05-25,128,https://www.journaldemontreal.com/2021/05/25/un-incident-force-la-fermeture-de-deux-voies-dans-le-tunnel-1,2021-09-30 12:59:14,local
Ville-Marie,accident,7,ICI.Radio-Canada.ca,Accident de bateau sur le lac Kipawa : Judith Hunter passera 115 jours en prison,2021-06-29,93,https://ici.radio-canada.ca/nouvelle/1805460/judith-hunter-accident-bateau,2021-09-30 12:59:14,local
Ville-Marie,accident,8,Sud Ouest,Crash de Gujan-Mestras (33) : « Aucune défaillance qui aurait pu expliquer une perte de puissance du moteur »,2021-09-10,20,https://www.sudouest.fr/landes/sanguinet/crash-de-gujan-mestras-gironde-aucune-defaillance-qui-aurait-pu-expliquer-une-perte-de-puissance-du-moteur-5811210.php,2021-09-30 12:59:14,local
Ville-Marie,accident,9,ICI.Radio-Canada.ca,Baisse du nombre de morts sur les routes en 2020 en Abitibi-Témiscamingue,2021-05-15,138,https://ici.radio-canada.ca/nouvelle/1793449/accident-route-saaq-bilan-pandemie,2021-09-30 12:59:15,local
Ville-Marie,accident,10,TVA Nouvelles,Un piéton happé par une voiture est dans un état critique à Montréal,2021-08-04,57,https://www.tvanouvelles.ca/2021/08/04/un-pieton-happe-par-une-voiture-est-dans-un-etat-critique-a-montreal-1,2021-09-30 12:59:15,local
