Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Amos,élection OR campagne,1,ICI.Radio-Canada.ca,Sébastien D'Astous lance sa campagne électorale à Amos | Élections municipales au Québec 2021,2021-10-04,15,https://ici.radio-canada.ca/nouvelle/1829183/lancement-campagne-sebastien-dastous-mairie-amos,2021-10-19 17:07:48,mixte
Amos,élection OR campagne,2,ICI.Radio-Canada.ca,L'état des finances d'Amos préoccupe le candidat André Brunet | Élections municipales au Québec 2021,2021-10-11,8,https://ici.radio-canada.ca/nouvelle/1830785/elections-mairie-amos-gestion-brunet-dastous,2021-10-19 17:07:48,mixte
Amos,élection OR campagne,3,Le Journal de Montréal,Le Bloc conserve Abitibi-Baie-James-Nunavik-Eeyou,2021-09-21,28,https://www.journaldemontreal.com/2021/09/21/le-bloc-conserve-abitibi-baie-james-nunavik-eeyou,2021-10-19 17:07:49,mixte
Amos,élection OR campagne,4,ICI.Radio-Canada.ca,"25 courses à la mairie, 40 maires élus sans opposition en Abitibi-Témiscamingue | Élections municipales au Québec 2021",2021-10-12,7,https://ici.radio-canada.ca/nouvelle/1828671/portrait-final-elections-municipales-abitibi-temiscamingue,2021-10-19 17:07:49,mixte
Amos,élection OR campagne,5,ICI.Radio-Canada.ca,Des détenus font la promotion de la réhabilitation avec des sacs réutilisables,2021-10-12,7,https://ici.radio-canada.ca/nouvelle/1830858/centre-residentiel-communautaire-amos,2021-10-19 17:07:49,mixte
Amos,élection OR campagne,6,iHeartRadio,Les bloquistes réélus en Abitibi-Témiscamingue,2021-09-20,29,https://www.iheartradio.ca/energie/energie-rouyn/nouvelles/les-bloquistes-reelus-en-abitibi-temiscamingue-1.16117708,2021-10-19 17:07:49,mixte
Amos,élection OR campagne,7,Le journal de Lévis,Un week-end parfait pour les Chevaliers,2021-10-18,1,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=91860,2021-10-19 17:07:49,mixte
Amos,élection OR campagne,8,Le Droit - Groupe Capitales Médias,Le Pontiac reste dans sa bulle rouge,2021-09-21,28,https://www.ledroit.com/elections-2021/le-pontiac-reste-dans-sa-bulle-rouge-554b5b435a9d83827f5c1be813057c65,2021-10-19 17:07:49,mixte
Amos,élection OR campagne,9,ICI.Radio-Canada.ca,Zéro Déchet Abitibi-Témiscamingue interpellent les candidats sur l'environnement | Élections municipales au Québec 2021,2021-10-11,8,https://ici.radio-canada.ca/nouvelle/1830804/elections-municipales-enjeux-environnement,2021-10-19 17:07:50,mixte
Amos,élection OR campagne,10,ICI.Radio-Canada.ca,Opération Nez rouge reporte ses services à 2022 en Abitibi-Témiscamingue,2021-10-13,6,https://ici.radio-canada.ca/nouvelle/1831296/operation-nez-rouge-abitibi-temiscamingue-reporte-2022,2021-10-19 17:07:50,mixte
Amos,élection OR campagne,11,ICI.Radio-Canada.ca,Stéphane Lauzon réélu dans Argenteuil-La Petite-Nation après une chaude lutte | Élections Canada 2021,2021-09-21,28,https://ici.radio-canada.ca/nouvelle/1825783/soiree-electorale-2021-outaouais-resultats-reactions,2021-10-19 17:07:50,mixte
Amos,élection OR campagne,12,Le Citoyen Val-d'Or - Amos,Six cas de Covid-19 en huit jours dans la région,2021-09-24,25,https://www.lecitoyenvaldoramos.com/article/2021/09/24/six-cas-de-covid-19-en-huit-jours-dans-la-region,2021-10-19 17:07:50,mixte
Amos,élection OR campagne,13,Radio Okapi,RDC : nouveau mandat pour Amos Mbayo à la tête du COC,2021-10-14,5,https://www.radiookapi.net/2021/10/14/actualite/sport/rdc-nouveau-mandat-pour-amos-mbayo-la-tete-du-coc,2021-10-19 17:07:50,mixte
Amos,élection OR campagne,14,VIVA média,Guy Jasmin veut reconquérir la mairie de Coteau-du-Lac | VIVA MÉDIA,2021-09-22,27,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/politique-vs/municipale-vs/guy-jasmin-veut-reconquerir-la-mairie-de-coteau-du-lac/,2021-10-19 17:07:51,mixte
Amos,élection OR campagne,15,Le Droit - Groupe Capitales Médias,L'heure des choix est arrivée,2021-09-20,29,https://www.ledroit.com/elections-2021/lheure-des-choix-est-arrivee-1988753cd5577e224a3da4adbde5a408,2021-10-19 17:07:51,mixte
Amos,élection OR campagne,16,Le Droit - Groupe Capitales Médias,Un copier-coller dans la capitale fédérale,2021-09-21,28,https://www.ledroit.com/elections-2021/un-copier-coller-dans-la-capitale-federale-dce2811ef69595a4f90796d7acf74a83,2021-10-19 17:07:51,mixte
Amos,élection OR campagne,17,ICI.Radio-Canada.ca,Les candidats dans Abitibi-Témiscamingue et Abitibi-Baie-James-Nunavik-Eeyou | Élections Canada 2021,2021-09-09,40,https://ici.radio-canada.ca/nouvelle/1816546/elections-federales-campagne-electorale-canada,2021-10-19 17:07:51,mixte
Amos,élection OR campagne,18,ICI.Radio-Canada.ca,Les candidats d'Abitibi-Témiscamingue dressent un bilan positif de leur campagne | Élections Canada 2021,2021-09-17,32,https://ici.radio-canada.ca/nouvelle/1825023/bilan-campagne-elections-federales-abitibi-temiscamingue,2021-10-19 17:07:52,mixte
Amos,élection OR campagne,19,ICI.Radio-Canada.ca,Certains citoyens pourront voter par correspondance à Amos et Val-d'Or,2021-06-22,119,https://ici.radio-canada.ca/nouvelle/1803746/politique-municipale-elections-vote,2021-10-19 17:07:52,mixte
Amos,élection OR campagne,20,Le Droit - Groupe Capitales Médias,Will Amos quittera la politique fédérale | Politique | Actualités,2021-08-08,72,https://www.ledroit.com/actualites/politique/will-amos-quittera-la-politique-federale-a34e1e6cef3a7ff13c0b6533b8730e86,2021-10-19 17:07:52,mixte
Amos,élection OR campagne,21,Le Droit - Groupe Capitales Médias,Will Amos encore au centre d'une controverse,2021-05-28,144,https://www.ledroit.com/actualites/politique/will-amos-encore-au-centre-dune-controverse-a43a5fd079fe10bf9960e0dcb19b33f1,2021-10-19 17:07:52,mixte
Amos,élection OR campagne,22,Radio-Canada.ca,Des Cris se sentent mis à l'écart de la campagne de vaccination,2021-02-04,257,https://ici.radio-canada.ca/espaces-autochtones/1768404/quebec-vaccination-cris-amos-autochtones,2021-10-19 17:07:53,mixte
Amos,élection OR campagne,23,Le Citoyen Val-d'Or - Amos,Martin Roy s'intéresse à la mairie d'Amos,2021-02-28,233,https://www.lecitoyenvaldoramos.com/article/2021/02/28/martin-roy-s-interesse-a-la-mairie-d-amos,2021-10-19 17:07:53,mixte
Amos,élection OR campagne,24,Le Droit - Groupe Capitales Médias,Une nouvelle candidate libérale à la succession d'Amos dans Pontiac,2021-08-09,71,https://www.ledroit.com/actualites/politique/une-nouvelle-candidate-liberale-a-la-succession-damos-dans-pontiac-31e206d1e271111dd12831bcfc488aab,2021-10-19 17:07:53,mixte
Amos,élection OR campagne,25,ICI.Radio-Canada.ca,Le conservateur Luis Henry Gonzalez Venegas sera candidat dans Abitibi-Témiscamingue | Élections Canada 2021,2021-08-16,64,https://ici.radio-canada.ca/nouvelle/1817099/elections-federales-parti-conservateur-rouyn-noranda,2021-10-19 17:07:53,mixte
