Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Baie-Saint-Paul,"""premier ministre""",1,La Presse,"La mort de Robert Bourassa, il y a 25 ans | L'énigmatique Bourassa",2021-10-02,17,https://www.lapresse.ca/actualites/analyse/2021-10-02/la-mort-de-robert-bourassa-il-y-a-25-ans/l-enigmatique-bourassa.php,2021-10-19 17:48:30,national
Baie-Saint-Paul,"""premier ministre""",2,TVA Nouvelles,"Tous les résultats, réactions et discours des chefs",2021-09-20,29,https://www.tvanouvelles.ca/2021/09/20/tous-les-resultats-en-direct,2021-10-19 17:48:30,national
Baie-Saint-Paul,"""premier ministre""",3,La Presse,Projets de génie honorés | La Presse,2021-09-25,24,https://www.lapresse.ca/affaires/tetes-d-affiche/2021-09-25/projets-de-genie-honores.php,2021-10-19 17:48:30,national
Baie-Saint-Paul,"""premier ministre""",4,Le Journal de Montréal,Les monstres du lac Memphrémagog,2021-10-16,3,https://www.journaldemontreal.com/2021/10/16/les-monstres-du-lac-memphremagog,2021-10-19 17:48:30,national
Baie-Saint-Paul,"""premier ministre""",5,Mon Matane,Éphémérides du 4 octobre : Matane obtient trois parcs éoliens et une usine en 2004,2021-10-04,15,https://monmatane.com/ephemerides-du-4-octobre-matane-obtient-trois-parcs-eoliens-et-une-usine-en-2004/,2021-10-19 17:48:31,national
Baie-Saint-Paul,"""premier ministre""",6,CIMT-CHAU,Le premier ministre François Legault dans Charlevoix - TVA CIMT CHAU,2021-07-12,99,https://cimtchau.ca/nouvelles/le-premier-ministre-francois-legault-dans-charlevoix/,2021-10-19 17:48:31,national
Baie-Saint-Paul,"""premier ministre""",7,Le Soleil - Groupe Capitales Médias,Saint-Joseph-de-la-Rive: Des voix en faveur du déplacement du quai,2021-07-06,105,https://www.lesoleil.com/actualite/saint-joseph-de-la-rive-des-voix-en-faveur-du-deplacement-du-quai-a1e5e592029357af75591bbcb4bd4ae3,2021-10-19 17:48:31,national
Baie-Saint-Paul,"""premier ministre""",8,Le Journal de Québec,Plusieurs décès à Baie-Saint-Paul,2020-11-12,341,https://www.journaldequebec.com/2020/11/12/plusieurs-deces-a-baie-saint-paul,2021-10-19 17:48:31,national
Baie-Saint-Paul,"""premier ministre""",9,Mon Matane,"Éphémérides du 1er octobre : Pascal Bérubé réélu en 2018 avec 69,4 % des votes",2021-10-01,18,https://monmatane.com/ephemerides-du-1er-octobre-pascal-berube-reelu-en-2018-avec-694-des-votes/,2021-10-19 17:48:31,national
Baie-Saint-Paul,"""premier ministre""",10,Le Devoir,Québec met en branle le projet des Espaces bleus,2021-06-11,130,https://www.ledevoir.com/culture/609609/quebec-met-en-branle-le-projet-espaces-bleus,2021-10-19 17:48:31,national
Baie-Saint-Paul,"""premier ministre""",11,Le Devoir,Querelle politique autour de la fermeture de l'urgence de l'hôpital de Gatineau,2021-06-30,111,https://www.ledevoir.com/societe/sante/614571/urgence-a-gatineau-anglade-en-appelle-au-leadership-de-legault,2021-10-19 17:48:32,national
Baie-Saint-Paul,"""premier ministre""",12,Mon Matane,Éphémérides du 18 juin : le premier ministre Jean Lesage annonce en 1965 que la CIP construira une cartonnerie,2021-06-18,123,https://monmatane.com/ephemerides-du-18-juin-le-premier-ministre-jean-lesage-annonce-en-1965-que-la-cip-construira-une-cartonnerie/,2021-10-19 17:48:32,national
Baie-Saint-Paul,"""premier ministre""",13,La Tribune - Groupe Capitales Médias,Blanchet va se «regénérer» dans Charlevoix | Actualités,2021-08-28,52,https://www.latribune.ca/actualites/elections-federales/blanchet-va-se-regenerer-dans-charlevoix-94ec2c8e77929d6ab717a6888f07c1bc,2021-10-19 17:48:32,national
Baie-Saint-Paul,"""premier ministre""",14,Le Quotidien - Groupe Capitales Médias,250 000$ pour le pavillon Saint-Paul-Apôtre | Actualités,2021-09-02,47,https://www.lequotidien.com/actualites/250-000-pour-le-pavillon-saint-paul-apotre-8ba6e798499e16a04860cfbdd5e84a8e,2021-10-19 17:48:32,national
Baie-Saint-Paul,"""premier ministre""",15,Mon Matane,Éphémérides du 21 mai : le premier ministre canadien Louis Saint-Laurent s'arrête à Matane en 1949,2021-05-21,151,https://monmatane.com/ephemerides-du-21-mai-le-premier-ministre-canadien-louis-saint-laurent-sarrete-a-matane-en-1949/,2021-10-19 17:48:32,national
Baie-Saint-Paul,"""premier ministre""",16,Le Devoir,"Le Vieux-Palais d'Amos, futur Espace bleu",2021-08-17,63,https://www.ledevoir.com/culture/625386/patrimoine-le-vieux-palais-d-amos-futur-espace-bleu,2021-10-19 17:48:32,national
Baie-Saint-Paul,"""premier ministre""",17,Radio-Canada.ca,Troisième lien : le gouvernement accusé « d'utiliser » l'est du Québec | 3e lien,2021-05-26,146,https://ici.radio-canada.ca/nouvelle/1794747/tunnel-quebec-levis-cote-nord-bas-saint-laurentreactions-prudence,2021-10-19 17:48:32,national
Baie-Saint-Paul,"""premier ministre""",18,Actu Cameroun,David Abouem A Tchoyi : « les francophones reprochent aux anglophones leur penchant à se référer à l’héritage colonial anglo-saxon »,2021-10-15,4,https://actucameroun.com/2021/10/15/david-abouem-a-tchoyi-les-francophones-reprochent-aux-anglophones-leur-penchant-a-se-referer-a-lheritage-colonial-anglo-saxon/,2021-10-19 17:48:33,national
Baie-Saint-Paul,"""premier ministre""",19,ICI.Radio-Canada.ca,Déconfinement : Charlevoix et Portneuf veulent être traitées à part,2021-01-26,266,https://ici.radio-canada.ca/nouvelle/1766042/deconfinement-charlevoix-comme-est-du-quebec-covid19,2021-10-19 17:48:33,national
Baie-Saint-Paul,"""premier ministre""",20,CIMT-CHAU,Climat de travail toxique : Marie-Eve Proulx démissionne de son poste de ministre,2021-05-04,168,https://cimtchau.ca/nouvelles/marie-eve-proulx-demissionne-de-son-poste-de-ministre/,2021-10-19 17:48:33,national
Baie-Saint-Paul,"""premier ministre""",21,Mon Matane,Éphémérides du 31 mai : le premier ministre canadien Louis Saint-Laurent à Matane en 1957,2021-05-31,141,https://monmatane.com/ephemerides-du-31-mai-le-premier-ministre-canadien-louis-saint-laurent-a-matane-en-1957/,2021-10-19 17:48:34,national
Baie-Saint-Paul,"""premier ministre""",22,Le Journal de Montréal,Pénurie de main-d'oeuvre: aucune candidature reçue pour certaines offres d'emploi,2021-06-19,122,https://www.journaldemontreal.com/2021/06/19/aucune-candidature-recue,2021-10-19 17:48:34,national
Baie-Saint-Paul,"""premier ministre""",23,ICI.Radio-Canada.ca,"Dans Charlevoix, une connexion Internet peut coûter autant qu'une voiture de luxe",2020-11-23,330,https://ici.radio-canada.ca/nouvelle/1748939/internet-charlevoix-teletravail-vitesse,2021-10-19 17:48:34,national
Baie-Saint-Paul,"""premier ministre""",24,Le Soleil - Groupe Capitales Médias,Le Spectacle aérien de Bagotville mettra de l'action dans le ciel de Québec le 26 juin [PHOTOS],2021-06-19,122,https://www.lesoleil.com/actualite/le-spectacle-aerien-de-bagotville-mettra-de-laction-dans-le-ciel-de-quebec-le-26-juin-photos-c2dd2cc9d6a48b980b22643c98203274,2021-10-19 17:48:34,national
Baie-Saint-Paul,"""premier ministre""",25,Le Quotidien - Groupe Capitales Médias,La scène mobile de Robert Hakim verra le jour,2021-06-30,111,https://www.lequotidien.com/actualites/la-scene-mobile-de-robert-hakim-verra-le-jour-b610e4a99a2b2bc298cefd200cc22efd,2021-10-19 17:48:34,national
