Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Beauceville,"""premier ministre""",1,Le journal de Lévis,Pénurie d'infirmières : Québec prêt à investir 1 G$ dans une «petite révolution»,2021-09-23,26,https://journaldelevis.com/1120/Soci%C3%A9t%C3%A9_.html?id=91648,2021-10-19 17:50:04,national
Beauceville,"""premier ministre""",2,L'Éclaireur Progrès,COVID-19 |En attendant l'annonce du premier ministre Legault,2021-05-18,154,https://www.leclaireurprogres.ca/covid-19-en-attendant-lannonce-du-premier-ministre-legault/,2021-10-19 17:50:04,national
Beauceville,"""premier ministre""",3,EnBeauce.com,Un graffiti menaçant peint à Beauceville | EnBeauce.com,2021-09-02,47,https://www.enbeauce.com/actualites/faits-divers/436138/un-graffiti-menacant-peint-a-beauceville,2021-10-19 17:50:04,national
Beauceville,"""premier ministre""",4,Radio-Canada.ca,La vaccination de la population générale pourrait débuter avant la fin mai au Québec | Coronavirus,2021-04-16,186,https://ici.radio-canada.ca/nouvelle/1785228/vaccination-population-general-astrazeneca-quebec-beauce-pandemie,2021-10-19 17:50:04,national
Beauceville,"""premier ministre""",5,L'Éclaireur Progrès,COVID-19 | Des assouplissements différents selon les MRC de la Chaudière-Appalaches,2021-05-04,168,https://www.leclaireurprogres.ca/covid-19-des-assouplissements-differents-selon-les-mrc-de-la-chaudiere-appalaches/,2021-10-19 17:50:05,national
Beauceville,"""premier ministre""",6,L'Éclaireur Progrès,Retour en classe pour les élèves du secondaire en Beauce-Etchemin,2021-05-11,161,https://www.leclaireurprogres.ca/retour-en-classe-pour-les-eleves-du-secondaire-en-beauce-etchemin/,2021-10-19 17:50:05,national
Beauceville,"""premier ministre""",7,Beauce-Média,Notre région en zone rouge… qu'est-ce que ça veut dire?,2021-04-01,201,https://www.beaucemedia.ca/2021/04/01/notre-region-en-zone-rouge-quest-ce-que-ca-veut-dire/,2021-10-19 17:50:05,national
Beauceville,"""premier ministre""",8,La Voix du Sud,"Chaudière-Appalaches passera en zone jaune, sauf…",2021-06-08,133,https://www.lavoixdusud.com/2021/06/08/chaudiere-appalaches-passera-en-zone-jaune-sauf/,2021-10-19 17:50:05,national
Beauceville,"""premier ministre""",9,ICI.Radio-Canada.ca,Les Beaucerons « écoeurés du Beauce bashing »,2021-05-09,163,https://ici.radio-canada.ca/nouvelle/1791530/beauce-bashing-vaccination-cisss-chaudiere-appalaches,2021-10-19 17:50:06,national
Beauceville,"""premier ministre""",10,L'Éclaireur Progrès,Beauce Rock | Un premier festival réussi,2021-08-22,58,https://www.leclaireurprogres.ca/beauce-rock-un-premier-festival-reussi/,2021-10-19 17:50:06,national
Beauceville,"""premier ministre""",11,EnBeauce.com,L'agrandissement de l'usine Agropur de Beauceville ne se fera pas | EnBeauce.com,2021-07-06,105,https://www.enbeauce.com/actualites/affaires/430922/lagrandissement-de-lusine-agropur-de-beauceville-ne-se-fera-pas,2021-10-19 17:50:06,national
Beauceville,"""premier ministre""",12,L'Éclaireur Progrès,"COVID-19 | Les écoliers toujours en confinement en Beauce, Bellechasse et Les Etchemins",2021-04-27,175,https://www.leclaireurprogres.ca/covid-19-les-ecoliers-toujours-en-confinement-en-beauce-bellechasse-et-les-etchemins/,2021-10-19 17:50:06,national
Beauceville,"""premier ministre""",13,ICI.Radio-Canada.ca,Plus de 200 nouveaux cas de COVID-19 en Chaudière-Appalaches,2021-04-16,186,https://ici.radio-canada.ca/nouvelle/1785468/covid-bilan-quebec-levis-capitale-nationale-chaudiere-appalaches-beauce,2021-10-19 17:50:06,national
Beauceville,"""premier ministre""",14,EnBeauce.com,L'École Jésus-Marie de Beauceville offrira un bal à ses finissants | EnBeauce.com,2021-06-20,121,https://www.enbeauce.com/actualites/education/429715/lecole-jesus-marie-de-beauceville-offrira-un-bal-a-ses-finissants,2021-10-19 17:50:06,national
Beauceville,"""premier ministre""",15,Le Journal de Québec,L'amateur de planche à pagaie retrouvé sans vie rêvait de changer le monde,2021-07-08,103,https://www.journaldequebec.com/2021/07/07/le-bilan-des-noyades-salourdit-encore-un-amateur-de-sup-retrouve-sans-vie-a-saint-simeon,2021-10-19 17:50:07,national
Beauceville,"""premier ministre""",16,Le Journal de Québec,Beauce: il plaide coupable de s'être exhibé complètement nu dans un parc,2021-02-22,239,https://www.journaldequebec.com/2021/02/22/beauce-il-plaide-coupable-de-setre-exhibe-completement-nu-dans-un-parc,2021-10-19 17:50:07,national
Beauceville,"""premier ministre""",17,Le Soleil - Groupe Capitales Médias,Inondation moyenne à Saint-Joseph-de-Beauce; rivières sous surveillance en Chaudière-Appalaches,2021-03-26,207,https://www.lesoleil.com/actualite/environnement/inondation-moyenne-a-saint-joseph-de-beauce-rivieres-sous-surveillance-en-chaudiere-appalaches-f1cc7ff63d7592bd5083162807f2040c,2021-10-19 17:50:07,national
Beauceville,"""premier ministre""",18,Le Journal de Montréal,COVID-19: des secteurs encore durement touchés en Chaudière-Appalaches,2020-11-10,343,https://www.journaldemontreal.com/2020/11/10/des-secteurs-encore-durement-touches,2021-10-19 17:50:07,national
Beauceville,"""premier ministre""",19,La Voix du Sud,Fermeture des écoles primaires maintenue dans Bellechasse: des parents s'interrogent,2021-05-02,170,https://www.lavoixdusud.com/2021/05/02/fermeture-des-ecoles-primaires-maintenue-dans-bellechasse-des-parents-sinterrogent/,2021-10-19 17:50:08,national
Beauceville,"""premier ministre""",20,EnBeauce.com,Étienne Gélinas: une étoile filante dans le ciel de la politique québécoise | EnBeauce.com,2021-07-09,102,https://www.enbeauce.com/actualites/opinions/431344/etienne-gelinas-une-etoile-filante-dans-le-ciel-de-la-politique-quebecoise,2021-10-19 17:50:08,national
Beauceville,"""premier ministre""",21,Le Soleil - Groupe Capitales Médias,COVID-19: Québec de retour au rouge «normal» [VIDÉO],2021-05-04,168,https://www.lesoleil.com/actualite/covid-19/covid-19-quebec-de-retour-au-rouge-normal-video-a074015b2e2ad417cb4b7f6a4a9bfde0,2021-10-19 17:50:08,national
Beauceville,"""premier ministre""",22,La Voix du Sud,Bellechasse-Etchemins en zone orange lundi,2021-05-25,147,https://www.lavoixdusud.com/2021/05/25/bellechasse-etchemins-en-zone-orange-lundi/,2021-10-19 17:50:08,national
Beauceville,"""premier ministre""",23,L'Éclaireur Progrès,Samuel Poulin misera sur la consolidation des grands chantiers,2021-09-15,34,https://www.leclaireurprogres.ca/samuel-poulin-misera-sur-la-consolidation-des-grands-chantiers/,2021-10-19 17:50:08,national
Beauceville,"""premier ministre""",24,Ma Beauce,François Legault tiendra une conférence de presse à 17h,2021-04-06,196,https://mabeauce.com/francois-legault-tiendra-une-conference-de-presse-a-17h/,2021-10-19 17:50:08,national
Beauceville,"""premier ministre""",25,L'Éclaireur Progrès,COVID-19 | Les mesures d'urgence sont prolongées jusqu'au 25 avril,2021-04-13,189,https://www.leclaireurprogres.ca/covid-19-les-mesures-durgence-sont-prolongees-jusquau-25-avril/,2021-10-19 17:50:09,national
Beauceville,climat,1,La Voix du Sud,Balle rapide féminine: les Amazones au pied du podium,2021-09-20,29,https://www.lavoixdusud.com/2021/09/20/balle-rapide-feminine-les-amazones-au-pied-du-podium/,2021-10-19 17:50:44,national
Beauceville,climat,2,Le Soleil - Groupe Capitales Médias,Inondation moyenne à Saint-Joseph-de-Beauce; rivières sous surveillance en Chaudière-Appalaches,2021-03-26,207,https://www.lesoleil.com/actualite/environnement/inondation-moyenne-a-saint-joseph-de-beauce-rivieres-sous-surveillance-en-chaudiere-appalaches-f1cc7ff63d7592bd5083162807f2040c,2021-10-19 17:50:44,national
Beauceville,climat,3,Le Soleil - Groupe Capitales Médias,Travaux à faire sur la rivière Chaudière afin d'éviter de nouveaux embâcles,2021-06-11,130,https://www.lesoleil.com/opinions/point-de-vue/travaux-a-faire-sur-la-riviere-chaudiere-afin-deviter-de-nouveaux-embacles-b560e5a21e79a69e7fa45e31f525bb99,2021-10-19 17:50:44,national
Beauceville,climat,4,ICI.Radio-Canada.ca,Un motocycliste se blesse grièvement dans une sortie de route à Beauceville,2021-07-20,91,https://ici.radio-canada.ca/nouvelle/1810292/accident-moto-chaudiere-appalaches,2021-10-19 17:50:44,national
Beauceville,climat,5,Radio-Canada.ca,"COVID-19 : la Beauce a été laissée pour compte, selon des maires | Coronavirus",2021-04-24,178,https://ici.radio-canada.ca/nouvelle/1787641/beauce-manque-ressources-depistage-manque-ecoute-gouvernement,2021-10-19 17:50:44,national
Beauceville,climat,6,La Voix du Sud,Saint-Michel: climat toujours tendu autour du presbytère,2021-02-14,247,https://www.lavoixdusud.com/2021/02/14/saint-michel-climat-toujours-tendu-autour-du-presbytere/,2021-10-19 17:50:45,national
Beauceville,climat,7,L'Éclaireur Progrès,Salaire du maire de Beauceville: les sommes remises avant le vote,2021-01-20,272,https://www.leclaireurprogres.ca/salaire-du-maire-de-beauceville-les-sommes-remises-au-maire-avant-le-vote/,2021-10-19 17:50:45,national
Beauceville,climat,8,ICI.Radio-Canada.ca,Hausse salariale du maire : Beauceville sous la loupe des Affaires municipales,2021-01-22,270,https://ici.radio-canada.ca/nouvelle/1765069/hausse-salaire-beauceville-enquete-ministere,2021-10-19 17:50:45,national
Beauceville,climat,9,Le Soleil - Groupe Capitales Médias,Inondation à Beauceville: «Une des pires depuis longtemps» [VIDÉO + PHOTOS],,,https://www.lesoleil.com/actualite/environnement/inondation-a-beauceville-une-des-pires-depuis-longtemps-video--photos-ee3d2546445a05fd1ba9194ed8c9acdf,2021-10-19 17:50:45,national
Beauceville,climat,10,ICI.Radio-Canada.ca,Mesures sanitaires : des maires beaucerons demandent à leurs citoyens de faire mieux,2021-04-19,183,https://ici.radio-canada.ca/nouvelle/1786179/beauce-maires-vaccin-chaudiere-appalaches-citoyens-mefiance-astrazeneca,2021-10-19 17:50:45,national
Beauceville,climat,11,L'Éclaireur Progrès,L'APBB contrainte de reporter la mise en marché collective à son AGA,2021-05-06,166,https://www.leclaireurprogres.ca/lapbb-contrainte-de-reporter-la-mise-en-marche-collective-a-son-aga/,2021-10-19 17:50:45,national
Beauceville,climat,12,Beauce-Média,Une rare canicule qui donne chaud aux Beaucerons,,,https://www.beaucemedia.ca/2018/07/06/une-rare-canicule-qui-donne-chaud-aux-beaucerons/,2021-10-19 17:50:45,national
Beauceville,climat,13,ICI.Radio-Canada.ca,Beauceville : malaise autour de l'installation d'une estacade sur la rivière Chaudière,,,https://ici.radio-canada.ca/nouvelle/1456887/beauceville-riviere-chaudiere-estacade,2021-10-19 17:50:45,national
Beauceville,climat,14,EnBeauce.com,L'UMQ lance une campagne sur le respect en démocratie | EnBeauce.com,2021-01-21,271,https://www.enbeauce.com/actualites/municipal/415666/lumq-lance-une-campagne-sur-le-respect-en-democratie,2021-10-19 17:50:46,national
Beauceville,climat,15,La Voix du Sud,Un gros marché de petits fruits frais en Chaudière-Appalaches,2021-08-03,77,https://www.lavoixdusud.com/2021/08/03/un-gros-marche-de-petits-fruits-frais-en-chaudiere-appalaches/,2021-10-19 17:50:46,national
Beauceville,climat,16,ICI.Radio-Canada.ca,La rétrocaveuse amphibie à l'oeuvre sur la Chaudière à Beauceville,,,https://ici.radio-canada.ca/nouvelle/1689714/la-retrocaveuse-amphibie-a-loeuvre-sur-la-chaudiere-a-beauceville,2021-10-19 17:50:46,national
Beauceville,climat,17,Zone911,Records de chaleur: Voici un sommaire d'Environnement Canada de la journée d'hier,2021-08-26,54,https://zone911.com/divers/31317-record-de-chaleur-voici-un-sommaire-d-environnement-canada-de-la-journee-d-hier,2021-10-19 17:50:46,national
Beauceville,climat,18,Le Soleil - Groupe Capitales Médias,Inondations du printemps 2019 en Beauce: des centaines de maisons démolies,,,https://www.lesoleil.com/actualite/environnement/inondations-du-printemps-2019-en-beauce-des-centaines-de-maisons-demolies-f18ae0652027e2abf625dde544f1c859,2021-10-19 17:50:46,national
Beauceville,climat,19,Beauce-Média,Des CHSLD où il est plus difficile de travailler ?,,,https://www.beaucemedia.ca/2019/09/03/des-chsld-ou-il-est-plus-difficile-de-travailler/,2021-10-19 17:50:46,national
Beauceville,climat,20,ICI.Radio-Canada.ca,"Les inondations se sont aggravées en Beauce, conclut un comité",,,https://ici.radio-canada.ca/nouvelle/1709781/riviere-chaudiere-inondations-rapport-experts-delocalisation-prevention,2021-10-19 17:50:46,national
Beauceville,climat,21,ICI.Radio-Canada.ca,Les changements climatiques influencent le climat du Québec et l'intensité des inondations | Crue printanière 2019,,,https://ici.radio-canada.ca/nouvelle/1165497/inondations-changements-climatiques-quebec-climat-pluie-neige-meteo-impact-riisq,2021-10-19 17:50:47,national
Beauceville,climat,22,Le Soleil - Groupe Capitales Médias,"Inondations en Beauce: pas de rassemblement, rappelle la Sûreté du Québec",,,https://www.lesoleil.com/actualite/inondations-en-beauce-pas-de-rassemblement-rappelle-la-surete-du-quebec-4b4cc846939d8d019ed983c021a1ffb0,2021-10-19 17:50:47,national
Beauceville,climat,23,Le Soleil - Groupe Capitales Médias,"Un prêtre, deux éclosions et une grande frousse",2021-01-30,262,https://www.lesoleil.com/actualite/un-pretre-deux-eclosions-et-une-grande-frousse-4af07bb7c84d81313e459205487cc20b,2021-10-19 17:50:47,national
Beauceville,climat,24,EnBeauce.com,Un forum sur la transition énergétique et l'adaptation aux changements climatiques s'est tenu à Sainte-Marie,,,https://www.enbeauce.com/actualites/societe/332866/un-forum-sur-la-transition-energetique-et-ladaptation-aux-changements-climatiques-sest-tenu-a-sainte-marie,2021-10-19 17:50:47,national
Beauceville,climat,25,L'Éclaireur Progrès,Beauceville - Inondations 2019 : notre patrimoine,,,https://www.leclaireurprogres.ca/beauceville-inondations-2019-notre-patrimoine/,2021-10-19 17:50:47,national
Beauceville,immigration,1,L'Éclaireur Progrès,Une formation pour intégrer les immigrants à la société beauceronne,2021-01-20,272,https://www.leclaireurprogres.ca/une-formation-pour-integrer-les-immigrants-a-la-societe-beauceronne/,2021-10-19 17:50:54,national
Beauceville,immigration,2,La Voix du Sud,Un traitement trop long des dossiers d'immigration,2021-05-12,160,https://www.lavoixdusud.com/2021/05/12/un-traitement-trop-long-des-dossiers-dimmigration/,2021-10-19 17:50:55,national
Beauceville,immigration,3,Ma Beauce,Travailleurs étrangers : Richard Lehoux et des entrepreneurs de la région interpellent le ministre,2021-05-03,169,https://mabeauce.com/travailleurs-etrangers-richard-lehoux-et-des-entrepreneurs-de-la-region-interpellent-le-ministre/,2021-10-19 17:50:55,national
Beauceville,immigration,4,L'Éclaireur Progrès,Jamais sans ma fille,2020-12-29,294,https://www.leclaireurprogres.ca/jamais-sans-ma-fille/,2021-10-19 17:50:55,national
Beauceville,immigration,5,L'Éclaireur Progrès,"« Ce n'est pas parfait, mais nous allons dans la bonne direction »",2021-06-16,125,https://www.leclaireurprogres.ca/%E2%80%89ce-nest-pas-parfait-mais-nous-allons-dans-la-bonne-direction%E2%80%89/,2021-10-19 17:50:55,national
Beauceville,immigration,6,ICI.Radio-Canada.ca,Journée de speed jobbing pour immigrants à Montréal,,,https://ici.radio-canada.ca/nouvelle/1380746/immigrants-speed-jobbing-montreal,2021-10-19 17:50:55,national
Beauceville,immigration,7,Beauce-Média,Un nouveau marché exotique à Sainte-Marie,,,https://www.beaucemedia.ca/2019/05/29/un-nouveau-marche-exotique-a-sainte-marie/,2021-10-19 17:50:55,national
Beauceville,immigration,8,Droit-Inc.com,Un avocat beauceron combat le passeport vaccinal en cour,2021-09-08,41,https://www.droit-inc.com/article29346-Un-avocat-beauceron-combat-le-passeport-vaccinal-en-cour,2021-10-19 17:50:55,national
Beauceville,immigration,9,La Voix du Sud,Possible grève à la frontière Canada/États-Unis dès le 6 août ?,2021-07-29,82,https://www.lavoixdusud.com/2021/07/29/possible-greve-a-la-frontiere-canada-etats-unis-des-le-6-aout/,2021-10-19 17:50:56,national
Beauceville,immigration,10,La Voix du Sud,Nouvelle direction à la Résidence Le Tremplin,2020-11-27,326,https://www.lavoixdusud.com/2020/11/27/nouvelle-direction-a-la-residence-le-tremplin/,2021-10-19 17:50:56,national
Beauceville,immigration,11,L'Éclaireur Progrès,Samuel Poulin misera sur la consolidation des grands chantiers,2021-09-15,34,https://www.leclaireurprogres.ca/samuel-poulin-misera-sur-la-consolidation-des-grands-chantiers/,2021-10-19 17:50:56,national
Beauceville,immigration,12,Le Devoir,Immigration: Legault face au refus d'Ottawa,,,https://www.ledevoir.com/politique/quebec/547465/immigration-francois-legault-proteste-contre-le-refus-du-federal,2021-10-19 17:50:56,national
Beauceville,immigration,13,ICI.Radio-Canada.ca,Accident majeur en Beauce : l'identité de la victime dévoilée,,,https://ici.radio-canada.ca/nouvelle/1741290/accident-beauce-automobiliste-etat-critique,2021-10-19 17:50:56,national
Beauceville,immigration,14,La Voix du Sud,Saint-Damien accueille ses travailleurs immigrants,,,https://www.lavoixdusud.com/2019/06/06/saint-damien-accueille-ses-travailleurs-immigrants/,2021-10-19 17:50:56,national
Beauceville,immigration,15,EnBeauce.com,« Bagages » : une pièce pour donner une place aux jeunes immigrants | EnBeauce.com,,,https://www.enbeauce.com/actualites/culturel/355813/-bagages-une-piece-pour-donner-une-place-aux-jeunes-immigrants,2021-10-19 17:50:57,national
Beauceville,immigration,16,La Voix du Sud,Arrivée de 31 préposés aux bénéficiaires tunisiens,,,https://www.lavoixdusud.com/2020/08/26/arrivee-de-31-preposes-aux-beneficiaires-tunisiens/,2021-10-19 17:50:57,national
Beauceville,immigration,17,La Voix du Sud,Pédagogie par le plein air : la nouvelle mission de Valérie Bilodeau,2021-07-07,104,https://www.lavoixdusud.com/2021/07/07/pedagogie-par-le-plein-air-la-nouvelle-mission-de-valerie-bilodeau/,2021-10-19 17:50:57,national
Beauceville,immigration,18,La Voix du Sud,Manque criant de place en garderie dans Bellechasse,2021-02-10,251,https://www.lavoixdusud.com/2021/02/10/manque-criant-de-place-en-garderie-dans-bellechasse/,2021-10-19 17:50:57,national
Beauceville,immigration,19,La Voix du Sud,Élections fédérales : débat sous le signe du respect à Passion-FM,2021-09-15,34,https://www.lavoixdusud.com/2021/09/15/elections-federales-debat-sous-le-signe-du-respect-a-passion-fm/,2021-10-19 17:50:57,national
Beauceville,immigration,20,Le Soleil - Groupe Capitales Médias,De Beauceville à Moscou | Chroniques,,,https://www.lesoleil.com/chroniques/de-beauceville-a-moscou-28fcaf7e47f634ecf7f5a58c59902bc5,2021-10-19 17:50:57,national
Beauceville,immigration,21,La Voix du Sud,Saint-Damien rend hommage à Lauriane Genest,2021-08-30,50,https://www.lavoixdusud.com/2021/08/30/saint-damien-rend-hommage-a-lauriane-genest/,2021-10-19 17:50:57,national
Beauceville,immigration,22,ICI.Radio-Canada.ca,"Beauceville doit retirer l'estacade sur la rivière Chaudière, exige l'ingénieur mandaté par la Sécurité publique",,,https://ici.radio-canada.ca/nouvelle/1463303/securite-publique-exige-retrait-estacade-beauceville-riviere-inondations,2021-10-19 17:50:58,national
Beauceville,immigration,23,Le Soleil - Groupe Capitales Médias,Une explosion dans une usine de produits chimiques à Toronto fait au moins un mort,2021-09-08,41,https://www.lesoleil.com/affaires/une-explosion-dans-une-usine-de-produits-chimiques-a-toronto-fait-au-moins-un-mort-1d7cb6cb62fff439a445840db3179222,2021-10-19 17:50:58,national
Beauceville,immigration,24,L'Éclaireur Progrès,Une étudiante du Cégep aide les immigrants à s'intégrer,,,https://www.leclaireurprogres.ca/une-etudiante-du-cegep-aide-les-immigrants-a-sintegrer/,2021-10-19 17:50:58,national
Beauceville,immigration,25,L'Éclaireur Progrès,Aller jusqu'au Madagascar pour trouver des préposés aux bénéficiaires,,,https://www.leclaireurprogres.ca/aller-jusquau-madagascar-pour-trouver-des-preposes-aux-beneficiaires/,2021-10-19 17:50:58,national
Beauceville,racisme,1,L'Éclaireur Progrès,"« Ce n'est pas parfait, mais nous allons dans la bonne direction »",2021-06-16,125,https://www.leclaireurprogres.ca/%E2%80%89ce-nest-pas-parfait-mais-nous-allons-dans-la-bonne-direction%E2%80%89/,2021-10-19 17:51:04,national
Beauceville,racisme,2,L'Éclaireur Progrès,Un premier roman pour une écrivaine beauceronne,2021-06-02,139,https://www.leclaireurprogres.ca/un-premier-roman-pour-la-romanciere-beauceronne/,2021-10-19 17:51:04,national
Beauceville,racisme,3,TVA Nouvelles,Un «Petit traité sur le racisme» signé Dany Laferrière,2021-05-27,145,https://www.tvanouvelles.ca/2021/05/27/un-petit-traite-sur-le-racisme-signe-dany-laferriere-1,2021-10-19 17:51:04,national
Beauceville,racisme,4,EnBeauce.com,Agropur encore au coeur d'une controverse religieuse,,,https://www.enbeauce.com/actualites/politique/343747/agropur-encore-au-coeur-dune-controverse-religieuse,2021-10-19 17:51:04,national
Beauceville,racisme,5,TVA Nouvelles,"«Quand une femme noire dit ça, il faut l'entendre» - Régine Laurent",,,https://www.tvanouvelles.ca/2018/05/16/quand-une-femme-noire-dit-ca-il-faut-lentendre---regine-laurent,2021-10-19 17:51:04,national
Beauceville,racisme,6,L’actualité,"Le chef du PPC, Maxime Bernier, a été battu dans sa circonscription de Beauce",,,https://lactualite.com/actualites/le-chef-du-ppc-maxime-bernier-est-a-risque-dans-sa-circonscription-de-beauce/,2021-10-19 17:51:05,national
Beauceville,racisme,7,L'Éclaireur Progrès,Manque flagrant de personnel dans le réseau de la santé : une infirmière dénonce,,,https://www.leclaireurprogres.ca/manque-flagrant-de-personnel-dans-le-reseau-de-la-sante-une-infirmiere-denonce/,2021-10-19 17:51:05,national
Beauceville,racisme,8,EnBeauce.com,Maxime Bernier brise le tabou du multiculturalisme,,,https://www.enbeauce.com/actualites/politique/343120/maxime-bernier-brise-le-tabou-du-multiculturalisme,2021-10-19 17:51:05,national
Beauceville,racisme,9,L'Éclaireur Progrès,Pas de gants blancs pour Mélanie Ghanimé,,,https://www.leclaireurprogres.ca/pas-de-gants-blancs-pour-melanie-ghanime/,2021-10-19 17:51:05,national
Beauceville,racisme,10,Le Soleil - Groupe Capitales Médias,Pierre-Hervé Goulet: l'errance heureuse | Arts,,,https://www.lesoleil.com/arts/le-festival-dete/pierre-herve-goulet-lerrance-heureuse-d2bb8150a3e57b23d97a4b9f33994854,2021-10-19 17:51:05,national
Beauceville,racisme,11,Le Soleil - Groupe Capitales Médias,Incendie de la voiture du président du CCIQ: pas un crime haineux,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/incendie-de-la-voiture-du-president-du-cciq-pas-un-crime-haineux-73858ecf59068403492c0a1cdbc5e189,2021-10-19 17:51:05,national
Beauceville,racisme,12,Le Droit - Groupe Capitales Médias,J.Lo ! Source d'inspiration ou de détresse pour les femmes d'âge mûr?,,,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/jlo--source-dinspiration-ou-de-detresse-pour-les-femmes-dage-mur-e19658f22f6a4b4e2c6764025292ca53,2021-10-19 17:51:05,national
Beauceville,racisme,13,InfosPlus Gabon,Retour sur le malheur pied-noir,,,https://www.infosplusgabon.com/actualites/submenu-1/3148-retour-sur-le-malheur-pied-noir,2021-10-19 17:51:06,national
Beauceville,Chine,1,Le Soleil - Groupe Capitales Médias,Travaux à faire sur la rivière Chaudière afin d'éviter de nouveaux embâcles,2021-06-11,130,https://www.lesoleil.com/opinions/point-de-vue/travaux-a-faire-sur-la-riviere-chaudiere-afin-deviter-de-nouveaux-embacles-b560e5a21e79a69e7fa45e31f525bb99,2021-10-19 17:51:13,national
