Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Boischatel,élection OR campagne,1,Le Journal de Québec,Élections municipales: voici les courses à surveiller dans la grande région de Québec,2021-10-13,6,https://www.journaldequebec.com/2021/10/13/place-aux-vraies-courses-a-la-mairie,2021-10-19 17:21:21,mixte
Boischatel,élection OR campagne,2,Le Journal de Québec,MOBILISation golfique,2021-09-21,28,https://www.journaldequebec.com/2021/09/21/mobilisation-golfique,2021-10-19 17:21:22,mixte
Boischatel,élection OR campagne,3,CIMT-CHAU,Albatros : Benjamin Vigneault échangé aux Tigres dans la LHJMQ,2021-10-07,12,https://cimtchau.ca/nouvelles/albatros-benjamin-vigneault-echange-aux-tigres-dans-la-lhjmq/,2021-10-19 17:21:22,mixte
Boischatel,élection OR campagne,4,Québec Hebdo,Élections fédérales 2021 – Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,2021-09-09,40,https://www.quebechebdo.com/local/268134/elections-federales-2021-beauport-cote-de-beaupre-ile-dorleans-charlevoix/,2021-10-19 17:21:22,mixte
Boischatel,élection OR campagne,5,Le Soleil - Groupe Capitales Médias,Campagne fédérale: les candidats déjà en action à Québec,2021-08-15,65,https://www.lesoleil.com/actualite/les-elections-federales/campagne-federale-les-candidats-deja-en-action-a-quebec-626eff1e1712203251f6adf5f1c71458,2021-10-19 17:21:22,mixte
Boischatel,élection OR campagne,6,Le Soleil - Groupe Capitales Médias,Nouvelle candidate conservatrice dans Beauport | Politique | Actualités,2021-02-23,238,https://www.lesoleil.com/actualite/politique/nouvelle-candidate-conservatrice-dans-beauport-3826ccbfbea2f63186ac06243857481d,2021-10-19 17:21:22,mixte
Boischatel,élection OR campagne,7,Le Journal de Québec,Stupéfiants: un individu arrêté à Boischatel | JDQ,2020-12-01,322,https://www.journaldequebec.com/2020/12/01/stupefiants-un-individu-arrete-a-boischatel,2021-10-19 17:21:22,mixte
Boischatel,élection OR campagne,8,Le Journal de Québec,Loto-VR Fondation Élan,2021-07-10,101,https://www.journaldequebec.com/2021/07/10/loto-vr-fondation-elan,2021-10-19 17:21:23,mixte
Boischatel,élection OR campagne,9,ICI.Radio-Canada.ca,Un policier de Québec fait l'objet d'une enquête pour agression sexuelle sur une collègue,2021-09-09,40,https://ici.radio-canada.ca/nouvelle/1822578/enquete-agression-sexuelle-policier-quebec-spvq-sq-arrestation-22-aout,2021-10-19 17:21:23,mixte
Boischatel,élection OR campagne,10,ICI.Radio-Canada.ca,Une vingtaine de constats remis lors d'une opération ciblant les VTT à Québec,2021-05-24,148,https://ici.radio-canada.ca/nouvelle/1795622/vtt-sentiers-interdiction-sensibilisation-quebec-charlesbourg-beauport,2021-10-19 17:21:23,mixte
