Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Chandler,élection OR campagne,1,CIMT-CHAU,Élections municipales 2021: La période de mise en candidature est terminée,2021-10-01,18,https://cimtchau.ca/nouvelles/elections-municipales-2021-la-periode-de-mise-en-candidature-est-terminee/,2021-10-19 17:26:14,mixte
Chandler,élection OR campagne,2,ICI.Radio-Canada.ca,En marche vers le 7 novembre,2021-09-30,19,https://ici.radio-canada.ca/nouvelle/1827737/elections-municipales-scrutin-maires-conseillers-statistiques,2021-10-19 17:26:15,mixte
Chandler,élection OR campagne,3,Le Soleil - Groupe Capitales Médias,Perquisition chez un élu de Chandler en lien avec des paris illégaux,2021-10-06,13,https://www.lesoleil.com/actualite/en-region/perquisition-chez-un-elu-de-chandler-en-lien-avec-des-paris-illegaux-10cc829cbfbccdf3fbb973376b2edf83,2021-10-19 17:26:15,mixte
Chandler,élection OR campagne,4,ICI.Radio-Canada.ca,Municipales 2021 : plusieurs maires déjà connus en Gaspésie et sur la Côte-Nord,2021-10-04,15,https://ici.radio-canada.ca/nouvelle/1828627/candidature-mairie-est-quebec-gaspesie-bas-saint-laurent-cote-nord-elections-municipales,2021-10-19 17:26:15,mixte
Chandler,élection OR campagne,5,Le Soleil - Groupe Capitales Médias,Cinq questions à Nadia Minassian: «Il faut valoriser le manque d'expérience en politique»,2021-10-13,6,https://www.lesoleil.com/actualite/en-region/cinq-questions-a-nadia-minassian-il-faut-valoriser-le-manque-dexperience-en-politique-19a085f11aa23a47fe0a5d9bcf0eaf40,2021-10-19 17:26:15,mixte
Chandler,élection OR campagne,6,L’Avantage gaspésien,Diane Lebouthillier réélue,2021-09-20,29,https://www.lavantagegaspesien.com/article/2021/09/20/diane-lebouthillier-reelue,2021-10-19 17:26:15,mixte
Chandler,élection OR campagne,7,La Presse,Les chiens de garde des élus municipaux,2021-10-17,2,https://www.lapresse.ca/actualites/chroniques/2021-10-17/les-chiens-de-garde-des-elus-municipaux.php,2021-10-19 17:26:16,mixte
Chandler,élection OR campagne,8,NHL.com,Poolers : Des nouvelles de l'infirmerie,2021-10-17,2,https://www.nhl.com/fr/news/poolers-des-nouvelles-de-linfirmerie/c-326913410,2021-10-19 17:26:16,mixte
Chandler,élection OR campagne,9,NHL.com,32 en 32 : Analyse des Golden Knights de Vegas pour les poolers,2021-09-30,19,https://www.nhl.com/fr/news/32-en-32--analyse-des-golden-knights-de-vegas-pour-les-poolers/c-326439186,2021-10-19 17:26:16,mixte
Chandler,élection OR campagne,10,ICI.Radio-Canada.ca,La mairesse de Chandler de retour en poste après sa suspension,2021-07-12,99,https://ici.radio-canada.ca/nouvelle/1808284/louisette-langlois-chandler-suspension-godbout-mairie-conseil-municipal,2021-10-19 17:26:16,mixte
