Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Coaticook,décès OR mort,1,Le Progrès de Coaticook,COVID-19: deux nouveaux cas s'ajoutent au bilan dans la région de Coaticook,2021-10-05,14,https://www.leprogres.net/2021/10/05/covid-19-deux-nouveaux-cas-sajoutent-au-bilan-dans-la-region-de-coaticook/,2021-10-19 16:53:09,local
Coaticook,décès OR mort,2,NecrologieCanada,BEAUDOIN Gerard 2021,2021-09-29,20,https://necrocanada.com/deces-2021/beaudoin-gerard-2021/,2021-10-19 16:53:10,local
Coaticook,décès OR mort,3,La Voix de l'est - Groupe Capitales Médias,100 nouveaux cas en quatre jours et un décès supplémentaire,2021-10-12,7,https://www.lavoixdelest.ca/actualites/covid-19/100-nouveaux-cas-en-quatre-jours-et-un-deces-supplementaire-814adbc33ced137551b73da6f04dc362,2021-10-19 16:53:10,local
Coaticook,décès OR mort,4,Le Journal de Québec,"MAY, Gregory",2021-09-25,24,https://www.journaldequebec.com/2021/09/25/ef5ee53d52/may-gregory,2021-10-19 16:53:10,local
Coaticook,décès OR mort,5,NecrologieCanada,ROY Carole 1957 2021,2021-09-23,26,https://necrocanada.com/deces-2021/roy-carole-1957-2021/,2021-10-19 16:53:10,local
Coaticook,décès OR mort,6,NecrologieCanada,ROUSSEAU Jacques 1947 2021,2021-09-23,26,https://necrocanada.com/deces-2021/rousseau-jacques-1947-2021/,2021-10-19 16:53:10,local
Coaticook,décès OR mort,7,Le Journal de Montréal,Un mort et un blessé grave après une collision frontale à Coaticook,2021-01-30,262,https://www.journaldemontreal.com/2021/01/30/deux-personnes-en-etat-grave-apres-une-collision-frontale-a-coaticook,2021-10-19 16:53:11,local
Coaticook,décès OR mort,8,Le Progrès de Coaticook,COVID-19: aucun cas décelé dans la région de Coaticook au cours des derniers jours,2021-08-31,49,https://www.leprogres.net/2021/08/31/covid-19-aucun-cas-decele-dans-la-region-de-coaticook-au-cours-des-derniers-jours/,2021-10-19 16:53:11,local
Coaticook,décès OR mort,9,Le Progrès de Coaticook,COVID-19: forte baisse du nombre de cas actifs à Coaticook,2021-05-31,141,https://www.leprogres.net/2021/05/31/covid-19-forte-baisse-du-nombre-de-cas-actifs-a-coaticook/,2021-10-19 16:53:11,local
Coaticook,décès OR mort,10,Le Progrès de Coaticook,Quatre organismes touristiques de la région de Coaticook se partagent près de 100 000 $,2021-09-06,43,https://www.leprogres.net/2021/09/06/quatre-organismes-touristiques-de-la-region-de-coaticook-se-partagent-pres-de-100-000/,2021-10-19 16:53:11,local
