Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Dolbeau-Mistassini,élection OR campagne,1,Journal Nouvelles Hebdo,Élections municipales : Eliot Lapointe briguera le siège #2 à Dolbeau-Mistassini,2021-09-27,22,https://www.nouvelleshebdo.com/actualite/elections-municipales-eliot-lapointe-briguera-le-siege-2-a-dolbeau-mistassini/,2021-10-19 17:37:37,mixte
Dolbeau-Mistassini,élection OR campagne,2,Journal Nouvelles Hebdo,André Guy deviendra maire de Dolbeau-Mistassini; Luc Simard demeure préfet,2021-10-01,18,https://www.nouvelleshebdo.com/actualite/andre-guy-deviendra-maire-de-dolbeau-mistassin-luc-simard-demeure-prefet/,2021-10-19 17:37:37,mixte
Dolbeau-Mistassini,élection OR campagne,3,Journal Nouvelles Hebdo,Stéphane Houde songe à la mairie de Dolbeau-Mistassini,2021-09-22,27,https://www.nouvelleshebdo.com/actualite/stephane-houde-songe-a-la-mairie-de-dolbeau-mistassini/,2021-10-19 17:37:37,mixte
Dolbeau-Mistassini,élection OR campagne,4,ICI.Radio-Canada.ca,Plusieurs maires élus sans opposition au Lac et sept candidats à la mairie de Saguenay,2021-10-02,17,https://ici.radio-canada.ca/nouvelle/1828628/candidatures-villes-dgeq,2021-10-19 17:37:38,mixte
Dolbeau-Mistassini,élection OR campagne,5,Journal Nouvelles Hebdo,Dolbeau-Mistassini : Stéphane Houde écarte la mairie et se lance sur le siège numéro 3,2021-09-27,22,https://www.nouvelleshebdo.com/actualite/dolbeau-mistassini-stephane-houde-ecarte-la-mairie-et-se-lance-sur-le-siege-numero-3/,2021-10-19 17:37:38,mixte
Dolbeau-Mistassini,élection OR campagne,6,ICI.Radio-Canada.ca,Alexis Brunelle-Duceppe réélu dans Lac-Saint-Jean | Élections Canada 2021,2021-09-21,28,https://ici.radio-canada.ca/nouvelle/1825712/resultats-bloc-quebecois-circonscription-votes,2021-10-19 17:37:38,mixte
Dolbeau-Mistassini,élection OR campagne,7,ICI.Radio-Canada.ca,Des représentants du Saguenay-Lac-Saint-Jean tendent la main aux députés élus | Élections Canada 2021,2021-09-21,28,https://ici.radio-canada.ca/nouvelle/1825890/investissements-federal-developpement-saguenay-collaboration,2021-10-19 17:37:38,mixte
Dolbeau-Mistassini,élection OR campagne,8,Journal Nouvelles Hebdo,Club Rotary : Une campagne de financement pour lutter contre la polio,2021-10-13,6,https://www.nouvelleshebdo.com/actualite/club-rotary-une-campagne-de-financement-pour-lutter-contre-la-polio/,2021-10-19 17:37:38,mixte
Dolbeau-Mistassini,élection OR campagne,9,Journal Le Manic,Marcel Furlong en campagne pour garder son poste de préfet,2021-09-24,25,https://www.lemanic.ca/2021/09/24/marcel-furlong-en-campagne-pour-garder-son-poste-de-prefet/,2021-10-19 17:37:39,mixte
Dolbeau-Mistassini,élection OR campagne,10,iHeartRadio,ÉLECTIONS: des affiches électorales déjà plantées dans les villes,2021-09-21,28,https://www.iheartradio.ca/energie/energie-saguenay/nouvelles/elections-des-affiches-electorales-deja-plantees-dans-les-villes-1.16120753,2021-10-19 17:37:39,mixte
