Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Drummondville,"""premier ministre""",1,iHeartRadio,Élections fédérales : Martin Champoux réélu dans Drummond,2021-09-20,29,https://www.iheartradio.ca/energie/energie-drummondville/nouvelles/elections-federales-martin-champoux-reelu-dans-drummond-1.16118082,2021-10-19 13:56:52,national
Drummondville,"""premier ministre""",2,L'Express - Drummondville,Jour de scrutin au Canada - L'Express,2021-09-20,29,https://www.journalexpress.ca/2021/09/20/jour-de-scrutin-au-canada/,2021-10-19 13:56:52,national
Drummondville,"""premier ministre""",3,LesAffaires.com,"«Ça se passe bien, il y a un niveau de confiance significatif», dit Blanchet",2021-09-20,29,https://www.lesaffaires.com/dossier/elections-federales-2021/ca-se-passe-bien-il-y-a-un-niveau-de-confiance-significatif-dit-blanchet/627320,2021-10-19 13:56:53,national
Drummondville,"""premier ministre""",4,La Nouvelle Union,Vaccination obligatoire en santé : l'APTS implore le gouvernement de repousser la date,2021-10-07,12,https://www.lanouvelle.net/2021/10/07/vaccination-obligatoire-en-sante-lapts-implore-le-gouvernement-de-repousser-la-date/,2021-10-19 13:56:53,national
Drummondville,"""premier ministre""",5,La Presse,Activités de sport et de loisirs | « Ça faisait longtemps »,2021-10-10,9,https://www.lapresse.ca/societe/2021-10-10/activites-de-sport-et-de-loisirs/ca-faisait-longtemps.php,2021-10-19 13:56:53,national
Drummondville,"""premier ministre""",6,L'Express - Drummondville,Le Québec se déconfine - L'Express,2021-05-18,154,https://www.journalexpress.ca/2021/05/18/le-quebec-se-deconfine-francois-legault-calendrier-deconfinement-drummondville/,2021-10-19 13:56:54,national
Drummondville,"""premier ministre""",7,Le Journal de Québec,Marche de la Solidarité,2021-09-28,21,https://www.journaldequebec.com/2021/09/28/marche-de-la-solidarite,2021-10-19 13:56:54,national
Drummondville,"""premier ministre""",8,VINGT 55 Média web,Le maire de Drummondville à la défense d'Autobus Girardin et d'Autobus Thomas contre le nouveau programme d'électrification du transport scolaire au Québec,2021-06-15,126,https://vingt55.ca/3le-maire-de-drummondville-a-la-defense-dautobus-girardin-et-dautobus-thomas-contre-le-nouveau-programme-delectrification-du-transport-scolaire-au-quebec/,2021-10-19 13:56:54,national
Drummondville,"""premier ministre""",9,L'Express - Drummondville,Québec confirme la mise en place d'un passeport vaccinal - L'Express,2021-08-05,75,https://www.journalexpress.ca/2021/08/05/quebec-confirme-la-mise-en-place-dun-passeport-vaccinal-covid-19-drummondville/,2021-10-19 13:56:54,national
Drummondville,"""premier ministre""",10,L'Express - Drummondville,Les élections fédérales officiellement déclenchées - L'Express,2021-08-15,65,https://www.journalexpress.ca/2021/08/15/les-elections-federales-officiellement-declenchees/,2021-10-19 13:56:55,national
