Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Forestville,"""premier ministre""",1,TVA Nouvelles,Ces nouvelles qui font jaser chez vous,2021-09-29,20,https://www.tvanouvelles.ca/2021/09/29/ces-nouvelles-qui-font-jaser-chez-vous,2021-10-19 14:01:09,national
Forestville,"""premier ministre""",2,ICI.Radio-Canada.ca,"La Côte-Nord pourrait revenir en zone jaune bientôt, estime la santé publique | Coronavirus",2021-05-13,159,https://ici.radio-canada.ca/nouvelle/1792864/palier-jaune-cote-nord-richard-fachehoun-cisss-conference-presse,2021-10-19 14:01:09,national
Forestville,"""premier ministre""",3,Le Journal de Québec,Un octogénaire sherbrookois retrouvé à 500 km de chez lui,2021-07-19,92,https://www.journaldequebec.com/2021/07/19/un-octogenaire-porte-disparu-depuis-samedi-a-sherbrooke-1,2021-10-19 14:01:09,national
Forestville,"""premier ministre""",4,journal le soir,La ministre Caroline Proulx sensible au Vieux-Théâtre,2021-06-16,125,https://journallesoir.ca/2021/06/16/la-ministre-caroline-proulx-sensible-au-vieux-theatre/,2021-10-19 14:01:10,national
Forestville,"""premier ministre""",5,Journal Le Manic,Trou noir : « des mesures permanentes s'imposent » - Line Sirois,2020-12-07,316,https://www.lemanic.ca/2020/12/07/trou-noir-des-mesures-permanentes-simposent-line-sirois/,2021-10-19 14:01:10,national
Forestville,"""premier ministre""",6,Mon Matane,Éphémérides du 10 août : mise à l'eau du traversier-catamaran CNM Évolution en 1997,2021-08-10,70,https://monmatane.com/ephemerides-du-10-aout-mise-a-leau-du-traversier-catamaran-c-n-m-evolution-en-1997/,2021-10-19 14:01:11,national
Forestville,"""premier ministre""",7,Le Journal de Québec,«Exploratus» de Camille Bouchard: Jacques Cartier raconté aux enfants,2021-03-06,227,https://www.journaldequebec.com/2021/03/06/exploratus-jacques-cartier-raconte-aux-enfants,2021-10-19 14:01:11,national
Forestville,"""premier ministre""",8,ICI.Radio-Canada.ca,Beaucoup de développement à prévoir autour du quai de Forestville,,,https://ici.radio-canada.ca/nouvelle/1027080/developpement-prevu-autour-quai-forestville,2021-10-19 14:01:11,national
Forestville,"""premier ministre""",9,ICI.Radio-Canada.ca,Trois cas de COVID-19 supplémentaires sur la Côte-Nord,2021-04-17,185,https://ici.radio-canada.ca/nouvelle/1785742/coronavirus-variants-vaccin-bilan-17-avril-2021-cote-nord,2021-10-19 14:01:11,national
Forestville,"""premier ministre""",10,Mon Matane,"Défi Caro à Vélo, la cycliste Caroline Paradis a complété le trajet Gaspé-Matane et poursuit sa route vers la Côte-Nord",2021-05-21,151,https://monmatane.com/defi-caro-a-velo-la-cycliste-caroline-paradis-a-complete-le-trajet-gaspe-matane-et-poursuit-sa-route-vers-la-cote-nord/,2021-10-19 14:01:11,national
Forestville,"""premier ministre""",11,Le Journal de Québec,Le dossier d'une disparition survenue en 1976 rouvert,,,https://www.journaldequebec.com/2019/06/10/le-dossier-dune-disparition-survenue-en-1976-rouvert,2021-10-19 14:01:11,national
Forestville,"""premier ministre""",12,Mon Matane,Éphémérides du 14 septembre : Chantier Naval Matane inaugure le traversier-catamaran « CNM Évolution » à Rimouski en 1997,2021-09-14,35,https://monmatane.com/ephemerides-du-14-septembre-chantier-naval-matane-inaugure-le-traversier-catamaran-c-n-m-evolution-a-rimouski-en-1997/,2021-10-19 14:01:12,national
Forestville,"""premier ministre""",13,Le Journal de Québec,Le Palmarès des écoles du Journal: voici le Top 5 de chaque région du Québec,,,https://www.journaldequebec.com/2020/10/23/le-palmares-des-ecoles-du-journal-voici-le-top-5-de-chaque-region-du-quebec,2021-10-19 14:01:12,national
Forestville,"""premier ministre""",14,Le Journal de Québec,[EN IMAGES] Un important feu de forêt toujours hors contrôle au Lac-Saint-Jean,,,https://www.journaldequebec.com/2020/06/19/lac-saint-jean-un-important-feu-de-foret-toujours-hors-controle,2021-10-19 14:01:12,national
Forestville,"""premier ministre""",15,ICI.Radio-Canada.ca,Inspection des résidences pour aînés de l'Est-du-Québec : soupir de soulagement | Coronavirus,,,https://ici.radio-canada.ca/nouvelle/1694029/coronavirus-covid-19-chsld-residences-personnes-agees-surevillance,2021-10-19 14:01:13,national
Forestville,"""premier ministre""",16,La Voix de l'est - Groupe Capitales Médias,Sur la route des barrages... en véhicule électrique!,,,https://www.lavoixdelest.ca/actualites/sur-la-route-des-barrages-en-vehicule-electrique-85935405cbd877c1f5aae581f2da686c,2021-10-19 14:01:13,national
Forestville,"""premier ministre""",17,Le Journal de Montréal,Toute la Côte-Nord touchée par la vague Rambo,,,https://www.journaldemontreal.com/2016/12/10/toute-la-cote-nord-touchee-par-la-vague-rambo,2021-10-19 14:01:13,national
Forestville,"""premier ministre""",18,ICI.Radio-Canada.ca,Les Autochtones non résidents sont désormais admis à Pessamit | Coronavirus,,,https://ici.radio-canada.ca/nouvelle/1715784/coronavirus-pessamit-deconfinement-autochtones,2021-10-19 14:01:13,national
Forestville,"""premier ministre""",19,Le Journal de Québec,[PHOTOS] Une vraie première tempête frappe Québec,,,https://www.journaldequebec.com/2020/01/12/photos-quebec-les-deplacements-perturbes-par-la-tempete,2021-10-19 14:01:13,national
Forestville,"""premier ministre""",20,Le Journal de Québec,Traverse de Matane–Baie-Comeau–Godbout: le PQ réclame l'heure juste au ministre Bonnardel,,,https://www.journaldequebec.com/2019/04/10/traverse-de-matanebaie-comeaugodbout-le-pq-reclame-lheure-juste-au-ministre-bonnardel,2021-10-19 14:01:13,national
Forestville,"""premier ministre""",21,La Presse,1 million de plus de Québécois dans 20 ans | La Presse,,,https://www.lapresse.ca/actualites/2019-10-18/1-million-de-plus-de-quebecois-dans-20-ans,2021-10-19 14:01:14,national
