Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Gaspé,accident,1,TVA Nouvelles,Collision mortelle avec un orignal en Gaspésie,2021-10-06,13,https://www.tvanouvelles.ca/2021/10/06/collision-mortelle-avec-un-orignal-en-gaspesie-1,2021-10-19 12:10:25,local
Gaspé,accident,2,Le Droit - Groupe Capitales Médias,"Autre collision mortelle avec un orignal, cette fois en Gaspésie",2021-10-06,13,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/autre-collision-mortelle-avec-un-orignal-cette-fois-en-gaspesie-38d6d0318231b497de1645ad81a29834,2021-10-19 12:10:25,local
Gaspé,accident,3,Showbizz.net,Un accident de voiture survient lors d'un tournage et les artistes deviennent les premiers répondants,2021-10-14,5,https://showbizz.net/stars/un-accident-de-voiture-survient-lors-dun-tournage-et-les-artistes-sont-les-premiers-repondants,2021-10-19 12:10:26,local
Gaspé,accident,4,La Presse,Grave accident de véhicule côte-à-côte en Gaspésie,2021-07-18,93,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-18/grave-accident-de-vehicule-cote-a-cote-en-gaspesie.php,2021-10-19 12:10:26,local
Gaspé,accident,5,Le Journal de Québec,"Accident mortel en Gaspésie: décès d'une femme et d'un bambin, un bébé entre la vie et la mort",2021-06-28,113,https://www.journaldequebec.com/2021/06/28/accident-mortel-en-gaspesie-deces-dune-femme-et-dun-bambin-un-bebe-entre-la-vie-et-la-mort,2021-10-19 12:10:26,local
Gaspé,accident,6,Le Journal de Québec,Accident mortel en Gaspésie: élan de solidarité pour une fillette mal en point,2021-07-03,108,https://www.journaldequebec.com/2021/07/02/accident-mortel-en-gaspesie-campagne-pour-aider-une-fillette-blessee,2021-10-19 12:10:26,local
Gaspé,accident,7,Le Journal de Québec,La Gaspésie s'inquiète pour la vie de touristes imprudents,2021-07-14,97,https://www.journaldequebec.com/2021/07/14/sauvetages-appel-a-la-vigilance-sur-le-fleuve-apres-un-incident,2021-10-19 12:10:27,local
Gaspé,accident,8,Le Soleil - Groupe Capitales Médias,"Accident mortel de moto à Chandler, en Gaspésie",2021-06-05,136,https://www.lesoleil.com/actualite/en-region/accident-mortel-de-moto-a-chandler-en-gaspesie-fa8a0be0db9b8f1d8f256f415803f5f1,2021-10-19 12:10:27,local
Gaspé,accident,9,Le Journal de Québec,Gaspésie: un accident de la route fait un mort et un blessé,2021-07-13,98,https://www.journaldequebec.com/2021/07/13/gaspesie-un-accident-de-la-route-fait-deux-blesses-1,2021-10-19 12:10:27,local
Gaspé,accident,10,Le Soleil - Groupe Capitales Médias,Collision mortelle avec deux orignaux en Gaspésie | L'Est du Québec | Actualités,2021-05-31,141,https://www.lesoleil.com/actualite/en-region/collision-mortelle-avec-deux-orignaux-en-gaspesie-e19e9d22ddef0f732515d7cf2b43321a,2021-10-19 12:10:28,local
Gaspé,accident,11,Le Soleil - Groupe Capitales Médias,Feu de cour fatal en Gaspésie: un éclat de métal a causé la mort de Myla Lepage Babin,2021-07-29,82,https://www.lesoleil.com/actualite/en-region/feu-de-cour-fatal-en-gaspesie-un-eclat-de-metal-a-cause-la-mort-de-myla-lepage-babin-3a0e96d49bebb9a0e65d5c02f6c5be0c,2021-10-19 12:10:28,local
Gaspé,accident,12,Le Journal de Québec,Grave accident de la route à Gaspé,,,https://www.journaldequebec.com/2020/07/22/grave-accident-de-la-route-a-gaspe,2021-10-19 12:10:28,local
Gaspé,accident,13,Le Soleil - Groupe Capitales Médias,Accident mortel sur l'autoroute 20 près de Rimouski,2021-08-23,57,https://www.lesoleil.com/actualite/en-region/accident-mortel-sur-lautoroute-20-pres-de-rimouski-78bd131acc51e509935c26974b26d88d,2021-10-19 12:10:28,local
Gaspé,accident,14,Le Soleil - Groupe Capitales Médias,Troisième décès dans l'accident du 28 juin à Caplan,2021-07-22,89,https://www.lesoleil.com/actualite/en-region/troisieme-deces-dans-laccident-du-28-juin-a-caplan-7912f6fc6853214245fd4454cf01e24e,2021-10-19 12:10:28,local
Gaspé,accident,15,Le Journal de Québec,Collision avec un poids lourd: une famille décimée à Lac-au-Saumon,2021-08-05,75,https://www.journaldequebec.com/2021/08/05/lac-au-saumon-six-blesses-graves-dans-une-collision-avec-un-poids-lourd,2021-10-19 12:10:29,local
Gaspé,accident,16,Le Journal de Québec,Gaspésie: un trentenaire hospitalisé après un accident de motocross,2021-05-10,162,https://www.journaldequebec.com/2021/05/09/gaspesie-un-trentenaire-hospitalise-apres-un-accident-de-motocross,2021-10-19 12:10:29,local
Gaspé,accident,17,Le Journal de Québec,"Gaspésie: écrasé sous un VTT, un jeune enfant décède",2021-09-01,48,https://www.journaldequebec.com/2021/09/01/gaspesie-ecrase-sous-un-vtt-un-jeune-enfant-decede,2021-10-19 12:10:29,local
Gaspé,accident,18,Le Journal de Québec,Mort d'une femme et de son enfant sur la route 132: l'identité de la conductrice dévoilée,2021-06-29,112,https://www.journaldequebec.com/2021/06/29/deces-dune-femme-et-son-enfant-sur-la-route-132-lidentite-de-la-conductrice-devoilee,2021-10-19 12:10:29,local
Gaspé,accident,19,ICI.Radio-Canada.ca,Collision entre deux camions à Maria,2021-06-28,113,https://ici.radio-canada.ca/nouvelle/1805159/collision-camions-poids-lourds-route-132-maria-gaspesie-28-juin-2021,2021-10-19 12:10:29,local
Gaspé,accident,20,Le Journal de Québec,Un motocycliste perd la vie à Saint-Siméon-de-Bonaventure,2021-06-29,112,https://www.journaldequebec.com/2021/06/29/un-motocycliste-perd-la-vie-a-saint-simeon-de-bonaventure-1,2021-10-19 12:10:29,local
Gaspé,accident,21,L’Avantage gaspésien,Accident de la route à Matane,2021-07-23,88,https://www.lavantagegaspesien.com/article/2021/07/23/accident-de-la-route-a-matane,2021-10-19 12:10:30,local
Gaspé,accident,22,Le Journal de Montréal,Grave accident à Caplan: la fillette d'un an est décédée,2021-07-22,89,https://www.journaldemontreal.com/2021/07/22/grave-accident-a-caplan--la-fillette-dun-an-est-decedee,2021-10-19 12:10:30,local
