Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Malbaie,"""premier ministre""",1,Le Devoir,Le Parti québécois ne veut plus de la gouvernance par décrets,2021-09-08,41,https://www.ledevoir.com/politique/quebec/630663/le-parti-quebecois-ne-veut-plus-de-la-gouvernance-par-decrets-de-legault,2021-10-19 14:18:34,national
La Malbaie,"""premier ministre""",2,La Presse,Environnement | Les péquistes veulent « un automne climatique » à Québec,2021-09-07,42,https://www.lapresse.ca/actualites/politique/2021-09-07/environnement/les-pequistes-veulent-un-automne-climatique-a-quebec.php,2021-10-19 14:18:34,national
La Malbaie,"""premier ministre""",3,Radio-Canada.ca,"« Ici, ce ne sont pas les jobs qui manquent »",2021-07-09,102,https://ici.radio-canada.ca/nouvelle/1807715/penurie-main-doeuvre-regions-malbaie,2021-10-19 14:18:35,national
La Malbaie,"""premier ministre""",4,TVA Nouvelles,Agression homophobe à La Malbaie: possible entente pour le procès Hardy,2021-01-08,284,https://www.tvanouvelles.ca/2021/01/08/agression-homophobe-a-la-malbaie-possible-entente-pour-le-proces-hardy,2021-10-19 14:18:35,national
La Malbaie,"""premier ministre""",5,CIMT-CHAU,Le gym du Complexe Sportif à La Malbaie rouvrira ses portes lundi,2021-03-05,228,https://cimtchau.ca/nouvelles/le-gym-du-complexe-sportif-a-la-malbaie-rouvrira-ses-portes-lundi/,2021-10-19 14:18:35,national
La Malbaie,"""premier ministre""",6,Le Journal de Québec,Un homme grièvement blessé dans un accident de voiture à La Malbaie,2021-05-29,143,https://www.journaldequebec.com/2021/05/28/un-homme-gravement-blesse-dans-un-accident-de-voiture-a-la-malbaie-1,2021-10-19 14:18:35,national
La Malbaie,"""premier ministre""",7,ICI.Radio-Canada.ca,Déconfinement : Charlevoix et Portneuf veulent être traitées à part,2021-01-26,266,https://ici.radio-canada.ca/nouvelle/1766042/deconfinement-charlevoix-comme-est-du-quebec-covid19,2021-10-19 14:18:35,national
La Malbaie,"""premier ministre""",8,La Presse,Brian Mulroney sur Joe Biden | Une arrivée qui « va transformer les relations canado-américaines »,2020-11-08,345,https://www.lapresse.ca/actualites/politique/2020-11-08/brian-mulroney-sur-joe-biden/une-arrivee-qui-va-transformer-les-relations-canado-americaines.php,2021-10-19 14:18:36,national
La Malbaie,"""premier ministre""",9,CIMT-CHAU,Agression homophobe à La Malbaie : Une entente possiblement réglée pour le procès Hardy,2021-01-07,285,https://cimtchau.ca/nouvelles/agression-homophobe-a-la-malbaie-une-entente-possiblement-reglee-pour-le-proces-hardy/,2021-10-19 14:18:36,national
La Malbaie,"""premier ministre""",10,Le Soleil - Groupe Capitales Médias,Affaire Jonathan Vance: les conservateurs s'en prennent au bras droit de Trudeau,2021-05-02,170,https://www.lesoleil.com/actualite/affaire-jonathan-vance-les-conservateurs-sen-prennent-au-bras-droit-de-trudeau-964c20e12cc5b407a73d5070ee9c34a9,2021-10-19 14:18:36,national
La Malbaie,"""premier ministre""",11,ICI.Radio-Canada.ca,Le sommet du G7 et les obligations des pays riches | Coronavirus,2021-06-10,131,https://ici.radio-canada.ca/nouvelle/1800078/sommet-g7-susan-le-jeune-dallegeershecque-covid,2021-10-19 14:18:37,national
La Malbaie,"""premier ministre""",12,Le Journal de Montréal,Relation en dents de scie entre Trudeau et Trump,2020-11-02,351,https://www.journaldemontreal.com/2020/11/02/relation-en-dents-de-scie-entre-trudeau-et-trump,2021-10-19 14:18:37,national
La Malbaie,"""premier ministre""",13,Le Soleil - Groupe Capitales Médias,Mahmud Jamal en voie d'être le premier juge non blanc à la Cour suprême du Canada,2021-06-17,124,https://www.lesoleil.com/actualite/justice-et-faits-divers/mahmud-jamal-en-voie-detre-le-premier-juge-non-blanc-a-la-cour-supreme-du-canada-31732d58abda4a98d0f1c2813850160f,2021-10-19 14:18:37,national
