Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Tuque,élection OR campagne,1,Mon LaTuque,"Commentaires de Larry Bernier, maire de Lac Édouard concernant les élections municipales",2021-10-19,0,https://monlatuque.com/commentaires-de-larry-bernier-maire-de-lac-edouard-concernant-les-elections-municipales/,2021-10-19 13:41:28,mixte
La Tuque,élection OR campagne,2,L'Écho de La Tuque,"Surplus envisagé de près de 1,5M$ pour 2021 à La Tuque",2021-10-06,13,http://www.lechodelatuque.com/actualites/surplus-envisage-de-pres-de-15m-pour-2021-a-la-tuque/,2021-10-19 13:41:29,mixte
La Tuque,élection OR campagne,3,L'Écho de La Tuque,Ville de La Tuque recherche du personnel électoral,2021-10-05,14,https://www.lechodelatuque.com/actualites/ville-de-la-tuque-recherche-du-personnel-electoral/,2021-10-19 13:41:29,mixte
La Tuque,élection OR campagne,4,Le Nouvelliste numérique,Autochtones en milieu urbain: la collaboration avec la Ville de La Tuque doit se poursuivre,2021-10-19,0,https://www.lenouvelliste.ca/opinions/autochtones-en-milieu-urbain-la-collaboration-avec-la-ville-de-la-tuque-doit-se-poursuivre-af9b3e35cd18405664ddbf131fa84369,2021-10-19 13:41:29,mixte
La Tuque,élection OR campagne,5,Le Nouvelliste - Groupe Capitales Médias,Désistement du maire de La Tuque: «une sage décision» selon les candidats à la mairie,2021-09-22,27,https://www.lenouvelliste.ca/actualites/elections-municipales-2021/desistement-du-maire-de-la-tuque-une-sage-decision-selon-les-candidats-a-la-mairie-f70c3993eeb317c17bac98f4a2c8e2de,2021-10-19 13:41:29,mixte
La Tuque,élection OR campagne,6,L'Écho de La Tuque,Élections : qui sont les candidats La Tuque jusqu'à présent ?,2021-09-24,25,http://www.lechodelatuque.com/actualites/elections-qui-sont-les-candidats-la-tuque-jusqua-present/,2021-10-19 13:41:29,mixte
La Tuque,élection OR campagne,7,L'Écho de La Tuque,Caroline Bérubé se lance à la mairie de La Tuque,2021-10-01,18,http://www.lechodelatuque.com/actualites/caroline-berube-se-lance-a-la-mairie-de-la-tuque/,2021-10-19 13:41:30,mixte
La Tuque,élection OR campagne,8,L'Écho de La Tuque,Débat des candidats à la mairie,2021-10-13,6,https://www.lechodelatuque.com/actualites/politique/debat-des-candidats-a-la-mairie/,2021-10-19 13:41:30,mixte
La Tuque,élection OR campagne,9,L'Écho de La Tuque,Ça s'est passé à La Tuque,2021-10-03,16,https://www.lechodelatuque.com/communaute/ca-sest-passe-a-la-tuque-153/,2021-10-19 13:41:30,mixte
La Tuque,élection OR campagne,10,L'Écho de La Tuque,Élections municipales: place aux mises en candidature,2021-09-21,28,https://www.lechodelatuque.com/actualites/elections-municipales-place-aux-mises-en-candidature-2/,2021-10-19 13:41:30,mixte
La Tuque,élection OR campagne,11,L'Écho de La Tuque,Dernier tour de piste pour Jean Duchesneau,2021-10-06,13,http://www.lechodelatuque.com/actualites/dernier-tour-de-piste-pour-jduchesneau/,2021-10-19 13:41:30,mixte
La Tuque,élection OR campagne,12,L'Écho de La Tuque,La bloquiste Jacynthe Bruneau espérait davantage,2021-09-20,29,http://www.lechodelatuque.com/actualites/politique/la-bloquiste-jacynthe-bruneau-esperait-davantage/,2021-10-19 13:41:30,mixte
La Tuque,élection OR campagne,13,L'Écho de La Tuque,La Tuque célèbre l'excellence de son milieu des affaires,2021-10-01,18,http://www.lechodelatuque.com/actualites/la-tuque-celebre-lexcellence-de-son-milieu-des-affaires/,2021-10-19 13:41:31,mixte
La Tuque,élection OR campagne,14,L'Écho de La Tuque,"«Le premier responsable, c'est toi !»",2021-10-02,17,https://www.lechodelatuque.com/actualites/le-premier-responsable-cest-toi/,2021-10-19 13:41:31,mixte
