Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Louiseville,élection OR campagne,1,Le Nouvelliste - Groupe Capitales Médias,MRC de Maskinongé: plusieurs luttes et Yvon Deshaies réélu,2021-10-01,18,https://www.lenouvelliste.ca/actualites/elections-municipales-2021/mrc-de-maskinonge-plusieurs-luttes-et-yvon-deshaies-reelu-01d57bea4aafe7639a593313fd3ed608,2021-10-19 09:16:02,mixte
Louiseville,élection OR campagne,2,Le Journal de Montréal,Le maire de Louiseville veut des appuis pour la peine de mort,2021-08-02,78,https://www.journaldemontreal.com/2021/08/02/le-maire-de-louiseville-veut-des-appuis-pour-la-peine-de-mort,2021-10-19 09:16:02,mixte
Louiseville,élection OR campagne,3,Le Nouvelliste - Groupe Capitales Médias,Ça va brasser… dans les grosses villes | La griffe à Beaudoin | Chroniques,2021-10-02,17,https://www.lenouvelliste.ca/chroniques/la-griffe-a-beaudoin/ca-va-brasser-dans-les-grosses-villes-52eafa915c765080f42159019617ab39,2021-10-19 09:16:02,mixte
Louiseville,élection OR campagne,4,ICI.Radio-Canada.ca,Premier jour de la campagne municipale au Québec | Élections municipales au Québec 2021,2021-09-27,22,https://ici.radio-canada.ca/nouvelle/1825131/campagne-municipale-2021-mauricie,2021-10-19 09:16:03,mixte
Louiseville,élection OR campagne,5,iHeartRadio,Élections municipales : plusieurs postes sans candidat en Mauricie,2021-10-01,18,https://www.iheartradio.ca/energie/energie-mauricie/nouvelles/elections-municipales-plusieurs-postes-sans-candidat-en-mauricie-1.16184968,2021-10-19 09:16:03,mixte
Louiseville,élection OR campagne,6,Le Nouvelliste - Groupe Capitales Médias,Vote par correspondance à Louiseville | Actualités,2021-06-25,116,https://www.lenouvelliste.ca/actualites/vote-par-correspondance-a-louiseville-370c9d142d1bf3cd06844475f5eee3e4,2021-10-19 09:16:03,mixte
Louiseville,élection OR campagne,7,L'Écho de Maskinongé,La suite d'un engagement depuis plus de 35 ans,2021-10-05,14,https://www.lechodemaskinonge.com/actualites/la-suite-dun-engagement-depuis-plus-de-35-ans/,2021-10-19 09:16:04,mixte
Louiseville,élection OR campagne,8,TVA Nouvelles,Berthier-Maskinongé: début de la campagne pour certains candidats,2021-08-18,62,https://www.tvanouvelles.ca/2021/08/18/berthier-maskinonge-debut-de-la-campagne-pour-certains-candidats,2021-10-19 09:16:04,mixte
Louiseville,élection OR campagne,9,Le Nouvelliste - Groupe Capitales Médias,Des masques de Louiseville pour Élections Canada [VIDÉO],2021-03-24,209,https://www.lenouvelliste.ca/actualites/des-masques-de-louiseville-pour-elections-canada-video-390ebf704cc3335da97afed4331e97a2,2021-10-19 09:16:05,mixte
Louiseville,élection OR campagne,10,L'Écho de Maskinongé,Respect et démocratie: Louiseville adhère à la campagne de l'UMQ,2021-02-12,249,https://www.lechodemaskinonge.com/actualites/respect-et-democratie-louiseville-adhere-a-la-campagne-de-lumq2/,2021-10-19 09:16:05,mixte
