Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lévis,accident,1,Le Journal de Québec,Accident mortel à Lévis: un autre récidiviste de l'alcool au volant accusé,2021-10-19,0,https://www.journaldequebec.com/2021/10/19/accident-mortel-a-levis-un-autre-recidiviste-accuse,2021-10-19 13:12:07,local
Lévis,accident,2,Le journal de Lévis,Alcool au volant : un passager décède lors d'un accident à Lévis,2021-10-18,1,https://www.journaldelevis.com/1092/Faits_divers.html?id=91848,2021-10-19 13:12:07,local
Lévis,accident,3,iHeartRadio,Accident mortel à Lévis: retour en cour de l'accusé mardi,,,https://www.iheartradio.ca/energie/energie-quebec/nouvelles/accident-mortel-a-levis-retour-en-cour-de-l-accuse-mardi-1.16305155,2021-10-19 13:12:07,local
Lévis,accident,4,Ma Beauce,Embardée mortelle à Lévis : le conducteur avait un taux d'alcool dépassant trois fois la limite permise,2021-10-18,1,https://mabeauce.com/embardee-mortelle-a-levis-le-conducteur-avait-un-taux-dalcool-depassant-trois-fois-la-limite-permise/,2021-10-19 13:12:08,local
Lévis,accident,5,ICI.Radio-Canada.ca,Un chauffard drogué en sens inverse sur le pont de Québec,2021-10-18,1,https://ici.radio-canada.ca/nouvelle/1832508/accident-pont-quebec-drogue-surete-police-accusations,2021-10-19 13:12:08,local
Lévis,accident,6,Le Journal de Québec,Accident mortel à Lévis: le conducteur avait plus de 3 fois la limite permise d'alcool dans le sang,2021-10-16,3,https://www.journaldequebec.com/2021/10/16/accident-mortel-a-levis-le-conducteur-avait-plus-de-trois-fois-la-limite-permise-dalcool-dans-le-sang,2021-10-19 13:12:08,local
Lévis,accident,7,Le Journal de Québec,Accident mortel de quatre-roues à Val-Bélair,2021-10-17,2,https://www.journaldequebec.com/2021/10/16/accident-de-quatre-roues-a-val-belair,2021-10-19 13:12:08,local
Lévis,accident,8,Le Soleil - Groupe Capitales Médias,Un ado meurt après un accident de moto à Sainte-Marie,2021-09-19,30,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-ado-meurt-apres-un-accident-de-moto-a-sainte-marie-3396b504aa9d8964345be99cdd0fd4b8,2021-10-19 13:12:09,local
Lévis,accident,9,Zone911,Accident de travail sur le boulevard Central à Québec,2021-10-18,1,https://zone911.com/divers/31707-accident-de-travail-sur-le-boulevard-central-a-quebec,2021-10-19 13:12:09,local
Lévis,accident,10,Le Journal de Québec,Collisions: un matin mouvementé sur les routes de Québec,2021-10-13,6,https://www.journaldequebec.com/2021/10/13/collisions-un-matin-mouvemente-sur-les-routes-de-quebec,2021-10-19 13:12:09,local
Lévis,accident,11,Le Soleil - Groupe Capitales Médias,Un grave accident fait un mort à Lévis,2021-07-16,95,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-grave-accident-fait-un-mort-a-levis-a7dd01783f48a16cda8f4ba4712e6d13,2021-10-19 13:12:09,local
Lévis,accident,12,Zone911,Accident sur la route Ste-Geneviève à Val-Bélair: La police confirme le décès,2021-10-17,2,https://zone911.com/accidents/31696-accident-sur-la-route-ste-genevieve-a-val-belair-la-police-confirme-le-deces,2021-10-19 13:12:09,local
Lévis,accident,13,Zone911,DERNIÈRE HEURE : Incendie majeur à la Davie à Lévis,2021-10-06,13,https://zone911.com/incendies/31617-derniere-heure-incendie-majeur-a-la-davie-a-levis-chantier-maritime,2021-10-19 13:12:10,local
Lévis,accident,14,Le Canada Français,Spectaculaire accident au pied du pont Gouin,2021-10-12,7,https://www.canadafrancais.com/2021/10/12/spectaculaire-accident-au-pied-du-pont-gouin/,2021-10-19 13:12:10,local
Lévis,accident,15,Le Journal de Québec,"[IMAGES] Accident à Lévis : 3 blessés, dont un blessé grave",2021-07-15,96,https://www.journaldequebec.com/2021/07/15/accident-a-levis--3-blesses-dont-un-blesse-grave,2021-10-19 13:12:10,local
Lévis,accident,16,Zone911,Accident sur la route 138 près de Petite-Rivière-St-François,2021-10-12,7,https://zone911.com/accidents/31655-accident-sur-la-route-138-pres-de-petite-riviere-st-francois,2021-10-19 13:12:10,local
Lévis,accident,17,Zone911,Grave accident à Saint-Hyacinthe et accident mortel à Sainte-Mélanie,2021-10-16,3,https://zone911.com/accidents/31690-grave-accident-a-saint-hyacinthe-et-accident-mortel-a-sainte-melanie,2021-10-19 13:12:10,local
Lévis,accident,18,Zone911,Un pompier de Montréal a perdu la vie lors d'une intervention sur le fleuve,2021-10-18,1,https://zone911.com/accidents/31701-un-pompier-de-montreal-a-perdu-la-vie-lors-d-une-intervention-sur-le-fleuve,2021-10-19 13:12:11,local
Lévis,accident,19,Le journal de Lévis,Alcool au volant : un Lévisien arrêté en Beauce,2021-10-19,0,https://www.journaldelevis.com/1092/Faits_divers.html?id=91869,2021-10-19 13:12:11,local
Lévis,accident,20,Le Soleil - Groupe Capitales Médias,Un carambolage fait six blessés sur l'autoroute 20 à Lévis,2021-06-03,138,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-carambolage-fait-six-blesses-sur-lautoroute-20-a-levis-4a5d089c9ec54bcc845802750d9246dd,2021-10-19 13:12:11,local
Lévis,accident,21,Zone911,DERNIÈRE HEURE - Grave accident route 132 Longueuil - Congestion - Secteur à éviter,2021-10-06,13,https://zone911.com/accidents/31616-derniere-heure-grave-accident-route-132-longueuil-congestion-secteur-a-eviter,2021-10-19 13:12:11,local
Lévis,accident,22,Zone911,Accident mortel à St-Bernard : Un jeune homme a perdu la vie,2021-10-09,10,https://zone911.com/accidents/31640-accident-mortel-a-st-bernard-un-jeune-homme-a-perdu-la-vie,2021-10-19 13:12:11,local
Lévis,accident,23,Zone911,DERNIÈRE HEURE : Lévis - Accident sur l'autoroute 20 près de la balance,2021-06-27,114,https://zone911.com/accidents/31040-derniere-heure-levis-accident-sur-l-autoroute-20-pres-de-la-balance,2021-10-19 13:12:11,local
Lévis,accident,24,Le Soleil - Groupe Capitales Médias,Un jeune cycliste happé par une voiture repose dans un état critique à Lévis,2021-09-11,38,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-jeune-cycliste-happe-par-une-voiture-repose-dans-un-etat-critique-a-levis-1833f1da5e1c037d66b22fd499c45fb1,2021-10-19 13:12:12,local
Lévis,accident,25,Zone911,Neuville - Grave accident sur la route 365 : Un motocycliste a perdu la vie,2021-09-20,29,https://zone911.com/accidents/31492-neuville-grave-accident-sur-la-route-365-un-motocycliste-a-perdu-la-vie-moto,2021-10-19 13:12:12,local
