Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Mansfield,élection OR campagne,1,ICI.Radio-Canada.ca,Deux agressions armées font trois victimes à Montréal,2021-09-18,31,https://ici.radio-canada.ca/nouvelle/1825235/violence-spvm-police-nuit-arme-blanche,2021-10-19 09:21:47,mixte
Mansfield,élection OR campagne,2,TVA Nouvelles,21e homicide à Montréal: une altercation entre plusieurs individus fait un mort,2021-09-18,31,https://www.tvanouvelles.ca/2021/09/18/montreal-une-altercation-entre-plusieurs-individus-fait-deux-blesses-graves-1,2021-10-19 09:21:47,mixte
Mansfield,élection OR campagne,3,TVA Nouvelles,Autre projet immobilier pour le Groupe Brivia: une tour de 19 étages voisine de l'édifice Sun Life,2021-04-21,181,https://www.tvanouvelles.ca/2021/04/21/autre-projet-immobilier-pour-le-groupe-brivia-une-tour-de-19-etages-voisine-de-ledifice-sun-life-1,2021-10-19 09:21:47,mixte
Mansfield,élection OR campagne,4,TVA Nouvelles,En quête de réponses sur la mort de leur fille,2021-04-22,180,https://www.tvanouvelles.ca/2021/04/22/en-quete-de-reponses-sur-la-mort-de-leur-fille,2021-10-19 09:21:47,mixte
Mansfield,député,1,Le Journal de Québec,Une belle façon de redonner l'eau aux citoyens,2021-07-05,106,https://www.journaldequebec.com/2021/07/05/une-belle-facon-de-redonner-leau-aux-citoyens,2021-10-19 09:22:25,mixte
Mansfield,député,2,Le Droit - Groupe Capitales Médias,Un jeune homme tué dans une agression à l'arme blanche à Montréal,2021-09-18,31,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/un-jeune-homme-tue-dans-une-agression-a-larme-blanche-a-montreal-77e985dd448556cd228bd2fa2fd26fae,2021-10-19 09:22:25,mixte
Mansfield,député,3,Yahoo Sport,Un jeune homme condamné pour avoir simulé un accident de scooter,2021-10-05,14,https://fr.sports.yahoo.com/video/jeune-homme-condamn%C3%A9-avoir-simul%C3%A9-101027051.html,2021-10-19 09:22:25,mixte
Mansfield,député,4,ICI.Radio-Canada.ca,Gestion des barrages : Mansfield-et-Pontefract réclame une commission d'enquête | Crue printanière 2019,,,https://ici.radio-canada.ca/nouvelle/1168809/mansfield-et-pontefract-seconde-montee-eaux-inondations-fort-coulonge,2021-10-19 09:22:25,mixte
Mansfield,député,5,ICI.Radio-Canada.ca,Le projet Énergie Davidson suscite de l'espoir dans le Pontiac,,,https://ici.radio-canada.ca/nouvelle/1724718/projet-pontiac-usine-cogeneration-scierie-energie-davidson-crise-forestiere,2021-10-19 09:22:26,mixte
Mansfield,député,6,Le Droit - Groupe Capitales Médias,Vaccination : le mystère du Pontiac | COVID-19 | Actualités,2021-08-07,73,https://www.ledroit.com/actualites/covid-19/vaccination--le-mystere-du-pontiac-24d9378a34e2567167d884bf72c66b04,2021-10-19 09:22:26,mixte
Mansfield,député,7,Le Droit - Groupe Capitales Médias,COVID-19: plus de 20 nouveaux cas en Outaouais | COVID-19 | Actualités,2021-06-10,131,https://www.ledroit.com/actualites/covid-19/covid-19-plus-de-20-nouveaux-cas-en-outaouais-b5c6548878872d3f4cdda0521fb60ddb,2021-10-19 09:22:26,mixte
Mansfield,député,8,Yahoo Actualités,Le théorème de Pythagore utilisé 1000 ans avant la naissance du mathématicien?,2021-08-06,74,https://fr.news.yahoo.com/th%C3%A9or%C3%A8me-pythagore-utilis%C3%A9-1000-ans-111103421.html,2021-10-19 09:22:26,mixte
Mansfield,député,9,Le Droit - Groupe Capitales Médias,Internet haute vitesse: Xplornet et Cogeco s'entendent avec Ottawa et Québec,2021-05-04,168,https://www.ledroit.com/actualites/petite-nation/internet-haute-vitesse-xplornet-et-cogeco-sentendent-avec-ottawa-et-quebec-353edeeadb9062852a122b5e262cbea6,2021-10-19 09:22:26,mixte
Mansfield,député,10,ICI.Radio-Canada.ca,Tentative de meurtre au centre-ville de Montréal,,,https://ici.radio-canada.ca/nouvelle/1065475/tentative-meurtre-centre-ville-montreal,2021-10-19 09:22:27,mixte
Mansfield,député,11,ICI.Radio-Canada.ca,La star américaine Jayne Mansfield à Montréal,,,https://ici.radio-canada.ca/nouvelle/1042342/jayne-mansfield-mort-1967-publicite-archives,2021-10-19 09:22:27,mixte
Mansfield,député,12,Journal Métro,Le SPVM procède à l'arrestation de Tommy Lee Guay-Arpin,2020-12-02,321,https://journalmetro.com/local/hochelaga-maisonneuve/2585268/spvm-procede-arrestation-tommy-lee-guay-arpin/,2021-10-19 09:22:27,mixte
Mansfield,député,13,Le Droit - Groupe Capitales Médias,Bitume frais et chantiers routiers | Gatineau | Actualités,,,https://www.ledroit.com/actualites/gatineau/bitume-frais-et-chantiers-routiers-f08508f0f95f92953c852ce1aeed6263,2021-10-19 09:22:27,mixte
Mansfield,député,14,TVA Nouvelles,La gestion des barrages d'Hydro-Québec critiquée par des municipalités,,,https://www.tvanouvelles.ca/2019/05/12/la-gestion-des-barrages-dhydro-quebec-critiquee-par-des-municipalites,2021-10-19 09:22:28,mixte
Mansfield,député,15,ICI.Radio-Canada.ca,Un libéral qui a tenu des propos discriminatoires pourra rester candidat | Élections Canada 2019,,,https://ici.radio-canada.ca/nouvelle/1333706/jaime-battiste-propos-discriminatoires-parti-liberal-justin-trudeau,2021-10-19 09:22:28,mixte
Mansfield,député,16,Le Droit - Groupe Capitales Médias,Les CHSLD de l'Outaouais ont besoin d'améliorations,,,https://www.ledroit.com/actualites/sante/les-chsld-de-loutaouais-ont-besoin-dameliorations-73f6439ac6ab19a9b1687f1730fe311f,2021-10-19 09:22:28,mixte
Mansfield,député,17,Le Télégramme,Notre sélection de concerts à ne pas manquer à la rentrée en Bretagne,2021-08-25,55,https://www.letelegramme.fr/musique/les-concerts-de-la-rentree-a-ne-pas-manquer-19-08-2021-12809541.php,2021-10-19 09:22:28,mixte
Mansfield,député,18,ICI.Radio-Canada.ca,Un quartier de Sydney visité par des rats « agressifs »,,,https://ici.radio-canada.ca/nouvelle/1071581/probleme-rats-sydney-nouvelle-ecosse-inondation-action-de-grace-vermine,2021-10-19 09:22:28,mixte
Mansfield,député,19,LaPresse.ca,"Trump est irrespectueux envers le Canada, déplore le gouverneur du Vermont",,,https://www.lapresse.ca/actualites/politique/politique-quebecoise/201808/12/01-5192813-trump-est-irrespectueux-envers-le-canada-deplore-le-gouverneur-du-vermont.php,2021-10-19 09:22:29,mixte
Mansfield,député,20,CNW Telbec,Abandonnée pendant plus de 30 ans - La maison Louis-Hippolyte-La Fontaine enfin restaurée et fin prête pour un nouveau chapitre de son histoire,,,https://www.newswire.ca/fr/news-releases/abandonnee-pendant-plus-de-30-ans-la-maison-louis-hippolyte-la-fontaine-enfin-restauree-et-fin-prete-pour-un-nouveau-chapitre-de-son-histoire-817998298.html,2021-10-19 09:22:29,mixte
Mansfield,député,21,ICI.Radio-Canada.ca,Les évangéliques fidèles à Donald Trump,,,https://ici.radio-canada.ca/nouvelle/1130363/protestants-fondamentalistes-religieux-parti-republicain-chretien-elections-mi-mandat,2021-10-19 09:22:29,mixte
Mansfield,député,22,Est Républicain,"En direct | Covid-19 : 309 morts supplémentaires, plus de 30 000 patients hospitalisés",2021-04-16,186,https://www.estrepublicain.fr/sante/2021/04/16/covid-19-plus-de-100-000-morts-en-france-macron-veut-toujours-rouvrir-le-pays-des-mi-mai,2021-10-19 09:22:29,mixte
Mansfield,député,23,LaPresse.ca,Mobilisation monstre pour l'environnement à Montréal,,,https://www.lapresse.ca/actualites/201811/10/01-5203705-mobilisation-monstre-pour-lenvironnement-a-montreal.php,2021-10-19 09:22:30,mixte
Mansfield,député,24,ICI.Radio-Canada.ca,Jean Béliveau honoré de toutes parts | Jean « Gros Bill » Béliveau,,,https://ici.radio-canada.ca/nouvelle/696596/assemblee-nationale-motion-jean-beliveau,2021-10-19 09:22:30,mixte
Mansfield,député,25,ICI.Radio-Canada.ca,La nécropsie commence sur la 2e baleine noire trouvée morte dans le golfe,,,https://ici.radio-canada.ca/nouvelle/1198176/baleine-noire-necropsie-petit-etang-punctuation-golfe-saint-laurent,2021-10-19 09:22:30,mixte
Mansfield,"""arme à feu""",1,News 24,Y a-t-il une situation de tireur actif à la Timberview High School au Texas ? - News 24,2021-10-07,12,https://news-24.fr/y-a-t-il-une-situation-de-tireur-actif-a-la-timberview-high-school-au-texas/,2021-10-19 09:22:38,mixte
Mansfield,"""arme à feu""",2,La Presse,Montréal | Deux agressions à l'arme blanche font un mort et deux blessés,2021-09-18,31,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-09-18/montreal/deux-agressions-a-l-arme-blanche-font-un-mort-et-deux-blesses.php,2021-10-19 09:22:38,mixte
Mansfield,"""arme à feu""",3,Le Droit - Groupe Capitales Médias,Écrasement d'un petit avion près de la MRC de Pontiac,2021-07-24,87,https://www.ledroit.com/actualites/justice-et-faits-divers/ecrasement-dun-petit-avion-pres-de-la-mrc-de-pontiac-fc8b9612bccaef619c1b763dc72884f3,2021-10-19 09:22:39,mixte
Mansfield,"""arme à feu""",4,La Presse,Agression à l'arme blanche au centre-ville de Montréal,2021-05-09,163,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-09/agression-a-l-arme-blanche-au-centre-ville-de-montreal.php,2021-10-19 09:22:39,mixte
Mansfield,"""arme à feu""",5,La Presse,Montréal | Une femme dans un état critique après avoir été heurtée par un autobus,2021-01-22,270,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-01-22/montreal/une-femme-dans-un-etat-critique-apres-avoir-ete-heurtee-par-un-autobus.php,2021-10-19 09:22:39,mixte
Mansfield,"""arme à feu""",6,La Presse,Un avion de plaisance s'écrase en Outaouais,2021-07-24,87,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-24/un-avion-de-plaisance-s-ecrase-en-outaouais.php,2021-10-19 09:22:39,mixte
Mansfield,"""arme à feu""",7,Le Droit - Groupe Capitales Médias,Accident mortel à Mansfield-et-Pontefract en Outaouais,,,https://www.ledroit.com/actualites/justice-et-faits-divers/accident-mortel-a-mansfield-et-pontefract-en-outaouais-d18fc74c404bded25c37fc50a1f72593,2021-10-19 09:22:39,mixte
