Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Nicolet,"""premier ministre""",1,TVA Nouvelles,"Trudeau, O'Toole, Blanchet et Singh réélus",2021-09-20,29,https://www.tvanouvelles.ca/2021/09/20/le-premier-ministre-trudeau-reelu-dans-papineau,2021-10-19 10:19:58,national
Nicolet,"""premier ministre""",2,Le Journal de Montréal,Tous les détails de l'élection fédérale : «je suis prêt à poursuivre le travail» - Justin Trudeau,2021-09-20,29,https://www.journaldemontreal.com/2021/09/20/en-direct-suivez-tous-les-developpements-de-lelection-federale,2021-10-19 10:19:58,national
Nicolet,"""premier ministre""",3,La Presse,Trudeau estime avoir reçu un « mandat clair » des Canadiens,2021-09-20,29,https://www.lapresse.ca/elections-federales/2021-09-20/trudeau-estime-avoir-recu-un-mandat-clair-des-canadiens.php,2021-10-19 10:19:59,national
Nicolet,"""premier ministre""",4,Le Nouvelliste - Groupe Capitales Médias,Deuxième visite de Justin Trudeau à Trois-Rivières,2021-09-16,33,https://www.lenouvelliste.ca/actualites/elections-federales/deuxieme-visite-de-justin-trudeau-a-trois-rivieres-4f1669b74c86d119a552fd6b4e906b31,2021-10-19 10:19:59,national
Nicolet,"""premier ministre""",5,Radio-Canada.ca,"« On a envie de dire : ""Tout ça pour ça"" », résume Yves-François Blanchet | Élections Canada 2021",2021-09-21,28,https://ici.radio-canada.ca/nouvelle/1825750/resultats-quebec-elections-federales-2021,2021-10-19 10:19:59,national
Nicolet,"""premier ministre""",6,Le Devoir,Élections Canada 2021 : les résultats des élections en direct,2021-09-21,28,https://www.ledevoir.com/documents/special/21-09_resultats-elections-canada-2021/index.html,2021-10-19 10:20:00,national
Nicolet,"""premier ministre""",7,Le Nouvelliste - Groupe Capitales Médias,Donc... on se reparle mercredi! | Paule Vermot-Desroches | Chroniques,2021-09-21,28,https://www.lenouvelliste.ca/chroniques/paule-vermot-desroches/donc-on-se-reparle-mercredi-17ae36a18e25f4283d71044087c020ec,2021-10-19 10:20:00,national
Nicolet,"""premier ministre""",8,Le Nouvelliste - Groupe Capitales Médias,Nouvelle programmation du Réseau RH Nicolet-Bécancour | Actualités,2021-08-24,56,https://www.lenouvelliste.ca/actualites/nouvelle-programmation-du-reseau-rh-nicolet-becancour-01ffb87e615c184972b0139baf710f00,2021-10-19 10:20:00,national
Nicolet,"""premier ministre""",9,Le Nouvelliste - Groupe Capitales Médias,Des arbres au milieu de la rue à Nicolet: la Ville change quelque peu son projet,2021-08-17,63,https://www.lenouvelliste.ca/actualites/des-arbres-au-milieu-de-la-rue-a-nicolet-la-ville-change-quelque-peu-son-projet-72387c15e7e9f45366047520ac8f9117,2021-10-19 10:20:00,national
Nicolet,"""premier ministre""",10,Le Nouvelliste - Groupe Capitales Médias,Élections fédérales: débat cordial dans Bécancour-Nicolet-Saurel,2021-09-13,36,https://www.lenouvelliste.ca/actualites/elections-federales/elections-federales-debat-cordial-dans-becancour-nicolet-saurel-96121467474be969c4424cc4744424eb,2021-10-19 10:20:00,national
Nicolet,"""premier ministre""",11,Le Nouvelliste - Groupe Capitales Médias,Le CJE réalisera un projet pour le 350e de Nicolet,2021-06-10,131,https://www.lenouvelliste.ca/actualites/le-cje-realisera-un-projet-pour-le-350e-de-nicolet-2bba12ee0a258e6c76b37c754d5660b3,2021-10-19 10:20:01,national
Nicolet,"""premier ministre""",12,Le Nouvelliste - Groupe Capitales Médias,Cérémonie commémorative à Nicolet des policiers morts en service [VIDÉOS],2021-05-10,162,https://www.lenouvelliste.ca/actualites/ceremonie-commemorative-a-nicolet-des-policiers-morts-en-service-videos-28fa6f38832eb6b8a469c0543bb83927,2021-10-19 10:20:01,national
Nicolet,"""premier ministre""",13,Le Nouvelliste - Groupe Capitales Médias,P'tites nouvelles: des cartes postales pour faire la promotion de la MRC Nicolet-Yamaska [ARTICLE AUDIO],2021-07-09,102,https://www.lenouvelliste.ca/actualites/ptites-nouvelles-des-cartes-postales-pour-faire-la-promotion-de-la-mrc-nicolet-yamaska-article-audio-eca5dfe77fddd9d1bbe27e7450c6c082,2021-10-19 10:20:01,national
Nicolet,"""premier ministre""",14,Le Nouvelliste - Groupe Capitales Médias,Séisme en Haïti: le premier ministre Justin Trudeau offre son aide,2021-08-14,66,https://www.lenouvelliste.ca/actualites/seisme-en-haiti-le-premier-ministre-justin-trudeau-offre-son-aide-a52979365a57920ebc4ec03dbcfaa6c5,2021-10-19 10:20:01,national
Nicolet,"""premier ministre""",15,Le Nouvelliste - Groupe Capitales Médias,Dominic Massé candidat comme conseiller à Nicolet | Actualités,2021-03-02,231,https://www.lenouvelliste.ca/actualites/dominic-masse-candidat-comme-conseiller-a-nicolet-1830d95b06d64f1e091ff5e87f6bb48b,2021-10-19 10:20:01,national
Nicolet,"""premier ministre""",16,Le Nouvelliste - Groupe Capitales Médias,Du nouveau au Centre d'action bénévole de Nicolet,2021-06-03,138,https://www.lenouvelliste.ca/actualites/du-nouveau-au-centre-daction-benevole-de-nicolet-cea1580a00a0a96744f036f2bb1a7705,2021-10-19 10:20:02,national
Nicolet,"""premier ministre""",17,Premier ministre du Canada,Itinéraire du premier ministre pour le jeudi 5 août 2021,2021-08-05,75,https://pm.gc.ca/fr/nouvelles/itineraires/2021/08/05/itineraire-du-premier-ministre-jeudi-5-aout-2021,2021-10-19 10:20:02,national
Nicolet,"""premier ministre""",18,Le Nouvelliste - Groupe Capitales Médias,La Mauricie et le Centre-du-Québec données en exemple par le premier ministre,2021-04-01,201,https://www.lenouvelliste.ca/actualites/covid-19/la-mauricie-et-le-centre-du-quebec-donnees-en-exemple-par-le-premier-ministre-caf0d5b0ae9dc142963d171fb05e0ab1,2021-10-19 10:20:02,national
Nicolet,"""premier ministre""",19,Le Nouvelliste - Groupe Capitales Médias,L'aréna Pierre-Provencher «enfin» inauguré | Actualités,2021-09-16,33,https://www.lenouvelliste.ca/actualites/larena-pierre-provencher-enfin-inaugure-f086c5c1809e768ca633d01f412a0380,2021-10-19 10:20:02,national
Nicolet,"""premier ministre""",20,La Nouvelle Union,Québec accorde près de 12 M $ à Emblème Canneberge,2021-06-15,126,https://www.lanouvelle.net/2021/06/15/quebec-accorde-pres-de-12-m-a-embleme-canneberge/,2021-10-19 10:20:02,national
Nicolet,"""premier ministre""",21,ICI.Radio-Canada.ca,150 000 foyers du Québec de plus branchés à Internet haute vitesse d'ici l'automne 2022,2021-03-22,211,https://ici.radio-canada.ca/nouvelle/1779002/annonce-trudeau-legault-internet-haute-vitesse-trois-rivieres,2021-10-19 10:20:02,national
Nicolet,"""premier ministre""",22,Le Devoir,"La réforme du mode de scrutin, un engagement à respecter",2021-04-29,173,https://www.ledevoir.com/opinion/idees/599718/idees-la-reforme-du-mode-de-scrutin-un-engagement-a-respecter,2021-10-19 10:20:03,national
Nicolet,"""premier ministre""",23,Le Nouvelliste - Groupe Capitales Médias,Une citerne mobile d'eau potable dans la MRC de Nicolet-Yamaska,2021-09-14,35,https://www.lenouvelliste.ca/actualites/une-citerne-mobile-deau-potable-dans-la-mrc-de-nicolet-yamaska-105228a54abe582438c70ccf39525521,2021-10-19 10:20:03,national
Nicolet,"""premier ministre""",24,Le Courrier Sud,Internet haute vitesse: tous les foyers centricois branchés d'ici septembre 2022,2021-05-07,165,https://www.lecourriersud.com/internet-haute-vitesse-tous-les-foyers-centricois-branches-dici-septembre-2022/,2021-10-19 10:20:03,national
Nicolet,"""premier ministre""",25,Le Nouvelliste - Groupe Capitales Médias,Projet d'une nouvelle école primaire au Centre-du-Québec: Nicolet manifeste son intérêt,2021-02-18,243,https://www.lenouvelliste.ca/actualites/projet-dune-nouvelle-ecole-primaire-au-centre-du-quebec-nicolet-manifeste-son-interet-8b3b6d255177e143a94d97b61612d43e,2021-10-19 10:20:03,national
Nicolet,climat,1,La Nouvelle Union,De nouveaux objectifs de conservation pour la zone Nicolet,2021-10-08,11,https://www.lanouvelle.net/2021/10/08/de-nouveaux-objectifs-de-conservation-pour-la-zone-nicolet/,2021-10-19 10:20:45,national
Nicolet,climat,2,Le Courrier Sud,La MRC de Nicolet-Yamaska finaliste pour le Prix Leadership municipal de la FQM,2021-09-20,29,https://www.lecourriersud.com/la-mrc-de-nicolet-yamaska-finaliste-pour-le-prix-leadership-municipal-de-la-fqm/,2021-10-19 10:20:45,national
Nicolet,climat,3,Le Nouvelliste - Groupe Capitales Médias,"Geneviève Dubois réélue à Nicolet, course à quatre pour Bécancour",2021-10-01,18,https://www.lenouvelliste.ca/actualites/elections-municipales-2021/genevieve-dubois-reelue-a-nicolet-course-a-quatre-pour-becancour-5ef33632afbb2fa817e3df4f67a87874,2021-10-19 10:20:45,national
Nicolet,climat,4,Le Nouvelliste - Groupe Capitales Médias,MRC de Nicolet-Yamaska: 15 nouvelles bornes de recharge pour véhicules électriques seront installées,2021-09-30,19,https://www.lenouvelliste.ca/actualites/mrc-de-nicolet-yamaska-15-nouvelles-bornes-de-recharge-pour-vehicules-electriques-seront-installees-d3abd6dfba7f35d04f05ed574d56f98c,2021-10-19 10:20:46,national
Nicolet,climat,5,Le Journal de Montréal,Pierreville: 18 ans et candidat à la mairie,2021-10-11,8,https://www.journaldemontreal.com/2021/10/11/pierreville-18-ans-et-candidat-a-la-mairie-1,2021-10-19 10:20:46,national
Nicolet,climat,6,Le Courrier Sud,Carolyne Aubin sollicite un 3e mandat à titre de conseillère municipale à la Ville de Nicolet,2021-09-22,27,https://www.lecourriersud.com/carolyne-aubin-sollicite-un-3e-mandat-a-titre-de-conseillere-municipale-a-la-ville-de-nicolet/,2021-10-19 10:20:46,national
Nicolet,climat,7,Le Nouvelliste - Groupe Capitales Médias,«Solutions Nature» à Nicolet | Actualités,2021-09-10,39,https://www.lenouvelliste.ca/actualites/solutions-nature-a-nicolet-d9762a7c1671f43a4974d9ed48478d15,2021-10-19 10:20:46,national
Nicolet,climat,8,Le Courrier Sud,Nicolet en mode Solutions nature,2021-09-12,37,https://www.lecourriersud.com/nicolet-en-mode-solutions-nature/,2021-10-19 10:20:46,national
Nicolet,climat,9,La Nouvelle Union,Marche mondiale des femmes : les Centricoises mobilisées,2021-10-08,11,https://www.lanouvelle.net/2021/10/08/marche-mondiale-des-femmes-les-centricoises-mobilisees/,2021-10-19 10:20:47,national
Nicolet,climat,10,Le Nouvelliste - Groupe Capitales Médias,"Une crise climatique, dix municipalités et la nature comme alliée",2021-09-04,45,https://www.lenouvelliste.ca/opinions/une-crise-climatique-dix-municipalites-et-la-nature-comme-alliee-d3b8bb46c87b18c6127d9da70627c904,2021-10-19 10:20:47,national
