Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Rémi,accident,1,Le JSL,Accident à Saint-Rémy / Lux | Les opérations de pompage des produits toxiques sont terminées (en direct),2021-10-17,2,https://www.lejsl.com/faits-divers-justice/2021/10/17/lux-un-camion-transportant-des-matieres-dangereuses-accidente,2021-10-19 08:53:39,local
Saint-Rémi,accident,2,France Bleu,Saône-et-Loire : un camion transportant des matières dangereuses impliqué dans un accident à Saint-Rémy,2021-10-17,2,https://www.francebleu.fr/infos/faits-divers-justice/saone-et-loire-un-accident-d-un-camion-transportant-des-matieres-dangereuses-a-saint-remy-1634465172,2021-10-19 08:53:40,local
Saint-Rémi,accident,3,saone-et-loire.gouv.fr,Accident d'un camion transportant des matières dangereuses à Saint-Rémy - 11h00 - Services Etat Saône-et-Loire,2021-10-17,2,http://www.saone-et-loire.gouv.fr/accident-d-un-camion-transportant-des-matieres-a14380.html,2021-10-19 08:53:40,local
Saint-Rémi,accident,4,France 3 Régions,Accident en Saône-et-Loire : des matières dangereuses sur la chaussée,2021-10-17,2,https://france3-regions.francetvinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/accident-en-saone-et-loire-des-matieres-dangereuses-sur-la-chaussee-2296723.html,2021-10-19 08:53:41,local
Saint-Rémi,accident,5,Info-chalon.com,ACCIDENT PRODUIT CORROSIF SAINT REMY - Il est recommandé aux habitants de ne pas consommer l'eau pompée - Chalon-sur-Saône et Saône et Loire,2021-10-17,2,https://www.info-chalon.com/articles/2021/10/17/64430/accident-produit-corrosif-saint-remy-il-est-recommande-aux-habitants-de-ne-pas-consommer-l-eau-pompee/,2021-10-19 08:53:41,local
Saint-Rémi,accident,6,Le JSL,Saint-Rémy | Choc frontal entre un fourgon et une moto : le motard gravement blessé,2021-10-01,18,https://www.lejsl.com/faits-divers-justice/2021/10/01/choc-frontal-entre-un-fourgon-et-une-moto-le-motard-gravement-blesse,2021-10-19 08:53:42,local
Saint-Rémi,accident,7,Echo Républicain,Deux blessées dans une collision à Saint-Rémy-sur-Avre,2021-09-22,27,https://www.lechorepublicain.fr/saint-remy-sur-avre-28380/actualites/deux-blessees-dans-une-collision-a-saint-remy-sur-avre_14016726/,2021-10-19 08:53:42,local
Saint-Rémi,accident,8,L'Union,VIDÉO. Marne : un mort et plusieurs blessés dans un accident sur la RN 4 près de Maisons-en-Champagne,2021-09-28,21,https://www.lunion.fr/id297360/article/2021-09-28/marne-un-mort-et-plusieurs-blesses-dans-un-accident-sur-la-rn-4-pres-de-maisons,2021-10-19 08:53:42,local
Saint-Rémi,accident,9,Le Reflet,Blessé mineur dans une collision à Saint-Constant,2021-09-21,28,https://www.lereflet.qc.ca/blesse-mineur-dans-une-collision-a-saint-constant/,2021-10-19 08:53:43,local
Saint-Rémi,accident,10,Le JSL,Chalonnais | Un motard grièvement blessé suite à un accident de la route à La Charmée,2021-10-06,13,https://www.lejsl.com/faits-divers-justice/2021/10/06/un-motard-grievement-blesse-apres-un-choc-avec-un-automobiliste-a-la-charmee,2021-10-19 08:53:43,local
Saint-Rémi,accident,11,Le Républicain Lorrain,Boucheporn | Chute mortelle d’un ouvrier depuis un échafaudage,2021-10-05,14,https://www.republicain-lorrain.fr/faits-divers-justice/2021/10/05/chute-mortelle-d-un-ouvrier-depuis-un-echafaudage,2021-10-19 08:53:43,local
Saint-Rémi,accident,12,Le Soleil de Châteauguay,Route 221 à Saint-Rémi : un Châteauguois victime d'un malaise au volant,2021-03-26,207,https://www.cybersoleil.com/route-221-a-saint-remi-un-chateauguois-victime-dun-malaise-au-volant/,2021-10-19 08:53:43,local
Saint-Rémi,accident,13,NecrologieCanada,Thomas TRUDEL 2000,2021-09-21,28,https://necrocanada.com/deces-2021/thomas-trudel-2000/,2021-10-19 08:53:43,local
Saint-Rémi,accident,14,actu.fr,Yvelines. (MAJ) Grave accident à Saint-Rémy-lès-Chevreuse : le fuyard a été arrêté,2021-05-19,153,https://actu.fr/ile-de-france/saint-remy-les-chevreuse_78575/yvelines-grave-accident-a-saint-remy-les-chevreuse-un-des-conducteurs-a-pris-la-fuite_41979569.html,2021-10-19 08:53:44,local
Saint-Rémi,accident,15,Echo Républicain,Un accident fait trois blessés sur la RN12 à Saint-Rémy-sur-Avre,2021-08-02,78,https://www.lechorepublicain.fr/saint-remy-sur-avre-28380/actualites/un-accident-fait-trois-blesses-sur-la-rn12-a-saint-remy-sur-avre_13993039/,2021-10-19 08:53:44,local
Saint-Rémi,accident,16,Le Reflet,La construction de la Maison Martin-Matte est lancée à Saint-Rémi,2021-05-12,160,https://www.lereflet.qc.ca/la-construction-de-la-maison-martin-matte-est-lancee-a-saint-remi/,2021-10-19 08:53:44,local
Saint-Rémi,accident,17,Le Reflet,VIDÉO - Un homme gravement blessé dans un accident à Saint-Constant,2021-02-12,249,https://www.lereflet.qc.ca/video-un-homme-gravement-blesse-dans-un-accident-a-saint-constant/,2021-10-19 08:53:44,local
Saint-Rémi,accident,18,actu.fr,Yvelines. Accident de Saint-Rémy-lès-Chevreuse : le fuyard avait bu de l'alcool,2021-05-20,152,https://actu.fr/ile-de-france/saint-remy-les-chevreuse_78575/yvelines-accident-de-saint-remy-les-chevreuse-le-fuyard-avait-bu-de-l-alcool_41995679.html,2021-10-19 08:53:45,local
Saint-Rémi,accident,19,France Bleu,Accident près de Toul : une motarde de 48 ans grièvement blessée et héliportée,2021-06-25,116,https://www.francebleu.fr/infos/faits-divers-justice/pres-de-toul-deux-blesses-dont-un-grave-dans-un-accident-de-circulation-sur-la-rd400-la-circulation-1624615459,2021-10-19 08:53:45,local
Saint-Rémi,accident,20,TVA Nouvelles,Incendie à Saint-Rémi: un local de production de télé et un organisme communautaire détruits,2020-12-05,318,https://www.tvanouvelles.ca/2020/12/05/en-images-incendie-majeur-dans-un-centre-dachat,2021-10-19 08:53:45,local
Saint-Rémi,accident,21,actu.fr,Yvelines. Accident de Saint-Rèmy-lès-Chevreuse : le chauffard part en prison,2021-05-21,151,https://actu.fr/ile-de-france/saint-remy-les-chevreuse_78575/yvelines-accident-de-saint-remy-les-chevreuse-le-chauffard-part-en-prison_42045453.html,2021-10-19 08:53:45,local
Saint-Rémi,accident,22,La Tribune - Groupe Capitales Médias,Accident de moto : une femme succombe à ses blessures,2021-09-18,31,https://www.latribune.ca/actualites/accident-de-moto--une-femme-succombe-a-ses-blessures-7916c69bba116b6787b15726f5b15548,2021-10-19 08:53:45,local
Saint-Rémi,accident,23,Coup d'Oeil,Saint-Rémi: collision frontale sur la route 221 - Coup d'œil,,,https://www.coupdoeil.info/2019/07/24/saint-remi-collision-frontale-sur-la-route-221/,2021-10-19 08:53:46,local
Saint-Rémi,accident,24,Le Parisien,"Coignières : après le petit Trianon, la famille Dassault vend la forêt domaniale de 301 hectares",2021-10-18,1,https://www.leparisien.fr/yvelines-78/coignieres-78310/coignieres-apres-le-petit-trianon-la-famille-dassault-vend-la-foret-domaniale-de-301-hectares-18-10-2021-FA7R2PMFSNF7PLB4GUKM25SJLA.php,2021-10-19 08:53:46,local
Saint-Rémi,accident,25,La Tribune - Groupe Capitales Médias,Accident mortel à Val-Joli : l'identité de la victime rendue publique,2021-08-19,61,https://www.latribune.ca/actualites/accident-mortel-a-val-joli--lidentite-de-la-victime-rendue-publique-52874463a6b2ec7f0fd38f0fc0d5e46d,2021-10-19 08:53:46,local
Saint-Rémi,décès OR mort,1,NecrologieCanada,Jean-Louis Boyer 1929-,2021-09-20,29,https://necrocanada.com/deces-2021/jean-louis-boyer-1929/,2021-10-19 08:54:24,local
Saint-Rémi,décès OR mort,2,Le Monde,"Pierre Pinoncelli, peintre et familier des happenings, est mort",2021-10-18,1,https://www.lemonde.fr/disparitions/article/2021/10/18/pierre-pinoncelli-peintre-et-familier-des-happenings-est-mort_6098797_3382.html,2021-10-19 08:54:25,local
Saint-Rémi,décès OR mort,3,NecrologieCanada,"Camillien Theriault 19412021, avis décès, necrologie, obituary",2021-10-18,1,https://necrocanada.com/deces-2021/camillien-theriault-19412021/,2021-10-19 08:54:25,local
Saint-Rémi,décès OR mort,4,NecrologieCanada,Thomas TRUDEL 2000,2021-09-21,28,https://necrocanada.com/deces-2021/thomas-trudel-2000/,2021-10-19 08:54:25,local
Saint-Rémi,décès OR mort,5,L'Union,"À Reims, la basilique redécouvre une dalle hommage à saint Remi",2021-09-30,19,https://www.lunion.fr/id298173/article/2021-09-30/reims-la-basilique-redecouvre-une-dalle-hommage-saint-remi,2021-10-19 08:54:25,local
Saint-Rémi,décès OR mort,6,L'Union,VIDÉO. Marne : un mort et plusieurs blessés dans un accident sur la RN 4 près de Maisons-en-Champagne,2021-09-28,21,https://www.lunion.fr/id297360/article/2021-09-28/marne-un-mort-et-plusieurs-blesses-dans-un-accident-sur-la-rn-4-pres-de-maisons,2021-10-19 08:54:25,local
Saint-Rémi,décès OR mort,7,La Voix du Nord,Neuville-Saint-Rémy: une nouvelle plaque à l'effigie de Napoléon au monument aux morts,2021-09-24,25,https://www.lavoixdunord.fr/1074036/article/2021-09-24/neuville-saint-remy-une-nouvelle-plaque-l-effigie-de-napoleon-au-monument-aux,2021-10-19 08:54:26,local
Saint-Rémi,décès OR mort,8,NecrologieCanada,Yoland Morin (1930 2021),2021-10-02,17,https://necrocanada.com/deces-2021/yoland-morin-1930-2021/,2021-10-19 08:54:26,local
Saint-Rémi,décès OR mort,9,NecrologieCanada,Mme Martha Blanchet 1942-,2021-10-04,15,https://necrocanada.com/deces-2021/mme-martha-blanchet-1942/,2021-10-19 08:54:26,local
Saint-Rémi,décès OR mort,10,Le Parisien,"Guy Marchand : «Je répète ma mort, comme ça, c’est presque fait»",2021-10-18,1,https://www.leparisien.fr/culture-loisirs/cinema/guy-marchand-je-repete-ma-mort-comme-ca-cest-presque-fait-18-10-2021-3C7762QEHBFU7FD5TTFSUYVHYU.php,2021-10-19 08:54:26,local
Saint-Rémi,décès OR mort,11,NecrologieCanada,Lucille Quirion (1930 2021),2021-10-01,18,https://necrocanada.com/deces-2021/lucille-quirion-1930-2021/,2021-10-19 08:54:26,local
Saint-Rémi,décès OR mort,12,NecrologieCanada,Lucien Ouellet 19572021 Décédé(e) le 27 septembre 2021 SaintJeanPortJoli.,2021-09-29,20,https://necrocanada.com/deces-2021/lucien-ouellet-19572021-decedee-le-27-septembre-2021-saintjeanportjoli/,2021-10-19 08:54:26,local
Saint-Rémi,décès OR mort,13,Le Reflet,Une élève de Saint-Rémi décède dans une fusillade à Montréal,2021-02-09,252,https://www.lereflet.qc.ca/une-etudiante-de-saint-remi-decede-dans-une-fusillade-a-montreal/,2021-10-19 08:54:26,local
Saint-Rémi,décès OR mort,14,NecrologieCanada,Danielle Roy 2021,2021-09-23,26,https://necrocanada.com/deces-2021/danielle-roy-2021/,2021-10-19 08:54:27,local
Saint-Rémi,décès OR mort,15,NecrologieCanada,Jacqueline Rozon 24 septembre,2021-09-27,22,https://necrocanada.com/deces-2021/jacqueline-rozon-24-septembre/,2021-10-19 08:54:27,local
Saint-Rémi,décès OR mort,16,Radio-Canada.ca,Une Québécoise ayant reçu le vaccin AstraZeneca succombe à une thrombose | Coronavirus,2021-04-28,174,https://ici.radio-canada.ca/nouvelle/1788350/mort-francine-boyer-premier-deces-canada-covid-19-caillot-sangin-az,2021-10-19 08:54:27,local
Saint-Rémi,décès OR mort,17,NecrologieCanada,Bernadette Gagnon nee Jean 2021,2021-09-21,28,https://necrocanada.com/deces-2021/bernadette-gagnon-nee-jean-2021/,2021-10-19 08:54:27,local
Saint-Rémi,décès OR mort,18,Le Reflet,La première victime décédée d'une thrombose est originaire de Saint-Rémi,2021-04-27,175,https://www.lereflet.qc.ca/la-premiere-victime-decedee-dune-thrombose-est-originaire-de-saint-remi/,2021-10-19 08:54:28,local
Saint-Rémi,décès OR mort,19,NecrologieCanada,LIZOTTE ROBITAILLE Irene 1932 2021,2021-10-05,14,https://necrocanada.com/deces-2021/lizotte-robitaille-irene-1932-2021/,2021-10-19 08:54:28,local
Saint-Rémi,décès OR mort,20,NecrologieCanada,Irene Blouin 1934 2021 (86 ans),2021-09-21,28,https://necrocanada.com/deces-2021/irene-blouin-1934-2021-86-ans/,2021-10-19 08:54:28,local
Saint-Rémi,décès OR mort,21,NecrologieCanada,Jacques Tremblay 19412021,2021-09-23,26,https://necrocanada.com/deces-2021/jacques-tremblay-19412021/,2021-10-19 08:54:28,local
Saint-Rémi,décès OR mort,22,NecrologieCanada,Ste-Marie Michel St-Remi 19502021,2021-04-26,176,https://necrocanada.com/deces-2021/ste-marie-michel-st-remi-19502021/,2021-10-19 08:54:28,local
Saint-Rémi,décès OR mort,23,NecrologieCanada,Avis deces pour la province Saint-Rémi,2021-02-19,242,https://necrocanada.com/deces-2021/necrologie/quebec/saint-remi/,2021-10-19 08:54:28,local
Saint-Rémi,décès OR mort,24,NecrologieCanada,Laurier Hache 19432021,2021-09-30,19,https://necrocanada.com/deces-2021/laurier-hache-19432021/,2021-10-19 08:54:29,local
Saint-Rémi,décès OR mort,25,NecrologieCanada,Gerard Plouffe 2021,2021-09-27,22,https://necrocanada.com/deces-2021/gerard-plouffe-2021/,2021-10-19 08:54:29,local
Saint-Rémi,incendie,1,L'Observateur,"Saint-Rémy-Chaussée : 100 tonnes de paille prennent feu, 220 foyers privés d'électricité",2021-10-12,7,https://www.lobservateur.fr/faits-divers/fait-divers-avesnois/2021/10/12/saint-remy-chaussee-100-tonnes-de-paille-prennent-feu-220-foyers-prives-delectricite/,2021-10-19 08:54:39,local
Saint-Rémi,incendie,2,Ouest-France,"Saint-Rémy-de-Sillé. Le feu se déclare dans une chambre, cinq personnes évacuées",2021-10-14,5,https://www.ouest-france.fr/pays-de-la-loire/saint-remy-de-sille-72140/saint-remy-de-sille-le-feu-se-declare-dans-une-chambre-cinq-personnes-evacuees-c8ef16d8-2d15-11ec-9285-f388b2ea32b0,2021-10-19 08:54:39,local
