Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Adèle,"""premier ministre""",1,L'Éclaireur Progrès,Les Pays d'en haut : un Beauceron transformé en premier ministre,2021-02-03,258,https://www.leclaireurprogres.ca/les-pays-den-haut-un-beauceron-transforme-en-premier-ministre/,2021-10-19 10:32:47,national
Sainte-Adèle,"""premier ministre""",2,Le Journal de Québec,Le «HEILLE» du premier ministre,2021-08-27,53,https://www.journaldequebec.com/2021/08/27/le-heille-du-premier-ministre,2021-10-19 10:32:48,national
Sainte-Adèle,"""premier ministre""",3,ICI.Radio-Canada.ca,"Non aux barrages routiers pour Sainte-Adèle et Saint-Sauveur, dit Legault | Coronavirus",2020-11-12,341,https://ici.radio-canada.ca/nouvelle/1749035/sainte-adele-saint-sauveur-barrages-routiers-covid-19,2021-10-19 10:32:48,national
Sainte-Adèle,"""premier ministre""",4,Journal Accès,Sainte-Adèle limite l'accès à ses sentiers - Accès Laurentides,2021-01-12,280,https://www.journalacces.ca/sentiers-bondes-sainte-adele-limite-lacces-a-ses-parcs/,2021-10-19 10:32:48,national
Sainte-Adèle,"""premier ministre""",5,Journal Accès,Saint-Sauveur crie « Au secours » | Lettre ouverte,2021-04-20,182,https://www.journalacces.ca/deboisement-sauvage-saint-sauveur-crie-au-secours/,2021-10-19 10:32:48,national
Sainte-Adèle,"""premier ministre""",6,La Presse,Chutes Sainte-Marguerite | L'accès au « havre de paix » LGBTQ+ compromis,2021-07-15,96,https://www.lapresse.ca/actualites/2021-07-15/chutes-sainte-marguerite/l-acces-au-havre-de-paix-lgbtq-compromis.php,2021-10-19 10:32:48,national
Sainte-Adèle,"""premier ministre""",7,Journal Accès,Assouplissement : Le couvre-feu repoussé en zone rouge - Accès Laurentides,2021-03-16,217,https://www.journalacces.ca/assouplissement-le-couvre-feu-repousse-en-zone-rouge/,2021-10-19 10:32:49,national
Sainte-Adèle,"""premier ministre""",8,ICI.Radio-Canada.ca,Nouvelles restrictions? Legault tranchera en début de semaine | Coronavirus,2020-12-12,311,https://ici.radio-canada.ca/nouvelle/1756405/coronavirus-francois-legaut-pandemie-bilan-assemblee-nationale,2021-10-19 10:32:49,national
Sainte-Adèle,"""premier ministre""",9,Journal Accès,Tout le Québec en zone verte! - Accès Laurentides,2021-06-22,119,https://www.journalacces.ca/tout-le-monde-en-zone-verte/,2021-10-19 10:32:49,national
Sainte-Adèle,"""premier ministre""",10,Le Journal de Montréal,Affaire We Charity: le premier ministre Trudeau blanchi par le Commissaire à l'éthique,2021-05-13,159,https://www.journaldemontreal.com/2021/05/13/we-charity-trudeau-na-pas-accorde-un-traitement-de-faveur,2021-10-19 10:32:50,national
Sainte-Adèle,"""premier ministre""",11,Journal Accès,Montréal et Laval: le couvre-feu ramené à 20 h - Accès Laurentides,2021-04-08,194,https://www.journalacces.ca/montreal-et-laval-le-couvre-feu-ramene-a-20-h/,2021-10-19 10:32:50,national
Sainte-Adèle,"""premier ministre""",12,Le Journal de Montréal,Le Trudeau nouveau... avec son ancien look,2021-07-02,109,https://www.journaldemontreal.com/2021/07/02/le-trudeau-nouveau-avec-son-ancien-look,2021-10-19 10:32:50,national
Sainte-Adèle,"""premier ministre""",13,Journal Accès,Les Laurentides pourraient passer bientôt en zone orange - Accès Laurentides,2021-05-11,161,https://www.journalacces.ca/les-laurentides-pourraient-passer-bientot-en-zone-orange/,2021-10-19 10:32:50,national
Sainte-Adèle,"""premier ministre""",14,Journal Accès,Le plan tant attendu du gouvernement - Accès Laurentides,2021-05-18,154,https://www.journalacces.ca/le-plan-tant-attendu-du-gouvernement/,2021-10-19 10:32:50,national
Sainte-Adèle,"""premier ministre""",15,ICI.Radio-Canada.ca,Finis les soupers au restaurant à Saint-Sauveur et à Mont-Tremblant | Coronavirus,2020-12-12,311,https://ici.radio-canada.ca/nouvelle/1756385/laurentides-zone-rouge-covid-19,2021-10-19 10:32:50,national
Sainte-Adèle,"""premier ministre""",16,Le Journal de Montréal,Un événement de Justin Trudeau annulé pour des raisons de sécurité,2021-08-27,53,https://www.journaldemontreal.com/2021/08/27/un-evenement-de-justin-trudeau-annule-pour-des-raisons-de-securite-1,2021-10-19 10:32:51,national
Sainte-Adèle,"""premier ministre""",17,Le Journal de Montréal,COVID-19: Boris Johnson en isolement la veille de la levée des restrictions,2021-07-18,93,https://www.journaldemontreal.com/2021/07/18/covid-19-boris-johnson-en-isolement-la-veille-de-la-levee-des-restrictions,2021-10-19 10:32:51,national
