Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sept-Îles,élection OR campagne,1,ICI.Radio-Canada.ca,Steve Trudel lance sa campagne électorale à Sept-Îles | Élections municipales au Québec 2021,2021-10-13,6,https://ici.radio-canada.ca/nouvelle/1831312/candidat-sept-iles-steve-trudel-mairie,2021-10-19 13:13:48,mixte
Sept-Îles,élection OR campagne,2,TVA Nouvelles,La participation citoyenne au cœur de la campagne,2021-10-06,13,https://www.tvanouvelles.ca/2021/10/06/la-participation-citoyenne-au-cur-de-la-campagne,2021-10-19 13:13:48,mixte
Sept-Îles,élection OR campagne,3,Le Journal de Québec,Élections municipales de Sept-Îles: Steeve Beaupré espère incarner le renouveau,2021-10-04,15,https://www.journaldequebec.com/2021/10/04/elections-municipales-a-sept-iles-steeve-beaupre-espere-incarner-le-renouveau,2021-10-19 13:13:48,mixte
Sept-Îles,élection OR campagne,4,ICI.Radio-Canada.ca,Des élus sur la Côte-Nord remettent en question la pertinence de l'élection fédérale | Élections Canada 2021,2021-09-21,28,https://ici.radio-canada.ca/nouvelle/1825986/statuo-quo-est-quebec-election-bloc-quebecois-pertinence-scrutin-rodrigue-vigneault-quitte-vie-politique,2021-10-19 13:13:49,mixte
Sept-Îles,élection OR campagne,5,Ma Côte-Nord,Steve Trudel dépose sa candidature à la mairie de Sept-Îles,2021-10-01,18,https://macotenord.com/steve-trudel-depose-sa-candidature-a-la-mairie-de-sept-iles/,2021-10-19 13:13:49,mixte
Sept-Îles,élection OR campagne,6,Ma Côte-Nord,Le maire syndicaliste de Sept-Îles quitte convaincu d'avoir gardé ses convictions,2021-09-28,21,https://macotenord.com/le-maire-syndicaliste-de-sept-iles-quitte-convaincu-davoir-garde-ses-convictions/,2021-10-19 13:13:49,mixte
Sept-Îles,élection OR campagne,7,Ma Côte-Nord,Steve Trudel pourrait devenir le troisième candidat à la mairie de Sept-Îles,2021-09-22,27,https://macotenord.com/steve-trudel-pourrait-devenir-le-troisieme-candidat-a-la-mairie-de-sept-iles/,2021-10-19 13:13:49,mixte
Sept-Îles,élection OR campagne,8,Ma Côte-Nord,Cinq conseillers sortants à Sept-Îles sollicitent un autre mandat,2021-09-24,25,https://macotenord.com/cinq-conseillers-sortants-a-sept-iles-sollicitent-un-autre-mandat/,2021-10-19 13:13:50,mixte
Sept-Îles,élection OR campagne,9,Ma Côte-Nord,Élections municipales : les élus défaits ne partiront pas les mains vides,2021-10-16,3,https://macotenord.com/elections-municipales-les-elus-defaits-ne-partiront-pas-les-mains-vides/,2021-10-19 13:13:50,mixte
Sept-Îles,élection OR campagne,10,ICI.Radio-Canada.ca,Municipales 2021 : plusieurs maires déjà connus en Gaspésie et sur la Côte-Nord,2021-10-04,15,https://ici.radio-canada.ca/nouvelle/1828627/candidature-mairie-est-quebec-gaspesie-bas-saint-laurent-cote-nord-elections-municipales,2021-10-19 13:13:51,mixte
Sept-Îles,élection OR campagne,11,Ma Côte-Nord,Michel Bellavance veut être maire dans les grandes décisions à venir à Sept-Îles,2021-09-22,27,https://macotenord.com/michel-bellavance-veut-etre-maire-dans-les-grandes-decisions-a-venir-a-sept-iles/,2021-10-19 13:13:51,mixte
Sept-Îles,élection OR campagne,12,Ma Côte-Nord,Steeve Beaupré se voit comme le bon maire pour décrocher plus d'aide de Québec,2021-09-23,26,https://macotenord.com/steeve-beaupre-se-voit-comme-le-bon-maire-pour-decrocher-plus-daide-de-quebec/,2021-10-19 13:13:51,mixte
Sept-Îles,élection OR campagne,13,Ma Côte-Nord,La majorité des conseillers municipaux de Sept-Îles sont élus sans opposition,2021-10-01,18,https://macotenord.com/la-majorite-des-conseillers-municipaux-de-sept-iles-sont-elus-sans-opposition/,2021-10-19 13:13:51,mixte
Sept-Îles,élection OR campagne,14,Le Journal de Montréal,Tous les détails de l'élection fédérale : «je suis prêt à poursuivre le travail» - Justin Trudeau,2021-09-20,29,https://www.journaldemontreal.com/2021/09/20/en-direct-suivez-tous-les-developpements-de-lelection-federale,2021-10-19 13:13:51,mixte
Sept-Îles,élection OR campagne,15,Le Journal de Québec,Fédérales 2021: Statu quo dans l'est du Québec,2021-09-21,28,https://www.journaldequebec.com/2021/09/20/statu-quo-dans-lest,2021-10-19 13:13:52,mixte
Sept-Îles,élection OR campagne,16,Le Soleil - Groupe Capitales Médias,Ça vote dans les hôtels | Actualités,2021-09-20,29,https://www.lesoleil.com/actualite/les-elections-federales/ca-vote-dans-les-hotels-0c7c4313fc5306127fea243fa6b00755,2021-10-19 13:13:52,mixte
Sept-Îles,élection OR campagne,17,Ma Côte-Nord,Elisabeth Chevalier veut continuer de soutenir les initiatives citoyennes,2021-09-26,23,https://macotenord.com/elisabeth-chevalier-veut-continuer-de-soutenir-les-initiatives-citoyennes/,2021-10-19 13:13:52,mixte
Sept-Îles,élection OR campagne,18,ICI.Radio-Canada.ca,Pascal Bérubé entend solliciter un sixième mandat,2021-10-12,7,https://ici.radio-canada.ca/nouvelle/1831080/depute-matane-mataepdia-elections-provinciales-2022-gaspesie-iles,2021-10-19 13:13:52,mixte
Sept-Îles,élection OR campagne,19,Radio-Canada.ca,Ces maires réélus sans opposition et à répétition | Élections municipales au Québec 2021,2021-10-14,5,https://ici.radio-canada.ca/nouvelle/1831445/elections-municipales-opposition-democratie-vitalite-villages-st-cyprien-michel-lagace-restigouche,2021-10-19 13:13:52,mixte
Sept-Îles,élection OR campagne,20,ICI.Radio-Canada.ca,Sept-Îles adapte les élections municipales au contexte sanitaire,2021-09-14,35,https://ici.radio-canada.ca/nouvelle/1823985/vote-sept-iles-pandemie-municipale,2021-10-19 13:13:53,mixte
Sept-Îles,élection OR campagne,21,Journal Métro,Élections fédérales 2021: suivez notre couverture en direct,2021-09-20,29,https://journalmetro.com/actualites/politique/2698109/elections-federales-2021-suivez-les-resultats-en-direct/,2021-10-19 13:13:53,mixte
Sept-Îles,élection OR campagne,22,Ma Côte-Nord,C'est le Grand McDon!,2021-09-22,27,https://macotenord.com/cest-le-grand-mcdon/,2021-10-19 13:13:53,mixte
Sept-Îles,élection OR campagne,23,ICI.Radio-Canada.ca,Opération Nez rouge offrira un service réduit dans l'Est-du-Québec,2021-10-13,6,https://ici.radio-canada.ca/nouvelle/1831250/operation-nez-rouge-conduite-facultees-affaiblies-centrales-est-du-quebec-gaspesie-bas-saint-laurent-cote-nord,2021-10-19 13:13:53,mixte
Sept-Îles,élection OR campagne,24,Le Journal de Québec,Un deuxième candidat pour la mairie de Sept-Îles,2021-07-09,102,https://www.journaldequebec.com/2021/07/09/un-deuxieme-candidat-pour-la-mairie-de-sept-iles-1,2021-10-19 13:13:53,mixte
Sept-Îles,élection OR campagne,25,La Presse,Aux urnes ! | La Presse,2021-09-20,29,https://www.lapresse.ca/elections-federales/2021-09-20/aux-urnes.php,2021-10-19 13:13:53,mixte
Sept-Îles,député,1,ICI.Radio-Canada.ca,Pascal Bérubé entend solliciter un sixième mandat,2021-10-12,7,https://ici.radio-canada.ca/nouvelle/1831080/depute-matane-mataepdia-elections-provinciales-2022-gaspesie-iles,2021-10-19 13:14:33,mixte
Sept-Îles,député,2,Le Journal de Québec,Fédérales 2021: Statu quo dans l'est du Québec,2021-09-21,28,https://www.journaldequebec.com/2021/09/20/statu-quo-dans-lest,2021-10-19 13:14:33,mixte
Sept-Îles,député,3,ICI.Radio-Canada.ca,Des élus sur la Côte-Nord remettent en question la pertinence de l'élection fédérale | Élections Canada 2021,2021-09-21,28,https://ici.radio-canada.ca/nouvelle/1825986/statuo-quo-est-quebec-election-bloc-quebecois-pertinence-scrutin-rodrigue-vigneault-quitte-vie-politique,2021-10-19 13:14:33,mixte
Sept-Îles,député,4,Ma Côte-Nord,Cinq conseillers sortants à Sept-Îles sollicitent un autre mandat,2021-09-24,25,https://macotenord.com/cinq-conseillers-sortants-a-sept-iles-sollicitent-un-autre-mandat/,2021-10-19 13:14:33,mixte
Sept-Îles,député,5,Ma Côte-Nord,Journée Vérité et Réconciliation: Le politique à l'écoute des survivants du pensionnat de Mani-utenam,2021-09-30,19,https://macotenord.com/journee-verite-et-reconciliation-le-politique-a-lecoute-des-survivants-du-pensionnat-de-mani-utenam/,2021-10-19 13:14:34,mixte
