Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Terrebonne,"""premier ministre""",1,Le Devoir,Un Tunisien bientôt expulsé malgré une intégration qu'il estime exemplaire,2021-10-19,0,https://www.ledevoir.com/societe/641139/immigration-un-tunisien-bientot-expulse-malgre-une-integration-qu-il-estime-exemplaire,2021-10-19 14:04:23,national
Terrebonne,climat,1,Le Devoir,"La diversité aux Communes : Nathalie Sinclair-Desgagné, députée de Terrebonne",2021-10-09,10,https://www.ledevoir.com/politique/canada/639240/la-diversite-aux-communes-nathalie-sinclair-desgagne-deputee-de-terrebonne,2021-10-19 14:05:01,national
Terrebonne,climat,2,Hebdo Rive Nord,Lancement du projet de mobilité durable du Cégep régional de Lanaudière,2021-10-13,6,https://www.hebdorivenord.com/article/2021/10/13/lancement-du-projet-de-mobilite-durable-du-cegep-regional-de-lanaudiere,2021-10-19 14:05:01,national
Terrebonne,climat,3,Le Devoir,Pour en finir avec l'étalement urbain,2021-10-09,10,https://www.ledevoir.com/societe/environnement/638868/de-l-etalement-a-la-contraction-urbaine,2021-10-19 14:05:02,national
Terrebonne,climat,4,L'Action,Une marche pour le climat organisée à Joliette,2021-09-16,33,https://www.laction.com/article/2021/09/16/une-marche-pour-le-climat-organisee-a-joliette,2021-10-19 14:05:02,national
Terrebonne,climat,5,Le Journal de Montréal,"Climat : le seuil de +1,5 °C risque d'être atteint d'ici 2025, avertit l'ONU",2021-05-27,145,https://www.journaldemontreal.com/2021/05/27/climat--le-seuil-de-15-c-risque-detre-atteint-dici-2025-avertit-lonu,2021-10-19 14:05:02,national
Terrebonne,climat,6,Le Journal de Montréal,Réchauffement climatique: Il est toujours temps de sauver notre planète,2021-08-09,71,https://www.journaldemontreal.com/2021/08/09/alerte-rouge-pour-lhumanite-1,2021-10-19 14:05:02,national
Terrebonne,climat,7,Le Journal de Montréal,Changements climatiques: O'Toole lance un avertissement à ses candidats,2021-08-29,51,https://www.journaldemontreal.com/2021/08/29/changements-climatiques-otoole-lance-un-avertissement-a-ses-candidats,2021-10-19 14:05:02,national
Terrebonne,climat,8,TVA Nouvelles,Les employés de la Ville de Terrebonne dénoncent le climat toxique,2021-03-11,222,https://www.tvanouvelles.ca/2021/03/11/les-employes-de-la-ville-de-terrebonne-denoncent-le-climat-toxique,2021-10-19 14:05:03,national
Terrebonne,climat,9,L'Action,Les leaders de Lanaudière présentent leurs réussites en matière de climat et encouragent le passage à l'action,2021-01-15,277,https://www.laction.com/article/2021/01/15/les-leaders-de-lanaudiere-presentent-leurs-reussites-en-matiere-de-climat-et-encouragent-le-passage-a-l-action,2021-10-19 14:05:03,national
Terrebonne,climat,10,Le Journal de Montréal,Pluie inédite près du sommet de la calotte glaciaire au Groenland,2021-08-23,57,https://www.journaldemontreal.com/2021/08/23/pluie-inedite-pres-du-sommet-de-la-calotte-glaciaire-au-groenland,2021-10-19 14:05:03,national
Terrebonne,climat,11,Le Journal de Québec,Le mois de juillet a été le mois le plus chaud jamais enregistré sur Terre,2021-08-13,67,https://www.journaldequebec.com/2021/08/13/le-mois-de-juillet-a-ete-le-mois-le-plus-chaud-jamais-enregistre-sur-terre,2021-10-19 14:05:03,national
Terrebonne,climat,12,Le Devoir,"Une lutte contre le réchauffement climatique impossible sans mesures radicales, selon l'ONU",2021-09-16,33,https://www.ledevoir.com/societe/environnement/632802/une-lutte-contre-le-rechauffement-climatique-impossible-sans-mesures-radicales,2021-10-19 14:05:03,national
Terrebonne,climat,13,Le Journal de Montréal,Changements climatiques: «il va falloir en faire plus»,2021-07-01,110,https://www.journaldemontreal.com/2021/07/01/changements-climatiques-il-va-falloir-en-faire-plus,2021-10-19 14:05:04,national
