Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Baie-Comeau,élection OR campagne,1,Journal Le Manic,Serge Deschênes gagne l'élection dans Trudel,2021-11-07,11,https://www.lemanic.ca/2021/11/07/serge-deschenes-gagne-lelection-dans-trudel/,2021-11-18 17:03:24,mixte
Baie-Comeau,élection OR campagne,2,Le Journal de Québec,Le Drakkar se venge et surprend les Remparts,2021-11-15,3,https://www.journaldequebec.com/2021/11/14/le-drakkar-se-venge-et-surprend-les-remparts,2021-11-18 17:03:25,mixte
Baie-Comeau,élection OR campagne,3,TVA Nouvelles,Municipales 2021: les résultats d'une soirée forte en rebondissements,2021-11-07,11,https://www.tvanouvelles.ca/2021/11/07/en-direct--les-resultats-des-elections-municipales-2021,2021-11-18 17:03:25,mixte
Baie-Comeau,élection OR campagne,4,Journal Le Manic,"Élus, candidats et citoyens marchent pour le climat à Baie-Comeau",2021-10-23,26,https://www.lemanic.ca/2021/10/23/elus-candidats-et-citoyens-marchent-pour-le-climat-a-baie-comeau/,2021-11-18 17:03:25,mixte
Baie-Comeau,élection OR campagne,5,Journal Le Manic,René Labrosse veut être au service des gens,2021-11-17,1,https://www.lemanic.ca/2021/11/17/rene-labrosse-veut-etre-au-service-des-gens/,2021-11-18 17:03:25,mixte
Baie-Comeau,élection OR campagne,6,ICI.Radio-Canada.ca,Élections municipales : jour de vote dans l'Est-du-Québec | Élections municipales au Québec 2021,2021-11-07,11,https://ici.radio-canada.ca/nouvelle/1837605/villes-municipalites-maires-conseillers-bas-laurent-gaspesie-cote-nord,2021-11-18 17:03:25,mixte
Baie-Comeau,élection OR campagne,7,Journal Le Manic,COVID : la Côte-Nord prête pour la troisième dose et la vaccination des jeunes,2021-11-10,8,https://www.lemanic.ca/2021/11/10/covid-la-cote-nord-prete-pour-la-troisieme-dose-et-la-vaccination-des-jeunes/,2021-11-18 17:03:25,mixte
Baie-Comeau,élection OR campagne,8,Le Journal de Québec,Le Drakkar remporte un festival offensif contre le Titan,2021-10-29,20,https://www.journaldequebec.com/2021/10/29/lhjmq-le-drakkar-met-fin-a-sa-disette,2021-11-18 17:03:26,mixte
Baie-Comeau,élection OR campagne,9,TVA Nouvelles,Élections municipales déclenchées à Baie-Comeau,2021-09-17,62,https://www.tvanouvelles.ca/2021/09/17/elections-municipales-declenchees-a-baie-comeau,2021-11-18 17:03:26,mixte
Baie-Comeau,élection OR campagne,10,Journal Le Manic,Salut Côte-Nord!,2021-10-20,29,https://www.lemanic.ca/2021/10/20/salut-cote-nord/,2021-11-18 17:03:26,mixte
Baie-Comeau,élection OR campagne,11,Journal Le Manic,Michel Beaulieu est élu dans Saint-Nom-de-Marie,2021-11-07,11,https://www.lemanic.ca/2021/11/07/michel-beaulieu-est-elu-dans-saint-nom-de-marie/,2021-11-18 17:03:26,mixte
Baie-Comeau,élection OR campagne,12,La Releve,Opération Nez rouge: de retour pour vos retours sur la Rive-Sud,2021-11-05,13,https://www.lareleve.qc.ca/2021/11/05/operation-nez-rouge-de-retour-pour-vos-retours-sur-la-rive-sud/,2021-11-18 17:03:26,mixte
Baie-Comeau,élection OR campagne,13,Journal Le Manic,AGIR pour demain dans la Manicouagan en adoptant un comportement écoresponsable,2021-10-20,29,https://www.lemanic.ca/2021/10/20/agir-pour-demain-dans-la-manicouagan-en-adoptant-un-comportement-ecoresponsable/,2021-11-18 17:03:26,mixte
Baie-Comeau,élection OR campagne,14,Journal Le Manic,Yves Montigny réélu sans opposition à Baie-Comeau,2021-10-01,48,https://www.lemanic.ca/2021/10/01/yves-montigny-reelu-sans-opposition-a-baie-comeau/,2021-11-18 17:03:27,mixte
Baie-Comeau,élection OR campagne,15,RDS,LHJMQ : résumé des matchs du vendredi 12 novembre 2021 dans le circuit Courteau,2021-11-12,6,https://www.rds.ca/hockey/lhjmq/lhjmq-resume-des-matchs-du-vendredi-12-novembre-2021-dans-le-circuit-courteau-1.14685372,2021-11-18 17:03:27,mixte
Baie-Comeau,élection OR campagne,16,Journal Le Manic,Baie-Comeau permettra le vote par correspondance pour les 70 ans et plus,2021-06-23,148,https://www.lemanic.ca/2021/06/23/baie-comeau-permettra-le-vote-par-correspondance-pour-les-70-ans-et-plus/,2021-11-18 17:03:27,mixte
Baie-Comeau,élection OR campagne,17,Franceinfo,"REPORTAGE. Présidentielle 2022 : à Strasbourg, des musulmans regrettent un ""discours islamophobe décomplexé""",2021-11-14,4,https://www.francetvinfo.fr/elections/reportage-presidentielle-2022-a-strasbourg-des-musulmans-regrettent-un-discours-islamophobe-decomplexe_4823527.html,2021-11-18 17:03:27,mixte
Baie-Comeau,élection OR campagne,18,Le Devoir,Ces municipalités qui se battent pour de l'eau potable,2021-10-23,26,https://www.ledevoir.com/societe/642327/quebec-ces-municipalites-qui-se-battent-pour-de-l-eau-potable,2021-11-18 17:03:27,mixte
Baie-Comeau,élection OR campagne,19,Journal Le Manic,Élections municipales : Dany Gauthier souhaite ravir le quartier Trudel à Baie-Comeau,2021-06-30,141,https://www.lemanic.ca/2021/06/30/elections-municipales-dany-gauthier-souhaite-ravir-le-quartier-trudel-a-baie-comeau/,2021-11-18 17:03:28,mixte
Baie-Comeau,élection OR campagne,20,Journal Le Manic,Cyrille Boucher vise le poste de préfet,2021-09-27,52,https://www.lemanic.ca/2021/09/27/cyrille-boucher-vise-le-poste-de-prefet/,2021-11-18 17:03:28,mixte
