Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Blainville,accident,1,LeLézard.com,"Décès du directeur général d'Acry-Royal inc., à Blainville : la CNESST dévoile les conclusions de son enquête",2021-11-17,1,https://www.lelezard.com/communique-20110102.html,2021-11-18 16:23:11,local
Blainville,accident,2,Le Journal de Montréal,[PHOTOS] Blainville: un accident de voiture fait un blessé grave,2021-06-13,158,https://www.journaldemontreal.com/2021/06/13/photos-blainville-un-accident-de-voiture-fait-un-blesse-grave,2021-11-18 16:23:11,local
Blainville,accident,3,Le Journal de Montréal,Blainville: une course folle se termine avec des tonneaux,2021-09-11,68,https://www.journaldemontreal.com/2021/09/11/blainville-une-course-folle-se-termine-avec-des-tonneaux,2021-11-18 16:23:12,local
Blainville,accident,4,actu.fr,"Tremblement de terre, polémique, travaux sur les routes : les infos du lundi 15 novembre à Caen",2021-11-15,3,https://actu.fr/normandie/caen_14118/tremblement-de-terre-polemique-travaux-sur-les-routes-les-infos-du-lundi-15-novembre-a-caen_46457393.html,2021-11-18 16:23:12,local
Blainville,accident,5,Le Journal de Montréal,L'A-15 sud fermée: collision à haute vitesse et délit de fuite,2021-06-05,166,https://www.journaldemontreal.com/2021/06/05/la-15-sud-fermee-collision-a-haute-vitesse-et-delit-de-fuite-1,2021-11-18 16:23:12,local
Blainville,accident,6,Le Liberté Caen - Bonhomme Libre,Accident entre une voiture et un poids lourd près de Caen : une femme de 32 ans en urgence absolue,2021-02-02,289,https://actu.fr/normandie/blainville-sur-orne_14076/accident-entre-une-voiture-et-un-poids-lourd-pres-de-caen-une-femme-de-32-ans-en-urgence-absolue_39160441.html,2021-11-18 16:23:12,local
Blainville,accident,7,TVA Nouvelles,Une femme appelle à la prudence après avoir frôlé la mort en quad,2021-05-08,194,https://www.tvanouvelles.ca/2021/05/08/une-femme-appelle-a-la-prudence-apres-avoir-frole-la-mort-en-quad-1,2021-11-18 16:23:13,local
Blainville,accident,8,TVA Nouvelles,Un homme de 27 ans sans histoire est tué par balle à Blainville,2021-10-07,42,https://www.tvanouvelles.ca/2021/10/07/un-homme-de-27-ans-tue-par-balle-a-blainville,2021-11-18 16:23:13,local
Blainville,accident,9,la Manche Libre,[Photos &amp; Vidéo] Manche. Grave accident près de Coutances : ce que l'on sait,2021-09-21,58,https://www.lamanchelibre.fr/actualite-956770-photos-video-manche-grave-accident-pres-de-coutances-ce-que-l-on-sait,2021-11-18 16:23:13,local
Blainville,accident,10,La Presse,"Mort de Jerry Trempe | « C'est magique, ce qu'il faisait »",2021-05-31,171,https://www.lapresse.ca/sports/hockey/2021-05-31/mort-de-jerry-trempe/c-est-magique-ce-qu-il-faisait.php,2021-11-18 16:23:13,local
Blainville,accident,11,La Presse,Sainte-Thérèse | Un homme reste piégé sous un abri à neige,2021-02-21,270,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-02-21/sainte-therese/un-homme-reste-piege-sous-un-abri-a-neige.php,2021-11-18 16:23:13,local
Blainville,accident,12,L'Écho de Maskinongé,Accident mortel en motoneige: l'identité de la victime dévoilée,2021-01-25,297,https://www.lechodemaskinonge.com/faits-divers/accident-mortel-en-motoneige-lidentite-de-la-victime-devoilee/,2021-11-18 16:23:14,local
Blainville,accident,13,La Presse,Proche du crime organisé | Un prêteur québécois meurt dans une collision au Mexique,2021-04-21,211,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-04-21/proche-du-crime-organise/un-preteur-quebecois-meurt-dans-une-collision-au-mexique.php,2021-11-18 16:23:14,local
Blainville,accident,14,TVA Nouvelles,Possible coup de feu tiré à Sainte-Thérèse,2021-08-12,98,https://www.tvanouvelles.ca/2021/08/12/possible-coup-de-feu-tire-a-sainte-therese-1,2021-11-18 16:23:14,local
Blainville,accident,15,La Presse,Accident de moto : un banal mouvement coûte la vie à deux personnes,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/2019-07-06/accident-de-moto-un-banal-mouvement-coute-la-vie-a-deux-personnes,2021-11-18 16:23:14,local
