Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Bécancour,élection OR campagne,1,TVA Nouvelles,Une campagne électorale animée à Bécancour,2021-10-28,21,https://www.tvanouvelles.ca/2021/10/28/une-campagne-electorale-animee-a-becancour,2021-11-18 17:08:19,mixte
Bécancour,élection OR campagne,2,ICI.Radio-Canada.ca,Les promesses des candidats à la mairie de Bécancour | Élections municipales au Québec 2021,2021-11-01,17,https://ici.radio-canada.ca/nouvelle/1835601/elections-municipales-maire-becancour-enjeux-engagements,2021-11-18 17:08:20,mixte
Bécancour,élection OR campagne,3,Le Nouvelliste,Bilan de campagne de Grondin et Vouligny à Bécancour,2021-11-04,14,https://www.lenouvelliste.ca/2021/11/04/bilan-de-campagne-de-grondin-et-vouligny-a-becancour-fe1ddded4cde2196af0b0cb01d48f673,2021-11-18 17:08:20,mixte
Bécancour,élection OR campagne,4,Le Courrier Sud,Dernier droit de six mois de campagne électorale pour Lucie Allard,2021-11-01,17,https://www.lecourriersud.com/dernier-droit-de-six-mois-de-campagne-electorale-pour-lucie-allard/,2021-11-18 17:08:20,mixte
Bécancour,élection OR campagne,5,Le Nouvelliste,La campagne électorale s'active à la mairie de Bécancour,2021-10-22,27,https://www.lenouvelliste.ca/2021/10/22/la-campagne-electorale-sactive-a-la-mairie-de-becancour-d261325a9609f5cb40af1ecce41dbb73,2021-11-18 17:08:21,mixte
Bécancour,élection OR campagne,6,Le Courrier Sud,Bécancour: les élus assermentés,2021-11-17,1,https://www.lecourriersud.com/becancour-les-elus-assermentes/,2021-11-18 17:08:21,mixte
Bécancour,élection OR campagne,7,TVA Nouvelles,Le maire de Bécancour tire un trait sur 24 ans de politique,2021-11-05,13,https://www.tvanouvelles.ca/2021/11/05/le-maire-de-becancour-tire-un-trait-sur-24-ans-de-politique,2021-11-18 17:08:21,mixte
Bécancour,élection OR campagne,8,TVA Nouvelles,Bécancour: des odeurs de cannabis qui dérangent,2021-11-01,17,https://www.tvanouvelles.ca/2021/11/01/becancour-des-odeurs-de-cannabis-qui-derangent,2021-11-18 17:08:21,mixte
Bécancour,élection OR campagne,9,Le Nouvelliste,Élections municipales sur la rive sud: faire l'histoire chacune à sa façon [VIDÉO],2021-11-03,15,https://www.lenouvelliste.ca/2021/11/03/elections-municipales-sur-la-rive-sud-faire-lhistoire-chacune-a-sa-facon-video-3acc6420d489db83e89df4ba698b93ce,2021-11-18 17:08:21,mixte
Bécancour,élection OR campagne,10,Le Nouvelliste,Élections municipales: les jeux sont faits | Élections municipales 2021 | Actualités,2021-11-07,11,https://www.lenouvelliste.ca/2021/11/08/elections-municipales-les-jeux-sont-faits-55a77d85f2c48782dbdc80eababde969,2021-11-18 17:08:21,mixte
Bécancour,élection OR campagne,11,L'Hebdo Journal,Rentrée parlementaire: René Villemure dévoile ses priorités,2021-11-17,1,https://www.lhebdojournal.com/rentree-parlementaire-rene-villemure-devoile-ses-priorites/,2021-11-18 17:08:22,mixte
Bécancour,élection OR campagne,12,Le Journal de Québec,Saint-Augustin: une ex-candidate à la mairie dans le camp d'Annie Godbout,2021-11-05,13,https://www.journaldequebec.com/2021/11/05/saint-augustin-une-ex-candidate-a-la-mairie-dans-le-camp-dannie-godbout,2021-11-18 17:08:22,mixte
Bécancour,élection OR campagne,13,Le Journal de Montréal,La jeunesse et les femmes à l'avant-plan aux élections municipales,2021-11-08,10,https://www.journaldemontreal.com/2021/11/08/la-jeunesse-et-les-femmes-a-lavant-plan-aux-elections-municipales-1,2021-11-18 17:08:22,mixte
Bécancour,élection OR campagne,14,Le Nouvelliste,Se souvenir des anciens combattants à Bécancour | Actualités,2021-11-05,13,https://www.lenouvelliste.ca/2021/11/05/se-souvenir-des-anciens-combattants-a-becancour-acdd3910184dbd949e208490bf9518f8,2021-11-18 17:08:22,mixte
Bécancour,élection OR campagne,15,Le Courrier Sud,Resto-pub La Chevauchée: l'ouverture arrive à grands pas!,2021-11-18,0,https://www.lecourriersud.com/resto-pub-la-chevauchee-louverture-arrive-a-grands-pas/,2021-11-18 17:08:22,mixte
Bécancour,élection OR campagne,16,Le Nouvelliste,Luc Trudel veut que Shawinigan intègre la ZEN,2021-10-26,23,https://www.lenouvelliste.ca/2021/10/27/luc-trudel-veut-que-shawinigan-integre-la-zen-de1587e69a1567c6437cbc80f469c245,2021-11-18 17:08:23,mixte
Bécancour,élection OR campagne,17,Le Droit,"De la continuité, de nouveaux visages... et une participation anémique [VIDÉO]",2021-11-08,10,https://www.ledroit.com/2021/11/08/de-la-continuite-de-nouveaux-visages-et-une-participation-anemique-video-a9dc7a7da675c14565da2435e3848e30,2021-11-18 17:08:23,mixte
Bécancour,élection OR campagne,18,Le Nouvelliste - Groupe Capitales Médias,Mairie de Bécancour: Lucie Allard déjà prête pour sa campagne électorale,2021-08-03,107,https://www.lenouvelliste.ca/2021/08/03/mairie-de-becancour-lucie-allard-deja-prete-pour-sa-campagne-electorale-0c16338edb37ab317a79da35708db7a6,2021-11-18 17:08:23,mixte
Bécancour,élection OR campagne,19,ICI.Radio-Canada.ca,À la rencontre des candidats à la mairie de Bécancour | Élections municipales au Québec 2021,2021-10-10,39,https://ici.radio-canada.ca/nouvelle/1830696/candidats-mairie-becancour-allard-grondin-vouligny-elections-municipales,2021-11-18 17:08:23,mixte
Bécancour,élection OR campagne,20,iHeartRadio,Jean Lamarche est réélu à Trois-Rivières; Michel Angers de retour à Shawinigan,2021-11-07,11,https://www.iheartradio.ca/energie/energie-mauricie/nouvelles/jean-lamarche-est-reelu-a-trois-rivieres-michel-angers-de-retour-a-shawinigan-1.16439308,2021-11-18 17:08:24,mixte
Bécancour,élection OR campagne,21,Le Nouvelliste,Vote par anticipation: record battu à Trois-Rivières et à Shawinigan,2021-11-01,17,https://www.lenouvelliste.ca/2021/11/01/vote-par-anticipation-record-battu-a-trois-rivieres-et-a-shawinigan-1061128e59ac32b4a79a28b56d8c92a5,2021-11-18 17:08:24,mixte
Bécancour,élection OR campagne,22,Le Courrier Sud,Quatre postes en élection à Bécancour,2021-10-04,45,https://www.lecourriersud.com/quatre-postes-en-election-a-becancour/,2021-11-18 17:08:24,mixte
Bécancour,élection OR campagne,23,Le Journal de Montréal,Louis Plamondon remporte l'élection dans Bécancourl–Nicolet–Saurel,2021-09-20,59,https://www.journaldemontreal.com/2021/09/20/louis-plamondon-remporte-lelection-dans-becancour-nicole,2021-11-18 17:08:24,mixte
Bécancour,élection OR campagne,24,Le Nouvelliste,Priorités du Bloc: René Villemure ne croit plus au TGF,2021-11-17,1,https://www.lenouvelliste.ca/2021/11/17/priorites-du-bloc-rene-villemure-ne-croit-plus-au-tgf-f1a30c8ae34c4c6f436d1f18b0ca8084,2021-11-18 17:08:24,mixte
Bécancour,élection OR campagne,25,Le Courrier Sud,Souligner le 100e anniversaire du coquelicot,2021-10-22,27,https://www.lecourriersud.com/souligner-le-100e-anniversaire-du-coquelicot/,2021-11-18 17:08:25,mixte
Bécancour,député,1,L'Écho de Maskinongé,Rentrée parlementaire: Yves Perron dévoile ses priorités,2021-11-18,0,https://www.lechodemaskinonge.com/actualites/rentree-parlementaire-yves-perron-devoile-ses-priorites/,2021-11-18 17:09:00,mixte
Bécancour,député,2,Le Courrier Sud,Parc industriel et portuaire de Bécancour: des succès qui rapportent gros,2021-10-29,20,https://www.lecourriersud.com/parc-industriel-et-portuaire-de-becancour-des-succes-qui-rapportent-gros/,2021-11-18 17:09:00,mixte
Bécancour,député,3,Le Courrier Sud,Lucie Allard en avance à la mairie de Bécancour,2021-11-07,11,https://www.lecourriersud.com/lucie-allard-en-avance-a-la-mairie-de-becancour/,2021-11-18 17:09:00,mixte
Bécancour,député,4,Le Courrier Sud,Une 12e assermentation pour le Bloquiste Louis Plamondon,2021-10-22,27,https://www.lecourriersud.com/une-12e-assermentation-pour-le-bloquiste-louis-plamondon/,2021-11-18 17:09:01,mixte
Bécancour,député,5,Le Nouvelliste,Priorités du Bloc: René Villemure ne croit plus au TGF,2021-11-17,1,https://www.lenouvelliste.ca/2021/11/17/priorites-du-bloc-rene-villemure-ne-croit-plus-au-tgf-f1a30c8ae34c4c6f436d1f18b0ca8084,2021-11-18 17:09:01,mixte
Bécancour,député,6,LeLézard.com,"La MRC de Lotbinière a obtenu une subvention de plus de 1,6 M$ du gouvernement du Québec pour son projet de compostage",2021-11-16,2,https://www.lelezard.com/communique-20107010.html,2021-11-18 17:09:01,mixte
Bécancour,député,7,Le Nouvelliste,En attendant la richesse promise | La griffe à Beaudoin | Chroniques,2021-11-18,0,https://www.lenouvelliste.ca/2021/11/18/en-attendant-la-richesse-promise-664e23d4478e472443f6f5e6160944f2,2021-11-18 17:09:01,mixte
