Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Coaticook,"""premier ministre""",1,Le Progrès de Coaticook,Urgence de Coaticook: la cheffe libérale Dominique Anglade écorche la CAQ,2021-11-17,1,https://www.leprogres.net/2021/11/17/urgence-de-coaticook-la-cheffe-liberale-dominique-anglade-ecorche-la-caq/,2021-11-18 17:51:33,national
Coaticook,"""premier ministre""",2,Le Progrès de Coaticook,Cogeco se joint aux efforts pour brancher l'entièreté de la MRC de Coaticook,2021-11-02,16,https://www.leprogres.net/2021/11/02/cogeco-se-joint-aux-efforts-pour-brancher-lentierete-de-la-mrc-de-coaticook/,2021-11-18 17:51:33,national
Coaticook,"""premier ministre""",3,EstriePlus.com,Fermeture de l'urgence de Coaticook le soir débutée et permanente ? - ACTUALITÉS - Estrie - Estrieplus.com - Le journal Internet,2021-10-20,29,http://m.estrieplus.com/contenu-fermeture_de_l_urgence_de_coaticook_le_soir_debutee_et_permanente-1355-50213.html,2021-11-18 17:51:33,national
Coaticook,"""premier ministre""",4,Le Progrès de Coaticook,Bibeau à l'Agriculture: «J'ai hâte de poursuivre le travail»,2021-10-27,22,https://www.leprogres.net/2021/10/27/bibeau-a-lagriculture-jai-hate-de-poursuivre-le-travail/,2021-11-18 17:51:33,national
Coaticook,"""premier ministre""",5,Le Progrès de Coaticook,Branchement à internet haute vitesse: Coaticook en voie de respecter l'échéancier,2021-09-10,69,https://www.leprogres.net/2021/09/10/branchement-a-internet-haute-vitesse-coaticook-en-voie-de-respecter-lecheancier/,2021-11-18 17:51:34,national
Coaticook,"""premier ministre""",6,Le Progrès de Coaticook,"Plan de déconfinement: fin du couvre-feu, ouverture des terrasses et lever de l'obligation du port du masque",2021-05-18,184,https://www.leprogres.net/2021/05/18/plan-de-deconfinement-fin-du-couvre-feu-ouverture-des-terrasses-et-lever-de-lobligation-du-port-du-masque/,2021-11-18 17:51:34,national
Coaticook,"""premier ministre""",7,EstriePlus.com,464800 $ pour soutenir la mission des CJE de Sherbrooke et de Coaticook - ACTUALITÉS - Estrie - Estrieplus.com - Le journal Internet,2021-08-02,108,http://m.estrieplus.com/contenu-464800_pour_soutenir_mission_des_cje_de_sherbrooke_et_de_coaticook-1355-49937.html,2021-11-18 17:51:34,national
Coaticook,"""premier ministre""",8,Le Progrès de Coaticook,Marie-Claude Bibeau obtient un troisième mandat dans Compton-Stanstead,2021-09-20,59,https://www.leprogres.net/2021/09/20/marie-claude-bibeau-obtient-un-troisieme-mandat-dans-compton-stanstead/,2021-11-18 17:51:34,national
Coaticook,"""premier ministre""",9,Le Progrès de Coaticook,En zone orange dès lundi prochain,2021-03-03,260,https://www.leprogres.net/2021/03/03/en-zone-orange-des-lundi-prochain/,2021-11-18 17:51:34,national
Coaticook,"""premier ministre""",10,La Tribune - Groupe Capitales Médias,L'urgence de Coaticook fermera temporairement ses portes le soir et la nuit dès le 19 octobre,2021-10-10,39,https://www.latribune.ca/2021/10/10/lurgence-de-coaticook-fermera-temporairement-ses-portes-le-soir-et-la-nuit-des-le-19-octobre-1c02ef81b2a38cdf3d5487e2dee03ea8,2021-11-18 17:51:34,national
