Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Drummondville,élection OR campagne,1,iHeartRadio,Pornographie juvénile : un conseiller de St-Christophe démissionne,2021-11-17,1,https://www.iheartradio.ca/energie/energie-drummondville/nouvelles/pornographie-juvenile-un-conseiller-de-st-christophe-demissionne-1.16503848,2021-11-18 13:05:28,mixte
Drummondville,élection OR campagne,2,Le Soleil,Le mystère François Pagé | La Capitale | Actualités,2021-11-13,5,https://www.lesoleil.com/2021/11/13/le-mystere-francois-page-2942eeff5a44abc48de895f920618207,2021-11-18 13:05:28,mixte
Drummondville,élection OR campagne,3,L'Express - Drummondville,Un premier championnat des séries pour les Vandoos - L'Express,2021-11-15,3,https://www.journalexpress.ca/2021/11/15/premier-championnat-series-vandoos-football-bantam-aaa-drummondville/,2021-11-18 13:05:28,mixte
Drummondville,élection OR campagne,4,Le Journal de Québec,Le Drakkar se venge et surprend les Remparts,2021-11-15,3,https://www.journaldequebec.com/2021/11/14/le-drakkar-se-venge-et-surprend-les-remparts,2021-11-18 13:05:28,mixte
Drummondville,député,1,L'Express - Drummondville,Les députés de la région félicitent Stéphanie Lacoste - L'Express,2021-11-09,9,https://www.journalexpress.ca/2021/11/09/les-deputes-de-la-region-felicitent-stephanie-lacoste-mairie-de-drummondville-elections-municipales/,2021-11-18 13:06:06,mixte
Drummondville,député,2,L'Express - Drummondville,Martin Champoux rend hommage aux vétérans - L'Express,2021-11-11,7,https://www.journalexpress.ca/2021/11/11/martin-champoux-rend-hommage-aux-veterans/,2021-11-18 13:06:06,mixte
Drummondville,député,3,VINGT 55 Média web,"Un franc succès pour la 1re édition, du déjeuner d'affaires Toasts et Confidences présenté par l'Odika de la Jeune Chambre de Drummond",2021-11-17,1,https://vingt55.ca/un-franc-succes-pour-la-1re-edition-du-dejeuner-daffaires-toasts-et-confidences-presente-par-lodika-de-la-jeune-chambre-de-drummond/,2021-11-18 13:06:07,mixte
Drummondville,député,4,iHeartRadio,"Fin de l'enfouissement à St-Nicéphore, possible avec des efforts selon les députés",2021-10-25,24,https://www.iheartradio.ca/energie/energie-drummondville/nouvelles/fin-de-l-enfouissement-a-st-nicephore-possible-avec-des-efforts-selon-les-deputes-1.16347657,2021-11-18 13:06:07,mixte
Drummondville,député,5,VINGT 55 Média web,Semaine des vétérans – La SGD rend hommage à des soldats de la région qui ont combattu lors des deux Grandes Guerres mondiales,2021-11-05,13,https://vingt55.ca/semaine-des-veterans-la-sgd-rend-hommage-a-des-soldats-de-la-region-qui-ont-combattu-lors-des-deux-grandes-guerres-mondiales/,2021-11-18 13:06:07,mixte
Drummondville,député,6,iHeartRadio,Les 5 priorités de la rentrée pour Martin Champoux,2021-11-11,7,https://www.iheartradio.ca/energie/energie-drummondville/nouvelles/les-5-priorites-de-la-rentree-pour-martin-champoux-1.16460920,2021-11-18 13:06:07,mixte
Drummondville,député,7,La Nouvelle Union,L'équipe du député Schneeberger accueille un nouveau venu,2021-10-18,31,https://www.lanouvelle.net/2021/10/18/lequipe-du-depute-schneeberger-accueille-un-nouveau-venu/,2021-11-18 13:06:07,mixte
Drummondville,député,8,L'Express - Drummondville,40 000 $ additionnels pour soutenir le parc Marie-Victorin - L'Express,2021-10-26,23,https://www.journalexpress.ca/2021/10/26/40-000-additionnels-pour-soutenir-le-parc-marie-victorin/,2021-11-18 13:06:08,mixte
Drummondville,député,9,iHeartRadio,Alain Rayes remplace Richard Martel comme lieutenant québécois pour le PCC,2021-11-09,9,https://www.iheartradio.ca/energie/energie-drummondville/nouvelles/alain-rayes-remplace-richard-martel-comme-lieutenant-quebecois-pour-le-pcc-1.16451444,2021-11-18 13:06:08,mixte
