Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Fermont,"""premier ministre""",1,Le Soleil,"Payer plus, faire moins | Mickaël Bergeron | Chroniques",2021-10-21,28,https://www.lesoleil.com/2021/10/21/payer-plus-faire-moins-5cc4feb74333bb40ca22211e27d5e82a,2021-11-18 13:43:01,national
Fermont,"""premier ministre""",2,ICI.Radio-Canada.ca,Baie-Comeau en faveur d'un Espace bleu à la maison de l'ex-premier ministre Brian Mulroney,2021-09-21,58,https://ici.radio-canada.ca/nouvelle/1825954/espace-bleu-quebec-musee-brian-mulroney-baie-comeau,2021-11-18 13:43:01,national
Fermont,"""premier ministre""",3,Le Journal de Montréal,Le Plan Nord cherche encore une direction,2021-05-08,194,https://www.journaldemontreal.com/2021/05/08/le-plan-nord-cherche-encore-une-direction,2021-11-18 13:43:01,national
Fermont,"""premier ministre""",4,Ma Côte-Nord,Rencontre au sommet entre le président d'ArcelorMittal Exploitation minière Canada et le Premier ministre du Québec,2020-11-30,353,https://macotenord.com/rencontre-au-sommet-entre-le-president-darcelormittal-canada-et-le-premier-ministre-du-quebec/,2021-11-18 13:43:01,national
Fermont,"""premier ministre""",5,Le Journal de Montréal,Le combat pour le contrôle du lithium québécois bien loin d'être gagné,2021-05-05,197,https://www.journaldemontreal.com/2021/05/05/le-combat-pour-le-controle-du-lithium-quebecois-bien-loin-detre-gagne,2021-11-18 13:43:01,national
Fermont,"""premier ministre""",6,ICI.Radio-Canada.ca,"COVID-19 : six éclosions sur la Côte-Nord, dont une à l'hôpital de Sept-Îles",2021-10-06,43,https://ici.radio-canada.ca/nouvelle/1829690/coronavirus-pandemie-eclosion-6-octobre-2021-hopital-sept-iles-fermont,2021-11-18 13:43:02,national
Fermont,"""premier ministre""",7,Le Journal de Québec,Côte-Nord : Première journée de piquetage pour les travailleurs d'ArcelorMittal,2021-05-11,191,https://www.journaldequebec.com/2021/05/11/cote-nord--premiere-journee-de-piquetage-pour-les-travailleurs-darcelormittal,2021-11-18 13:43:02,national
Fermont,climat,1,La Presse,Virage vert et circulaire sur la Côte-Nord,2021-11-05,13,https://www.lapresse.ca/affaires/chroniques/2021-11-05/virage-vert-et-circulaire-sur-la-cote-nord.php,2021-11-18 13:43:39,national
Fermont,climat,2,MétéoMédia,Voici comment choisir les plantes et arbres qui résistent au gel,2021-11-08,10,https://www.meteomedia.com/ca/nouvelles/article/voici-comment-choisir-les-plantes-et-arbres-qui-resistent-au-gel,2021-11-18 13:43:39,national
Fermont,climat,3,Le Journal de Montréal,Manquements à l'éthique: ces maires et conseillers méritent-ils encore votre confiance?,2021-10-23,26,https://www.journaldemontreal.com/2021/10/23/manquements-a-letique-ces-maires-et-conseillers-meritent-ils-encore-votre-confiance,2021-11-18 13:43:39,national
Fermont,climat,4,La Presse,"Côte-Nord | Le Fonds FTQ investit dans la mine du lac Bloom, près de Fermont",2021-08-19,91,https://www.lapresse.ca/affaires/2021-08-19/cote-nord/le-fonds-ftq-investit-dans-la-mine-du-lac-bloom-pres-de-fermont.php,2021-11-18 13:43:40,national
Fermont,climat,5,La Presse,Mine | Un revers majeur pour le projet du lac Bloom à Fermont,2021-03-05,258,https://www.lapresse.ca/affaires/entreprises/2021-03-05/mine/un-revers-majeur-pour-le-projet-du-lac-bloom-a-fermont.php,2021-11-18 13:43:40,national
Fermont,climat,6,MétéoMédia,Il fait plus chaud à Fermont qu'en Floride !,2020-12-24,329,https://www.meteomedia.com/ca/nouvelles/article/il-fait-plus-chaud-a-fermont-quen-floride,2021-11-18 13:43:40,national
Fermont,climat,7,Ma Côte-Nord,ArcelorMittal financera des améliorations dans les CPE de Port-Cartier et Fermont,2021-06-17,154,https://macotenord.com/arcelormittal-financera-des-ameliorations-dans-les-cpe-de-port-cartier-et-fermont/,2021-11-18 13:43:40,national
Fermont,immigration,1,ICI.Radio-Canada.ca,Une mission de recrutement en France pour contrer la pénurie de main-d'œuvre,2021-09-09,70,https://ici.radio-canada.ca/nouvelle/1822929/mission-recrutement-france-cld-rouyn-noranda,2021-11-18 13:43:48,national
Fermont,immigration,2,La Presse,Secteur minier | Le prix du fer stimule les investissements sur la Côte-Nord,2021-05-07,195,https://www.lapresse.ca/affaires/economie/2021-05-07/secteur-minier/le-prix-du-fer-stimule-les-investissements-sur-la-cote-nord.php,2021-11-18 13:43:48,national
Fermont,immigration,3,TVA Nouvelles,La grève d'ArcelorMittal se poursuit à Fermont,2021-05-17,185,https://www.tvanouvelles.ca/2021/05/17/la-greve-darcelormittal-se-poursuit-a-fermont-1,2021-11-18 13:43:48,national
