Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Gatineau,"""premier ministre""",1,Le Droit,Enquête publique sur le train léger | Ottawa | Actualités,2021-11-17,1,https://www.ledroit.com/2021/11/17/enquete-publique-sur-le-train-leger-7f264700774404d6735246601d0cdeb5,2021-11-18 13:48:00,national
Gatineau,"""premier ministre""",2,Le Droit,Le premier ministre suédois Stefan Löfven démissionne | Monde | Actualités,2021-11-10,8,https://www.ledroit.com/2021/11/10/le-premier-ministre-suedois-stefan-lofven-demissionne-23f0815cd80b1638a0301870aa81dbe6,2021-11-18 13:48:00,national
Gatineau,"""premier ministre""",3,TVA Nouvelles,Le député de Gatineau sera le whip en chef du gouvernement Trudeau,2021-10-28,21,https://www.tvanouvelles.ca/2021/10/28/le-depute-de-gatineau-sera-le-whip-en-chef-du-gouvernement-trudeau-1,2021-11-18 13:48:00,national
Gatineau,"""premier ministre""",4,Le Droit,CHSLD: retour à la case départ | Mylène Moisan | Chroniques,2021-11-18,0,https://www.ledroit.com/2021/11/17/chsld-retour-a-la-case-depart-fd450c2f45fa7ba1e99c2a1c158e9928,2021-11-18 13:48:00,national
Gatineau,"""premier ministre""",5,La Presse,"Déclin du français | Gatineau doit dicter la construction de l'hôpital, pas Québec",2021-10-22,27,https://www.lapresse.ca/debats/opinions/2021-10-22/declin-du-francais/gatineau-doit-dicter-la-construction-de-l-hopital-pas-quebec.php,2021-11-18 13:48:01,national
Gatineau,"""premier ministre""",6,Le Droit,Le jour du Souvenir souligné à Ottawa-Gatineau [PHOTOS],2021-11-11,7,https://www.ledroit.com/2021/11/11/le-jour-du-souvenir-souligne-a-ottawa-gatineau-photos-7b8b35fdcdddb31bd31ede688b666790,2021-11-18 13:48:01,national
Gatineau,"""premier ministre""",7,ICI.Radio-Canada.ca,Santé : la Vallée-de-la-Gatineau et le Pontiac « parents pauvres » de l'Outaouais,2021-11-04,14,https://ici.radio-canada.ca/nouvelle/1837064/etude-iris-soins-sante-rural-outaouais-classement,2021-11-18 13:48:01,national
Gatineau,"""premier ministre""",8,Le Journal de Montréal,Ouest du Québec: une bataille féroce pour Gatineau,2021-11-06,12,https://www.journaldemontreal.com/2021/11/06/ouest-du-quebec-une-bataille-feroce-pour-gatineau,2021-11-18 13:48:01,national
Gatineau,"""premier ministre""",9,Le Droit,Les travaux d'élargissement de l'A-50 peuvent débuter,2021-11-18,0,https://www.ledroit.com/2021/11/18/les-travaux-delargissement-de-la-50-peuvent-debuter-9bfb110bded209c7c8a4fa7b5a603320,2021-11-18 13:48:01,national
Gatineau,"""premier ministre""",10,Le Droit,Le cabinet de l'image | Hélène Buzzetti | Chroniques,2021-10-27,22,https://www.ledroit.com/2021/10/27/le-cabinet-de-limage-7e008d3dad1fe35cbeeb1030ac7c308f,2021-11-18 13:48:01,national
Gatineau,"""premier ministre""",11,Le Droit,Les choix assumés de Justin Trudeau | Opinions,2021-10-30,19,https://www.ledroit.com/2021/10/30/les-choix-assumes-de-justin-trudeau-d38dab9c1cf9277f615fd3d6cbe6897e,2021-11-18 13:48:02,national
Gatineau,"""premier ministre""",12,Le Droit,Le fédéral met fin à la PCRE | Affaires,2021-10-21,28,https://www.ledroit.com/2021/10/21/le-federal-met-fin-a-la-pcre-03fd016142a15f21a790e5989847f79e,2021-11-18 13:48:02,national
Gatineau,"""premier ministre""",13,Le Droit,Ce que Tante Gisèle en dirait | Denis Gratton | Chroniques,2021-10-25,24,https://www.ledroit.com/2021/10/25/ce-que-tante-gisele-en-dirait-99427d6e23f8d3c2687a1fe3b6162dc2,2021-11-18 13:48:02,national
Gatineau,"""premier ministre""",14,Le Soleil,Retour insolite sur la campagne municipale | L'équipe d'impact | Actualités,2021-11-15,3,https://www.lesoleil.com/2021/11/14/retour-insolite-sur-la-campagne-municipale-81f43705802d7ab1183329acc548c8f0,2021-11-18 13:48:02,national
Gatineau,"""premier ministre""",15,ICI.Radio-Canada.ca,Débat à la mairie de Sherbrooke : les candidats croisent le fer | Élections municipales au Québec 2021,2021-11-03,15,https://ici.radio-canada.ca/nouvelle/1836744/debat-mairie-sherbrooke-radio-beaudin-fortin-lussier,2021-11-18 13:48:02,national
Gatineau,"""premier ministre""",16,Le Droit - Groupe Capitales Médias,France Bélisle veut un ministre de l'Outaouais à Ottawa,2021-09-27,52,https://www.ledroit.com/2021/09/27/france-belisle-veut-un-ministre-de-loutaouais-a-ottawa-f7908ae317527c581af780d5e83ab960,2021-11-18 13:48:03,national
Gatineau,"""premier ministre""",17,La Presse,"Legault met Québec, Lévis et Gatineau « sur pause » pour 10 jours",2021-03-31,232,https://www.lapresse.ca/covid-19/2021-03-31/legault-met-quebec-levis-et-gatineau-sur-pause-pour-10-jours.php,2021-11-18 13:48:03,national
Gatineau,"""premier ministre""",18,Le Droit - Groupe Capitales Médias,Deux incendies ont tenu les pompiers en haleine à Gatineau,2021-08-11,99,https://www.ledroit.com/2021/08/11/deux-incendies-ont-tenu-les-pompiers-en-haleine-a-gatineau-8a715bddf22cfe6c0f58394c11caea67,2021-11-18 13:48:03,national
Gatineau,"""premier ministre""",19,Le Droit - Groupe Capitales Médias,Deux maisons ravagées par un incendie à Gatineau [PHOTOS],2021-06-01,170,https://www.ledroit.com/2021/06/01/deux-maisons-ravagees-par-un-incendie-a-gatineau-photos-86eac3290091feaa4c8cf29bd6a58371,2021-11-18 13:48:03,national
Gatineau,"""premier ministre""",20,Le Droit - Groupe Capitales Médias,Trudeau et les libéraux restent au pouvoir et minoritaires,2021-09-22,57,https://www.ledroit.com/2021/09/21/trudeau-et-les-liberaux-restent-au-pouvoir-et-minoritaires-dda72e6ce8628b3f531db5474e16e997,2021-11-18 13:48:03,national
Gatineau,"""premier ministre""",21,Le Devoir,Langues officielles: près de 200 plaintes après la nomination de Mary Simon,2021-07-15,126,https://www.ledevoir.com/politique/canada/618039/gouverneure-generale-la-nomination-de-mary-simon-fait-l-objet-de-200-plaintes-au-commissaire-aux-langues-officielles,2021-11-18 13:48:04,national
Gatineau,"""premier ministre""",22,Radio-Canada.ca,Fermeture de l'urgence à Gatineau : Anglade demande à Legault d'intervenir,2021-06-29,142,https://ici.radio-canada.ca/nouvelle/1805308/service-personnel-soins-infirmieres-manque-fermeture-urgence-anglade-gatineau,2021-11-18 13:48:04,national
Gatineau,"""premier ministre""",23,Le Droit - Groupe Capitales Médias,"Bill Davis: un «très bon» premier ministre, pas trop francophile",2021-08-10,100,https://www.ledroit.com/2021/08/10/bill-davis-un-tres-bon-premier-ministre-pas-trop-francophile-15fa8ad7f32a3399ff0c6ded2829e0af,2021-11-18 13:48:04,national
Gatineau,"""premier ministre""",24,Le Droit - Groupe Capitales Médias,Les feux en Ontario affectent l'air d'Ottawa-Gatineau,2021-07-19,122,https://www.ledroit.com/actualites/les-feux-en-ontario-affectent-lair-dottawa-gatineau-676f486a2e502e3719a652480c71dee1,2021-11-18 13:48:04,national
Gatineau,"""premier ministre""",25,Le Droit - Groupe Capitales Médias,Près de 1200 nouvelles places en services de garde en Outaouais,2021-08-27,83,https://www.ledroit.com/2021/08/27/pres-de-1200-nouvelles-places-en-services-de-garde-en-outaouais-5734d133a7c13a14586def756a42ff7b,2021-11-18 13:48:04,national
Gatineau,climat,1,ICI.Radio-Canada.ca,Un donateur préoccupé par le climat de travail chez Centraide Outaouais,2021-11-04,14,https://ici.radio-canada.ca/nouvelle/1837031/centraide-outaouais-harcelement-psychologique-climat-travail-reactions,2021-11-18 13:48:42,national
Gatineau,climat,2,Le Droit,Le climat social | À vous la parole | Opinions,2021-11-06,12,https://www.ledroit.com/2021/11/06/le-climat-social-f193ac6c97fa3d46dfc9184c0b68738f,2021-11-18 13:48:42,national
Gatineau,climat,3,Le Droit,Marche pour le climat dans la capitale fédérale: «les gouvernements n'en font pas assez»,2021-11-06,12,https://www.ledroit.com/2021/11/06/marche-pour-le-climat-dans-la-capitale-federale-les-gouvernements-nen-font-pas-assez-66ceaea82cbacd856eff6709cccf2d74,2021-11-18 13:48:42,national
Gatineau,climat,4,Le Droit - Groupe Capitales Médias,Forêt Boucher: la Fondation demande plus du Plan climat et de la campagne électorale,2021-10-18,31,https://www.ledroit.com/2021/10/18/foret-boucher-la-fondation-demande-plus-du-plan-climat-et-de-la-campagne-electorale-93f80789ba6332cbe5ab163cfc89e5ac,2021-11-18 13:48:42,national
Gatineau,climat,5,Le Droit,Le réchauffement climatique menace la stabilité mondiale | Monde | Actualités,2021-10-21,28,https://www.ledroit.com/2021/10/21/le-rechauffement-climatique-menace-la-stabilite-mondiale-2e61dbfb0db59854569624fbf8e76ef3,2021-11-18 13:48:42,national
Gatineau,climat,6,TVA Nouvelles,Le leadership de France Bélisle questionné à la veille des élections municipales de Gatineau,2021-10-25,24,https://www.tvanouvelles.ca/2021/10/25/le-leadership-de-france-belisle-questionne-a-la-veille-des-elections-municipales-de-gtaineau,2021-11-18 13:48:43,national
Gatineau,climat,7,Le Devoir,La crise climatique menace la santé mentale des Québécois,2021-11-05,13,https://www.ledevoir.com/societe/environnement/645252/environnement-la-crise-climatique-menace-la-sante-mentale-des-quebecois,2021-11-18 13:48:43,national
Gatineau,climat,8,ICI.Radio-Canada.ca,Douze nouveaux venus feront leur entrée officielle au conseil municipal de Gatineau | Élections municipales au Québec 2021,2021-11-16,2,https://ici.radio-canada.ca/nouvelle/1840147/conseillers-municipaux-nouveaux-venus-gatineau-presentation,2021-11-18 13:48:43,national
Gatineau,climat,9,Le Droit,Halloween 2070: pour que l'horreur reste de la fiction,2021-10-31,18,https://www.ledroit.com/2021/10/31/halloween-2070-pour-que-lhorreur-reste-de-la-fiction-7b6dabc9f51497158402a019bd5ef725,2021-11-18 13:48:43,national
Gatineau,climat,10,ICI.Radio-Canada.ca,Le Plan climat de Gatineau suscite encore bien des questions,2021-09-28,51,https://ici.radio-canada.ca/nouvelle/1827827/plan-gatineau-lutte-changements-climatiques-comite-plenier,2021-11-18 13:48:43,national
Gatineau,climat,11,Le Droit,La COP26... et puis après? | Paule Vermot-Desroches | Chroniques,2021-11-14,4,https://www.ledroit.com/2021/11/13/la-cop26-et-puis-apres-a1fca2f26d95816ed7aa333b19affbbe,2021-11-18 13:48:43,national
Gatineau,climat,12,Le Droit - Groupe Capitales Médias,Climat: Le plan de Gatineau critiqué pour son manque de créativité,2021-09-15,64,https://www.ledroit.com/2021/09/15/climat-le-plan-de-gatineau-critique-pour-son-manque-de-creativite-9db73720ae9a265b6eea805bb97c4e81,2021-11-18 13:48:43,national
Gatineau,climat,13,ICI.Radio-Canada.ca,Le verglas s'installe sur le Québec,2021-11-17,1,https://ici.radio-canada.ca/nouvelle/1840636/verglas-circulation-automobile-difficile-routes-quebec,2021-11-18 13:48:44,national
Gatineau,climat,14,Le Droit - Groupe Capitales Médias,Gatineau consulte pour son plan de lutte aux changements climatiques,2021-04-26,206,https://www.ledroit.com/2021/04/26/gatineau-consulte-pour-son-plan-de-lutte-aux-changements-climatiques-c4d4d317ba99446629627feffb7efa46,2021-11-18 13:48:44,national
Gatineau,climat,15,Le Droit,Un rebondissement attendu | Claude Villeneuve | Chroniques,2021-11-09,9,https://www.ledroit.com/2021/11/09/un-rebondissement-attendu-e9ea4d1b6a5a87a183bdd92fe9197059,2021-11-18 13:48:44,national
Gatineau,climat,16,Le Droit,"Sting, un pont au-dessus des épreuves [VIDÉO]",2021-11-16,2,https://www.ledroit.com/2021/11/16/sting-un-pont-au-dessus-des-epreuves-video-74fba30ae6f90dcc9ada6295fb449fbc,2021-11-18 13:48:44,national
Gatineau,climat,17,CNW Telbec,Le ministre Steven Guilbeault accompagnera le premier ministre Justin Trudeau et la délégation canadienne à la Conférence des Nations Unies sur les changements climatiques (la COP26),2021-10-31,18,https://www.newswire.ca/fr/news-releases/le-ministre-steven-guilbeault-accompagnera-le-premier-ministre-justin-trudeau-et-la-delegation-canadienne-a-la-conference-des-nations-unies-sur-les-changements-climatiques-la-cop26--816252280.html,2021-11-18 13:48:44,national
Gatineau,climat,18,La Presse,"Élections municipales | Trentenaires, bientôt maires ? | La Presse",2021-10-31,18,https://www.lapresse.ca/actualites/politique/2021-10-31/elections-municipales/trentenaires-bientot-maires.php,2021-11-18 13:48:44,national
Gatineau,climat,19,Le Droit,Le G20 s'engage pour la carboneutralité | Monde | Actualités,2021-10-31,18,https://www.ledroit.com/2021/10/31/le-g20-sengage-pour-la-carboneutralite-073f74343cfbafc4abac85a7e521a7a9,2021-11-18 13:48:45,national
Gatineau,climat,20,Le Droit - Groupe Capitales Médias,Ça va chauffer à Gatineau en octobre | Actualités,2021-10-10,39,https://www.ledroit.com/2021/10/10/ca-va-chauffer-a-gatineau-en-octobre-3812435ab9817df7805fa16c5a503833,2021-11-18 13:48:45,national
Gatineau,climat,21,Le Délit,Changer le monde un pas à la fois avec l'hydrogène québécois,2021-11-16,2,https://www.delitfrancais.com/2021/11/16/changer-le-monde-un-pas-a-la-fois-avec-lhydrogene-quebecois/,2021-11-18 13:48:45,national
Gatineau,climat,22,Le Droit - Groupe Capitales Médias,Près de 100 plaintes pour harcèlement à la Ville de Gatineau depuis 2013,2021-04-29,203,https://www.ledroit.com/2021/04/29/pres-de-100-plaintes-pour-harcelement-a-la-ville-de-gatineau-depuis-2013-57ef08492df3ea892878fefda9f61a2a,2021-11-18 13:48:45,national
Gatineau,climat,23,La Presse,Urgence climatique et aménagement du territoire | Des maires plaident pour des règles plus strictes,2021-09-09,70,https://www.lapresse.ca/actualites/2021-09-09/urgence-climatique-et-amenagement-du-territoire/des-maires-plaident-pour-des-regles-plus-strictes.php,2021-11-18 13:48:45,national
Gatineau,climat,24,Le Droit - Groupe Capitales Médias,Changements climatiques: la cause de la cause | Opinions,2021-04-27,205,https://www.ledroit.com/2021/04/27/changements-climatiques-la-cause-de-la-cause-811ed50b066dde48c90438d83ecad345,2021-11-18 13:48:45,national
Gatineau,climat,25,La Presse,Écoblanchiment | Le chien de garde s'est-il endormi ?,2021-11-12,6,https://www.lapresse.ca/debats/opinions/2021-11-12/ecoblanchiment/le-chien-de-garde-s-est-il-endormi.php,2021-11-18 13:48:46,national
Gatineau,immigration,1,Le Droit,Les choix assumés de Justin Trudeau | Opinions,2021-10-30,19,https://www.ledroit.com/2021/10/30/les-choix-assumes-de-justin-trudeau-d38dab9c1cf9277f615fd3d6cbe6897e,2021-11-18 13:48:54,national
Gatineau,immigration,2,Le Devoir,Les nouveaux visages de la précarité en matière de logement,2021-11-02,16,https://www.ledevoir.com/societe/644445/logement-les-nouveaux-visages-de-la-precarite,2021-11-18 13:48:55,national
Gatineau,immigration,3,Le Droit,La baisse du poids démographique du Québec | Opinions,2021-10-30,19,https://www.ledroit.com/2021/10/30/la-baisse-du-poids-demographique-du-quebec-2fcfcc8d34d23dd100647e19a7d602bc,2021-11-18 13:48:55,national
Gatineau,immigration,4,Le Droit,Un doctorat honoris causa de l'UQO pour Mireille Apollon,2021-11-17,1,https://www.ledroit.com/2021/11/17/un-doctorat-honoris-causa-de-luqo-pour-mireille-apollon-3274759933aac27e154599209720bdaf,2021-11-18 13:48:55,national
Gatineau,immigration,5,Le Droit - Groupe Capitales Médias,Ruba Ghazal à Gatineau pour plaider une meilleure francisation des immigrants,2021-10-16,33,https://www.ledroit.com/2021/10/16/ruba-ghazal-a-gatineau-pour-plaider-une-meilleure-francisation-des-immigrants-b69f2f116d3afaaffd3584aa3440b635,2021-11-18 13:48:55,national
Gatineau,immigration,6,La Presse,Immigration | Marche pour un statut pour tous | La Presse,2021-07-25,116,https://www.lapresse.ca/actualites/2021-07-25/immigration/marche-pour-un-statut-pour-tous.php,2021-11-18 13:48:55,national
Gatineau,immigration,7,Le Droit - Groupe Capitales Médias,Immigration francophone: le fédéral fait «un pas dans la bonne direction»,2021-05-10,192,https://www.ledroit.com/2021/05/10/immigration-francophone-le-federal-fait-un-pas-dans-la-bonne-direction-8b109f846fb0668d211d64d52ab1ea1c,2021-11-18 13:48:56,national
Gatineau,immigration,8,Radio-Canada.ca,"Désespérées par les délais d'immigration, des infirmières songent à quitter le Québec",2021-05-07,195,https://ici.radio-canada.ca/nouvelle/1791046/immigration-delais-infirmiere-quebec-ontario,2021-11-18 13:48:56,national
Gatineau,immigration,9,L’actualité,Ne pas perdre le vote !,2021-11-17,1,https://lactualite.com/politique/ne-pas-perdre-le-vote/,2021-11-18 13:48:56,national
Gatineau,immigration,10,Le Droit - Groupe Capitales Médias,"Francophones: charmants, mais un désavantage pour le pays",2021-03-18,245,https://www.ledroit.com/2021/03/18/francophones-charmants-mais-un-desavantage-pour-le-pays-5d08075247261bd48bb198553016d027,2021-11-18 13:48:56,national
Gatineau,immigration,11,Le Devoir,Immigration: résidents permanents après 12 ans d'attente,2021-08-04,106,https://www.ledevoir.com/societe/622545/immigration-residents-permanents-apres-12-ans-d-attente,2021-11-18 13:48:56,national
Gatineau,immigration,12,Le Droit - Groupe Capitales Médias,Un nouveau réseau d'accueil d'immigrants francophones dans l'Est ontarien,2021-03-25,238,https://www.ledroit.com/2021/03/25/un-nouveau-reseau-daccueil-dimmigrants-francophones-dans-lest-ontarien-7aa9c0091473dbb22d4f2bb6195bf94d,2021-11-18 13:48:56,national
Gatineau,immigration,13,Le Droit - Groupe Capitales Médias,Main-d'œuvre en région: le PQ propose d'y envoyer 50% des immigrants,2021-06-21,150,https://www.ledroit.com/2021/06/21/main-duvre-en-region-le-pq-propose-dy-envoyer-50-des-immigrants-8247389670d3210010d36e1f9dc800c6,2021-11-18 13:48:56,national
Gatineau,immigration,14,Franceinfo,"Présidentielle 2022 : ""Eric Zemmour n'est ni un adversaire, ni un partenaire, c'est un concurrent"", assure ...",2021-11-15,3,https://www.francetvinfo.fr/elections/direct-presidentielle-2022-suivez-l-interview-de-marine-le-pen-invitee-des-matins-presidentiels-de-7-heures-a-9-heures-sur-franceinfo_4843443.html,2021-11-18 13:48:57,national
Gatineau,immigration,15,Le Devoir,La course aux étudiants étrangers menace la qualité de l'enseignement,2021-04-24,208,https://www.ledevoir.com/societe/education/599472/immigration-la-course-aux-etudiants-etrangers-menace-la-qualite-de-l-enseignement,2021-11-18 13:48:57,national
Gatineau,immigration,16,Le Droit - Groupe Capitales Médias,Immigration Canada ne répond plus aux demandes non urgentes,2021-09-05,74,https://www.ledroit.com/2021/09/05/immigration-canada-ne-repond-plus-aux-demandes-non-urgentes-914691c04653e87852fbe46f03544323,2021-11-18 13:48:57,national
Gatineau,immigration,17,Le Droit - Groupe Capitales Médias,Crise à la frontière: tous les migrants ont quitté leur campement au Texas,2021-09-24,55,https://www.ledroit.com/2021/09/24/crise-a-la-frontiere-tous-les-migrants-ont-quitte-leur-campement-au-texas-3bab2b5ded6033a6fbb286a0d03ff33a,2021-11-18 13:48:57,national
