Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Longueuil,élection OR campagne,1,La Releve,Élection partielle dans Marie-Victorin à Longueuil : Martine Ouellette annonce son intention de remplacer Catherine Fournier,2021-11-17,1,https://www.lareleve.qc.ca/2021/11/17/election-partielle-dans-marie-victorin-a-longueuil-martine-ouellette-annonce-son-intention-de-remplacer-catherine-fournier/,2021-11-18 09:04:30,mixte
Longueuil,élection OR campagne,2,Le Journal de Québec,Marie-Victorin: l'élection partielle aura lieu après Noël,2021-11-13,5,https://www.journaldequebec.com/2021/11/13/legault-annonce-la-tenue-dune-election-partielle-dans-marie-victorin-apres-noel,2021-11-18 09:04:30,mixte
Longueuil,élection OR campagne,3,La Presse,Élection partielle | La CAQ sera de la course dans Marie-Victorin,2021-11-13,5,https://www.lapresse.ca/actualites/politique/2021-11-13/election-partielle/la-caq-sera-de-la-course-dans-marie-victorin.php,2021-11-18 09:04:31,mixte
Longueuil,élection OR campagne,4,Radio-Canada.ca,Élection dans Marie-Victorin : Paul St-Pierre Plamondon ne demande aucune faveur,2021-11-09,9,https://ici.radio-canada.ca/nouvelle/1838469/quebec-solidaire-presentera-candidat-marie-victorin,2021-11-18 09:04:31,mixte
Longueuil,élection OR campagne,5,La Presse,Catherine Fournier élue à Longueuil | « C'est une véritable vague magenta »,2021-11-07,11,https://www.lapresse.ca/actualites/grand-montreal/2021-11-07/catherine-fournier-elue-a-longueuil/c-est-une-veritable-vague-magenta.php,2021-11-18 09:04:31,mixte
Longueuil,élection OR campagne,6,La Presse,Tour d'horizon des luttes ailleurs au Québec,2021-11-06,12,https://www.lapresse.ca/actualites/politique/2021-11-06/tour-d-horizon-des-luttes-ailleurs-au-quebec.php,2021-11-18 09:04:31,mixte
Longueuil,élection OR campagne,7,La Releve,"Une élection partielle en perspective, à Longueuil?",2021-11-06,12,https://www.lareleve.qc.ca/2021/11/06/une-election-partielle-en-perspective-a-longueuil/,2021-11-18 09:04:32,mixte
Longueuil,élection OR campagne,8,Le Devoir,La rainette faux-grillon saute dans la campagne à Longueuil,2021-11-03,15,https://www.ledevoir.com/politique/644676/elections-municipales-la-rainette-faux-grillon-saute-dans-la-campagne-a-longueuil,2021-11-18 09:04:32,mixte
Longueuil,élection OR campagne,9,Le Journal de Québec,Voici tous les détails sur les élections municipales dans la région de Québec,2021-11-07,11,https://www.journaldequebec.com/2021/11/07/en-direct-voici-tous-les-details-sur-les-elections-municipales-dans-la-region-de-quebec,2021-11-18 09:04:32,mixte
Longueuil,élection OR campagne,10,Le Journal de Montréal,Catherine Fournier toujours en tête à Longueuil,2021-10-26,23,https://www.journaldemontreal.com/2021/10/26/catherine-fournier-toujours-en-tete-a-longueuil,2021-11-18 09:04:32,mixte
Longueuil,élection OR campagne,11,La Releve,"Un taux de votation anémique de 33 % lors des élections municipales, à Longueuil",2021-11-10,8,https://www.lareleve.qc.ca/2021/11/10/un-taux-de-votation-anemique-de-33-lors-des-elections-municipales-a-longueuil/,2021-11-18 09:04:32,mixte
