Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lévis,"""premier ministre""",1,ICI.Radio-Canada.ca,3e lien Québec-Lévis : le gouvernement invité à optimiser le réseau existant | 3e lien,2021-11-16,2,https://ici.radio-canada.ca/nouvelle/1840388/pont-pierre-laporte-quebec-circulation-congestion-zipper-barriere-mobile-3e-lien,2021-11-18 14:15:34,national
Lévis,"""premier ministre""",2,La Presse,Tunnel Québec-Lévis | Régis Labeaume invite François Legault à reconsidérer le projet,2021-11-12,6,https://www.lapresse.ca/actualites/politique/2021-11-12/tunnel-quebec-levis/regis-labeaume-invite-francois-legault-a-reconsiderer-le-projet.php,2021-11-18 14:15:34,national
Lévis,"""premier ministre""",3,Le Journal de Québec,Labeaume règle ses comptes dans une lettre,2021-11-12,6,https://www.journaldequebec.com/2021/11/12/labeaume-regle-ses-comptes-dans-une-lettre,2021-11-18 14:15:34,national
Lévis,"""premier ministre""",4,Radio-Canada.ca,Labeaume déconstruit le projet de 3e lien dans une lettre à Legault | 3e lien,2021-11-12,6,https://ici.radio-canada.ca/nouvelle/1839370/regis-labeaume-lettre-francois-legault-3e-lien-tramway,2021-11-18 14:15:35,national
Lévis,"""premier ministre""",5,Magazine PME,Troisième lien entre Québec et Lévis: Labeaume invite Legault à changer d'idée,2021-11-12,6,https://www.lesaffaires.com/dossier/infrastructures-et-grands-projets/troisieme-lien-entre-quebec-et-levis-labeaume-invite-legault-a-changer-d-idee/628887,2021-11-18 14:15:35,national
Lévis,"""premier ministre""",6,Le Journal de Montréal,Tramway: réécrire l'histoire à sa façon,2021-11-17,1,https://www.journaldemontreal.com/2021/11/16/tramway-reecrire-lhistoire-a-sa-facon,2021-11-18 14:15:35,national
Lévis,"""premier ministre""",7,Le Journal de Québec,3e lien: Legault réplique aux experts qui l'accusent d'avancer des faussetés,2021-11-02,16,https://www.journaldequebec.com/2021/11/02/3e-lien-francois-legault-nimitera-pas-le-maire-de-londres,2021-11-18 14:15:35,national
Lévis,"""premier ministre""",8,La Presse,La forêt des mal-aimés | La Presse,2021-11-18,0,https://www.lapresse.ca/actualites/chroniques/2021-11-18/la-foret-des-mal-aimes.php,2021-11-18 14:15:35,national
Lévis,"""premier ministre""",9,Radio-Canada.ca,Tunnel Québec-Lévis : Ottawa va mener sa propre étude environnementale | 3e lien,2021-10-29,20,https://ici.radio-canada.ca/nouvelle/1835631/etude-impact-environnement-tunnel-quebec-levis-guilbeault-ottawa,2021-11-18 14:15:36,national
Lévis,"""premier ministre""",10,Le Journal de Québec,3e lien en Basse-Ville: Québec recule et révise son tracé,2021-10-26,23,https://www.journaldequebec.com/2021/10/26/3e-lien-en-basse-ville-quebec-recule-et-revise-son-trace,2021-11-18 14:15:36,national
Lévis,"""premier ministre""",11,La Presse,"Tunnel Québec-Lévis | Un projet « gagnant pour l'environnement », dit LeBel à Guilbeault",2021-10-26,23,https://www.lapresse.ca/actualites/politique/2021-10-26/tunnel-quebec-levis/un-projet-gagnant-pour-l-environnement-dit-lebel-a-guilbeault.php,2021-11-18 14:15:36,national
Lévis,"""premier ministre""",12,ICI.Radio-Canada.ca,Bruno Marchand présente ses priorités au gouvernement Legault,2021-11-16,2,https://ici.radio-canada.ca/nouvelle/1840280/rencontre-maire-quebec-bruno-marchand-hotel-ville-ministres-genevieve-guilbault-andree-laforest-collaboration-gouvernement-legault,2021-11-18 14:15:36,national
Lévis,"""premier ministre""",13,Le Devoir,Pourquoi pas un référendum sur le troisième lien?,2021-11-18,0,https://www.ledevoir.com/opinion/lettres/648120/pourquoi-pas-un-referendum-sur-le-troisieme-lien,2021-11-18 14:15:36,national
Lévis,"""premier ministre""",14,Le Journal de Montréal,Les 12 travaux de Legault,2021-10-20,29,https://www.journaldemontreal.com/2021/10/20/les-12-travaux-de-legault,2021-11-18 14:15:36,national
Lévis,"""premier ministre""",15,Le Journal de Québec,Pénurie de main-d'oeuvre: le milieu d'affaires de Chaudière-Appalaches à l'Assemblée nationale,2021-11-09,9,https://www.journaldequebec.com/2021/11/09/penurie-de-main-doeuvre-le-milieu-daffaires-de-chaudiere-appalaches-a-lassemblee-nationale,2021-11-18 14:15:37,national
Lévis,"""premier ministre""",16,ICI.Radio-Canada.ca,La Relève de la CAQ vient tâter le pouls des jeunes de l'Abitibi-Témiscamingue,2021-11-16,2,https://ici.radio-canada.ca/nouvelle/1840268/coalition-avenir-quebec-keven-brasseur-enjeux-jeunes,2021-11-18 14:15:37,national
