Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Matane,accident,1,L’Avantage gaspésien,Accident de la route à Matane,2021-07-23,118,https://www.lavantagegaspesien.com/article/2021/07/23/accident-de-la-route-a-matane,2021-11-18 08:17:56,local
Matane,accident,2,Mon Matane,Accident de la route impliquant une motocycliste à Saint-Ulric,2021-08-18,92,https://monmatane.com/accident-de-la-route-impliquant-une-motocycliste-a-saint-ulric/,2021-11-18 08:17:56,local
Matane,accident,3,La Presse,Tragique accident sur la route 132 | « Il faut trouver des solutions »,2021-08-23,87,https://www.lapresse.ca/actualites/2021-08-23/tragique-accident-sur-la-route-132/il-faut-trouver-des-solutions.php,2021-11-18 08:17:57,local
Matane,accident,4,Info Dimanche,Accident mortel sur la route 132 à Saint-Fabien | infodimanche.com,2021-10-04,45,https://www.infodimanche.com/actualites/faits-divers/438997/accident-mortel-sur-la-route-132-a-saint-fabien,2021-11-18 08:17:57,local
Matane,accident,5,Mon Matane,Éphémérides du 21 octobre : Anthony Tomasino accusé de possession de 480 kilos de cocaïne en 1998,2021-10-21,28,https://monmatane.com/ephemerides-du-21-octobre-anthony-tomasino-accuse-de-possession-de-480-kilos-de-cocaine-en-1998/,2021-11-18 08:17:57,local
Matane,accident,6,L’Avantage gaspésien,Une voiture frappe le mur de la Caisse Desjardins de Matane,2021-08-10,100,https://www.lavantagegaspesien.com/article/2021/08/10/une-voiture-frappe-le-mur-de-la-caisse-desjardins-de-matane,2021-11-18 08:17:57,local
Matane,accident,7,L’Avantage gaspésien,Accident mortel de VTT à Rivière-à-Claude,2021-07-19,122,https://www.lavantagegaspesien.com/article/2021/07/19/accident-mortel-de-vtt-a-riviere-a-claude,2021-11-18 08:17:58,local
Matane,accident,8,La Presse,Sécurité des ministres | Les Forces armées pourraient jouer un rôle,2021-11-17,1,https://www.lapresse.ca/actualites/politique/2021-11-17/securite-des-ministres/les-forces-armees-pourraient-jouer-un-role.php,2021-11-18 08:17:58,local
Matane,accident,9,Le Soleil - Groupe Capitales Médias,Corps repêché au port de Matane | L'Est du Québec | Actualités,2021-05-22,180,https://www.lesoleil.com/2021/05/22/corps-repeche-au-port-de-matane-feefd8ab68130d1934054d80cc3603a9,2021-11-18 08:17:58,local
Matane,accident,10,Le Journal de Québec,La 132 fait quatre morts,,,https://www.journaldequebec.com/2019/08/19/bas-saint-laurent-deux-blesses-graves-dans-une-collision-frontale-sur-la-route-132,2021-11-18 08:17:58,local
Matane,accident,11,L’Avantage gaspésien,Accident mortel aux Méchins - Matane,2020-12-19,334,https://www.lavantagegaspesien.com/article/2020/12/19/accident-mortel-aux-mechins,2021-11-18 08:17:59,local
Matane,accident,12,Mon Matane,"Collision à Lac au Saumon, 3 morts et 3 personnes dans un état critique",2021-08-05,105,https://monmatane.com/collision-entre-un-vehicule-lourd-et-un-camionnette-a-lac-au-saumon-6-blesses-graves/,2021-11-18 08:17:59,local
Matane,accident,13,Le Journal de Québec,Gaspésie: un trentenaire hospitalisé après un accident de motocross,2021-05-10,192,https://www.journaldequebec.com/2021/05/09/gaspesie-un-trentenaire-hospitalise-apres-un-accident-de-motocross,2021-11-18 08:17:59,local
Matane,accident,14,Mon Matane,Décès de l'homme d'affaires Steve D'Auteuil impliqué dans un accident de motoneige,2021-03-20,243,https://monmatane.com/deces-de-lhomme-daffaires-steve-dauteuil-implique-dans-un-accident-de-motoneige/,2021-11-18 08:17:59,local
Matane,accident,15,Le Journal de Montréal,Québec poursuivi pour une chaussée mal entretenue,2021-06-09,162,https://www.journaldemontreal.com/2021/06/09/quebec-poursuivi-pour-une-chaussee-mal-entretenue,2021-11-18 08:18:00,local
Matane,accident,16,ICI.Radio-Canada.ca,Collision entre deux camions à Maria,2021-06-28,143,https://ici.radio-canada.ca/nouvelle/1805159/collision-camions-poids-lourds-route-132-maria-gaspesie-28-juin-2021,2021-11-18 08:18:00,local
Matane,accident,17,ICI.Radio-Canada.ca,Étude de sécurité sur la route 132 à Lac-au-Saumon,2021-09-27,52,https://ici.radio-canada.ca/nouvelle/1827437/etude-securite-lac-saumon-route-132,2021-11-18 08:18:00,local
Matane,accident,18,Le Soleil - Groupe Capitales Médias,Troisième décès dans l'accident du 28 juin à Caplan,2021-07-22,119,https://www.lesoleil.com/actualite/en-region/troisieme-deces-dans-laccident-du-28-juin-a-caplan-7912f6fc6853214245fd4454cf01e24e,2021-11-18 08:18:00,local
Matane,accident,19,ICI.Radio-Canada.ca,Report de la peine de Sébastien Miville,2021-04-29,203,https://ici.radio-canada.ca/nouvelle/1788925/sebastien-miville-peine-accident-la-pocatiere-covid,2021-11-18 08:18:01,local
