Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Nicolet,élection OR campagne,1,Le Courrier Sud,"Desjardins doublera les dons de la campagne ""Parraine ta famille de Nicolet""",2021-11-04,14,https://www.lecourriersud.com/desjardins-doublera-les-dons-de-la-campagne-parraine-ta-famille-de-nicolet/,2021-11-18 09:24:27,mixte
Nicolet,élection OR campagne,2,Le Nouvelliste,Dévoilement des projets gagnants pour le budget participatif citoyen à Nicolet,2021-11-16,2,https://www.lenouvelliste.ca/2021/11/16/devoilement-des-projets-gagnants-pour-le-budget-participatif-citoyen-a-nicolet-104e6cd619b95e7259a339ce8ca4b523,2021-11-18 09:24:27,mixte
Nicolet,élection OR campagne,3,Le Courrier Sud,Nicolet-Yamaska: la glace est brisée pour les nouveaux élus,2021-10-21,28,https://www.lecourriersud.com/nicolet-yamaska-la-glace-est-brisee-pour-les-nouveaux-elus/,2021-11-18 09:24:27,mixte
Nicolet,élection OR campagne,4,Le Nouvelliste,Élections municipales: les jeux sont faits | Élections municipales 2021 | Actualités,2021-11-07,11,https://www.lenouvelliste.ca/2021/11/08/elections-municipales-les-jeux-sont-faits-55a77d85f2c48782dbdc80eababde969,2021-11-18 09:24:27,mixte
Nicolet,élection OR campagne,5,L'Hebdo Journal,Rentrée parlementaire: René Villemure dévoile ses priorités,2021-11-17,1,https://www.lhebdojournal.com/rentree-parlementaire-rene-villemure-devoile-ses-priorites/,2021-11-18 09:24:28,mixte
Nicolet,élection OR campagne,6,ICI.Radio-Canada.ca,Michel Angers réélu pour un 4 e mandat à la mairie de Shawinigan | Élections municipales au Québec 2021,2021-11-08,10,https://ici.radio-canada.ca/nouvelle/1838074/elections-municipales-2021-michel-angers-shawinigan,2021-11-18 09:24:28,mixte
Nicolet,élection OR campagne,7,Le Nouvelliste,Élections municipales sur la rive sud: faire l'histoire chacune à sa façon [VIDÉO],2021-11-03,15,https://www.lenouvelliste.ca/2021/11/03/elections-municipales-sur-la-rive-sud-faire-lhistoire-chacune-a-sa-facon-video-3acc6420d489db83e89df4ba698b93ce,2021-11-18 09:24:28,mixte
Nicolet,élection OR campagne,8,Le Courrier Sud,Nicolet lance deux initiatives en développement durable,2021-10-21,28,https://www.lecourriersud.com/nicolet-lance-deux-initiatives-en-developpement-durable/,2021-11-18 09:24:29,mixte
Nicolet,élection OR campagne,9,Le Nouvelliste,La campagne électorale s'active à la mairie de Bécancour,2021-10-22,27,https://www.lenouvelliste.ca/2021/10/22/la-campagne-electorale-sactive-a-la-mairie-de-becancour-d261325a9609f5cb40af1ecce41dbb73,2021-11-18 09:24:29,mixte
Nicolet,élection OR campagne,10,Grenier aux Nouvelles,Secrétaire juridique | Ville de Nicolet | Grenier aux Emplois,2021-10-23,26,https://www.grenier.qc.ca/emplois/53562/secretaire-juridique,2021-11-18 09:24:29,mixte
