Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Plessisville,élection OR campagne,1,La Nouvelle Union,Élection à la mairie de la Ville de Plessisville : une première depuis 2013,2021-11-03,15,https://www.lanouvelle.net/2021/11/03/election-a-la-mairie-de-la-ville-de-plessisville-une-premiere-depuis-2013/,2021-11-18 09:29:26,mixte
Plessisville,élection OR campagne,2,La Nouvelle Union,Mario Fortin remet les clés de la Ville à Pierre Fortier,2021-11-16,2,https://www.lanouvelle.net/2021/11/16/mario-fortin-remet-les-cles-de-la-ville-a-pierre-fortier/,2021-11-18 09:29:26,mixte
Plessisville,élection OR campagne,3,La Nouvelle Union,La magie de Noël à l'hôpital : BMR et Brunet poursuivent leur association,2021-11-16,2,https://www.lanouvelle.net/2021/11/16/la-magie-de-noel-a-lhopital-bmr-et-brunet-poursuivent-leur-association/,2021-11-18 09:29:27,mixte
Plessisville,élection OR campagne,4,La Nouvelle Union,Pas de honte à parler de dépendances,2021-11-12,6,https://www.lanouvelle.net/2021/11/12/pas-de-honte-a-parler-de-dependances/,2021-11-18 09:29:27,mixte
Plessisville,élection OR campagne,5,La Nouvelle Union,Mairie de Saint-Ferdinand : vers quel candidat se rangeront les électeurs?,2021-11-03,15,https://www.lanouvelle.net/2021/11/03/mairie-de-saint-ferdinand-vers-quel-candidat-se-rangeront-les-electeurs/,2021-11-18 09:29:27,mixte
Plessisville,élection OR campagne,6,La Nouvelle Union,Décentralisation de la santé : la MRC de L'Érable suivra le dossier de près,2021-10-21,28,https://www.lanouvelle.net/2021/10/21/decentralisation-de-la-sante-la-mrc-de-lerable-suivra-le-dossier-de-pres/,2021-11-18 09:29:27,mixte
Plessisville,élection OR campagne,7,La Nouvelle Union,MRC de L'Érable : des élections à la mairie à Plessisville (Ville et Paroisse) et à Saint-Ferdinand,2021-10-01,48,https://www.lanouvelle.net/2021/10/01/mrc-de-lerable-des-elections-a-la-mairie-a-plessisville-ville-et-paroisse-et-a-saint-ferdinand/,2021-11-18 09:29:27,mixte
Plessisville,élection OR campagne,8,La Nouvelle Union,Rencontre à Warwick pour mieux connaître les candidats… à la mairie,2021-10-26,23,https://www.lanouvelle.net/2021/10/26/rencontre-a-warwick-pour-mieux-connaitre-les-candidats-a-la-mairie/,2021-11-18 09:29:27,mixte
Plessisville,élection OR campagne,9,La Nouvelle Union,Mairie de la Ville de Plessisville : Yanick Lapierre lance officiellement sa campagne électorale,2021-09-30,49,https://www.lanouvelle.net/2021/09/30/mairie-de-la-ville-de-plessisville-yanick-lapierre-lance-officiellement-sa-campagne-electorale/,2021-11-18 09:29:28,mixte
Plessisville,élection OR campagne,10,La Nouvelle Union,District du parc industriel : le candidat Marc Morin divulgue ses priorités,2021-10-25,24,https://www.lanouvelle.net/2021/10/25/district-du-parc-industriel-le-candidat-marc-morin-divulgue-ses-priorites/,2021-11-18 09:29:28,mixte
Plessisville,élection OR campagne,11,La Nouvelle Union,Jonathan Dubois sollicitera la confiance des électeurs du district 3 de la Paroisse de Plessisville,2021-08-11,99,https://www.lanouvelle.net/2021/08/11/jonathan-dubois-sollicitera-la-confiance-des-electeurs-du-district-3-de-la-paroisse-de-plessisville/,2021-11-18 09:29:28,mixte
Plessisville,élection OR campagne,12,La Nouvelle Union,Élections : Valérie Desrochers devient la première candidate officielle pour la Ville de Plessisville,2021-09-21,58,https://www.lanouvelle.net/2021/09/21/elections-valerie-desrochers-devient-la-premiere-candidate-officielle-pour-la-ville-de-plessisville/,2021-11-18 09:29:28,mixte
Plessisville,élection OR campagne,13,La Nouvelle Union,Biscuit Sourire : la Maison des Familles de L'Érable reçoit 18 663 $,2021-10-25,24,https://www.lanouvelle.net/2021/10/25/biscuit-sourire-la-maison-des-familles-de-lerable-recoit-18-663/,2021-11-18 09:29:28,mixte
Plessisville,élection OR campagne,14,La Nouvelle Union,Mairie de la Ville de Plessisville : Pierre Fortier fait part de son programme électoral,2021-10-07,42,https://www.lanouvelle.net/2021/10/07/mairie-de-la-ville-de-plessisville-pierre-fortier-fait-part-de-son-programme-electoral/,2021-11-18 09:29:28,mixte
Plessisville,élection OR campagne,15,L'Hebdo Journal,Deux autres revers pour le Climatisation Cloutier,2021-11-15,3,https://www.lhebdojournal.com/deux-autres-revers-pour-le-climatisation-cloutier/,2021-11-18 09:29:28,mixte
