Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Québec,accident,1,Zone911,DERNIÈRE HEURE - Québec - Grave accident sur le boulevard Charest dans le secteur de St-Sauveur,2021-11-07,11,https://zone911.com/accidents/31836-derniere-heure-quebec-grave-accident-sur-le-boulevard-charest-dans-le-secteur-de-st-sauveur,2021-11-18 08:47:58,local
Québec,accident,2,Zone911,Deux accidents impliquant des camions lourds - La neige est arrivée dans les régions au nord du fleuve (Photos),2021-11-18,0,https://zone911.com/accidents/31905-deux-accidents-impliquant-des-camions-lourds-la-neige-est-arrivee-dans-les-regions-au-nord-du-fleuve,2021-11-18 08:47:58,local
Québec,accident,3,Le Journal de Québec,Deux piétons heurtés à Sainte-Foy: fausse manœuvre d'un jeune conducteur,2021-11-18,0,https://www.journaldequebec.com/2021/11/17/deux-pietons-heurtes-a-sainte-foy-fausse-manuvre-pour-un-jeune-conducteur,2021-11-18 08:47:58,local
Québec,accident,4,Le Journal de Québec,Charlesbourg : un accident fait cinq blessés | JDQ,2021-11-05,13,https://www.journaldequebec.com/2021/11/04/charlesbourg--un-accident-fait-un-blesse,2021-11-18 08:47:59,local
Québec,accident,5,ICI.Radio-Canada.ca,Un automobiliste drogué cause un accident ce matin à Québec,2021-10-22,27,https://ici.radio-canada.ca/nouvelle/1833754/automobiliste-drogue-volant-accident,2021-11-18 08:47:59,local
Québec,accident,6,Zone911,Accident impliquant une Tesla sur la route Fossambault (route 367),2021-10-31,18,https://zone911.com/accidents/31798-accident-impliquant-une-tesla-sur-la-route-fossambault-route-367-vehicule-electrique,2021-11-18 08:47:59,local
Québec,accident,7,L’actualité,Un remorqueur meurt dans un accident sur l'autoroute 40 en Mauricie,2021-11-14,4,https://lactualite.com/actualites/un-remorqueur-blesse-gravement-dans-un-accident-sur-lautoroute-40-en-mauricie/,2021-11-18 08:47:59,local
Québec,accident,8,Le Journal de Québec,Accident mortel en Gaspésie: un septuagénaire succombe à ses blessures,2021-10-22,27,https://www.journaldequebec.com/2021/10/22/accident-mortel-en-gaspesie-un-septuagenaire-succombe-a-ses-blessures,2021-11-18 08:47:59,local
Québec,accident,9,Le Journal de Québec,[PHOTOS] Un automobiliste heurte une série de véhicules avant de percuter un immeuble à Québec,2021-11-01,17,https://www.journaldequebec.com/2021/11/01/en-images-un-automobiliste-heurte-une-serie-de-vehicules-avant-de-percuter-un-immeuble-a-quebec,2021-11-18 08:48:00,local
Québec,accident,10,TVA Nouvelles,Accident mortel à Lévis: le conducteur accusé de conduite avec les facultés affaiblies causant la mort,2021-10-19,30,https://www.tvanouvelles.ca/2021/10/19/accident-mortel-a-levis-le-conducteur-accuse-de-conduite-avec-les-facultes-affaiblies-causant-la-mort-1,2021-11-18 08:48:00,local
Québec,accident,11,TVA Nouvelles,Un conducteur ivre abandonne son passager blessé après un grave accident,2021-10-31,18,https://www.tvanouvelles.ca/2021/10/31/saguenay--une-sortie-de-route-causee-par-lalcool-fait-un-blesse-grave-1,2021-11-18 08:48:00,local
Québec,accident,12,TVA Nouvelles,[PHOTOS] Vaudreuil-Dorion: l'autoroute 40 fermée en direction ouest à cause d'un accident,2021-10-22,27,https://www.tvanouvelles.ca/2021/10/22/photos-vaudreuil-dorion-lautoroute-40-fermee-en-direction-ouest-a-cause-dun-accident-1,2021-11-18 08:48:00,local
Québec,accident,13,Zone911,Accident sur le boulevard Lloyd-Welch à Beauport: nouvelles informations,2021-10-26,23,https://zone911.com/accidents/31771-accident-sur-le-boulevard-lloyd-welch-a-beauport-nouvelles-informations,2021-11-18 08:48:01,local
Québec,accident,14,Le Journal de Québec,Violente collision en Gaspésie: un cycliste succombe à ses blessures,2021-11-06,12,https://www.journaldequebec.com/2021/11/05/violente-collision-en-gaspesie-un-cycliste-dans-un-etat-critique,2021-11-18 08:48:01,local
Québec,accident,15,La Presse,Accident de travail en Estrie | Deux personnes coincées après la chute d'un échafaudage à l'usine de Domtar,2021-10-26,23,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-10-26/accident-de-travail-en-estrie/deux-personnes-coincees-apres-la-chute-d-un-echafaudage-a-l-usine-de-domtar.php,2021-11-18 08:48:01,local
Québec,accident,16,TVA Nouvelles,Une femme de 66 ans perd la vie dans une collision à Terrebonne,2021-10-22,27,https://www.tvanouvelles.ca/2021/10/22/une-femme-de-66-ans-perd-la-vie-dans-une-collision-a-terrebonne,2021-11-18 08:48:01,local
Québec,accident,17,La Nouvelle Union,Collision sur la 122 : l'automobiliste est décédé,2021-10-19,30,https://www.lanouvelle.net/2021/10/19/collision-sur-la-122-lautomobiliste-est-decede/,2021-11-18 08:48:02,local
Québec,accident,18,Zone911,Un train percute de plein fouet un véhicule : Une bête erreur d'un citoyen nouvellement arrivé au Québec,2021-11-02,16,https://zone911.com/accidents/31808-un-train-percute-de-plein-fouet-un-vehicule-une-bete-erreur-d-un-citoyen-nouvellement-arrive-au-quebec,2021-11-18 08:48:02,local
Québec,accident,19,LanauWeb,Joliette : une piétonne gravement blessée Info Lanaudière,2021-11-17,1,https://lanauweb.info/joliette-une-pietonne-gravement-blessee/,2021-11-18 08:48:02,local
Québec,accident,20,TVA Nouvelles,[PHOTOS] La SQ cherche à identifier un piéton victime d'un délit de fuite à Saint-Jérôme,2021-10-30,19,https://www.tvanouvelles.ca/2021/10/30/photos-la-sq-cherche-a-identifier-un-pieton-victime-dun-delit-de-fuite-a-saint-jerome-1,2021-11-18 08:48:03,local
Québec,accident,21,Le Journal de Québec,Décès d'un motocycliste après un face-à-face à Saint-Valérien,2021-11-10,8,https://www.journaldequebec.com/2021/11/09/deces-dun-motocycliste-a-lors-dun-face-a-face-a-saint-valerien,2021-11-18 08:48:03,local
Québec,accident,22,TVA Nouvelles,Un piéton blessé grièvement après avoir été happé à Québec,2021-11-01,17,https://www.tvanouvelles.ca/2021/11/01/un-pieton-blesse-grievement-apres-avoir-ete-happe-a-quebec,2021-11-18 08:48:03,local
Québec,accident,23,VINGT 55 Média web,Un accident fait deux blessés sur la route 139,2021-11-17,1,https://vingt55.ca/un-accident-fait-deux-blesses-sur-la-route-139/,2021-11-18 08:48:03,local
Québec,accident,24,Le Soleil,Un conducteur avec les facultés affaiblies cause un accident sur Wilfrid-Hamel,2021-10-22,27,https://www.lesoleil.com/2021/10/22/un-conducteur-avec-les-facultes-affaiblies-cause-un-accident-sur-wilfrid-hamel-da4e9638c3527914ddb7e9175018869d,2021-11-18 08:48:04,local
Québec,accident,25,Le Journal de Montréal,Trop de jeunes victimes en VTT,2021-10-24,25,https://www.journaldemontreal.com/2021/10/24/trop-de-jeunes-victimes-en-vtt,2021-11-18 08:48:04,local
Québec,décès OR mort,1,Le Journal de Québec,509 nouveaux cas de COVID-19 au Québec | JDQ,2021-11-16,2,https://www.journaldequebec.com/2021/11/15/509-nouveaux-cas-de-covid-au-quebec-1,2021-11-18 08:48:39,local
Québec,décès OR mort,2,La Presse,"Bilan de la COVID-19 au Québec | 497 nouveaux cas, deux décès",2021-11-01,17,https://www.lapresse.ca/covid-19/2021-11-01/bilan-de-la-covid-19-au-quebec/497-nouveaux-cas-deux-deces.php,2021-11-18 08:48:40,local
Québec,décès OR mort,3,Le Devoir,Le Québec signale 567 nouveaux cas de COVID-19 et un décès,2021-10-31,18,https://www.ledevoir.com/societe/sante/644118/bilan-covid-19-quebec-31-octobre-2021,2021-11-18 08:48:40,local
Québec,décès OR mort,4,Le Soleil,Le Québec recense samedi 591 nouveaux cas de COVID-19 et deux décès supplémentaires,2021-10-30,19,https://www.lesoleil.com/2021/10/30/le-quebec-recense-samedi-591-nouveaux-cas-de-covid-19-et-deux-deces-supplementaires-7bfa68d7b74c824878857619081fe340,2021-11-18 08:48:40,local
Québec,décès OR mort,5,Journal Métro,"COVID-19: forte hausse des cas, des hospitalisations en baisse",2021-11-17,1,https://journalmetro.com/actualites/national/2727647/covid-19-forte-hausse-des-nouveaux-cas-des-hospitalisations-en-baisse/,2021-11-18 08:48:40,local
Québec,décès OR mort,6,Le Soleil,Meurtre près de La Pyramide à Québec [PHOTOS],2021-10-27,22,https://www.lesoleil.com/2021/10/27/meurtre-pres-de-la-pyramide-a-quebec-photos-2d8350d94e94057fecdd290325f55996,2021-11-18 08:48:41,local
Québec,décès OR mort,7,La Presse,Centre-du-Québec | Un canoéiste retrouvé mort au lac Joseph,2021-10-23,26,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-10-23/centre-du-quebec/un-canoeiste-retrouve-mort-au-lac-joseph.php,2021-11-18 08:48:41,local
Québec,décès OR mort,8,La Presse,Montréal | Une itinérante retrouvée morte sur un chantier de construction,2021-11-16,2,https://www.lapresse.ca/actualites/2021-11-16/montreal/une-itinerante-retrouvee-morte-sur-un-chantier-de-construction.php,2021-11-18 08:48:41,local
Québec,décès OR mort,9,La Presse,Meurtre d'un adolescent dans Saint-Michel | Tué en pleine rue,2021-11-15,3,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-11-14/meurtre-d-un-adolescent-dans-saint-michel/tue-en-pleine-rue.php,2021-11-18 08:48:41,local
Québec,décès OR mort,10,La Presse,Enquête sur les décès en CHSLD | La ministre McCann livrera sa version des faits,2021-11-17,1,https://www.lapresse.ca/covid-19/2021-11-17/enquete-sur-les-deces-en-chsld/la-ministre-mccann-livrera-sa-version-des-faits.php,2021-11-18 08:48:41,local
Québec,décès OR mort,11,Le Journal de Québec,Pêcheur disparu en Beauce: un corps repêché sur la rivière Chaudière,2021-11-17,1,https://www.journaldequebec.com/2021/11/17/pecheur-disparu-en-beauce-les-recherches-reprennent-mercredi-matin,2021-11-18 08:48:41,local
