Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rouyn-Noranda,élection OR campagne,1,ICI.Radio-Canada.ca,"Une première victoire pour l'environnement aux élections municipales, dit Philippe Marquis | Élections municipales au Québec 2021",2021-11-05,13,https://ici.radio-canada.ca/nouvelle/1837606/bilan-campagne-philippe-marquis-environnement,2021-11-18 09:07:44,mixte
Rouyn-Noranda,élection OR campagne,2,ICI.Radio-Canada.ca,Débat à Rouyn-Noranda : Diane Dallaire et Jean-Marc Belzile dominent les échanges | Élections municipales au Québec 2021,2021-10-26,23,https://ici.radio-canada.ca/nouvelle/1834773/debat-candidats-elections-municipales-rouyn-noranda,2021-11-18 09:07:44,mixte
Rouyn-Noranda,élection OR campagne,3,TVA Nouvelles,Municipales 2021: les résultats d'une soirée forte en rebondissements,2021-11-07,11,https://www.tvanouvelles.ca/2021/11/07/en-direct--les-resultats-des-elections-municipales-2021,2021-11-18 09:07:45,mixte
Rouyn-Noranda,élection OR campagne,4,ICI.Radio-Canada.ca,Élections municipales : chute importante du taux de participation en Abitibi-Témiscamingue | Élections municipales au Québec 2021,2021-11-08,10,https://ici.radio-canada.ca/nouvelle/1838292/taux-participation-elections-municipales-abitibi-temiscamingue,2021-11-18 09:07:45,mixte
Rouyn-Noranda,élection OR campagne,5,La Presse,Élections municipales | Coup d'œil ailleurs au Québec,2021-11-08,10,https://www.lapresse.ca/actualites/politique/2021-11-08/elections-municipales/coup-d-oeil-ailleurs-au-quebec.php,2021-11-18 09:07:45,mixte
Rouyn-Noranda,élection OR campagne,6,ICI.Radio-Canada.ca,L'Abitibi-Témiscamingue se mobilise pour améliorer la sécurité sur la 117,2021-11-04,14,https://ici.radio-canada.ca/nouvelle/1837253/abitibi-temiscamingue-campagne-route-117,2021-11-18 09:07:45,mixte
Rouyn-Noranda,élection OR campagne,7,ICI.Radio-Canada.ca,Priorité Jeunesse lance une campagne sur l'importance de la conciliation travail-études,2021-11-03,15,https://ici.radio-canada.ca/nouvelle/1837040/rouyn-noranda-etudiants-penurie-main-doeuvre,2021-11-18 09:07:45,mixte
Rouyn-Noranda,élection OR campagne,8,iHeartRadio,Une tournée des jeunes caquistes en Abitibi-Témiscamingue,2021-11-15,3,https://www.iheartradio.ca/energie/energie-rouyn/nouvelles/une-tournee-des-jeunes-caquistes-en-abitibi-temiscamingue-1.16496791,2021-11-18 09:07:46,mixte
Rouyn-Noranda,élection OR campagne,9,Le Journal de Montréal,Ouest du Québec: une bataille féroce pour Gatineau,2021-11-06,12,https://www.journaldemontreal.com/2021/11/06/ouest-du-quebec-une-bataille-feroce-pour-gatineau,2021-11-18 09:07:46,mixte
Rouyn-Noranda,élection OR campagne,10,ICI.Radio-Canada.ca,49 emplois du secteur public transférés vers l'Abitibi-Témiscamingue depuis 2018,2021-10-24,25,https://ici.radio-canada.ca/nouvelle/1834159/caq-legault-emplois-decentralser-fonction-publique-abitibi,2021-11-18 09:07:46,mixte
Rouyn-Noranda,élection OR campagne,11,La Presse,Valérie Plante réélue | « On peut diriger Montréal avec le sourire »,2021-11-07,11,https://www.lapresse.ca/actualites/grand-montreal/2021-11-07/valerie-plante-reelue/on-peut-diriger-montreal-avec-le-sourire.php,2021-11-18 09:07:46,mixte
Rouyn-Noranda,élection OR campagne,12,La Presse,"Progressistes, verts et égalitaires : le message des municipales",2021-11-09,9,https://www.lapresse.ca/debats/chroniques/2021-11-09/progressistes-verts-et-egalitaires-le-message-des-municipales.php,2021-11-18 09:07:47,mixte
Rouyn-Noranda,élection OR campagne,13,La Nouvelle Union,Une saison charnière pour Mathis Dorcal-Madore,2021-11-15,3,https://www.lanouvelle.net/2021/11/14/une-saison-charniere-pour-mathis-dorcal-madore/,2021-11-18 09:07:47,mixte
Rouyn-Noranda,élection OR campagne,14,La Nouvelle Union,Les Tigres retombent dans leurs mauvaises habitudes,2021-11-07,11,https://www.lanouvelle.net/2021/11/07/les-tigres-retombent-dans-leurs-mauvaises-habitudes/,2021-11-18 09:07:47,mixte
Rouyn-Noranda,élection OR campagne,15,ICI.Radio-Canada.ca,Vuyani Gxoyiya entre dans la course à la mairie de Rouyn-Noranda | Élections municipales au Québec 2021,2021-09-28,51,https://ici.radio-canada.ca/nouvelle/1827804/vuyani-gxoyiya-candidat-mairie-rouyn-noranda,2021-11-18 09:07:47,mixte
Rouyn-Noranda,élection OR campagne,16,ICI.Radio-Canada.ca,Philippe Marquis vise aussi la mairie de Rouyn-Noranda | Élections municipales au Québec 2021,2021-09-21,58,https://ici.radio-canada.ca/nouvelle/1825895/elections-municipales-novembre-philippe-marquis,2021-11-18 09:07:47,mixte
Rouyn-Noranda,élection OR campagne,17,ICI.Radio-Canada.ca,Philippe Marquis lance sa campagne électorale sous le signe de l'environnement | Élections municipales au Québec 2021,2021-10-01,48,https://ici.radio-canada.ca/nouvelle/1828622/philippe-marquis-candidat-mairie-rouyn-noranda-lancement-campagne,2021-11-18 09:07:47,mixte
Rouyn-Noranda,élection OR campagne,18,ICI.Radio-Canada.ca,Les candidats dans Abitibi-Témiscamingue et Abitibi-Baie-James-Nunavik-Eeyou | Élections Canada 2021,2021-09-09,70,https://ici.radio-canada.ca/nouvelle/1816546/elections-federales-campagne-electorale-canada,2021-11-18 09:07:48,mixte
Rouyn-Noranda,élection OR campagne,19,ICI.Radio-Canada.ca,Jean-Marc Belzile fera du développement durable une priorité de campagne,2021-06-17,154,https://ici.radio-canada.ca/nouvelle/1802432/annonce-mairie-rouyn-noranda-jean-marc-belzile,2021-11-18 09:07:48,mixte
Rouyn-Noranda,élection OR campagne,20,ICI.Radio-Canada.ca,Diane Dallaire mise sur la jeunesse | Élections municipales au Québec 2021,2021-10-07,42,https://ici.radio-canada.ca/nouvelle/1830033/diane-dallaire-lancement-campagne-jeunesse,2021-11-18 09:07:48,mixte
Rouyn-Noranda,élection OR campagne,21,La Presse,Municipalités honorées | La Presse,2021-10-30,19,https://www.lapresse.ca/affaires/tetes-d-affiche/2021-10-30/municipalites-honorees.php,2021-11-18 09:07:48,mixte
