Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Apollinaire,accident,1,Le Soleil,Drame de Saint-Apollinaire: le rapport du coroner donne des réponses,2021-10-28,21,https://www.lesoleil.com/2021/10/28/drame-de-saint-apollinaire-le-rapport-du-coroner-donne-des-reponses-5781b4b8424808a54f36bc859949165a,2021-11-18 08:09:51,local
Saint-Apollinaire,accident,2,La Voix de l'est,Drame de Saint-Apollinaire: les fautes de la police,2021-10-28,21,https://www.lavoixdelest.ca/2021/10/28/drame-de-saint-apollinaire-les-fautes-de-la-police--d9dd8cafda72c3192bd1ada66df26f53,2021-11-18 08:09:51,local
Saint-Apollinaire,accident,3,La Presse,"Morts de Norah et Romy Carpentier | Les mauvaises communications ont nui aux recherches, selon la coroner",2021-10-28,21,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-10-28/morts-de-norah-et-romy-carpentier/les-mauvaises-communications-ont-nui-aux-recherches-selon-la-coroner.php,2021-11-18 08:09:51,local
Saint-Apollinaire,accident,4,Le Journal de Québec,Martin Carpentier craignait de perdre ses deux filles,2021-10-28,21,https://www.journaldequebec.com/2021/10/28/meurtre-de-norah-et-romy-martin-carpentier-craignait-de-perdre-ses-deux-filles,2021-11-18 08:09:52,local
Saint-Apollinaire,accident,5,L’actualité,La coroner publie ses rapports sur les meurtres de Norah et Romy à Saint-Apollinaire,2021-10-28,21,https://lactualite.com/actualites/la-coroner-publie-ses-rapports-sur-les-meurtres-de-norah-et-romy-a-saint-apollinaire/,2021-11-18 08:09:52,local
Saint-Apollinaire,accident,6,TVA Nouvelles,Mystérieux accident à Saint-Apollinaire: un père et ses deux enfants recherchés,,,https://www.tvanouvelles.ca/2020/07/09/saint-apollinaire-un-vehicule-fantome-lourdement-accidente-1,2021-11-18 08:09:52,local
Saint-Apollinaire,accident,7,Bien Public,Faits divers | Accident à Saint-Apollinaire : une piétonne blessée,2021-01-18,304,https://www.bienpublic.com/faits-divers-justice/2021/01/18/accident-a-saint-apollinaire-une-pietonne-blessee,2021-11-18 08:09:53,local
Saint-Apollinaire,accident,8,TVA Nouvelles,Accident mortel en Beauce: un jeune homme perd la vie,2021-10-09,40,https://www.tvanouvelles.ca/2021/10/09/accident-mortel-en-beauce-un-jeune-homme-perd-la-vie,2021-11-18 08:09:53,local
Saint-Apollinaire,accident,9,Le Journal de Québec,Alerte Amber: toujours sans nouvelles de Romy et Norah,,,https://www.journaldequebec.com/2020/07/09/saint-apollinaire-un-vehicule-fantome-lourdement-accidente,2021-11-18 08:09:53,local
Saint-Apollinaire,accident,10,Le Journal de Montréal,Dévastées par la mort d'un proche,2021-08-15,95,https://www.journaldemontreal.com/2021/08/15/devastees-par-la-mort-dun-proche,2021-11-18 08:09:53,local
